word_chinese_traditional,aoa_mean,familiar_mean,imagine_mean,concrete_mean,semantic_radical_trans_mean,frequency_log,number_stroke,number_word_forms,number_homophones,number_meanings,aoa_raw,familiar_raw,imagine_raw,concrete_raw,semantic_radical_trans_raw
噱,5.65,4.75,1.904761905,2.1579,4.894736842,0.527046827,16,3,7,NA,5.428571429,4.75,2.181818182,2.4,4.894736842
祖,3.571428571,6.45,3.090909091,2.7,4.631578947,2.30851725,10,7,4,3,3.590909091,6.45,3.090909091,2.7,4.631578947
偽,4.619047619,6.421052632,3.045454545,2.3,3.526315789,1.553456859,11,8,5,4,4.619047619,6.15,2.909090909,2.3,3.526315789
何,3.380952381,6.736842105,2.227272727,1.5,3.052631579,2.904766379,7,6,2,5,3.454545455,6.45,2.227272727,1.5,3.052631579
錫,3.952380952,6.157894737,5,4.05,6.166666667,1.733530031,16,3,2,3,3.952380952,5.95,4.727272727,4.05,5.894736842
妹,2.095238095,6.789473684,5.136363636,5.2,6.833333333,2.194796176,8,4,1,3,2.181818182,6.5,5.090909091,5.2,6.736842105
神,3.380952381,6.684210526,5.545454545,5.3,5,2.798132064,10,29,4,5,3.380952381,6.5,5.5,5.3,5
演,3.65,6.6,3.863636364,3.85,2.736842105,3.003178878,14,17,1,6,3.818181818,6.6,3.863636364,3.85,2.736842105
例,3.380952381,6.894736842,2.047619048,2.6,3.578947368,2.676217046,8,6,5,6,3.363636364,6.8,2.125,2.6,3.578947368
嗎,2.571428571,7,1.25,1.2222,4.736842105,2.101261884,13,1,2,2,2.571428571,6.9,1.772727273,1.6,4.736842105
姊,2.714285714,6.6,5.090909091,5.4,6.882352941,1.789535585,8,2,18,2,2.714285714,6.6,5.090909091,5.4,6.578947368
陪,3.333333333,6.736842105,3.909090909,3.65,3.631578947,2.087920891,11,13,4,5,3.333333333,6.65,3.863636364,3.65,3.631578947
媽,1.571428571,6.947368421,5.636363636,6.1,6.833333333,2.417813717,13,15,2,3,1.636363636,6.85,5.681818182,6.1,6.684210526
姐,1.904761905,6.894736842,5.090909091,5.45,6.526315789,2.366993503,8,8,1,4,1.904761905,6.8,4.954545455,5.45,6.526315789
貼,2.761904762,7,4.272727273,4.55,2.736842105,2.313674328,12,15,1,7,2.761904762,6.8,4.227272727,4.55,2.736842105
標,3.619047619,6.777777778,3.227272727,3.05,4.473684211,2.740438078,15,3,7,8,3.727272727,6.5,3.208333333,3.05,4.473684211
誌,4.285714286,6.157894737,3.136363636,3.75,4.894736842,1.984424023,14,3,10,4,4.136363636,5.95,3,3.75,4.894736842
評,3.85,6.631578947,3.636363636,3.4,5.789473684,2.698494663,12,6,7,4,3.714285714,6.5,3.636363636,3.4,5.789473684
駛,4.095238095,6.684210526,4.272727273,4.25,5.473684211,2.260014671,15,1,2,2,4.095238095,6.55,4.227272727,4.25,5.473684211
購,3.619047619,6.894736842,3.727272727,4.1,6.5,2.540953578,17,8,4,6,3.619047619,6.75,3.681818182,4.1,6.210526316
往,3.428571429,6.842105263,2.772727273,2.3684,4.421052632,2.778549858,8,7,0,9,3.428571429,6.75,2.909090909,2.6,4.421052632
膠,3.80952381,6.45,4.954545455,5.6,2.222222222,1.976659893,15,4,4,5,3.80952381,6.45,4.681818182,5.6,2.473684211
泊,4.380952381,6.05,4.545454545,3.15,4.684210526,1.782893416,8,7,5,7,4.380952381,6.05,4.545454545,3.15,4.684210526
挑,4.095238095,6.5,4.272727273,3.9,5.578947368,2.238318303,9,15,0,9,4.095238095,6.5,4.090909091,3.9,5.578947368
脫,3.428571429,6.833333333,5.090909091,4.55,4.473684211,2.133649958,11,15,0,3,3.428571429,6.55,5.045454545,4.55,4.473684211
騎,3.619047619,6.421052632,4.909090909,4.7,6.555555556,2.369824411,18,9,1,3,3.619047619,6.15,4.954545455,4.7,6.421052632
膊,3.857142857,5.95,5.5,4.8,6.105263158,1.26426472,14,8,5,4,3.857142857,5.95,5.454545455,4.8,6.105263158
泥,2.904761905,6.842105263,6.238095238,5.95,4.684210526,2.193312168,8,8,0,6,2.904761905,6.75,5.863636364,5.95,4.684210526
踢,3.333333333,6.842105263,5.272727273,5.4737,6.578947368,2.206561245,15,3,0,3,3.333333333,6.75,5.318181818,5.25,6.578947368
