word_chinese_traditional,aoa_mean,familiar_mean,imagine_mean,concrete_mean,semantic_radical_trans_mean,frequency_log,number_stroke,number_word_forms,number_homophones,number_meanings,aoa_raw,familiar_raw,imagine_raw,concrete_raw,semantic_radical_trans_raw
憶,4.095238095,6.5,3.636363636,3.1,5.722222222,1.99710246,16,5,3,2,4.095238095,6.5,3.772727273,3.1,5.473684211
僱,4.75,6.421052632,3.454545455,3.25,4.947368421,1.984904704,14,3,4,2,4.857142857,6.25,3.318181818,3.25,4.947368421
茫,4.523809524,6.526315789,2.954545455,2.6,2.842105263,1.204827532,10,6,4,3,4.523809524,6.35,3.090909091,2.6,2.842105263
欺,4.19047619,6.45,3.409090909,3.35,3.736842105,1.632421823,12,6,14,3,4.181818182,6.45,3.5,3.35,3.736842105
涼,2.523809524,6.684210526,4.409090909,4.45,5.526315789,1.634041319,11,2,9,4,2.590909091,6.5,4.227272727,4.45,5.526315789
猜,3.666666667,6.888888889,2.909090909,4,2.578947368,1.483961926,11,9,2,5,3.666666667,6.7,3,4,2.578947368
埔,4.095238095,5.8,2.05,2.1053,4.789473684,1.785752508,10,3,4,1,4.095238095,5.8,2.636363636,2.35,4.789473684
脂,4.333333333,6.789473684,4.090909091,4.6,5.777777778,1.586243475,10,8,17,3,4.333333333,6.65,4.045454545,4.6,5.526315789
雕,4.65,6.1,4.818181818,4.85,3.052631579,1.443291829,10,8,7,1,4.545454545,6.1,4.636363636,4.85,3.052631579
娥,4.45,5.842105263,3.863636364,2.45,6.052631579,1.487751606,11,7,6,5,4.285714286,5.6,3.869565217,2.45,6.052631579
瘦,3.523809524,6.944444444,5.454545455,5.5263,5.052631579,1.605077623,15,6,8,3,3.523809524,6.75,5.318181818,5.3,5.052631579
塗,3.904761905,6.4,4.363636364,4.65,4.263157895,1.5715617,13,7,13,1,3.904761905,6.4,4.090909091,4.65,4.263157895
軌,4.5,6.736842105,5.090909091,5.6316,6.578947368,1.800323754,9,3,2,9,4.333333333,6.6,5,5.4,6.578947368
牢,4.523809524,6.368421053,5.090909091,5.55,4.947368421,1.230815714,7,4,11,2,4.523809524,6.15,5,5.55,4.947368421
竭,5.4,5.9,2.571428571,2.35,3.157894737,1.212717492,14,5,4,6,5.19047619,5.9,2.826086957,2.35,3.157894737
柳,4.333333333,6.35,5.363636364,5.5789,6.555555556,1.330308798,9,9,2,2,4.333333333,6.35,5.318181818,5.35,6.368421053
鍵,4.333333333,6.526315789,4.363636364,4.55,4,1.858682969,17,2,2,1,4.181818182,6.4,4.181818182,4.55,4
鯊,4.333333333,6.15,6.476190476,6.15,6.526315789,1.235562149,18,1,6,1,4.333333333,6.15,6.318181818,6.15,6.526315789
撒,4.714285714,5.9,4.818181818,3.85,4.947368421,1.467673974,15,5,4,1,4.714285714,5.9,4.545454545,3.85,4.947368421
淨,3.857142857,6.789473684,4.318181818,3.3,4.736842105,1.84481178,11,4,3,1,3.857142857,6.65,4.181818182,3.3,4.736842105
茅,4.666666667,5.75,5.045454545,4.2,5.578947368,1.167827881,9,3,1,1,4.666666667,5.75,4.863636364,4.2,5.578947368
崇,4.904761905,5.894736842,2.227272727,2.95,4.210526316,1.577432722,11,7,0,1,4.904761905,5.65,2.260869565,2.95,4.210526316
忽,3.80952381,6.789473684,2.285714286,1.8421,4.421052632,1.893099004,8,6,7,1,3.80952381,6.65,2.590909091,2.05,4.421052632
棚,4.45,6.05,5.363636364,5.15,5.947368421,1.284008778,12,3,5,4,4.285714286,6.05,5.318181818,5.15,5.947368421
龔,5.857142857,4.6,1.35,1.4737,NA,0.88606877,23,0,10,1,5.857142857,4.6,1.5,1.7,NA
泄,4.666666667,6.25,4.318181818,3.15,4.526315789,1.29414377,8,9,8,3,4.590909091,6.25,4.136363636,3.15,4.526315789
摺,4.45,6.05,4.954545455,5.4211,6,1.156650568,14,5,5,1,4.285714286,6.05,4.909090909,5.25,6
扣,3.19047619,6.736842105,5.227272727,4.55,5.421052632,1.985864471,6,4,4,6,3.19047619,6.65,5.043478261,4.55,5.421052632
碳,5,6.368421053,4.772727273,5.1,5.052631579,1.177955386,14,0,3,NA,5,6.15,4.545454545,5.1,5.052631579
櫻,4.523809524,6.526315789,5.363636364,5.75,6.111111111,1.223250615,21,3,8,1,4.523809524,6.4,5.636363636,5.75,5.894736842
譜,3.952380952,6.2,4.636363636,4.2,4.526315789,1.510178902,19,4,4,2,3.952380952,6.2,4.5,4.2,4.526315789
郡,5.333333333,5.85,2.285714286,3.05,3.105263158,1.161476111,10,4,1,1,5.333333333,5.85,2.47826087,3.05,3.105263158
坡,3.857142857,6.1,4.454545455,4.5,6.611111111,2.014611631,8,5,4,1,3.857142857,6.1,4.363636364,4.5,6.421052632
頌,4.476190476,6.368421053,3.045454545,3.3,2.894736842,1.496714148,13,2,4,1,4.476190476,6.2,3,3.3,2.894736842
歧,4.761904762,5.65,2.272727273,2.5,NA,1.811746058,8,7,18,3,4.761904762,5.65,2.181818182,2.5,NA
焗,4.095238095,6.578947368,4.727272727,5.3158,6.555555556,1.289999142,11,0,1,1,4.136363636,6.4,4.541666667,5.1,6.421052632
忘,3.380952381,6.65,3.227272727,3.7,6.105263158,2.041994939,7,4,4,1,3.454545455,6.65,3.136363636,3.7,6.105263158
翠,4.142857143,6.3,4.636363636,3.65,NA,1.80561898,14,8,3,3,4.142857143,6.3,4.608695652,3.65,NA
芳,3.6,6.684210526,3.590909091,2.1111,5.263157895,1.559576052,8,14,6,3,3.761904762,6.55,3.772727273,2.6,5.263157895
昇,4.571428571,6,3.363636364,3.3,5.684210526,1.046812337,8,0,9,NA,4.571428571,6,3.454545455,3.3,5.684210526
哀,4,6.631578947,3.909090909,3.95,NA,1.526702012,9,4,1,2,4,6.5,3.772727273,3.95,NA
嘴,2.142857143,6.894736842,6.090909091,6.4211,6.666666667,2.038505761,16,5,2,2,2.142857143,6.8,6.090909091,6.25,6.526315789
叢,4.666666667,6.15,5,4.25,NA,1.161476111,18,6,5,1,4.666666667,6.15,5.045454545,4.25,NA
誘,4.619047619,6.631578947,4.227272727,3.65,4.894736842,1.697587921,14,4,4,3,4.590909091,6.5,4.136363636,3.65,4.894736842
祈,4.428571429,5.25,3.5,3.25,5.315789474,1.385240165,9,4,18,1,4.428571429,5.25,3.227272727,3.25,5.315789474
棟,4.428571429,6.3,4.227272727,4.25,5.052631579,1.449928741,12,9,5,1,4.428571429,6.3,4.409090909,4.25,5.052631579
忌,4.428571429,6.4,3.227272727,3.25,5.944444444,1.726183581,7,4,3,2,4.454545455,6.4,3.125,3.25,5.736842105
御,5.095238095,6.15,3.272727273,2.8,3.421052632,1.359657104,11,10,16,2,5.095238095,6.15,3.454545455,2.8,3.421052632
氧,4.523809524,6.4,3.681818182,3.95,6.666666667,1.5051331,10,2,3,1,4.5,6.4,3.590909091,3.95,6.578947368
嫁,4.380952381,6.842105263,4.727272727,5.2105,6,1.567184325,13,4,6,3,4.409090909,6.7,4.909090909,5,6
橋,2.952380952,6.888888889,5.818181818,6.1,6.222222222,2.127725913,16,10,4,2,2.952380952,6.7,5.590909091,6.1,6
芝,3.666666667,6.842105263,4.272727273,3.8,3.526315789,1.95185071,8,5,17,2,3.666666667,6.7,4.086956522,3.8,3.526315789
抨,5.333333333,5.2,2.714285714,3.3,5.157894737,1.074059252,8,3,7,1,5.333333333,5.2,2.954545455,3.3,5.157894737
悼,5.285714286,5.8,2.818181818,2.5263,5.789473684,1.41967138,11,2,9,4,5.285714286,5.8,2.954545455,2.75,5.789473684
稿,4.857142857,6.368421053,4.363636364,4.25,2.789473684,1.842650693,15,6,0,3,4.857142857,6.2,4.136363636,4.25,2.789473684
臉,3.047619048,6.789473684,5.818181818,5.7,6.368421053,2.009421248,17,3,2,2,3.047619048,6.7,5.772727273,5.7,6.368421053
咽,4.238095238,6.315789474,4.590909091,4.6,6.105263158,0.961970402,9,10,6,4,4.238095238,6.1,4.5,4.6,6.105263158
敲,3.857142857,6.4,5.428571429,5,NA,1.530821832,14,4,4,4,3.857142857,6.4,5.136363636,5,NA
桶,3.8,6.15,5.681818182,6,6.277777778,1.68674767,11,2,1,2,3.666666667,6.15,5.681818182,5.75,6.105263158
晒,4.095238095,6.25,3.909090909,3.45,5.631578947,2.142178227,10,9,1,1,4.090909091,6.25,3.681818182,3.45,5.631578947
填,3.55,6.578947368,4.772727273,4.5,5.052631579,1.783657683,13,6,2,3,3.428571429,6.3,4.727272727,4.5,5.052631579
塊,3.7,6.631578947,4.454545455,3.7,4.684210526,1.857879166,13,5,2,3,3.571428571,6.5,4.272727273,3.7,4.684210526
驕,4.1,6.263157895,3.772727273,3.1,3.894736842,1.274865399,22,10,2,3,3.952380952,6.05,3.772727273,3.1,3.894736842
棋,3.842105263,6.842105263,5.863636364,5.7,5.315789474,1.430567448,12,8,18,1,3.571428571,6.75,5.772727273,5.7,5.315789474
框,4.19047619,6.2,5.5,5.2,5.684210526,1.643106113,10,5,1,2,4.181818182,6.2,5.363636364,5.2,5.684210526
炳,5.047619048,4.65,1.954545455,1.9474,4.210526316,2.004397806,9,0,3,1,5.047619048,4.65,2,2.15,4.210526316
錶,3.619047619,6.736842105,5.727272727,5.9,5.888888889,1.694082701,16,3,7,1,3.636363636,6.6,5.681818182,5.9,5.684210526
恤,4.476190476,5.9,3.636363636,3.45,4.947368421,1.381401073,9,4,3,1,4.476190476,5.9,3.681818182,3.45,4.947368421
廷,4.8,5.7,3.636363636,2.3,NA,2.071016381,7,4,6,1,4.590909091,5.7,3.416666667,2.3,NA
傲,4.380952381,6.578947368,2.863636364,3,3.368421053,1.491134271,13,7,0,1,4.380952381,6.45,2.818181818,3,3.368421053
葡,3.80952381,6.35,4.681818182,4.35,5.631578947,1.814244061,13,5,4,1,3.772727273,6.35,4.681818182,4.35,5.631578947
冀,5.523809524,5.35,2.238095238,1.9474,NA,1.443291829,16,1,2,1,5.523809524,5.35,2.545454545,2.2,NA
盲,3.80952381,6.368421053,5.409090909,5.1,6.777777778,1.413000059,8,12,0,3,3.80952381,6.15,5.304347826,5.1,6.526315789
隧,4.333333333,6.35,4.454545455,4.1,2.947368421,1.455247535,16,1,8,1,4.333333333,6.35,4.409090909,4.1,2.947368421
娶,4.5,6.578947368,5.428571429,4.75,6.055555556,1.191599266,11,4,2,1,4.333333333,6.3,5.136363636,4.75,5.842105263
裂,3.619047619,6.4,5.318181818,5.1,4.105263158,1.879229345,12,6,4,4,3.619047619,6.4,5.272727273,5.1,4.105263158
怡,3.571428571,6.5,2.285714286,2.2105,5.210526316,1.84215045,8,5,16,2,3.545454545,6.5,2.375,2.45,5.210526316
呃,4.476190476,6.210526316,2.476190476,2.8,4.894736842,1.138483511,7,2,2,1,4.476190476,5.95,2.608695652,2.8,4.894736842
敬,3.75,6.65,3.363636364,3.3,2.473684211,1.858843551,13,13,4,1,3.619047619,6.65,3.363636364,3.3,2.473684211
擬,4.761904762,6.210526316,2.590909091,2.65,4.789473684,1.99710246,17,7,8,7,4.761904762,5.95,2.363636364,2.65,4.789473684
叛,5.25,6.45,3.363636364,3.05,NA,1.284611547,9,9,4,2,5.142857143,6.45,3.272727273,3.05,NA
龐,4.5,6.210526316,3.363636364,3.3,4.157894737,1.480522709,20,3,6,1,4.619047619,5.95,3.545454545,3.3,4.157894737
綱,4.9,6,3.227272727,2.3684,4.421052632,1.230133398,14,6,7,3,4.727272727,6,3,2.6,4.421052632
叮,3.238095238,6.684210526,3.954545455,3.5,5.210526316,1.234887255,5,3,4,2,3.238095238,6.55,3.772727273,3.5,5.210526316
婉,4.476190476,5.6,3.090909091,2.0526,5.052631579,1.471607828,11,6,8,3,4.318181818,5.6,2.954545455,2.25,5.052631579
魅,5.19047619,5.5,4.454545455,3.1,5.526315789,1.387147059,15,5,3,1,5.19047619,5.5,4.227272727,3.1,5.526315789
慨,5.1,6.45,2.238095238,1.8947,5,1.471999261,12,5,5,2,4.904761905,6.45,2.545454545,2.15,5
醉,4.380952381,6.35,5.227272727,5,5.526315789,1.832022642,15,12,3,3,4.380952381,6.35,5.181818182,5,5.526315789
懶,3.666666667,6.578947368,4.727272727,4.35,5.315789474,1.47003856,19,6,0,3,3.666666667,6.3,4.590909091,4.35,5.315789474
旱,3.952380952,6.05,4.909090909,4.9,5.777777778,0.742646627,7,4,2,2,3.952380952,6.05,4.826086957,4.9,5.526315789
汗,2.857142857,6.65,5.571428571,5.35,6.666666667,1.612501641,6,11,3,2,2.857142857,6.65,5.260869565,5.35,6.578947368
蒙,4.6,6.25,3.909090909,3.5,2.947368421,2.026122658,14,8,5,3,4.428571429,6.25,3.863636364,3.5,2.947368421
械,4.80952381,6.05,4.909090909,4.5,4.368421053,1.636459297,11,2,2,1,4.80952381,6.05,4.636363636,4.5,4.368421053
漠,3.75,6.35,4.090909091,3.5,4.263157895,1.384283569,14,5,4,4,3.904761905,6.35,4,3.5,4.263157895
撰,5.476190476,5.2,3.636363636,3.2,5.722222222,2.08056384,15,6,2,1,5.476190476,5.2,3.636363636,3.2,5.473684211
蔬,3.25,6.631578947,5.318181818,4.7,6.611111111,1.347842333,16,2,5,1,3.142857143,6.5,5.181818182,4.7,6.473684211
奸,4.3,6.684210526,3.909090909,3.85,3.736842105,1.399804135,6,5,4,1,4.181818182,6.45,3.625,3.85,3.736842105
抓,3.15,6.842105263,5.409090909,5.2,6.368421053,1.55701005,7,6,3,3,3.285714286,6.75,5.363636364,5.2,6.368421053
霧,4.25,6.2,6.047619048,6.2105,6.333333333,1.679529313,19,4,8,2,3.954545455,6.2,5.772727273,5.95,6.210526316
浙,5.35,5.8,2.454545455,1.9,5.105263158,1.396092194,10,1,5,1,5.238095238,5.8,2.5,1.9,5.105263158
慌,3.952380952,6.736842105,4.090909091,3.6,6.210526316,1.483961926,13,4,6,2,3.952380952,6.6,4.045454545,3.6,6.210526316
浴,3.238095238,6.842105263,4.727272727,4.8,6.388888889,1.542951869,10,5,10,1,3.238095238,6.7,4.681818182,4.8,6.263157895
銅,4.047619048,6.4,5.136363636,5.2632,6.5,1.996518181,14,8,10,1,4.047619048,6.4,5,5.05,6.315789474
瀉,5.25,6.421052632,4.545454545,4.45,5.210526316,1.333011324,18,8,3,3,5.047619048,6.25,4.545454545,4.45,5.210526316
伙,4.238095238,6.368421053,3.909090909,3.25,6.277777778,1.651209344,6,5,3,2,4.181818182,6.1,3.772727273,3.25,6.105263158
孤,4.19047619,6.4,3.590909091,4.1,4.684210526,1.605365522,8,10,6,1,4.227272727,6.4,3.625,4.1,4.684210526
噸,4.857142857,6.052631579,3.363636364,3.45,2.684210526,1.520448063,16,0,3,1,4.857142857,5.8,3.260869565,3.45,2.684210526
蛙,2.904761905,6.65,5.681818182,6.2105,5.722222222,1.043676623,12,5,6,1,2.904761905,6.65,5.590909091,6.05,5.473684211
棠,5.095238095,5.95,3.727272727,2.3684,5.421052632,1.241589463,12,4,9,2,5.095238095,5.95,3.727272727,2.6,5.421052632
譯,5.047619048,6.3,3.045454545,3.2,5.888888889,1.679043796,20,5,15,3,5.047619048,6.3,3,3.2,5.684210526
漲,4.619047619,6.421052632,4.590909091,4.65,5.777777778,1.516581393,14,4,7,1,4.619047619,6.2,4.318181818,4.65,5.526315789
烤,4.15,6.45,5.045454545,5.55,6.578947368,1.335161301,10,6,4,1,4,6.45,4.954545455,5.55,6.578947368
趙,4.333333333,6.25,1.571428571,1.5263,2.421052632,1.908978049,14,1,1,1,4.333333333,6.25,1.869565217,1.65,2.421052632
礦,4.714285714,6.1,4.181818182,5.05,6.421052632,1.53184571,20,9,2,2,4.714285714,6.1,4,5.05,6.421052632
押,4.75,6.368421053,4.409090909,3.95,5.157894737,1.871501481,8,5,2,5,4.571428571,6.15,4.347826087,3.95,5.157894737
磚,4.05,6.05,6.142857143,5.95,6.105263158,1.438246725,16,2,2,1,4.19047619,6.05,5.727272727,5.95,6.105263158
斃,5.904761905,5.75,5,4.9,NA,1.466882909,17,4,4,1,5.904761905,5.75,4.863636364,4.9,NA
喊,3.047619048,6.684210526,4.818181818,5.1,6.263157895,1.755463482,13,8,0,2,3.047619048,6.4,4.652173913,5.1,6.263157895
圓,2.333333333,6.684210526,5.727272727,6.1579,3.421052632,2.096457897,13,5,17,3,2.333333333,6.4,5.565217391,6,3.421052632
奕,5.428571429,5.947368421,1.5,1.3684,NA,1.592217359,9,2,15,3,5.428571429,5.75,2.090909091,1.55,NA
燃,4.523809524,6.3,5.045454545,4.05,6.722222222,1.701987636,16,6,10,1,4.523809524,6.3,4.954545455,4.05,6.578947368
涌,4.619047619,5.9,3.272727273,2.8,4.789473684,1.632962326,10,1,13,2,4.619047619,5.9,3.409090909,2.8,4.789473684
洩,5,6.1,3.863636364,3.35,4.473684211,1.5214966620000001,9,1,8,1,4.80952381,6.1,3.681818182,3.35,4.473684211
灑,4.380952381,6.45,4.590909091,5.1579,6.105263158,1.45606006,22,6,3,1,4.380952381,6.45,4.454545455,4.95,6.105263158
剪,2.904761905,6.789473684,5.272727273,5.5,6.555555556,1.770871998,11,13,4,1,2.904761905,6.65,5.318181818,5.5,6.315789474
曬,4.285714286,6.578947368,5.227272727,4.65,6.473684211,1.550854337,23,9,1,1,4.318181818,6.45,5.227272727,4.65,6.473684211
擎,5.571428571,5.7,3.909090909,3.75,4.578947368,1.453209546,17,5,2,2,5.571428571,5.7,3.863636364,3.75,4.578947368
樽,3.476190476,6.315789474,5.636363636,5.6,4.526315789,1.565925499,16,2,5,1,3.545454545,6.1,5.5,5.6,4.526315789
狠,4.75,6.3,3.863636364,3.95,4.473684211,1.5144577,9,5,3,4,4.571428571,6.3,3.636363636,3.95,4.473684211
誕,3.571428571,6.5,4.045454545,3.75,3.789473684,2.122508055,15,2,1,1,3.571428571,6.5,3.909090909,3.75,3.789473684
躲,3.904761905,6.666666667,4.772727273,4.75,5.789473684,1.29532072,13,3,1,1,3.904761905,6.4,4.772727273,4.75,5.789473684
耗,5.05,6.105263158,3.409090909,3.45,NA,1.736944648,10,10,1,5,4.857142857,5.85,3.217391304,3.45,NA
莉,4.571428571,6.1,2.409090909,2.25,3.263157895,1.848115672,11,1,5,1,4.571428571,6.1,2.409090909,2.25,3.263157895
喻,4.523809524,6.578947368,1.571428571,2.2,5.473684211,1.574970379,12,1,16,2,4.545454545,6.4,1.818181818,2.2,5.473684211
偕,5.6,5.45,1.952380952,2.1579,4.368421053,1.273631607,11,3,4,1,5.380952381,5.45,2.272727273,2.4,4.368421053
俄,4.619047619,5.9,3.090909091,2.4,2.894736842,2.302431861,10,4,6,1,4.619047619,5.9,3.090909091,2.4,2.894736842
野,3.619047619,6.842105263,4.045454545,3.15,NA,2.153240498,11,12,3,4,3.619047619,6.7,4.045454545,3.15,NA
弊,4.8,6,2.818181818,3.15,NA,1.324852765,14,6,4,7,4.619047619,6,2.826086957,3.15,NA
努,2.904761905,6.85,3,2.6,5.526315789,2.008398442,7,3,7,2,2.818181818,6.85,3.045454545,2.6,5.526315789
潔,3.238095238,6.684210526,4.681818182,3.9,5.421052632,1.982978783,15,15,2,4,3.238095238,6.4,4.681818182,3.9,5.421052632
妨,4.666666667,6.421052632,2.636363636,1.9474,2.388888889,1.642313845,7,4,2,2,4.590909091,6.15,2.363636364,2.15,2.631578947
賑,5.523809524,4.95,2.285714286,3.65,5.157894737,0.232856256,14,8,4,1,5.523809524,4.95,2.454545455,3.65,5.157894737
餵,3.380952381,6.736842105,4.954545455,5.2632,6.631578947,1.401648276,17,4,6,1,3.363636364,6.6,4.791666667,5.05,6.631578947
邵,5.666666667,4.75,1.333333333,1.2105,3.105263158,1.556688232,8,0,3,1,5.666666667,4.75,1.5,1.5,3.105263158
媛,5.428571429,4.95,2.772727273,2.35,5.789473684,1.2369088,12,3,4,1,5.5,4.95,2.727272727,2.35,5.789473684
挺,4.238095238,6.263157895,3.772727273,3.75,5.263157895,1.548564267,10,11,1,3,4.238095238,6,3.782608696,3.75,5.263157895
割,4.619047619,6.473684211,4.863636364,4.5,5.947368421,1.611083767,12,11,1,1,4.590909091,6.35,4.727272727,4.5,5.947368421
紮,4.65,6.052631579,4.954545455,4.2,4.210526316,1.502952537,11,7,1,1,4.476190476,5.8,4.954545455,4.2,4.210526316
碩,5.285714286,6.052631579,3.272727273,2.45,4.105263158,1.668969187,14,2,2,1,5.285714286,5.8,3.409090909,2.45,4.105263158
慾,5,6.25,4.409090909,3.35,6.166666667,1.233534311,15,8,10,1,5,6.25,4.454545455,3.35,5.947368421
渣,4.476190476,5.9,4.272727273,3.7,3.526315789,1.635923131,12,7,3,1,4.476190476,5.9,4.045454545,3.7,3.526315789
崩,4.666666667,6.473684211,4.545454545,4.15,5.947368421,1.378499317,11,8,2,1,4.666666667,6.3,4.681818182,4.15,5.947368421
猶,4.714285714,6.315789474,2.909090909,1.8947,2.631578947,1.863315914,12,7,14,1,4.714285714,6.1,2.772727273,2.15,2.631578947
殯,5,6,4.954545455,3.95,5.210526316,1.209148906,18,3,1,2,5,6,5,3.95,5.210526316
礙,4.857142857,6.631578947,3.5,3.25,5.263157895,1.969874867,19,8,1,4,4.857142857,6.5,3.52173913,3.25,5.263157895
屢,5.333333333,5.9,1.380952381,2.5,2.736842105,1.593106396,13,5,9,1,5.333333333,5.9,1.681818182,2.5,2.736842105
爺,1.857142857,6.6,5.181818182,5.15,NA,1.812818391,13,3,3,3,1.857142857,6.6,5.181818182,5.15,NA
歉,3.619047619,6.421052632,3.090909091,3.95,4.842105263,1.866166872,14,5,5,3,3.619047619,6.15,3,3.95,4.842105263
姑,2.952380952,6.894736842,4.090909091,4.15,6.578947368,1.590731574,8,4,6,1,2.952380952,6.75,3.954545455,4.15,6.578947368
哩,4.666666667,5.1,1.2,1.2222,3.894736842,1.477828804,10,0,6,2,4.666666667,5.1,1.681818182,1.7,3.894736842
濱,4.761904762,5.736842105,4.045454545,3.25,5.631578947,1.601607875,17,1,6,2,4.761904762,5.5,4.304347826,3.25,5.631578947
癡,4.85,6.315789474,3.409090909,3.65,5.684210526,1.279765812,19,7,5,3,4.666666667,6.15,3.272727273,3.65,5.684210526
暗,3.142857143,6.842105263,5.090909091,4.7,5.210526316,2.09113021,13,6,0,3,3.142857143,6.75,5.090909091,4.7,5.210526316
喉,3.571428571,6.578947368,5.318181818,5.5789,6.263157895,1.667475053,12,3,2,1,3.571428571,6.45,5.136363636,5.35,6.263157895
遵,4.25,6.15,2.045454545,3.35,2.736842105,1.34940174,16,8,5,1,4.090909091,6.15,2.181818182,3.35,2.736842105
擱,5.571428571,5.2,3.590909091,3.1,5.631578947,1.29532072,17,5,5,2,5.571428571,5.2,3.454545455,3.1,5.631578947
昭,5.571428571,4.95,1.8,1.8947,5,1.534902938,9,8,2,1,5.571428571,4.95,2.363636364,2.1,5
鳳,4.857142857,6,5.409090909,5.5,NA,1.79700429,14,5,1,1,4.857142857,6,5.318181818,5.5,NA
諱,5.523809524,5.2,2.136363636,1.8947,5.210526316,1.119523201,16,5,7,1,5.5,5.2,2.227272727,2.1,5.210526316
澤,4.428571429,5.736842105,4.090909091,3.15,5.105263158,2.100802265,16,9,5,1,4.428571429,5.5,3.913043478,3.15,5.105263158
笨,3.19047619,6.684210526,3.909090909,3.6,2.210526316,1.156650568,11,6,0,1,3.19047619,6.45,3.954545455,3.6,2.210526316
闆,4.333333333,6.2,3.409090909,1.9474,2.388888889,1.936953126,17,1,5,1,4.333333333,6.2,3.347826087,2.15,2.631578947
嫂,4.2,6.684210526,4.590909091,5.1,6.555555556,1.068150392,13,4,1,1,4.047619048,6.5,4.782608696,5.1,6.368421053
懸,5.142857143,5.95,3.909090909,3.6,4.631578947,1.611083767,19,13,17,6,5.136363636,5.95,3.772727273,3.6,4.631578947
狹,4.7,5.5,4.363636364,3.65,2.684210526,1.135946243,10,7,1,4,4.523809524,5.5,4.260869565,3.65,2.684210526
瑟,5.476190476,4.75,2.772727273,2.2632,NA,1.092257273,13,4,5,4,5.476190476,4.75,2.818181818,2.5,NA
粒,3.047619048,6.894736842,5.045454545,4.6,5.473684211,1.78897022,11,7,2,3,3.047619048,6.8,4.909090909,4.6,5.473684211
傭,4.428571429,6.473684211,4.045454545,4.15,5.684210526,1.871657394,13,3,13,3,4.428571429,6.3,4.090909091,4.15,5.684210526
挫,4.857142857,6.315789474,3.727272727,3.15,4.789473684,1.583225433,10,5,1,3,4.857142857,6.05,3.565217391,3.15,4.789473684
曦,5.523809524,5.35,3.363636364,3.25,5.578947368,1.237580562,21,3,14,1,5.454545455,5.35,3.227272727,3.25,5.578947368
彼,4.619047619,6.789473684,2.545454545,1.6316,3.947368421,1.681224359,8,3,5,3,4.619047619,6.65,2.363636364,1.8,3.947368421
窄,4.142857143,6.789473684,5.227272727,4.6,5.052631579,1.594879029,10,3,1,2,4.142857143,6.7,5.090909091,4.6,5.052631579
誰,3.238095238,6.842105263,3.136363636,2.65,2.842105263,2.076886636,15,1,2,1,3.238095238,6.75,3,2.65,2.842105263
熄,4.095238095,6.421052632,4.727272727,4.1,6.052631579,1.282195437,14,3,20,1,4.090909091,6.2,4.681818182,4.1,6.052631579
唯,4.285714286,6.4,1.761904762,2.3684,2.111111111,2.087826139,11,8,9,2,4.285714286,6.4,2.045454545,2.6,2.368421053
煤,4.25,6.578947368,5.727272727,5.65,6.052631579,1.408947515,13,3,7,1,4.090909091,6.4,5.727272727,5.65,6.052631579
艇,4.619047619,6.1,5.857142857,5.7,6.736842105,1.745157007,13,3,0,1,4.619047619,6.1,5.590909091,5.7,6.736842105
擦,3.142857143,6.578947368,4.636363636,4.5,6,1.554428798,17,3,2,2,3.142857143,6.35,4.545454545,4.5,6
催,4,6.315789474,3.909090909,3.85,3.578947368,1.890718487,13,5,6,1,4,6.05,3.782608696,3.85,3.578947368
滋,4.428571429,6.421052632,3.409090909,2.2632,4,1.885465164,12,10,17,2,4.428571429,6.2,3.272727273,2.5,4
淑,4.476190476,6.3,2.523809524,2.2105,2.842105263,1.635386302,11,3,5,1,4.476190476,6.3,2.681818182,2.45,2.842105263
緩,4.7,6.4,3.318181818,3.05,2.947368421,1.981165442,15,11,4,1,4.523809524,6.4,3.304347826,3.05,2.947368421
莊,4.55,6.578947368,3.863636364,3.2,4.578947368,1.968505049,11,7,7,5,4.380952381,6.45,4,3.2,4.578947368
賦,5.25,5.6,2.863636364,2.95,4.263157895,1.223943823,15,7,5,1,5.045454545,5.6,2.772727273,2.95,4.263157895
滯,5.380952381,6,3.681818182,2.95,3.578947368,1.468068967,14,6,0,1,5.380952381,6,3.545454545,2.95,3.578947368
呔,5.142857143,5.4,3.409090909,4,3.210526316,0.60851987,7,0,1,0,5.142857143,5.4,3.181818182,4,3.210526316
悅,4.1,6.157894737,4.227272727,3.2,5.736842105,1.68674767,10,2,6,2,3.954545455,5.9,4.045454545,3.2,5.736842105
凱,4.761904762,5.9,2.095238095,2.0526,NA,1.930739165,12,5,3,2,4.761904762,5.9,2.409090909,2.3,NA
倆,4.2,6.631578947,4,3.8,5.894736842,1.217664757,10,2,1,1,4.047619048,6.45,3.772727273,3.8,5.894736842
鵬,5.047619048,5.6,5.045454545,4.6,6.833333333,1.611935047,19,6,5,1,5.090909091,5.6,5.045454545,4.6,6.684210526
沽,5.476190476,6.105263158,3.227272727,2.75,4.263157895,1.381882819,8,3,6,1,5.476190476,5.85,3.043478261,2.75,4.263157895
逛,4.45,6.5,4.5,4.75,4.789473684,1.287014288,11,3,0,1,4.285714286,6.5,4.318181818,4.75,4.789473684
犧,5.19047619,5.75,2.909090909,2.55,3.947368421,1.366195535,21,3,14,1,5.19047619,5.75,2.954545455,2.55,3.947368421
枉,4.857142857,6.105263158,1.952380952,2.3,2.894736842,0.998385114,8,5,0,5,4.857142857,5.85,2.130434783,2.3,2.894736842
