word_german,valence_mean,valence_sd,arousal_mean,arousal_sd,concrete_mean,concrete_sd,frequency,length,syllables,valence_mean_female,valence_sd_female,arousal_mean_female,arousal_sd_female,concrete_mean_female,concrete_sd_female,valence_mean_male,valence_sd_mean,arousal_mean_male,arousal_sd_mean,concrete_mean_male,concrete_sd_male
Braut,6.322581,2.230741,5.31746,2.198426,2.190476,1.624978,11,5,1,6.181818,2.324523,5.71875,2.203141,1.8125,0.965117,6.482759,2.148433,4.903226,2.150269,2.580645,2.045714
Brett,4.890625,0.892956,2.190476,1.847903,1.66129,1.100574,12,5,1,4.939394,0.826869,2.03125,2.007797,1.5625,0.913607,4.83871,0.969425,2.354839,1.684209,1.766667,1.278019
Brezel,5.625,1.795055,2.555556,1.924191,1.629032,1.14854,16,6,2,5.333333,1.865252,2.53125,2.169947,1.34375,0.653002,5.935484,1.691853,2.580645,1.668816,1.933333,1.460594
Brief,5.809524,1.533046,3.921875,2.477228,1.33871,1.100574,9,5,1,5.69697,1.740777,4.757576,2.716044,1.1875,0.470929,5.933333,1.284747,3.032258,1.852635,1.5,1.502871
Brücke,5.515625,1.490629,2.532258,1.715099,1.365079,0.955487,10,6,2,5.363636,1.616675,2.83871,2.050964,1.25,0.672022,5.677419,1.351224,2.225807,1.257237,1.483871,1.179575
Bruder,6.09375,1.997767,3.890625,2.437258,2.903226,2.316793,9,6,2,6.030303,2.023068,3.727273,2.427354,2.741936,2.235587,6.16129,2.001612,4.064516,2.475688,3.064516,2.421232
Brust,6.380952,1.698468,5.83871,2.43737,1.645161,1.160791,10,5,1,6,1.520691,5.290323,2.208975,1.5625,0.948258,6.8,1.808028,6.387097,2.564858,1.733333,1.362891
Büchse,4.953125,0.998883,2.622951,2.229828,1.793651,1.536216,13,6,2,4.969697,0.529437,2.5,2.01289,1.875,1.699146,4.935484,1.340037,2.741936,2.449051,1.709677,1.370974
Buckel,4.15625,1.644797,3.65625,2.502182,2.460318,1.584455,14,6,2,4.272727,1.700602,3.212121,2.509452,2.59375,1.682153,4.032258,1.601746,4.129032,2.445975,2.322581,1.491914
Büfett,5.875,1.812654,3.746032,2.235839,3.079365,2.295167,14,6,2,5.878788,1.89996,3.625,2.268295,3.15625,2.370645,5.870968,1.746271,3.870968,2.232218,3,2.250926
Bühne,6.047619,1.679368,3.8125,2.329078,1.936508,1.412765,8,5,2,6.090909,1.683813,4.636364,2.382464,1.625,0.941858,6,1.701926,2.935484,1.948255,2.258065,1.73143
Bündel,5.03125,0.835117,2.741936,2.087712,3.174603,2.317811,13,6,2,4.909091,0.804815,2.774194,2.362339,3.375,2.54951,5.16129,0.860108,2.709677,1.810958,2.967742,2.073385
Büro,4.793651,1.345947,2.225807,1.928385,2.758065,2.085748,9,4,2,5,1.089725,2.16129,2.099155,2.9375,2.227938,4.566667,1.568732,2.290323,1.773763,2.566667,1.941974
Busen,6,2.031498,6.52381,2.014921,1.714286,0.905691,12,5,2,5.424242,1.658883,5.666667,2.101587,1.75,0.879883,6.612903,2.231254,7.466667,1.431983,1.677419,0.944708
Butter,4.936508,0.948224,2.306452,1.825042,1.693548,1.064921,12,6,2,4.875,0.793116,2.612903,2.170675,1.75,1.135924,5,1.095445,2,1.36626,1.633333,0.999425
Chance,6.047619,2.231942,5.40625,2.511679,6.967742,2.20259,8,6,2,5.878788,2.381669,5.515152,2.412483,7.28125,2.17366,6.233333,2.07918,5.290323,2.648189,6.633333,2.220334
Chaos,3.765625,1.982,6.047619,2.372073,7.435484,1.921586,10,5,2,3.636364,1.981448,6.121212,2.459136,7.4375,1.74018,3.903226,2.005905,5.966667,2.31164,7.433333,2.128353
Charme,6.634921,2.157519,5.78125,2.104181,7.42623,1.802397,11,6,1,6.515152,2.346823,5.939394,2.030077,7.71875,1.59099,6.766667,1.95965,5.612903,2.201173,7.103448,1.988266
Dach,5.171875,1.120582,2.42623,1.765021,1.580645,1.0643,10,4,1,5.060606,1.170988,2.548387,2.062987,1.5,1.04727,5.290323,1.070624,2.3,1.417866,1.666667,1.093345
Dackel,5.015625,1.397188,2.672131,2.038965,1.460318,0.980872,14,6,2,5.060606,1.248484,2.9,2.440322,1.40625,0.756024,4.967742,1.55957,2.451613,1.567136,1.516129,1.179575
Dame,6.171875,1.964403,4.328125,2.436851,3.333333,2.348644,10,4,2,5.69697,1.928161,3.727273,2.452967,3.8125,2.558194,6.677419,1.904155,4.967742,2.287413,2.83871,2.034646
Damm,5.453125,1.220587,2.920635,2.350714,1.887097,1.368316,11,4,1,5.212121,0.857233,2.65625,2.164365,1.8125,1.203155,5.709677,1.487583,3.193548,2.535342,1.966667,1.542129
Dämon,3.507937,2.487861,6.078125,2.372492,5.84127,2.946876,14,5,2,3.375,2.624328,6.393939,2.499242,6.375,2.392866,3.645161,2.374144,5.741936,2.220627,5.290323,3.378299
Dampf,5.015625,0.604013,2.40625,1.55041,3.322581,2.487834,13,5,1,5.060606,0.609272,2.151515,1.41689,3.16129,2.477859,4.967742,0.604642,2.677419,1.661066,3.483871,2.528121
Dank,6.253968,2.117274,4.671875,2.643078,7.306452,1.955142,10,4,1,6.181818,2.297479,4.848485,2.670688,7.6875,1.554131,6.333333,1.93575,4.483871,2.644125,6.9,2.264417
Daumen,5.046875,0.862438,2.571429,1.956909,1.516129,1.327415,13,6,2,4.969697,0.636634,2.40625,2.013813,1.40625,1.214413,5.129032,1.05647,2.741936,1.914293,1.633333,1.449931
Decke,5.3125,1.367131,2.467742,1.852935,1.634921,1.273826,11,5,2,5.212121,1.53618,2.75,2.109885,1.4375,0.618922,5.419355,1.176837,2.166667,1.5105,1.83871,1.695028
Deckel,4.984375,0.723576,1.984127,1.560522,1.920635,1.734857,13,6,2,4.878788,0.92728,2.0625,1.830521,2.09375,2.100067,5.096774,0.396219,1.903226,1.247794,1.741936,1.264061
Delle,4.609375,1.475914,2.951613,2.27911,2.603175,2.028345,15,5,2,4.787879,1.494941,2.90625,2.414464,2.375,1.809473,4.419355,1.455431,3,2.165561,2.83871,2.23751
Delphin,6.046875,1.794433,3.484375,2.336679,1.492064,1.013983,15,7,2,5.848485,1.583533,3.030303,2.083939,1.40625,0.712079,6.258065,1.999462,3.967742,2.523012,1.580645,1.258947
Denkmal,5.703125,1.465797,3.3125,2.046096,1.936508,1.63503,11,7,1,5.454546,1.3484,3.151515,2.223753,1.8125,1.424158,5.967742,1.55957,3.483871,1.859587,2.064516,1.842742
Depp,3.78125,2.042942,4.984375,2.36705,6.333333,2.495157,15,4,1,3.909091,2.082121,5.030303,2.270529,6.75,2.286002,3.645161,2.025642,4.935484,2.502472,5.903226,2.662766
Dessert,5.967742,1.974989,4.859375,2.46156,2.031746,1.177316,14,7,2,5.625,2.075199,4.727273,2.730301,1.96875,1.149597,6.333333,1.825742,5,2.175623,2.096774,1.220788
Detail,5.328125,1.054916,2.790323,2.20385,6.596774,2.357129,11,6,2,5.090909,1.07132,3.096774,2.612213,7.03125,2.162501,5.580645,0.992445,2.483871,1.690581,6.133333,2.501494
Diele,5.09375,0.987521,2.327869,1.823196,2.730159,2.223093,15,5,2,5.151515,0.870388,2.322581,1.989759,2.75,2.228843,5.032258,1.110071,2.333333,1.667816,2.709677,2.25379
Dildo,4.920635,2.002431,6.453125,2.38999,1.888889,1.637377,18,5,2,4.71875,2.067169,5.727273,2.637147,2.1875,1.803894,5.129032,1.944941,7.225807,1.838653,1.580645,1.408881
Dirne,4.453125,1.93489,4.671875,2.513801,4.571429,2.61333,14,5,2,4.242424,1.820548,4.484849,2.599534,5.21875,2.672855,4.677419,2.055677,4.870968,2.445975,3.903226,2.413225
Disco,6,1.745743,5.46875,2.203668,3.206349,2.701008,12,5,2,5.878788,1.81586,5,2.371708,3.28125,2.605631,6.129032,1.688035,5.967742,1.923259,3.129032,2.837157
Distrikt,4.828125,1.1893,2.380952,1.790914,6,2.750758,15,8,2,4.787879,1.08275,2.53125,2.078839,6.4375,2.551881,4.870968,1.310011,2.225807,1.453953,5.517241,2.923069
Diva,5.6875,1.841971,5.698413,2.36667,5.380952,2.517222,13,4,2,5.69697,1.991935,5.69697,2.417189,5.71875,2.18845,5.677419,1.700727,5.7,2.351082,5.032258,2.810503
Docht,5.109375,1.114368,3.15873,2.470512,1.984127,1.755104,17,5,1,5.030303,0.918043,3.1875,2.468348,2.03125,1.786768,5.193548,1.301777,3.129032,2.513191,1.935484,1.749962
Dorf,4.96875,1.436141,2.532258,1.705514,2.15873,1.705838,9,4,1,5,1.47902,2.75,1.967478,1.96875,1.379209,4.935484,1.412692,2.3,1.368362,2.354839,1.992459
Dose,5.078125,0.741185,2.190476,1.683479,1.460318,0.799706,13,4,2,4.909091,0.522233,2.25,2,1.3125,0.644455,5.258065,0.893224,2.129032,1.310011,1.612903,0.919327
Dozent,5.203125,0.945829,2.984127,2.06735,3.238095,2.56348,13,6,2,5.121212,0.992395,2.75,2.170179,3.0625,2.368306,5.290323,0.901612,3.225807,1.961457,3.419355,2.778179
Draht,4.5625,1.166667,2.507937,1.730868,1.629032,0.853803,13,5,1,4.545455,1.063335,2.71875,1.853234,1.71875,0.92403,4.580645,1.285151,2.290323,1.595693,1.533333,0.776079
Drangsal,3.603175,2.004348,4.40625,2.635043,7.435484,1.789047,17,8,2,3.5625,2.12417,4.212121,2.654684,7.78125,1.408142,3.645161,1.906976,4.612903,2.641684,7.066667,2.083322
Dreck,3.75,2.062515,5.09375,2.486272,2.952381,2.113158,12,5,1,3.606061,2.17858,4.666667,2.520747,2.90625,2.234038,3.903226,1.955417,5.548387,2.406086,3,2.016598
Drogen,3.047619,2.630029,6.793651,2.397302,3.126984,2.151459,10,6,2,2.848485,2.635351,5.969697,2.603902,3.25,2.155264,3.266667,2.651393,7.7,1.784029,3,2.175623
Drohung,3.4375,2.376305,6.507937,2.285106,7.322581,1.862258,11,7,2,3.333333,2.419539,6.69697,2.242834,7.375,1.660742,3.548387,2.364159,6.3,2.351082,7.266667,2.083322
Drucker,5.03125,0.712,2.180328,1.688275,2.532258,2.147952,13,7,2,4.939394,0.658568,2.258065,1.948807,2.625,2.379347,5.129032,0.763411,2.1,1.398275,2.433333,1.906131
Duft,6.290323,1.986736,5.693548,2.577257,5.741936,2.868343,12,4,1,6.25,2.199707,5.69697,2.567645,6.0625,2.895352,6.333333,1.768173,5.689655,2.633621,5.4,2.847867
Dummheit,3.59375,2.021462,5.645161,2.173588,7.870968,1.654441,12,8,2,3.787879,2.204506,5.848485,2.078479,8.0625,1.389767,3.387097,1.819843,5.413793,2.291557,7.666667,1.899788
Dürre,3.75,2.015811,4.203125,2.14683,5.096774,2.622161,13,5,2,3.757576,2.077112,4.121212,2.328594,5.870968,2.459566,3.741936,1.982721,4.290323,1.969662,4.322581,2.586982
Dusche,5.758065,1.930646,3.968254,2.488478,1.571429,0.962428,13,6,2,5.625,2.239672,3.625,2.310565,1.46875,0.841825,5.9,1.561388,4.322581,2.650624,1.677419,1.076634
Echo,5.3125,1.12511,3.890625,2.303325,5.793651,2.754227,11,4,2,5.30303,1.33428,3.878788,2.368512,6.0625,2.711237,5.322581,0.871286,3.903226,2.270901,5.516129,2.81509
Efeu,5.46875,1.447151,2.951613,2.213427,1.650794,1.369704,15,4,2,5.30303,1.590693,3.3125,2.442071,1.5625,1.389767,5.645161,1.279281,2.566667,1.906131,1.741936,1.365473
Effekt,5.3125,1.193567,2.952381,2.011488,6.774194,2.307645,11,6,2,5.030303,1.262063,2.90625,2.319057,7.34375,1.85975,5.612903,1.054433,3,1.67332,6.166667,2.60084
Ehe,5.777778,2.105633,5.746032,2.41613,5.770492,2.783244,10,3,2,5.545455,2.223327,5.545455,2.550624,6.548387,2.350017,6.033333,1.973677,5.966667,2.281611,4.966667,2.999808
Ehre,6.380952,2.239157,4.875,2.353653,8.147541,1.514772,10,4,2,6.363636,2.11864,4.393939,2.221196,8.387097,0.954897,6.4,2.401149,5.387097,2.417677,7.9,1.918153
Ehrung,6.333333,1.934408,5.253968,2.41613,7.66129,1.74566,12,6,2,6.333333,1.931105,4.787879,2.161562,7.65625,1.536846,6.333333,1.971055,5.766667,2.608783,7.666667,1.971055
Eiche,5.1875,1.355471,2.428571,1.981481,1.666667,1.402762,13,5,2,5.363636,1.365151,2.84375,2.515877,1.6875,1.57475,5,1.341641,2,1.095445,1.645161,1.226061
Eifer,5.793651,2.237213,4.96875,2.302302,7.903226,1.339313,12,5,2,5.9375,2.046831,4.515152,2.373305,7.875,1.039541,5.645161,2.443336,5.451613,2.157757,7.933333,1.617434
Einfahrt,5.09375,0.830352,1.983871,1.583645,4.079365,2.62925,13,8,2,5,0.901388,2.03125,1.786768,3.96875,2.72958,5.193548,0.749193,1.933333,1.362891,4.193548,2.561502
Eintritt,5.046875,0.880651,2.714286,1.912848,6,2.781673,10,8,2,5,0.901388,2.59375,2.013813,6.5625,2.354645,5.096774,0.870051,2.83871,1.827508,5.4,3.102835
Eisen,4.703125,1.177564,2.206349,1.815336,2.213115,1.924532,12,5,2,4.727273,1.039012,2.4375,2.25671,2.032258,1.870541,4.677419,1.326326,1.967742,1.19677,2.4,1.993092
Eiter,3.253968,2.355284,6.047619,2.317038,2.612903,2.249625,17,5,2,3.4375,2.601953,6.333333,2.393568,2.65625,2.535037,3.064516,2.096592,5.733333,2.227312,2.566667,1.941974
Ekel,3.3125,2.429155,6.532258,2.147952,7.887097,1.660583,13,4,2,3.363636,2.619854,6.59375,2.380829,7.90625,1.747983,3.258065,2.250448,6.466667,1.907035,7.866667,1.591645
Ekzem,3.269841,2.477032,6.109375,2.679239,3,2.276033,18,5,2,3.21875,2.611814,6.242424,2.761683,3.25,2.540003,3.322581,2.371878,5.967742,2.62658,2.733333,1.964045
Elan,5.873016,1.955077,4.650794,2.34286,7.870968,1.454038,13,4,2,5.575758,1.984791,4.71875,2.372346,7.96875,1.282245,6.2,1.900998,4.580645,2.349102,7.766667,1.633345
Elend,2.919355,2.812725,6.68254,2.2777,6.806452,2.164079,11,5,2,3.0625,2.993946,6.454546,2.526001,6.8125,2.334005,2.766667,2.64814,6.933333,1.981524,6.8,2.006885
Elfe,6.190476,2.006901,4.609375,2.32732,5.096774,2.861329,16,4,2,6.272727,1.972827,4.333333,2.354075,5.125,2.814135,6.1,2.073644,4.903226,2.30007,5.066667,2.95872
Engel,6.71875,2.291937,5.650794,2.59751,4.483871,3.044705,10,5,2,6.666667,2.300362,5.636364,2.678831,4.5625,2.961446,6.774194,2.319622,5.666667,2.550637,4.4,3.179677
Ente,5.555556,1.456662,2.693548,2.100653,1.596774,1.48721,13,4,2,5.606061,1.248484,3,2.286002,1.53125,1.544697,5.5,1.676408,2.366667,1.865907,1.666667,1.446359
Erbse,5.140625,1.180089,1.951613,1.731364,1.444444,1.059181,17,5,2,4.909091,1.128152,2.28125,2.17366,1.3125,0.737804,5.387097,1.202149,1.6,1.003442,1.580645,1.310832
Eule,5.40625,1.317992,2.983871,2.146228,1.714286,1.288016,14,4,2,5.484849,1.325736,3.3125,2.442071,1.4375,0.75935,5.322581,1.326326,2.633333,1.751518,2,1.632993
Fabel,5.52381,1.401119,2.596774,1.664082,4.737705,2.713556,13,5,2,5.606061,1.519445,2.806452,1.956517,5.15625,2.541391,5.433333,1.278019,2.387097,1.308368,4.275862,2.864768
Fackel,5.328125,1.543596,4.03125,2.3836,1.619048,1.197155,14,6,2,5.515152,1.460334,4,2.44949,1.5625,0.75935,5.129032,1.627717,4.064516,2.351389,1.677419,1.535949
Faden,5.0625,0.61399,2.114754,1.761613,1.698413,1.041632,13,5,2,5.060606,0.609272,2.387097,2.044137,1.78125,1.156591,5.064516,0.629046,1.833333,1.391683,1.612903,0.919327
Fähre,5.492064,1.255607,2.396825,1.764705,1.777778,1.590744,12,5,2,5.375,1.385408,2.46875,1.950755,1.875,1.979736,5.612903,1.115868,2.322581,1.578757,1.677419,1.076634
Fahrer,5.328125,1.084592,2.344262,1.878699,3.758065,2.393197,9,6,2,5.393939,0.933387,2.193548,2.0562,4.096774,2.399373,5.258065,1.23741,2.5,1.696853,3.419355,2.377312
Fahrt,5.359375,1.173344,2.460318,1.776417,5.33871,2.804818,10,5,1,5.333333,1.290994,2.65625,1.927883,5.258065,2.851523,5.387097,1.054433,2.258065,1.611785,5.419355,2.802073
Faktor,5.046875,1.030175,2.290323,2.051685,6.412698,2.697878,11,6,2,5.151515,1.064225,2.258065,2.175128,6.78125,2.445989,4.935484,0.997847,2.322581,1.955967,6.032258,2.926703
Falle,3.571429,1.997695,4.78125,2.360177,4.080645,2.72991,11,5,2,3.71875,2.051504,4.484849,2.223753,3.625,2.648798,3.419355,1.962553,5.096774,2.494726,4.566667,2.775302
Farbe,5.777778,1.518111,3.75,2.343515,4.564516,3.033264,10,5,2,5.666667,1.594261,4.272727,2.348839,4.8125,3.073692,5.9,1.446756,3.193548,2.242311,4.3,3.018906
Farmer,5.15625,0.929563,2.229508,1.657241,3.238095,2.441009,13,6,2,4.969697,0.951474,2.375,1.979736,3.34375,2.535037,5.354839,0.877435,2.068966,1.222732,3.129032,2.37686
Faser,4.936508,0.877552,2.557377,1.928078,2.269841,1.64813,15,5,2,5.121212,0.73983,2.774194,2.246622,2.4375,1.966453,4.733333,0.980265,2.333333,1.5387710000000001,2.096774,1.247794
Fass,5.078125,1.276213,2.467742,2.022154,1.587302,1.087093,14,4,1,5,1,2.65625,2.223183,1.5625,0.948258,5.16129,1.529636,2.266667,1.799106,1.612903,1.229564
Fäulnis,3.15625,2.317763,4.920635,2.50999,4.777778,2.690752,16,7,2,3,2.277608,5.454546,2.3991,5.25,2.723849,3.322581,2.38589,4.333333,2.537081,4.290323,2.610154
Fee,6.349206,2.156451,4.3125,2.46161,5.193548,3.171795,14,3,1,6.375,2.268295,4.424242,2.525251,5.3125,3.217267,6.322581,2.071828,4.193548,2.427885,5.066667,3.172439
Feier,6.546875,2.188931,5.15625,2.262312,4.396825,2.738847,11,5,2,6.121212,2.341975,4.606061,2.304064,4.4375,2.711237,7,1.949359,5.741936,2.097105,4.354839,2.811268
Feigling,3.8125,1.859126,5.828125,2.271666,6.126984,2.386062,15,8,2,3.909091,2.097076,5.545455,2.31963,6.34375,2.363832,3.709677,1.595693,6.129032,2.217235,5.903226,2.426999
Feind,3.079365,2.384774,7,2.12319,6.016129,2.53818,10,5,1,3.28125,2.399387,6.606061,2.448716,6.064516,2.555197,2.870968,2.390843,7.419355,1.648721,5.967742,2.562341
Feld,5.171875,1.091885,2.129032,1.750727,2.451613,2.005545,10,4,1,5.30303,1.131505,2.225807,2.124613,2.375,1.979736,5.032258,1.048296,2.032258,1.303428,2.533333,2.063364
Felsen,5.390625,1.304658,3.274194,2.166582,1.258065,0.541264,11,6,2,5.515152,1.563674,3.387097,2.375955,1.25,0.567962,5.258065,0.964978,3.16129,1.968024,1.266667,0.520831
Fenster,5.359375,1.337698,2.290323,1.643538,1.460318,0.667818,9,7,2,5.30303,1.446652,2.46875,1.883449,1.40625,0.665237,5.419355,1.232185,2.1,1.348051,1.516129,0.676805
Ferse,4.953125,0.652947,2.5625,1.876124,1.919355,1.485431,15,5,2,4.939394,0.704423,2.666667,2.217356,2,1.64611,4.967742,0.604642,2.451613,1.456908,1.833333,1.315251
Fessel,3.921875,1.978493,5.6875,2.701411,2.114754,1.592675,15,6,2,3.69697,1.960307,5.636364,2.678831,2.064516,1.787652,4.16129,2.001612,5.741936,2.768486,2.166667,1.391683
Fest,6.380952,2.01949,4.34375,2.344996,4.206349,2.528283,10,4,1,6.4375,2.046831,3.878788,2.328594,4.4375,2.461805,6.322581,2.022986,4.83871,2.296327,3.967742,2.613859
Fete,6.435484,2.139565,5.079365,2.281069,4.52381,2.855991,14,4,2,6.0625,2.299193,4.636364,2.247473,4.8125,2.787501,6.833333,1.913353,5.566667,2.254243,4.225807,2.940631
Fetzen,4.234375,1.715866,4.8125,2.231627,3.68254,2.441743,13,6,2,3.818182,1.424222,4.575758,2.106987,3.65625,2.52228,4.677419,1.904155,5.064516,2.365523,3.709677,2.397131
Fick,4.873016,2.517629,7.234375,2.209232,4.419355,2.843159,17,4,1,4.272727,2.375299,6.272727,2.660742,4.935484,2.670025,5.533333,2.542512,8.258065,0.773207,3.903226,2.959221
Fieber,3.25,2.239615,5.203125,2.276029,5.66129,2.553965,12,6,2,3.515152,2.29294,4.878788,2.394754,6.09375,2.360418,2.967742,2.183024,5.548387,2.126636,5.2,2.708862
Figur,5.546875,1.194295,4.15873,2.528587,3.825397,2.426598,10,5,2,5.363636,1.19421,3.8125,2.278051,3.875,2.392866,5.741936,1.182307,4.516129,2.755249,3.774194,2.499462
Film,5.870968,1.760066,4.796875,2.520895,2.435484,2.061521,8,4,1,5.6875,1.674043,4.757576,2.332251,2.28125,1.921598,6.066667,1.855715,4.83871,2.745867,2.6,2.222146
Filter,5.078125,1.088244,2.262295,2.072853,2.206349,1.393056,13,6,2,5.060606,0.899284,2.16129,2.034646,2.125,1.3137,5.096774,1.274228,2.366667,2.141275,2.290323,1.487583
Finger,5.111111,1.1375,3.625,2.134375,1.412698,0.977735,10,6,2,5,1.244342,3.636364,2.288807,1.28125,0.634206,5.225807,1.023383,3.612903,1.994616,1.548387,1.233929
Fisch,5.40625,1.630257,2.806452,1.809254,1.444444,0.735676,11,5,1,5.424242,1.392621,2.84375,2.033738,1.5,0.803219,5.387097,1.873987,2.766667,1.568732,1.387097,0.667204
Fixer,3.111111,2.450221,6.344262,2.59413,4.555556,2.513048,16,5,2,3.40625,2.525475,5.741936,2.7443,4.9375,2.448667,2.806452,2.372332,6.966667,2.31164,4.16129,2.5573
Flagge,5.03125,1.234025,2.806452,2.055291,1.725807,1.580303,12,6,2,5.121212,0.892944,2.806452,2.08837,1.65625,1.658008,4.935484,1.526117,2.806452,2.0562,1.8,1.517712
Flasche,5.046875,1.361951,2.412698,1.671728,1.396825,0.942538,11,7,2,4.787879,1.218544,2.5625,1.916608,1.34375,0.653002,5.322581,1.469401,2.258065,1.38967,1.451613,1.178663
Fleiss,6.460318,1.941278,4.238095,2.204938,7.725807,1.651322,13,5,1,6.454546,2.151902,4.242424,2.291701,8.15625,1.272776,6.466667,1.71672,4.233333,2.144493,7.266667,1.892514
Flinte,4.0625,1.60233,4.953125,2.66327,2.15873,1.868295,14,6,2,3.69697,1.530622,4.333333,2.890358,2,1.813925,4.451613,1.609114,5.612903,2.260935,2.322581,1.93885
Flirt,6.596774,2.336171,6.412698,2.068465,6.174603,2.399864,14,5,1,6.375,2.511265,6.09375,2.441039,6.59375,2.197644,6.833333,2.150915,6.741936,1.569878,5.741936,2.555618
Fluch,3.253968,2.257377,5.68254,2.428496,7.52381,1.82153,12,5,1,3.28125,2.412794,5.545455,2.265101,8.0625,1.216486,3.225807,2.124613,5.833333,2.627223,6.967742,2.1677
Fluss,5.78125,1.350705,3.269841,2.259077,1.709677,1.136389,12,5,1,5.818182,1.46745,3.65625,2.44434,1.75,1.367833,5.741936,1.23741,2.870968,2.012328,1.666667,0.844182
Fokus,5.3125,1.12511,2.904762,1.989604,6.483871,2.726566,13,5,2,5.333333,1.163687,2.65625,2.025791,6.90625,2.644036,5.290323,1.101319,3.16129,1.951013,6.033333,2.785224
Folie,5.078125,0.741185,2.15,1.592621,2.114754,1.654271,13,5,2,5,0.559017,2.2,1.972221,2.0625,1.721543,5.16129,0.898027,2.1,1.124952,2.172414,1.605103
Folter,2.761905,2.751623,6.790323,1.992915,6.190476,2.551768,12,6,2,3.09375,2.944206,6.53125,2.368944,6.75,2.125119,2.419355,2.540003,7.066667,1.484014,5.612903,2.848127
Fön,5.079365,0.72516,2.296875,1.831642,1.580645,1.222043,16,3,1,4.939394,0.863836,2.69697,2.242834,1.34375,0.93703,5.233333,0.504007,1.870968,1.147227,1.833333,1.440386
Format,5.047619,0.580005,2.064516,1.915176,5.193548,2.862068,12,6,2,4.96875,0.400353,1.875,2.028029,5.125,2.720887,5.129032,0.718421,2.266667,1.799106,5.266667,3.050532
Formel,5.15625,0.979452,2.645161,2.081116,5.822581,3.02733,11,6,2,5.060606,0.609272,2.483871,2.263787,5.967742,2.880785,5.258065,1.264061,2.806452,1.90472,5.677419,3.208188
Fotze,3.1875,2.653988,6.84375,2.191026,2.936508,2.235152,18,5,2,3.121212,2.880512,6.30303,2.417189,3.46875,2.67587,3.258065,2.435402,7.419355,1.784642,2.387097,1.52047
Fracht,4.9375,0.888641,2.606557,2.035343,3.238095,2.414434,13,6,1,4.878788,1.08275,2.354839,1.871691,3.40625,2.576061,5,0.632456,2.866667,2.192988,3.064516,2.2647369999999998
Fratze,3.75,2.174893,5.666667,2.409658,4.746032,2.711792,15,6,2,3.636364,2.30242,5.606061,2.560998,4.9375,2.66322,3.870968,2.061422,5.733333,2.273283,4.548387,2.790922
Freibad,6.079365,2.034395,3.703125,2.14313,2.333333,2.047816,13,7,1,5.969697,2.128451,3.575758,2.179884,2.34375,2.057392,6.2,1.954658,3.83871,2.130677,2.322581,2.071828
Freiheit,7.396825,2.556079,6.619048,2.40583,8.065574,1.973735,9,8,2,7.121212,2.78116,6.212121,2.7699,8.5625,0.800705,7.7,2.291664,7.066667,1.874205,7.517241,2.654117
Freude,6.809524,2.558081,7.015625,2.387083,7.666667,2.125119,9,6,2,6.625,2.859619,7.151515,2.526376,8.0625,1.644885,7,2.236068,6.870968,2.261886,7.258065,2.489548
Freund,6.9375,2.587362,7.111111,2.215132,4.730159,2.846653,9,6,1,6.909091,2.765453,7.090909,2.389608,4.65625,2.846723,6.967742,2.42877,7.133333,2.046584,4.806452,2.89159
Frieden,7.265625,2.829786,6.349206,2.489713,8.290323,1.497398,9,7,2,7.121212,3.007881,6.545455,2.526001,8.6875,0.737804,7.419355,2.66801,6.133333,2.47377,7.866667,1.942862
Frische,6.269841,2.237556,3.761905,2.298066,6.920635,2.119811,13,7,2,6.151515,2.451036,4.21875,2.3791350000000002,7.0625,1.812813,6.4,2.010318,3.290323,2.147767,6.774194,2.418122
Frosch,4.9375,1.232818,3.096774,2.078064,1.460318,0.799706,13,6,1,4.848485,1.227834,3.125,1.979736,1.34375,0.745281,5.032258,1.251236,3.066667,2.211776,1.580645,0.847514
Frucht,5.96875,1.935211,5.171875,2.664015,2.5,2.366086,13,6,1,5.848485,1.905932,4.636364,2.736537,2.5,2.286002,6.096774,1.989218,5.741936,2.502902,2.5,2.487902
Frühling,7,2.64275,5.698413,2.691893,5.822581,3.038141,11,8,2,6.909091,2.843453,5.8125,2.752565,6.129032,3.084822,7.096774,2.454314,5.580645,2.66801,5.516129,3.009662
Frust,3.421875,2.287334,5.825397,2.472688,8.064516,1.212922,12,5,1,3.545455,2.48861,5.575758,2.646109,8.375,0.751343,3.290323,2.084763,6.1,2.279595,7.733333,1.507072
Fülle,5.079365,1.45138,3.6875,2.188534,6.919355,2.328008,11,5,2,5.375,1.497309,3.757576,2.046801,6.875,2.12132,4.774194,1.359159,3.612903,2.361884,6.966667,2.566137
Funzel,4.796875,1.404976,3.333333,2.286002,3.564516,2.413222,18,6,2,4.878788,1.166125,3.53125,2.475485,3.875,2.472429,4.709677,1.636939,3.129032,2.093513,3.233333,2.344227
Furcht,3.453125,2.403237,6.83871,2.026008,7.645161,2.120136,11,6,1,3.545455,2.634992,6.78125,2.253805,8.15625,1.37041,3.354839,2.168692,6.9,1.78789,7.1,2.61758
Furie,3.619048,2.210157,6.34375,2.048761,5.704918,2.703974,16,5,2,3.5,2.527271,6.151515,2.209655,6.5625,2.25671,3.741936,1.861321,6.548387,1.876854,4.758621,2.87421
Furz,3.484375,2.246636,5.640625,2.464782,3.746032,2.687896,17,4,1,3.515152,2.279271,5.545455,2.550624,4.28125,2.931854,3.451613,2.248536,5.741936,2.407872,3.193548,2.329798
