word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,concrete_mean,concrete_sd,imagine_mean,imagine_sd,frequency_words_per_million,frequency_log,frequency_zipf,strokes_1st_character_n,strokes_2nd_character_n,strokes_total_n
品味,taste,4.04,0.74,2.39,1.23,4.5,0.58,3,1.44,3.39,1.26,10.02,2.53,3.4,9,8,17
心思,state of mind,3.86,0.71,2.54,1.1,4.41,0.69,2.82,1.47,3,1.33,9.81,2.52,3.4,4,9,13
需求,demand,3.04,0.51,2.52,1.34,4.5,0.64,3.61,1.1,3.04,1.2,9.78,2.52,3.4,14,7,21
福利,welfare,4.21,0.5,2.93,1.41,4.46,0.64,4.33,0.78,3.96,1.1,9.75,2.51,3.4,13,7,20
局勢,state,2.85,0.46,3.04,1.32,4.19,0.83,3.68,1.22,3.21,1.47,9.69,2.51,3.4,7,13,20
業務,business,2.92,0.48,2.36,1.13,3.81,1.17,4.35,0.63,3.61,1.37,9.69,2.51,3.4,13,11,24
含義,implication,2.96,0.34,2.11,0.96,3.96,1.15,3.04,1.37,2.5,1.29,9.63,2.51,3.4,7,13,20
問候,greetings,3.96,0.81,2.11,0.93,4.25,0.93,3.93,1.3,4.07,1.12,9.45,2.5,3.4,11,10,21
待遇,treatment,3.61,0.79,2.86,1.38,4.12,0.86,3.93,1.02,3.68,1.39,9.45,2.5,3.4,9,12,21
意圖,intent,2.59,0.8,3.07,1.36,4.12,0.77,3.36,1.22,2.75,1.4,9.36,2.5,3.4,13,14,27
本質,nature,3.04,0.52,2.04,0.96,3.93,0.92,3.04,1.29,2.68,1.42,9.24,2.49,3.4,5,15,20
形勢,situation,2.81,0.48,2.81,1.24,4.33,0.73,3.39,1.26,3.18,1.25,9,2.48,3.39,7,13,20
才能,aptitude,4.18,0.72,2.82,1.22,4.44,0.7,3.64,1.31,3.75,1.38,8.82,2.47,3.39,3,10,13
行程,itinerary,3.32,0.82,2.57,1.23,4.36,0.68,4.58,0.5,4.11,1.26,8.82,2.47,3.39,6,12,18
本性,inherent quality,2.96,0.6,2.64,1.19,3.96,0.84,2.5,1.23,2.43,1.29,8.82,2.47,3.39,5,8,13
知覺,perception,3.29,0.71,2.25,1.08,3.81,1.18,3.21,1.26,2.71,1.44,8.7,2.47,3.39,8,20,28
途徑,approach,3.14,0.36,2.04,1.02,4.41,0.69,3.82,1.16,3.07,1.51,8.59,2.46,3.39,10,10,20
名譽,fame,3.84,0.85,2.79,1.27,4.13,0.73,3.03,1.31,3.15,1.2,8.47,2.45,3.39,6,21,27
場所,place,3.06,0.35,1.75,0.95,4.5,0.63,4.32,0.91,4.29,0.74,8.35,2.45,3.39,12,8,20
