word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,concrete_mean,concrete_sd,imagine_mean,imagine_sd,frequency_words_per_million,frequency_log,frequency_zipf,strokes_1st_character_n,strokes_2nd_character_n,strokes_total_n
同類,similar,3.48,0.68,1.9,0.94,4.34,0.77,3.29,1.16,3.29,1.07,4.26,2.16,3.33,6,19,25
招牌,sign,3.71,0.74,2.27,1.01,4.53,0.51,4.2,0.85,4.32,0.65,4.26,2.16,3.33,8,12,20
政權,regime,2.42,0.92,3.19,1.08,4.03,0.85,3.1,1.24,3.16,1.32,4.26,2.16,3.33,9,22,31
善事,good deed,4.4,0.56,1.66,0.86,4.55,0.51,3.35,1.17,3.77,0.73,4.23,2.15,3.33,12,8,20
王牌,trump,4.03,0.8,3.47,1.33,4.41,0.68,3.42,1.12,3.61,1.17,4.23,2.15,3.33,4,12,16
種類,type,3,0,1.6,0.81,4.59,0.5,3.33,1.21,3.23,1.12,4.2,2.15,3.33,14,19,33
心懷,bosom,3.27,0.78,2.13,0.9,3.37,1.27,1.69,0.66,2.16,1.04,4.2,2.15,3.33,4,19,23
心聲,voice,3.58,0.89,2.52,1.26,4.39,0.56,2.73,1.08,2.65,1.25,4.2,2.15,3.33,4,17,21
慣例,convention,3.17,0.6,1.84,0.9,4.33,0.71,3,1.39,3,1.13,4.2,2.15,3.33,14,8,22
訪談,interview,3.1,0.31,1.97,0.89,4.43,0.68,4.17,0.85,3.97,0.8,4.2,2.15,3.33,11,15,26
善意,goodwill,4.48,0.51,2.32,1.33,4.45,0.51,2.81,1.28,3.06,1.24,4.17,2.15,3.33,12,13,25
敵意,hostility,1.33,0.55,4.48,0.63,4.34,0.77,2.97,1.14,3.16,1.21,4.17,2.15,3.33,15,13,28
忠心,loyalty,4.43,0.5,2.52,1.23,4.42,0.67,2.83,1.23,3.29,1.22,4.14,2.14,3.33,8,4,12
鬧劇,farce,2.1,0.98,3.81,0.91,4.36,0.78,3.6,1.22,3.65,1.23,4.14,2.14,3.33,15,15,30
層面,level,3.07,0.37,1.81,0.95,4.13,0.88,2.19,1.01,2.29,1.16,4.14,2.14,3.33,15,9,24
用途,use,3.13,0.35,1.87,0.82,4.45,0.62,3.42,1.23,3.32,1.25,4.11,2.14,3.33,5,10,15
要點,points,3.47,0.51,2.23,1.14,3.97,0.68,2.83,1.21,2.87,1.31,4.11,2.14,3.33,9,17,26
風光,scenery,4.03,0.66,2.32,1.25,4.23,0.57,2.84,0.97,3.13,1.11,4.11,2.14,3.33,9,6,15
防線,line of defense,2.81,0.75,2.58,1.23,3.87,1.06,3.1,1.22,3.13,1.09,4.11,2.14,3.33,6,15,21
副本,copy,3,0,1.65,0.8,4.37,0.72,3.87,1.18,3.77,1.15,4.08,2.14,3.33,11,5,16
慈悲,mercy,4.33,0.55,1.77,0.99,4.5,0.57,2.48,1.21,2.84,1.24,4.02,2.13,3.33,13,12,25
氣象,meteorology,3.13,0.51,1.79,0.73,3.9,0.84,3.53,1.11,3.61,1.09,3.99,2.13,3.33,10,12,22
血緣,consanguinity,3.58,0.72,2.26,1.15,4.53,0.63,3.45,1.06,3.26,1.15,3.99,2.13,3.33,6,15,21
手藝,craft,3.9,0.75,1.94,0.89,4.38,0.78,4.03,0.96,4.13,0.86,3.96,2.12,3.33,4,19,23
話語,discourse,3.13,0.35,1.9,0.88,4.03,0.93,3.52,1.15,3.42,1.2,3.96,2.12,3.33,13,14,27
動態,dynamic,3.38,0.56,2.58,1.46,4.34,0.61,2.97,1.3,3.48,1.09,3.93,2.12,3.33,11,14,25
決策,decision making,3.3,0.6,2.81,1.11,4.29,0.74,3.55,1.12,3.32,1.22,3.93,2.12,3.33,7,12,19
習俗,custom,3.58,0.67,2,0.95,4.42,0.67,3.87,0.86,3.52,1,3.88,2.11,3.33,11,9,20
同感,same feeling,3.87,0.81,2.29,1.19,4.41,0.68,2.61,1.31,2.94,1.21,3.88,2.11,3.33,6,13,19
糾紛,dispute,1.43,0.5,4.16,0.93,4.31,0.81,3.55,1.31,3.77,0.92,3.85,2.11,3.32,8,10,18
備份,backup,3.03,0.42,1.8,0.96,4.33,0.76,3.87,0.97,3.87,0.85,3.85,2.11,3.32,12,6,18
領土,territory,3.1,0.47,2.7,1.12,4.28,0.65,4.34,0.67,4.23,0.63,3.82,2.11,3.32,14,3,17
心願,wish,4.13,0.76,2.58,1.39,4.6,0.56,3.03,1.22,2.9,1.22,3.82,2.11,3.32,4,19,23
守則,rule,3.17,0.59,1.97,0.95,4.38,0.62,3.77,0.8,4.07,0.8,3.82,2.11,3.32,6,9,15
世事,things,2.92,0.65,3.04,1.1,3.88,1.05,2.84,1.46,2.72,1.28,3.82,2.11,3.32,5,8,13
愛意,love,4.71,0.46,3.84,1.34,4.08,0.91,2.64,1.41,3.08,1.35,3.82,2.11,3.32,13,13,26
智能,intelligent,3.68,0.9,2.28,0.89,4.29,0.75,2.88,1.33,2.72,1.14,3.79,2.1,3.32,12,10,22
潛質,potential,4.3,0.7,2.96,1.31,4.39,0.58,2.08,0.97,2.28,1.28,3.79,2.1,3.32,15,15,30
思緒,thought,3.44,0.65,2.72,1.14,4,1.29,2.08,1,2.4,1.08,3.76,2.1,3.32,9,14,23
標語,slogan,3.23,0.43,2.56,1.04,4.54,0.51,4.35,0.88,4.42,0.78,3.76,2.1,3.32,15,14,29
本色,true colour,3.46,0.93,2.42,1.1,3.36,1.35,2.09,0.95,2,0.98,3.76,2.1,3.32,5,6,11
原料,raw material,3.22,0.42,1.83,0.92,3.76,1.09,3.72,1.4,3.8,1.22,3.73,2.1,3.32,10,10,20
環遊,travel around,4.48,0.65,2.88,1.27,4.16,0.94,3.88,0.88,4.17,0.92,3.7,2.09,3.32,17,12,29
濃度,concentration,3,0.43,3,1.22,4.25,0.68,3.72,1.1,3.44,1.23,3.67,2.09,3.32,16,9,25
步驟,step,3.38,0.71,2.17,0.92,4.56,0.65,4.6,0.71,4.36,0.95,3.64,2.09,3.32,7,24,31
概率,probability,2.96,0.95,2.2,1.15,3.96,1.14,3.32,1.63,3.16,1.25,3.61,2.08,3.32,13,11,24
強度,strength,2.96,0.47,3.44,1.16,4.26,0.75,3.56,1.29,3.4,1.22,3.61,2.08,3.32,11,9,20
學術,academic,3.32,0.8,2.16,1.03,4.4,0.65,3.28,1.17,3.52,1.23,3.58,2.08,3.32,16,11,27
共鳴,resonance,4.42,0.5,3.64,1.08,4.42,0.65,2.64,1.19,2.64,1.35,3.55,2.08,3.32,6,14,20
偽證,perjury,1.54,0.78,3.56,1.19,3.2,1.29,3.64,1.22,3.28,1.31,3.52,2.07,3.32,11,19,30
名氣,repute,3.96,0.86,3.04,1.24,4.08,1,3,1.22,3.56,1.33,3.52,2.07,3.32,6,10,16
稱號,title,3.48,0.65,2.08,1.12,4.58,0.5,4.29,0.62,3.6,1.32,3.52,2.07,3.32,14,13,27
假象,illusion,1.96,0.84,3.24,0.97,3.48,1.19,2.08,1,2.44,1.08,3.52,2.07,3.32,11,12,23
法規,legislation,2.79,0.59,2.64,1.22,3.76,1.16,3.84,1.03,3.84,1.11,3.49,2.07,3.32,8,11,19
誠意,sincerity,4.4,0.65,2.96,1.27,4.4,0.71,2.76,1.3,2.48,0.87,3.43,2.06,3.31,13,13,26
權益,rights and interests,3.63,0.71,3.4,1.19,4.17,0.64,3.24,1.16,3.08,1.08,3.43,2.06,3.31,22,10,32
風情,style,4.04,0.55,2.76,1.05,3.8,1.32,2.36,1.22,2.84,1.14,3.43,2.06,3.31,9,11,20
音量,volume,2.96,0.46,2.72,1.34,4.54,0.51,4.28,0.94,4.54,0.88,3.4,2.06,3.31,9,12,21
期末,final,2.52,1.19,4.12,0.83,4.12,0.97,3.96,1.21,3.56,1.26,3.37,2.05,3.31,12,5,17
神志,consciousness,3.21,0.72,2.08,0.95,3.6,1.19,2,1,2.16,1.28,3.37,2.05,3.31,9,7,16
禁令,ban,1.63,0.71,4.04,0.75,3.48,1.23,3.64,1.29,3.8,1.15,3.34,2.05,3.31,13,5,18
口號,catchword,3.5,0.72,3.24,1.33,4.48,0.51,4.42,0.78,4.24,0.88,3.34,2.05,3.31,10,13,23
原型,prototype,3.09,0.42,2.17,1.01,3.24,1.3,2.96,1.37,2.75,1.22,3.34,2.05,3.31,10,9,19
聽力,hearing,3.58,0.72,1.96,0.84,4.54,0.59,3.96,1.1,3.88,1.05,3.31,2.05,3.31,22,2,24
氣概,mettle,3.76,0.88,3.16,1.14,3.52,1.33,2.12,1.01,2.28,1.1,3.28,2.04,3.31,10,13,23
優惠,discount,4.71,0.62,3.24,1.33,4.63,0.49,4.2,0.96,4.12,0.97,3.28,2.04,3.31,17,12,29
事跡,deeds,3.4,0.76,2.44,1.33,4.2,0.87,3.6,1.12,3.64,1.15,3.28,2.04,3.31,8,13,21
軍情,military situation,2,0.96,4.33,0.76,3.16,1.43,3.4,1.15,3.28,1.17,3.28,2.04,3.31,9,11,20
戰線,battlefront,1.8,0.91,4.38,0.77,2.88,1.3,3.2,1.32,3.2,1.38,3.28,2.04,3.31,16,15,31
禮節,courtesy,3.88,0.8,2.24,0.88,3.96,1.31,3.4,1.35,3.4,1.26,3.25,2.04,3.31,17,13,30
記性,memory,3.6,0.82,2.48,0.96,4.58,0.5,3.12,1.3,3.08,1.32,3.19,2.03,3.31,10,8,18
品種,breed,3.22,0.42,2.16,1.07,4.5,0.66,4.25,0.68,4.42,0.65,3.19,2.03,3.31,9,14,23
心術,mind read,2.74,0.86,2.8,1.19,3.16,1.46,1.68,0.75,1.63,0.71,3.19,2.03,3.31,4,11,15
心態,mentality,3.42,0.72,2.25,0.9,4.29,0.69,2.28,0.89,2.68,1.38,3.13,2.02,3.31,4,14,18
錯覺,misconception,1.96,0.62,3,0.87,3.92,1,2.84,1.31,2.6,1.26,3.1,2.02,3.3,16,20,36
意念,motive,3.5,0.72,2.64,0.99,3.68,1.14,2.4,1.26,2.16,1.14,3.1,2.02,3.3,13,8,21
禮儀,etiquette,4,0.87,2.04,0.81,4.46,0.66,3.56,1.04,3.8,0.96,3.1,2.02,3.3,17,15,32
心智,mental,3.44,1,2.16,0.94,4.04,0.84,2.56,1.23,2.6,1.22,3.07,2.01,3.3,4,12,16
風味,flavor,3.92,0.64,2.32,1.14,4.33,0.82,2.72,1.4,2.72,1.34,3.04,2.01,3.3,9,8,17
見解,opinion,3.56,0.65,2.48,1.05,4.39,0.72,3.16,1.25,3.04,1.1,3.04,2.01,3.3,7,13,20
恩惠,grace,4.7,0.47,3.08,1.29,4.12,1.13,3.68,1.14,3.56,1.08,3.01,2,3.3,12,13,25
新型,new type,3.92,0.86,2.88,1.13,3.56,1.42,3.12,1.05,3.2,1.35,3.01,2,3.3,13,9,22
颱風,typhoon,2,1.12,4.42,0.58,4.44,0.65,4.72,0.46,4.67,0.48,3.01,2,3.3,14,9,23
瑣事,trifle,2.21,0.98,2,0.88,4,1.02,3.28,1.57,3.36,1.41,2.98,2,3.3,14,8,22
勝算,the odds,4.41,0.73,3.88,0.83,4.13,0.68,3.04,1.24,2.88,1.24,2.98,2,3.3,12,14,26
款式,style,3.67,0.82,2.2,1.04,4.56,0.65,4.42,0.72,4.28,0.89,2.98,2,3.3,12,6,18
定論,the conclusion,3.28,0.61,2.12,0.93,3.92,0.97,3.44,1.16,2.96,1.27,2.98,2,3.3,8,15,23
冥想,meditation,3.56,1.12,1.64,0.91,3.12,1.33,2.36,1.15,2,1,2.98,2,3.3,10,13,23
事宜,matter arrangement,3,0.43,1.96,1.06,4.17,0.82,3.08,1.15,3.4,1.35,2.95,2,3.3,8,8,16
訣竅,know-how,4.21,0.72,2.76,1.13,3.8,1.38,2.88,1.39,3.04,1.34,2.92,1.99,3.3,11,18,29
言行,words and deeds,3.36,0.57,2.4,1.22,4.42,0.78,3.44,1.08,3.8,1.04,2.92,1.99,3.3,7,6,13
