word_portuguese,translate_word_english,cgram,familiar_mean,concrete_mean,imagine_mean,aoa_mean,aoa_sd,length,silo_n,phonemes,silphom_n,ond,oup,phoneme_density,phonome_up,frequency,frequency_log
Concessão,concession,no,NA,NA,NA,7.66,1.83,9,3,7,3,1,8,2,6,485,2.99
Conclusão,conclusion,no,NA,NA,NA,5.88,1.35,9,3,8,3,0,8,0,7,1426,2.69
Concreto,concrete,no,NA,NA,NA,7.54,1.03,8,3,7,3,0,8,0,7,774,3.15
Concurso,contest,no,NA,NA,NA,5.1,1.36,8,3,7,3,0,6,0,6,1500,2.89
Conduta,conduct,no,NA,NA,NA,6.18,2.26,7,3,6,3,1,7,1,6,437,3.18
Condutor,driver,no,NA,NA,NA,4.4,1.33,8,3,7,3,1,8,0,6,1018,2.64
Congresso,congress,no,NA,NA,NA,8.02,1.07,9,3,7,3,0,9,0,5,855,3.01
Conquista,conquer,no,NA,NA,NA,5.67,1.45,9,3,7,3,1,9,0,7,752,2.93
Construção,construction,no,NA,NA,NA,6.26,1.01,10,3,9,3,1,8,1,6,3961,2.88
Consumo,consumption,no,NA,NA,NA,6.02,1.5,7,3,6,3,0,7,0,6,1575,3.6
Contraste,contrast,no,NA,NA,NA,7.14,1.09,9,3,8,3,0,9,0,6,530,3.2
Controlo,control,no,NA,NA,NA,6.44,1.41,8,3,7,3,0,8,0,5,1875,2.73
Convicção,conviction,no,NA,NA,NA,7.53,1.24,9,3,8,3,1,7,0,6,507,3.27
Convite,invitition,no,NA,NA,NA,4.7,1.39,7,3,6,3,0,6,0,5,651,2.71
Convívio,gathering,no,NA,NA,NA,6.16,1.39,8,3,7,3,0,5,0,6,384,2.81
Coração,heart,no,NA,NA,NA,3.16,1.42,7,3,7,3,5,5,5,5,2213,2.59
Coragem,courage,no,NA,NA,NA,4.94,1.67,7,3,7,3,3,5,4,5,626,3.35
Corredor,runner,no,NA,NA,NA,4.18,1.35,8,3,7,3,1,7,1,6,808,2.8
Correio,mail,no,NA,NA,NA,4.54,1.65,7,3,6,3,2,7,1,6,520,2.91
Conselho,advice,no,NA,NA,NA,6.18,1.43,8,3,6,3,1,8,0,5,1239,2.72
Costume,habit,no,NA,NA,NA,5.68,1.53,7,3,7,3,1,7,2,7,926,3.09
Cozinha,kitchen,no,NA,NA,NA,3.19,1.37,7,3,6,3,1,7,1,6,1315,2.97
Crédito,credit,no,NA,NA,NA,7.27,1.43,7,3,7,3,1,5,0,5,1179,3.12
Criança,child,no,NA,NA,NA,3.34,1.37,7,3,6,2,0,7,0,6,5652,3.07
Crítica,criticism,no,NA,NA,NA,7,1.14,7,3,7,3,1,7,1,7,1471,3.75
Cultura,culture,no,NA,NA,NA,6.02,1.3,7,3,7,3,0,7,1,7,13809,3.17
Década,decade,no,NA,NA,NA,6.61,1.22,6,3,6,3,0,4,0,5,1600,4.14
Decisão,decision,no,NA,NA,NA,5.74,1.08,7,3,7,3,1,6,2,6,3331,3.2
Defeito,defect,no,NA,NA,NA,5.7,1.59,7,3,7,3,2,7,1,7,504,3.52
Defesa,defense,no,NA,NA,NA,6.1,1.22,6,3,6,3,3,6,3,6,2499,2.7
Demissão,resignation,no,NA,NA,NA,7.28,1.43,8,3,7,3,2,7,1,6,507,3.4
Derrota,failure,no,NA,NA,NA,5.28,1.57,7,3,6,3,1,7,0,4,1201,2.71
Descrição,discription,no,NA,NA,NA,5.86,1.34,9,3,9,3,1,7,0,8,491,3.08
Desgraça,disgrace,no,NA,NA,NA,5.36,1.52,8,3,8,3,1,8,0,6,451,2.69
Desporto,sport,no,NA,NA,NA,4.35,1.42,8,3,8,3,1,8,1,6,10871,2.66
Destino,faith,no,NA,NA,NA,5.66,1.67,7,3,7,3,1,7,0,7,1633,4.04
Desvio,deflection,no,NA,NA,NA,5.44,1.59,6,3,6,3,1,6,0,6,505,3.21
Dezembro,december,no,NA,NA,NA,3.44,1.42,8,3,7,3,0,5,0,7,3619,2.7
Dezena,ten,no,NA,NA,NA,4.4,1.26,6,3,6,3,0,5,0,4,1095,3.56
Difusão,diffusion,no,NA,NA,NA,8.28,0.97,7,3,7,3,1,6,1,6,430,3.04
Dimensão,dimension,no,NA,NA,NA,5.76,1.49,8,3,7,3,0,7,1,6,1690,2.63
Direcção,direction,no,NA,NA,NA,5.98,1.39,8,3,7,3,0,6,1,6,3284,3.23
Director,director,no,NA,NA,NA,5.84,1.7,8,3,7,3,1,8,0,6,2127,3.52
Direita,right,no,NA,NA,NA,3.48,1.32,7,3,7,3,1,7,2,7,1036,3.33
Discurso,speech,no,NA,NA,NA,5.86,1.35,8,3,8,3,0,8,0,8,1448,3.02
Distância,distance,no,NA,NA,NA,5.45,1.19,9,3,8,3,0,5,0,8,1596,3.16
Distinção,distinction,no,NA,NA,NA,6.77,1.54,9,3,8,3,0,7,1,6,416,3.2
Dívida,debt,no,NA,NA,NA,5.69,1.34,6,3,6,3,1,3,3,6,1099,2.62
Divisão,division,no,NA,NA,NA,5.35,1.23,7,3,7,3,0,6,0,6,1300,3.04
Doença,disease,no,NA,NA,NA,3.22,1.33,6,3,5,2,0,5,0,4,3015,3.11
Doente,sick,no,NA,NA,NA,2.92,1.59,6,3,5,2,3,6,2,5,1419,3.48
Eleição,election,no,NA,NA,NA,6.17,1.29,7,3,7,3,0,5,0,5,2772,3.15
Eleitor,elector,no,NA,NA,NA,7.58,1.05,7,3,7,3,2,7,1,6,456,3.44
Empate,draw,no,NA,NA,NA,4.88,1.27,6,3,5,3,1,6,2,4,609,2.66
Emprego,job,no,NA,NA,NA,5,1.54,7,3,6,3,0,7,0,5,2200,2.79
Empresa,company,no,NA,NA,NA,5.86,1.5,7,3,6,3,0,7,1,5,7752,3.34
Encargo,charge,no,NA,NA,NA,7.26,1.35,7,3,6,3,0,6,2,5,468,3.89
Encontro,meeting,no,NA,NA,NA,4.74,1.61,8,3,6,3,1,8,0,6,3657,2.67
Ensaio,rehearsal,no,NA,NA,NA,5.4,1.45,6,3,5,3,0,6,0,5,549,3.56
Envio,sending,no,NA,NA,NA,5.41,1.58,5,3,4,3,1,5,0,4,162,2.74
Equipa,team,no,NA,NA,NA,4.27,1.35,6,3,5,3,1,6,0,5,6138,2.21
Escala,scale,no,NA,NA,NA,6.16,1.38,6,3,6,3,7,6,5,6,1024,3.79
Escola,school,no,NA,NA,NA,2.78,1.58,6,3,6,3,10,6,7,6,8296,3.01
Escolha,choice,no,NA,NA,NA,4.08,1.96,7,3,6,3,4,7,2,6,1490,3.92
Escravo,slave,no,2.23,4.76,5.02,6.15,1.01,7,3,7,3,1,7,1,7,486,3.17
Escritor,writer,no,2.05,NA,NA,4.82,1.26,8,3,8,3,2,8,0,7,988,2.69
Espaço,space,no,NA,NA,NA,4.56,1.4,6,3,6,3,0,6,3,5,13522,3
Espanto,amazement,no,2.87,2.28,3.06,5.69,1.52,7,3,6,3,1,7,1,6,411,4.13
Espécie,species,no,NA,NA,NA,6.67,1.43,7,3,7,3,0,7,0,6,2955,2.61
Espelho,mirror,no,1.55,NA,NA,3.23,1.34,7,3,6,3,0,7,0,NA,762,3.47
Esposo,husband,no,NA,NA,NA,5.88,1.48,6,3,6,3,2,6,1,6,449,2.88
Esquema,scheme,no,NA,NA,NA,6.21,1.51,7,3,6,3,0,7,2,5,707,2.65
Estação,station,no,NA,NA,NA,4.42,1.2,7,3,7,3,3,5,3,6,2569,2.85
Estado,state,no,NA,NA,NA,6.04,1.29,6,3,6,3,6,6,7,6,5050,3.41
Estágio,traineeship,no,NA,NA,NA,7.71,1.4,7,3,7,3,1,5,1,5,348,3.7
Estilo,style,no,3.33,2.46,2.6,6.58,1.39,6,3,6,3,2,6,3,6,1519,2.54
Estrada,road,no,NA,NA,NA,4.88,1.49,7,3,7,3,5,7,3,7,1825,3.18
Estrela,start,no,NA,NA,NA,2.92,1.37,7,3,7,3,3,7,1,6,1397,3.26
Evento,event,no,NA,NA,NA,6.62,1.39,6,3,5,3,1,6,2,5,496,3.15
Excesso,excess,no,NA,NA,NA,6.49,1.59,7,3,7,3,1,7,2,7,660,2.7
Êxito,sucess,no,NA,NA,NA,6.36,1.42,5,3,6,3,0,3,0,4,906,2.82
Expansão,expansion,no,NA,NA,NA,6.56,1.47,8,3,8,3,0,7,0,7,901,2.96
Explosão,explosion,no,NA,NA,NA,4.66,1.72,8,3,9,3,0,7,1,8,514,2.96
Expressão,expression,no,NA,NA,NA,5.78,1.56,9,3,9,3,1,8,1,8,2048,2.71
Extensão,extension,no,NA,NA,NA,6.74,1.54,8,3,8,3,1,7,2,7,873,3.31
Fabrico,manufacture,no,NA,NA,NA,6.26,1.12,7,3,7,3,0,7,0,7,571,2.94
Fatia,slice,no,NA,NA,NA,3.74,1.43,5,3,5,3,2,5,0,5,456,2.76
Festival,festival,no,NA,NA,NA,6.29,1.56,8,3,8,3,1,8,1,7,518,2.66
Figura,figure,no,NA,NA,NA,4.1,1.67,6,3,6,3,2,6,2,6,3711,2.72
Finito,finite,no,NA,NA,NA,7,1.47,6,3,6,3,0,4,1,4,24,3.57
Formação,formation,no,NA,NA,NA,6.6,1.34,8,3,8,3,0,6,1,6,3077,1.4
Frequência,frequency,no,NA,NA,NA,6.38,1.52,10,3,9,3,0,6,0,7,1387,3.49
Fronteira,border,no,NA,NA,NA,5.92,1.43,9,3,8,3,1,9,2,8,820,3.14
Fundação,foundation,no,NA,NA,NA,7.66,0.98,8,3,7,3,1,6,1,5,540,2.91
Futebol,football,no,NA,NA,NA,3.1,1.64,7,3,7,3,0,4,0,4,2652,2.73
Galinha,chicken,no,1.74,6.78,6.67,2.38,1.37,7,3,6,3,1,7,1,6,436,3.42
Garrafa,bottle,no,1.32,NA,NA,4.28,1.4,7,3,6,3,1,7,0,5,508,2.64
Género,kind,no,NA,NA,NA,6.22,1.39,6,3,6,3,1,6,1,6,1527,2.71
Governo,government,no,NA,NA,NA,6.12,1.45,7,3,7,3,0,7,0,4,2437,3.18
Grandeza,greatness,no,NA,NA,NA,5.84,1.54,8,3,7,3,0,7,0,5,585,3.39
Guloso,greedy,no,NA,NA,NA,3.5,1.73,6,3,6,3,0,6,4,4,30,2.77
Hospital,hospital,no,NA,NA,NA,3.13,1.56,8,3,7,3,0,8,0,4,1585,1.49
Ideia,idea,no,NA,NA,NA,4.08,1.73,5,3,5,3,0,4,0,4,4721,3.2
Igreja,church,no,NA,NA,NA,3.04,1.41,6,3,6,3,0,6,0,4,1615,3.67
Ilusão,illusion,no,NA,NA,NA,6.38,1.69,6,3,6,3,2,5,5,5,482,3.21
Imagem,image,no,NA,NA,NA,4,1.58,6,3,6,3,0,5,0,3,5822,2.68
Imortal,immortal,no,NA,NA,NA,6.3,1.75,7,3,7,3,2,7,2,6,52,3.77
Imóvel,immobile,no,NA,NA,NA,7.26,0.83,6,3,6,3,1,3,1,3,537,1.72
Impacto,impact,no,NA,NA,NA,5.94,1.58,7,3,6,3,0,6,2,4,699,2.73
Imprensa,press,no,NA,NA,NA,6.92,1.03,8,3,6,3,0,6,1,4,1676,2.85
Impressão,impression,no,NA,NA,NA,6.88,1.31,9,3,7,3,1,8,1,6,1039,3.22
Impulso,impulse,no,NA,NA,NA,6.48,1.47,7,3,6,3,1,7,1,6,409,3.02
Incêndio,fire,no,NA,NA,NA,4.42,1.44,8,3,6,3,0,4,0,6,907,2.61
Indústria,industry,no,NA,NA,NA,5.98,1.22,9,3,8,3,0,4,0,8,1892,2.96
Infiel,unfaithful,no,NA,NA,NA,7.47,1.29,6,3,5,2,0,5,1,3,53,3.28
Injusto,unfair,no,NA,NA,NA,5.5,1.4,7,3,6,3,0,7,1,6,222,1.73
Intenção,intention,no,NA,NA,NA,6.63,1.13,8,3,6,3,1,6,2,5,1397,2.35
Janela,window,no,NA,NA,NA,2.4,1.43,6,3,6,3,3,6,3,6,2060,3.15
Jogador,player,no,NA,NA,NA,3.8,1.34,7,3,7,3,0,6,0,4,3262,3.31
Jornada,journey,no,NA,NA,NA,6.4,1.78,7,3,7,3,2,7,2,6,1754,3.51
Juízo,judgement,no,NA,NA,NA,4.08,1.94,5,3,5,2,0,3,0,4,429,3.24
Justiça,justice,no,3,1.8,2.71,5.44,1.63,7,3,7,3,1,7,1,7,1776,2.63
Lateral,lateral,no,NA,NA,NA,6.34,1.21,6,3,6,3,3,6,3,6,385,3.25
Ligação,connection,no,NA,NA,NA,5.88,1.39,7,3,7,3,2,5,2,5,2196,2.59
Limite,limit,no,NA,NA,NA,6.02,1.7,6,3,6,3,0,6,0,6,1486,3.34
Linguagem,language,no,NA,NA,NA,5.42,1.33,9,3,8,3,0,7,0,6,1024,3.17
Litoral,seaside,no,NA,NA,NA,5.83,1.46,7,3,7,3,1,5,1,6,460,3.01
Mandato,mandate,no,NA,NA,NA,7.92,0.89,7,3,6,3,0,7,0,5,1014,2.66
Manteiga,butter,no,2,NA,NA,2.82,1.2,8,3,7,3,0,8,0,7,846,3.01
Máquina,machine,no,2.17,6.18,5.35,3.98,1.67,7,3,6,3,0,3,0,4,1875,2.93
Marcador,marker,no,NA,NA,NA,3.54,1.95,8,3,8,3,1,6,1,6,623,3.27
Marido,husband,no,2.13,4.8,4.42,4.26,1.52,6,3,6,3,0,5,1,5,1888,2.8
Massacre,massacre,no,NA,NA,NA,7.6,1.01,8,3,7,3,0,8,0,5,392,3.28
Medalha,medal,no,NA,NA,NA,5,1.48,7,3,6,3,0,5,0,4,452,2.59
Menino,little boy,no,NA,NA,NA,1.79,1.34,6,3,6,3,0,6,0,6,2321,2.66
Mercado,market,no,NA,NA,NA,4.26,1.65,7,3,7,3,2,7,1,6,4890,3.37
Metade,half,no,NA,NA,NA,3.24,1.24,6,3,6,3,0,5,0,5,1649,3.69
Método,method,no,NA,NA,NA,6.08,1.99,6,3,6,3,0,4,0,4,1528,3.22
Milénio,millenium,no,NA,NA,NA,6.38,1.63,7,3,7,3,0,5,0,5,1011,3.18
Minuto,minute,no,NA,NA,NA,3.84,1.45,6,3,6,3,2,6,2,6,3478,3.01
Mistério,mystery,no,NA,NA,NA,5.84,1.57,8,3,8,3,0,5,0,7,668,3.54
Miúdo,kid,no,NA,NA,NA,4.07,1.45,5,3,5,2,1,5,2,5,910,2.83
Modelo,model,no,NA,NA,NA,5.33,1.64,6,3,6,3,0,6,0,5,2211,2.96
Momento,moment,no,NA,NA,NA,5.13,1.77,7,3,6,3,1,7,2,6,5817,3.34
Montante,amount,no,NA,NA,NA,7.41,1.37,8,3,6,3,0,7,1,5,754,3.76
Mudança,change,no,NA,NA,NA,5.33,1.43,7,3,6,3,0,5,0,4,1823,2.88
Muralha,wall,no,NA,NA,NA,5.48,1.64,7,3,6,3,0,6,2,5,464,3.26
Música,music,no,NA,NA,NA,2.5,1.36,6,3,6,3,1,6,1,6,2491,2.67
Navio,ship,no,2.11,NA,NA,3.72,1.72,5,3,5,3,1,4,1,4,891,3.4
Negócio,business,no,NA,NA,NA,6,1.92,7,3,7,3,0,4,0,4,2041,2.95
Notável,remarkable,no,NA,NA,NA,7.2,1.12,7,3,7,3,1,5,1,7,709,3.31
Notícia,news,no,NA,NA,NA,4.98,1.5,7,3,7,3,0,4,0,7,1763,2.85
Novembro,november,no,NA,NA,NA,3.92,1.26,8,3,7,3,0,5,0,5,2491,3.25
Obeso,obese,no,NA,NA,NA,6.73,1.63,5,3,5,3,0,5,0,3,33,3.4
Obeso,obese,no,NA,NA,NA,6.73,1.63,5,3,5,3,0,5,0,3,33,1.52
Oferta,offer,no,NA,NA,NA,5,1.62,6,3,6,3,1,6,0,3,894,1.53
Ofício,trade,no,NA,NA,NA,6.54,1.5,6,3,6,3,0,4,0,6,457,2.95
Orelha,ear,no,1.32,NA,NA,2.02,0.96,6,3,5,3,2,3,2,4,453,2.66
Origem,origin,no,NA,NA,NA,6.17,1.29,6,3,6,3,0,5,0,5,2926,2.66
Orquestra,orchestra,no,NA,NA,NA,6.14,1.44,9,3,8,3,1,9,0,4,551,3.47
Outubro,october,no,NA,NA,NA,4.13,1.18,7,3,6,3,0,4,0,4,2786,2.74
Ouvido,ear,no,NA,NA,NA,2.43,1.34,6,3,5,3,1,5,2,4,578,3.45
Página,page,no,NA,NA,NA,4.48,1.28,6,3,6,3,0,3,0,4,19173,2.76
Paisagem,landscape,no,NA,NA,NA,5.16,1.66,8,3,8,3,1,7,0,5,1054,4.28
Paragem,stop,no,NA,NA,NA,5.22,1.82,7,3,7,3,2,5,2,5,515,3.02
Partida,departure,no,NA,NA,NA,4.21,1.7,7,3,7,3,1,7,2,7,1796,2.71
Partido,party,no,NA,NA,NA,5.4,2.62,7,3,7,3,1,7,1,7,3745,3.25
Passagem,passage,no,NA,NA,NA,5.56,1.55,8,3,7,3,3,8,2,5,1922,3.57
Pássaro,bird,no,NA,NA,NA,2.18,1.16,7,3,6,3,0,4,0,5,564,3.28
Passeio,sidewalk,no,NA,NA,NA,2.98,1.49,7,3,6,3,1,6,2,5,999,2.75
Pavilhão,pavilion,no,NA,NA,NA,5.36,1.24,8,3,7,3,0,5,0,5,854,3
Percurso,course,no,NA,NA,NA,6.14,1.2,8,3,8,3,0,6,0,6,1063,2.93
Perfume,perfume,no,1.47,NA,NA,4.07,1.3,7,3,7,3,0,7,0,7,643,3.03
Pergunta,question,no,NA,NA,NA,3.25,1.34,8,3,7,3,1,8,0,7,1447,2.81
Pescador,fisherman,no,1.74,NA,NA,4.14,1.54,8,3,8,3,1,7,1,6,746,3.16
Pesquisa,research,no,NA,NA,NA,6.67,1.14,8,3,7,3,1,8,0,7,4787,2.87
Piloto,pilot,no,NA,NA,NA,4.45,1.72,6,3,6,3,2,6,1,5,726,3.68
Pimenta,pepper,no,2.74,NA,NA,4.48,1.57,7,3,6,3,1,7,2,6,895,2.86
Pintura,painting,no,NA,NA,NA,3.5,1.63,7,3,6,3,2,5,2,5,1081,2.95
Piscina,swimmingpool,no,NA,NA,NA,3.56,1.33,7,3,7,3,0,6,0,6,484,3.03
Planície,plain,no,NA,NA,NA,6.44,1.16,8,3,8,3,0,5,0,6,534,2.69
Plástico,plastic,no,NA,NA,NA,4.36,1.47,8,3,8,3,2,8,2,8,395,2.73
Plenário,plenary,no,NA,NA,NA,8.27,0.91,8,3,8,3,0,5,0,5,215,2.6
Pormenor,detail,no,NA,NA,NA,7.15,1.38,8,3,8,3,0,8,0,7,997,2.33
Porta-voz,representative,no,NA,NA,NA,7,1.25,8,3,8,3,0,7,0,6,556,3
Porteiro,doorkeeper,no,2.16,NA,NA,4.71,1.55,8,3,8,3,3,6,1,6,206,2.75
Português,portuguese,no,NA,NA,NA,4.33,1.29,9,3,8,3,0,8,0,7,1971,2.32
Posição,position,no,NA,NA,NA,5.4,1.39,7,3,7,3,2,5,4,6,3875,3.29
Potência,power,no,NA,NA,NA,7,1.81,8,3,7,3,0,4,1,7,789,3.59
Poupança,savings,no,NA,NA,NA,5.76,1.88,8,3,6,3,0,6,0,4,982,2.9
Prática,practice,no,NA,NA,NA,5.42,1.49,7,3,7,3,1,7,1,7,2128,2.99
Prestação,instalment,no,NA,NA,NA,7.86,1.11,9,3,9,3,0,7,0,7,774,3.33
Prestígio,prestige,no,NA,NA,NA,7.45,1.4,9,3,9,3,0,6,0,9,472,2.89
Príncipe,prince,no,NA,NA,NA,2.83,1.3,8,3,7,3,0,3,0,7,560,2.67
Princípio,beginning,no,NA,NA,NA,5.07,1.68,9,3,8,3,1,9,1,8,3373,2.75
Problema,problem,no,NA,NA,NA,4.17,1.45,8,3,8,3,0,8,0,6,8050,3.53
Procura,search,no,NA,NA,NA,4,1.89,7,3,7,3,1,7,0,7,2090,3.91
Produto,product,no,NA,NA,NA,5.96,1.19,7,3,7,3,1,7,0,7,3970,3.32
Professor,teacher,no,1.47,NA,NA,3.27,1.09,9,3,8,3,1,9,1,7,3082,3.6
Profissão,profession,no,2.37,4.18,3.13,4.46,1.29,9,3,8,3,1,8,1,7,827,3.49
Progresso,progress,no,3.23,2.62,2.44,6.56,1.33,9,3,8,3,1,9,0,6,945,2.92
Promotor,promoter,no,NA,NA,NA,6.7,1.93,8,3,8,3,0,6,1,6,281,2.98
Proporção,proportion,no,NA,NA,NA,7.66,0.72,9,3,9,3,0,8,1,8,519,2.45
Protecção,protection,no,NA,NA,NA,5.9,1.59,9,3,8,3,1,7,1,7,1378,2.72
Província,province,no,NA,NA,NA,6.52,1.17,9,3,8,3,0,5,0,8,979,3.14
Público,public,no,NA,NA,NA,5.02,1.49,7,3,7,3,0,7,0,7,10815,2.99
Receio,fear,no,NA,NA,NA,6.02,1.56,6,3,6,3,2,6,1,6,614,4.03
Reflexão,reflection,no,NA,NA,NA,7.31,1.45,8,3,8,3,1,7,1,7,669,2.79
Reforma,retirement,no,NA,NA,NA,6.6,1.41,7,3,7,3,1,7,0,4,1425,2.83
Região,region,no,NA,NA,NA,5.06,1.32,6,3,6,2,1,5,0,4,7154,3.15
Regime,regime,no,NA,NA,NA,6.36,1.76,6,3,6,3,0,6,0,6,2151,3.85
Registo,registration,no,NA,NA,NA,5.76,1.74,7,3,7,3,0,7,0,7,884,3.33
Relevo,relief,no,NA,NA,NA,7.06,1.66,6,3,6,3,0,6,0,5,701,2.95
Relógio,clock,no,1.12,6.6,6.6,3.6,1.35,7,3,7,3,0,4,0,4,761,2.85
Relvado,lawn,no,NA,NA,NA,3.69,1.67,7,3,7,3,0,6,0,6,451,2.88
Repente,sudden,no,NA,NA,NA,5.74,1.93,7,3,6,3,2,7,2,6,1074,2.66
Respeito,respect,no,NA,NA,NA,4.66,1.89,8,3,8,3,2,8,2,8,2384,3.03
Restante,remaining,no,NA,NA,NA,6.22,1.46,8,3,7,3,1,6,1,5,1227,3.38
Retrato,portrait,no,NA,NA,NA,4.94,1.14,7,3,7,3,0,7,0,7,659,3.09
Revista,magazine,no,2.05,NA,NA,3.98,1.49,7,3,7,3,2,7,0,7,1244,2.82
Revolta,revolt,no,NA,NA,NA,6.02,1.44,7,3,7,3,2,7,0,6,581,3.1
Riqueza,fortune,no,NA,NA,NA,5.1,1.53,7,3,6,3,0,3,1,4,873,2.76
Ritual,ritual,no,NA,NA,NA,6.54,1.58,6,3,6,2,0,4,0,4,394,2.94
Romance,romance,no,NA,NA,NA,6.98,0.84,7,3,6,3,0,7,0,6,786,2.6
Ruído,noise,no,NA,NA,NA,5.06,1.93,5,3,5,2,0,4,2,5,726,2.9
Saída,exit,no,NA,NA,NA,3.26,1.26,5,3,5,3,2,3,2,4,2082,2.86
Salário,salary,no,NA,NA,NA,6.02,1.54,7,3,7,3,0,4,1,5,928,3.32
Sapato,shoe,no,1.32,NA,NA,2.19,1.21,6,3,6,3,0,6,0,5,677,2.97
Saúde,health,no,NA,NA,NA,4.21,1.51,5,3,5,3,0,3,0,3,2738,2.83
Sedutor,seductive,no,NA,NA,NA,7.39,1.24,7,3,7,3,1,5,1,5,67,3.44
Segredo,secret,no,NA,NA,NA,2.98,1.04,7,3,7,3,1,7,1,5,850,1.83
Semana,week,no,NA,NA,NA,3.12,1.25,6,3,6,3,1,6,0,6,6141,2.93
Semestre,semester,no,NA,NA,NA,7.7,1.5,8,3,8,3,0,8,0,4,301,3.79
Sensação,feeling,no,NA,NA,NA,6.03,1.51,8,3,7,3,0,6,1,6,753,2.48
Sentido,sense,no,NA,NA,NA,7,1.21,7,3,6,3,0,6,1,5,4856,2.88
Sequência,sequency,no,NA,NA,NA,6.34,1.27,9,3,8,3,0,5,0,8,1254,3.69
Síntese,synthesis,no,NA,NA,NA,7.06,1.24,7,3,6,3,0,4,0,5,459,3.1
Sistema,system,no,NA,NA,NA,6.94,1.64,7,3,7,3,0,7,0,5,5690,2.66
Solução,solution,no,NA,NA,NA,5.76,1.39,7,3,7,3,1,6,0,6,2392,3.76
Sondagem,poll,no,NA,NA,NA,7.52,1.49,8,3,7,3,0,6,0,5,543,3.38
Sorriso,smile,no,NA,NA,NA,2.88,1.72,7,3,6,3,0,6,0,5,1150,2.74
Subida,climb,no,NA,NA,NA,3.98,2.03,6,3,6,3,0,5,0,5,1024,3.06
Subsídio,subsidy,no,NA,NA,NA,6.98,1.55,8,3,8,3,0,5,0,8,739,3.01
Sugestão,suggestion,no,NA,NA,NA,6.57,1.27,8,3,8,3,0,7,0,7,519,2.87
Suicídio,suicide,no,NA,NA,NA,6.88,1.75,8,3,8,3,0,5,0,7,287,2.72
Suporte,support,no,NA,NA,NA,6.31,1.37,7,3,7,3,0,7,0,4,406,2.46
Surpresa,surprise,no,NA,NA,NA,3.24,1.17,8,3,8,3,1,8,1,8,1082,2.61
Suspeita,suspician,no,NA,NA,NA,6.78,1.54,8,3,8,3,2,8,1,8,455,3.03
Suspensão,suspension,no,NA,NA,NA,7.1,0.84,9,3,8,3,1,8,0,7,491,2.66
Tabela,table,no,NA,NA,NA,5.41,1.51,6,3,6,3,2,6,1,5,666,2.69
Talento,talent,no,NA,NA,NA,5.58,1.55,7,3,6,3,1,7,1,6,429,2.82
Técnica,technique,no,NA,NA,NA,6.65,1.68,7,3,7,3,1,7,1,7,1273,2.63
Telhado,roof,no,NA,NA,NA,4.42,1.31,7,3,6,3,1,6,1,4,420,3.11
Tendência,tendency,no,NA,NA,NA,7.38,1.25,9,3,7,3,1,5,2,7,1642,2.62
Ternura,tenderness,no,NA,NA,NA,5.02,2.04,7,3,7,3,0,5,0,4,409,3.22
Terreno,ground,no,NA,NA,NA,4.84,1.4,7,3,6,3,0,6,0,4,2553,2.61
Título,title,no,NA,NA,NA,5.02,1.62,6,3,6,3,0,4,0,6,2645,3.41
Tomada,capture,no,NA,NA,NA,4.1,1.52,6,3,6,3,2,5,3,5,647,3.42
Tráfego,traffic,no,NA,NA,NA,7.71,1.29,7,3,7,3,0,5,0,5,398,2.81
Tragédia,tragedy,no,2.9,2.38,3.19,6.88,1.26,8,3,8,3,0,5,0,6,757,2.6
Trânsito,traffic,no,NA,NA,NA,5.26,1.63,8,3,7,3,0,6,1,7,1065,2.88
Transmissão,transmission,no,NA,NA,NA,7.02,1.47,11,3,9,3,0,10,0,8,781,3.03
Tratado,treaty,no,NA,NA,NA,6.66,1.45,7,3,7,3,1,7,1,6,487,2.89
Treinador,coach,no,NA,NA,NA,5.02,1.27,9,3,9,3,0,7,0,6,1887,2.69
Tristeza,sadness,no,NA,NA,NA,4.2,1.75,8,3,8,3,0,7,0,6,495,3.28
Triunfo,triumph,no,NA,NA,NA,6.84,1.33,7,3,6,2,1,7,1,6,818,2.7
Turista,tourist,no,NA,NA,NA,5.35,1.33,7,3,7,3,2,6,3,7,654,2.91
Utente,user,no,NA,NA,NA,7.4,1.48,6,3,5,3,0,5,1,4,538,2.82
Vantagem,advantage,no,NA,NA,NA,4.82,1.47,8,3,7,3,0,6,1,4,1666,2.73
Vencedor,winner,no,NA,NA,NA,4.42,1.11,8,3,7,3,1,6,1,4,734,3.22
Vestígio,trace,no,NA,NA,NA,7.24,1.08,8,3,8,3,0,6,0,6,642,2.87
Viagem,trip,no,NA,NA,NA,4.3,1.23,6,3,6,2,2,4,1,4,2449,2.81
Virtude,virtue,no,NA,NA,NA,6.75,1.49,7,3,7,3,0,6,0,5,690,3.39
Vítima,victim,no,NA,NA,NA,6.19,1.5,6,3,6,3,0,4,0,6,1732,2.84
Vizinho,neighbour,no,NA,NA,NA,3.76,1.44,7,3,6,3,0,7,0,6,480,3.24
Vocação,vocation,no,NA,NA,NA,8.34,0.77,7,3,7,3,3,5,4,5,354,2.68
Volante,steering wheel,no,NA,NA,NA,4.7,1.86,7,3,6,3,1,5,1,4,217,2.55
Vontade,will,no,3.1,2,2.23,3.9,1.62,7,3,6,3,0,3,1,2,2119,2.34
Votação,voting,no,NA,NA,NA,6.73,1.54,7,3,7,3,6,5,7,4,568,3.33
