word_portuguese,translate_word_english,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_s_mean,frequency_s_sd,length,syllables,syllabic_structure,pos,wordform_per_million_frequency,wordform_per_million_frequency_log10,frequency_zipf,orthographic_neighborhood_size,orthographic_levenshtein_distance
emergência,emergency,4.64,1.63,3.83,1.8,4.33,1.41,10,4,V.CVC.CVC.CVV,N,34.403,1.549,4.537,1,2.7
emigração,emigration,4.18,1.74,4,1.94,4.23,1.31,9,4,V.CV.CCV.CVV,N,14.168,1.181,4.151,2,2.5
emissão,emission,3.3,1.75,3.78,1.74,4.04,1.43,7,3,V.CVC.CVV,N,49,1.699,4.69,1,2
emoção,emotion,3.81,2.02,3.07,1.86,5.14,1.47,6,3,V.CV.CVV,N,24.51,1.407,4.389,0,1.95
emocional,emotional,3.67,1.86,2.44,1.41,4.66,1.47,9,5,V.CV.CV.V.CVC,ADJ,9.702,1.03,3.987,2,2.05
empate,draw,4.11,1.69,4.12,1.87,4.39,1.23,6,3,VC.CV.CV,"N,V",41.076,1.624,4.614,3,1.7
empenhado,engaged,4.18,1.97,3.3,1.73,5.49,1.26,9,4,VC.CV.CCV.CV,"ADJ,V",10.621,1.065,4.026,2,1.75
empenho,commitment,3.52,1.81,3.23,1.77,5.1,1.17,7,3,VC.CV.CCV,"N,V",18.999,1.301,4.279,3,1.65
empregado,waiter,5.43,1.42,5.03,1.75,5.3,1.2,9,4,VC.CCV.CV.CV,"ADJ,N,V",5.393,0.806,3.732,1,1.8
emprego,employment,4.45,1.96,4.53,1.65,6.13,1.06,7,3,VC.CCV.CV,"N,V",112.871,2.056,5.053,1,1.85
empreitada,enterprise,3.61,1.78,4.02,1.68,2.75,1.24,10,4,VC.CCVV.CV.CV,"N,V",14.275,1.184,4.155,2,2
empresa,company,4.95,1.86,5.3,1.4,5.54,1.17,7,3,VC.CCV.CV,"N,V",464.382,2.668,5.667,1,1.85
empresário,businessman,4.81,1.99,5.22,1.81,4.4,1.4,10,4,VC.CCV.CV.CVV,"ADJ,N",50.48,1.712,4.703,1,2.75
empréstimo,loan,3.51,2.08,4.02,1.67,4.08,1.43,10,4,VC.CCVC.CV.CV,N,28.272,1.466,4.451,0,3.35
encanto,delight,3.9,1.95,3.05,1.7,4.42,1.33,7,3,VC.CVC.CV,"N,V",6.84,0.894,3.835,3,1.65
encargo,charge,2.68,1.76,3.51,1.56,3.5,1.44,7,3,VC.CVC.CV,N,4.47,0.738,3.65,1,1.85
encéfalo,encephalon,4.76,2,5.23,1.94,2.53,1.21,8,4,VC.CV.CV.CV,N,0.21,0.083,2.322,0,2.75
encenação,staging,4.23,1.78,3.53,1.44,3.05,1.23,9,4,VC.CV.CV.CVV,N,31.159,1.507,4.494,2,2.4
encenador,stage manager,4.45,1.93,4.64,1.65,2.57,0.99,9,4,VC.CV.CV.CVC,N,18.687,1.294,4.272,2,1.8
encerramento,closing,3.71,2.06,3.38,1.81,4.18,1.2,12,5,VC.CVC.CV.CVC.CV,N,60.847,1.791,4.784,1,2.25
encontro,meeting,4.19,1.71,3.61,1.76,5.21,1.33,8,3,VC.CVC.CCV,"N,V",290.019,2.464,5.462,2,1.85
endereço,address,4.1,1.72,4.15,2.19,4.93,1.4,8,4,VC.CV.CV.CV,"N,V",4.9,0.771,3.69,2,2.05
endinheirado,wealthy,4.14,2.04,4.07,1.79,2.74,1.39,12,5,VC.CV.CCVV.CV.CV,ADJ,0.195,0.078,2.291,1,3.45
energia,energy,3.97,1.96,3.68,1.86,5.53,1.14,7,4,V.CVC.CV.V,N,74.77,1.88,4.874,2,1.85
enérgico,energetic,3.95,1.75,3.53,1.58,4.26,1.22,8,4,V.CVC.CV.CV,ADJ,1.827,0.451,3.262,1,2.5
enfadonho,boring,3.13,1.62,3.14,1.68,3.02,1.37,9,4,VC.CV.CV.CCV,ADJ,0.469,0.167,2.671,1,2.75
enfarte,stroke,4.03,1.79,4.44,1.72,2.93,1.11,7,3,VC.CVC.CV,"N,V",1.803,0.448,3.256,3,1.8
enfermagem,nursing,4.7,1.82,4.76,1.65,4.1,1.56,10,4,VC.CVC.CV.CVC,N,6.424,0.871,3.808,1,2.65
enfermaria,ward,5.17,1.74,5.86,1.16,3.48,1.17,10,5,VC.CVC.CV.CV.V,"N,V",2.399,0.531,3.38,0,2.25
enfermeiro,nurse,6.12,1.17,6.4,0.87,4.48,1.25,10,4,VC.CVC.CVV.CV,N,3.278,0.631,3.516,1,2.7
enfermidade,sickness,3.18,2.22,3.61,1.92,2.19,0.92,11,5,VC.CVC.CV.CV.CV,N,0.967,0.294,2.986,0,3.2
enferrujado,rusty,4.9,1.84,5.05,1.75,3.51,1,11,5,VC.CVC.CV.CV.CV,"ADJ,V",0.274,0.105,2.437,1,2.5
enfurecido,enraged,4.32,1.87,2.73,1.45,3.18,1.34,10,5,VC.CV.CV.CV.CV,"ADJ,V",0.523,0.183,2.718,2,2.1
