word_italian,translate_word_english,aoa_mean,aoa_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_ilc_adult_written,frequency_colfis_adult_written,frequency_totfq_child_written,frequency_compfq_child_written,frequency_prodfq_child_written,frequency_spkfq_adult_spoken,n,bigram,syllables,length,phonome_stress,phoneme_voice,mann,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,rt_mean
alluce,big toe,4.02,1.39,4.95,1.74,5.57,1.78,4.93,2.37,3,6,0,0,0,1,0,10.71,3,6,ap,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,491
alluvione,flood,5.05,1.38,5.66,1.45,4.84,1.7,5.43,1.78,3,19,0,0,0,0,0,10.58,4,9,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,531
altare,altar,3.68,0.86,6.02,1.32,5.48,1.69,6.14,1.34,45,46,13,11,2,4,0,11.36,3,6,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,518
alunno,pupil,3.07,0.66,6.59,0.82,5.41,1.7,3.59,2.07,10,3,90,30,60,3,0,10.96,3,6,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,502
amnistia,amnesty,6.18,1.06,3.41,1.81,1.89,1.47,4.23,2.29,12,7,0,0,0,11,0,10.24,4,8,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,575
anatra,duck,3.27,1,5.68,1.36,5.64,1.75,6.84,0.43,3,5,39,28,11,1,0,11.38,3,6,ap,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,519
angolo,corner,3.52,0.9,6.16,1.16,4.43,2.03,5.25,1.7,93,244,173,141,32,12,1,10.73,3,6,ap,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,485
angoscia,anguish,5.68,1.14,5.55,1.41,3.16,1.87,3.34,1.93,58,111,10,8,2,2,0,10.72,3,8,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,529
anguilla,eel,3.86,1.27,5.3,1.61,5.23,1.84,6.8,0.67,18,6,14,14,0,0,0,10.78,3,8,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,511
anno,year,2.45,1.11,6.95,0.21,3.7,2.15,4.91,2.33,807,2424,1950,765,1185,293,2,11.37,2,4,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,482
antenna,aerial,3.48,1.19,6.27,1.13,5.55,1.73,6.5,1.11,11,17,25,14,11,47,0,11.22,3,7,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,496
aquila,eagle,2.91,0.83,6.55,1.04,6.07,1.11,6.91,0.29,33,30,44,27,17,1,0,10.16,3,6,ap,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,501
aragosta,lobster,4.73,1.25,5.7,1.5,5.55,1.68,6.14,1.27,2,6,0,0,0,0,0,10.94,4,8,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,513
argento,silver,3.45,0.79,6.36,1.2,5.18,1.85,5.41,1.59,117,113,73,54,19,25,0,10.87,3,7,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,504
aria,air,2.39,0.72,6.77,0.6,3.95,2.13,5.23,2.21,595,769,584,250,334,45,2,11.58,2,4,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,495
arnese,tool,4.91,1.51,5.09,1.6,3.89,1.83,6.02,1.52,7,4,17,13,4,0,0,11.09,3,6,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,487
arsenale,arsenal,6.16,1.26,4.16,1.75,3.55,1.89,5.07,1.81,2,22,0,0,0,1,0,11.13,4,8,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,511
arte,art,4.23,1.14,6.07,1.35,3.84,1.83,4.61,2.64,188,575,49,39,10,46,1,11.37,2,4,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,493
asfalto,asphalt,3.86,1.05,5.95,1.38,5.73,1.6,5.73,1.86,17,53,13,7,6,0,0,10.54,3,7,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,541
asma,asthma,5.23,1.41,4.93,1.86,3.64,1.93,5.7,1.76,4,24,0,0,0,3,2,10.58,2,4,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,497
atleta,athlete,4.34,0.94,6.5,0.82,5.25,1.54,6.32,1.14,14,40,14,14,0,2,0,10.44,3,6,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,532
atrio,foyer,5.18,1.45,4.68,1.68,4.59,1.82,6.02,1.19,5,21,11,10,1,0,0,11.38,2,5,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,529
aula,classroom,3.2,0.9,6.36,1.08,5.77,1.52,5.93,1.37,17,197,158,29,129,9,3,10.71,2,4,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,500
autunno,autumn,2.77,0.86,6.66,0.86,4.64,1.95,4.7,2.15,126,140,143,42,101,3,0,10.57,3,7,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,480
