word_spanish,familiar_mean,imagine_mean,concrete_mean
cantante,6.481,5.865,5.369
cantidad,6.488,4.42,3.207
caos,4.453,4.858,3.786
capa,4.105,NA,4.402
capacidad,5.168,3.464,3.497
capilla,5.152,6.461,5.587
capital,6.146,3.614,3.86
capitalismo,5.155,2.889,4.496
capitán,4.091,5.428,5.326
caracol,5.067,6.535,6.126
carácter,5.51,3.27,3.08
carbón,5.31,6.119,6.042
cárcel,5.67,5.75,5.827
cardenal,3.415,5.902,3.55
carga,5.158,4.217,3.635
caridad,5.128,4.513,4.125
carnaval,5.402,6.438,5.771
carne,6.506,6.228,5.643
carrera,6.454,5.468,3.556
carretera,6.379,6.226,6.043
carta,6.614,6.048,5.729
casa,6.759,6.575,5.631
casado,6.311,4.791,5.262
casco,5.983,5.797,4.402
castigar,5.301,4.341,4.831
castillo,4.602,6.346,5.914
católico,4.906,4.16,4.776
causa,6.376,2.65,3.442
caza,5.51,5.086,4.954
cebo,4.445,5.076,4.871
cebolla,6.662,6.406,6.433
celda,4.287,6.242,5.812
cementerio,6.039,6.406,6.344
cemento,5.645,5.638,5.57
cena,6.733,6.301,6.298
ceniza,5.777,6.292,5.706
centímetro,5.584,4.058,6.22
cerdo,6.263,5.804,5.391
ceremonia,5.834,5.863,4.385
cerradura,5.607,5.777,5.961
cerrar,6.484,5.514,4.648
cerveza,6.532,6.395,6.026
champán,5.358,6.234,6.301
chaqueta,6.68,6.591,5.864
charlar,6.536,4.637,4.451
chip,2.487,3.386,4.944
chisme,5.177,3.431,2.811
chiste,6.417,4.723,4.956
chocolate,6.678,6.624,6.127
cicatriz,5.504,5.96,5.58
ciego,5.99,5.64,5.728
cielo,6.293,6.351,5.156
ciencia,6.053,2.722,3.654
científico,5.42,5.508,5.237
cierre,4.992,3.25,4.084
cigarrillo,5.73,5.832,6.299
cigarro,5.719,6.308,6.247
cine,6.77,6.575,5.766
circo,6.146,6.542,5.193
círculo,6.012,5.501,5.627
cirugía,5.832,5.642,5.448
cirujano,5.37,5.778,6.081
cisterna,3.119,5.43,5.671
ciudad,6.567,6.188,5.339
civil,5.265,3.831,3.946
civilización,4.79,4.706,4.026
clan,4.315,3.78,3.994
clase,6.698,NA,3.738
clave,4.136,3.093,3.685
cliente,6.339,5.265,5.046
clínica,5.625,5.468,4.729
club,5.873,4.993,5.201
coartada,5.415,3.443,4.824
cocaína,5.317,5.525,5.956
coche,6.641,6.566,5.672
cocina,6.379,6.059,6.044
cocinero,5.764,6.353,6.381
código,4.668,4.201,3.855
cohete,5.66,6.271,5.952
colapso,3.917,4.086,3.754
colega,6.039,5.715,4.816
colina,3.086,5.462,5.911
collar,5.87,6.543,5.334
colonia,6.396,5.845,5.099
comandante,4.316,5.231,5.191
combate,3.572,5.212,4.624
combinación,5.066,3.928,2.975
combustible,6.323,5.563,4.711
comedia,5.53,4.893,4.791
comentario,6.023,3.538,3.643
comer,6.914,6.304,5.59
comercio,6.024,5.323,5.14
comida,6.763,NA,4.788
comisión,4.936,3.244,3.898
comité,3.795,4.576,4.608
compañero,NA,NA,5.573
compañía,6.159,4.412,3.161
compasión,5.415,3.639,3.163
competición,5.717,4.718,4.46
comprador,5.295,5.439,5.215
comprar,6.449,4.744,4.019
comprender,6.213,2.533,4.165
comprobar,5.588,3.933,3.556
compromiso,5.587,3.456,3.338
comunicación,3.871,NA,4.004
comunidad,4.663,5.38,3.874
comunista,3.743,4.066,4.464
coñac,4.665,3.781,NA
concentrarse,6.249,4.49,5.299
concepto,4.894,2.792,2.24
concierto,5.98,6.533,5.296
conclusión,6.145,3.173,4.541
condesa,4.991,5.104,5.506
conducir,6.393,4.958,5.141
conductor,6.3,5.784,4.727
conejo,6.029,6.061,6.365
conexión,3.545,NA,3.679
conferencia,6.045,5.067,5.578
confesar,4.66,4.818,4.271
confianza,6.571,5.014,4.322
confiar,4.97,2.929,4.033
confirmación,4.814,3.657,4.225
confirmar,4.896,2.987,3.751
conflicto,5.412,4.322,3.585
confusión,5.811,3.966,4.043
conocimiento,5.692,1.575,2.712
consecuencia,6.198,3.277,4.15
consejo,6.075,4.157,3.946
conservador,4.522,3.082,4.47
conservar,6.202,3.954,3.778
considerar,5.927,3.146,3.277
conspiración,3.212,3.273,3.707
constitución,4.645,3.211,5.232
construcción,5.801,5.443,3.612
contacto,6.127,4.964,3.397
contaminación,5.2,4.489,5.044
contar,6.553,4.465,3.748
contener,6.024,3.608,3.783
contenido,5.939,3.897,3.394
contestar,6.359,5,3.619
continuar,5.627,3.521,3.921
contrato,5.129,5.584,4.426
controlar,6.615,3.163,3.401
convenio,3.704,3.049,3.972
convento,4.584,5.566,6.344
copia,6.448,4.808,4.25
coraje,4.603,3.838,3.579
corona,3.123,5.557,5.557
correo,5.378,4.945,5.482
correr,6.481,5.6,4.64
corriente,5.97,4.273,3.729
cortar,5.696,5.705,4.336
costa,5.413,5.441,5.082
creación,5.103,3.459,3.569
crear,5.944,4.128,3.483
creatividad,5.921,4.814,3.275
crédito,4.758,2.761,4.967
creer,6.378,4.106,3.819
crema,6.277,6.029,4.991
criada,5.468,5.543,5.392
criatura,5.013,5.218,4.261
crimen,5.139,5.601,4.922
criminal,4.786,NA,4.553
crisis,6.352,3.955,3.816
cristiano,5.097,4.262,4.755
crueldad,4.762,3.082,3.936
cuarto,6.223,5.554,3.973
cubierta,3.857,4.079,3.78
cubrir,6.097,4.737,4.304
cuchillo,6.335,6.499,6.506
cuello,6.017,5.825,5.772
cuerda,6.065,6.547,5.329
cuerpo,6.218,6.115,5.119
culo,6.076,6.398,6.123
culpable,5.394,4.443,3.875
cultura,6.305,3.202,3.105
cumpleaños,6.874,5.521,5.891
curar,5.897,4.272,4.822
dar,6.701,4.722,3.843
deber,6.151,3.175,3.648
década,5.253,3.058,5.395
decepción,3.753,NA,5.226
declaración,5.214,4.565,4.096
dedo,6.378,5.52,6.337
defender,5.449,4.5,3.739
definición,6.293,3.883,3.697
dejar,6.318,4.16,4.247
delantera,5.574,4.71,3.408
delincuente,5.403,5.253,5.387
democracia,4.981,3.134,4.254
demonio,5.593,5.142,4.809
deporte,6.061,5.442,NA
depresión,5.833,4.77,4.286
derecha,5.835,4.977,5.878
derrota,5.229,4.272,4.413
desafío,4.601,3.446,3.918
desaparición,5.24,3.449,3.719
desarrollo,5.658,3.117,3.261
desayuno,5.99,6.46,5.808
descansar,6.209,5.195,4.904
desconocido,6.034,3.275,3.976
describir,3.16,NA,3.813
descripción,5.256,2.998,3.921
deseo,6.145,4.679,3.828
desgracia,6.416,4.204,4.401
desierto,5.71,6.652,5.158
desnudo,6.065,6.494,5.601
destino,5.203,2.989,NA
destrucción,5.318,5.393,4.615
detener,6.093,4.801,4.036
determinación,3.793,2.693,3.157
devoción,5.814,3.04,4.377
diario,6.351,5.788,5.036
dibujar,6.502,5.798,5.194
diccionario,6.761,6.2,6.062
diciembre,6.263,5.449,5.711
diente,6.314,6.904,6.239
dignidad,4.257,2.85,3.23
dinero,6.714,6.216,5.75
dios,5.452,3.855,3.245
dirección,6.055,3.979,4.171
director,6.229,5.654,5.963
disco,6.071,5.836,5.189
discurso,6.105,4.642,5.165
discusión,5.867,5.386,4.275
disparar,5.122,4.987,5.249
disparo,5.393,5.464,5.112
dispositivo,2.258,NA,3.437
disputa,3.93,5.118,4.427
distancia,5.279,2.96,NA
división,5.404,5.341,4.166
divorcio,5.526,4.274,5.223
doble,6.358,4.109,4.757
documento,5.393,4.9,5.228
dolor,6.514,5.225,3.617
domingo,6.452,6.052,6.256
dormir,6.676,6.186,5.776
dormitorio,6.256,6.401,6.175
dosis,3.966,3.898,4.14
dragón,4.205,5.882,6.006
drama,4.31,NA,4.489
droga,6.205,5.317,5.307
ducha,7,6.565,5.303
dudar,5.22,2.983,3.581
dueño,5.282,4.025,4.811
duro,5.856,5.245,3.98
edificar,5.376,5.038,5.001
edificio,6.042,6.568,5.694
educación,6.711,3.918,4.536
efectivo,5.761,3.348,3.572
efecto,5.519,3.012,3.192
ejecución,5.24,5.313,4.434
ejercicio,6.514,5.683,4.262
ejército,5.607,5.559,5.588
elección,5.277,4.413,4.243
electricidad,5.818,3.742,5.198
elegir,6.662,3.959,4.19
elemento,5.063,3.273,3.268
eliminar,5.116,3.793,3.873
embajada,5.133,4.389,5.662
embajador,4.28,4.954,6.11
embarazo,4.819,5.528,5.278
emergencia,5.924,3.958,4.779
empleo,5.642,4.537,5.303
empresa,5.84,5.07,5.172
empresario,5.418,5.702,5.195
enamorado,6.183,5.643,4.27
encantador,6.004,4.014,3.591
encanto,5.468,3.521,3.358
encontrar,6.379,4.148,3.826
energía,5.927,2.726,3.264
enfermedad,6.468,4.962,3.555
enfermo,6.084,6.11,5.343
enojo,3.802,4.086,3.965
ensalada,6.575,6.146,5.114
enseñar,6.161,NA,4.142
entender,5.771,3.572,3.691
enterrar,4.715,5.658,4.785
entrada,6.613,5.106,5.169
entrar,6.594,5.487,4.96
entusiasmo,5.194,NA,4.445
enviar,5.885,4.109,3.801
epidemia,5.463,3.978,4.935
episodio,4.911,3.725,3.522
equilibrio,5.052,4.018,4.153
equipo,5.65,5.641,4.024
equivocación,5.561,4.207,4.604
erección,5.066,6.724,5.379
error,6.684,3.773,3.782
escándalo,6.458,4.686,4.733
escapar,6.438,5.501,4.112
esclavo,5.464,5.844,5.409
esconder,6.044,4.666,4.321
escribir,6.777,6.01,5.38
escritor,6.09,6.036,5.846
escritorio,5.986,6.462,6.235
escritura,5.933,5.557,5.035
escuchar,4.163,NA,4.393
escudo,4.97,5.117,5.594
espada,5.295,5.876,6.461
espalda,6.331,6.48,6.564
especialista,NA,NA,4.684
espectáculo,5.478,4.893,4.351
espejismo,5.144,5.09,3.85
espejo,5.513,5.595,6.345
espera,6.123,3.577,3.416
esperanza,6.063,3.974,3.806
espía,3.939,5.005,5.422
espionaje,5.328,4.188,4.985
espíritu,5.018,3.224,4.076
esposa,4.966,5.539,5.351
esposo,4.746,5.744,5.226
esquina,6.142,6.254,5.453
estación,6.328,5.379,3.845
estadio,4.531,4.972,4.312
estado,5.861,2.9,3.568
estallar,6.003,5.478,4.753
estantería,6.082,6.424,6.037
estatua,4.583,6.045,6.044
estilo,4.995,3.272,3.118
estómago,5.661,NA,6.376
estrategia,4.827,3.283,3.489
estrecho,6.383,5.518,5.43
estrella,5.708,5.913,5.062
estrés,5.424,4.123,4.402
estructura,4.433,4.187,3.969
estudiante,6.809,6.33,5.974
estudio,6.235,5.47,4.076
estupidez,6.031,3.239,4.063
evento,4.345,3.589,3.61
evidencia,4.54,2.663,3.091
evitar,4.616,3.284,3.759
evolución,5.666,3.155,3.692
exagerar,5.573,3.871,4.293
examen,6.838,6.4,5.92
examinar,6.524,4.532,4.291
excusa,5.549,4.068,3.677
éxito,6.268,3.794,3.833
expectativa,NA,3.165,3.364
expediente,4.827,4.626,5.284
experiencia,6.488,3.723,3.889
experimentar,5.749,4.019,3.914
experto,5.233,3.606,4.283
explicación,6.115,4.832,3.988
explosión,5.967,6.109,4.78
explotar,6.014,5.295,3.821
exposición,5.558,5.978,4.599
expresar,5.431,3.106,3.312
extra,4.969,3.727,3.318
extraño,6.062,4.025,4.046
fábrica,6.393,5.237,5.582
factor,3.686,2.018,2.885
facultad,6.422,4.843,4.429
falda,6.342,6.591,5.444
familia,6.387,6.121,5.337
fantasía,6.311,3.842,2.965
fase,5.233,NA,3.277
fatalidad,3.125,3.146,3.473
fe,5.855,3.259,2.658
fenómeno,4.239,3.004,3.351
festival,5.74,5.651,4.591
fidelidad,5.289,3.022,4.479
fiebre,5.271,4.784,5.7
fiesta,6.75,6.273,4.698
filosofía,5.673,2.954,3.199
final,6.713,3.553,3.904
finalizar,5.423,4.014,4.854
financiación,4.246,2.625,3.991
financiero,4.575,4.561,5.061
finanzas,3.925,2.924,4.024
firma,5.656,5.915,5.423
firmar,6.362,5.481,5.064
fiscal,3.488,4.717,5.442
física,4.976,3.305,3.983
físico,5.7,4.695,3.973
flor,6.754,6.306,5.658
fluido,2.55,NA,3.386
fondo,5.238,4.873,4.05
fortaleza,4.661,5.131,4.627
foto,6.627,6.436,6.152
fotógrafo,6.263,6.179,6.358
fracaso,4.853,3.455,4.227
fragmento,4.472,4.014,4.374
francés,6.367,5.804,5.849
frase,6.329,5.345,4.409
frecuencia,6.19,2.657,3.906
fresco,5.931,4.647,3.395
fruta,6.33,5.333,4.911
fuego,6.755,6.591,5.819
fuente,6.342,6.524,5.054
fuerte,6.596,4.72,3.872
fuerza,5.746,4.508,3.793
fugitivo,5.899,4.959,5.957
funeral,5.678,5.902,6.011
furia,4.341,4.286,3.571
fútbol,6.403,6.289,5.683
futuro,6.621,2.963,3.117
galaxia,4.145,5.294,5.249
galería,NA,NA,4.93
ganancia,5.547,4.383,4.166
ganar,6.65,5.299,3.973
garaje,6.222,5.507,6.36
garantía,5.95,4.183,3.967
garganta,6.46,5.09,5.587
gas,6.453,4.747,5.259
gastar,6.664,4.692,4.032
general,5.18,3.41,2.909
genio,5.667,3.755,4.746
gerente,3.838,4.164,5.997
gesto,5.531,4.787,4.674
girar,5.436,4.619,3.989
gloria,5.883,3.809,2.833
gobernador,4.754,4.315,5.611
gobierno,6.283,4.207,4.122
golf,5.273,5.137,5.796
golpear,6.148,5.885,4.701
gorra,6.53,6.091,5.63
grano,6.164,6.255,4.95
gratitud,5.825,4.017,4.298
griego,4.096,3.879,5.173
grieta,4.492,5.062,5.215
gripe,5.793,4.967,6.029
grueso,4.922,5.01,4.84
grupo,6.232,5.588,4.183
guardia,5.741,5.405,4.796
guerra,6.153,5.903,5.903
guerrero,5.294,5.943,5.075
guitarra,5.657,6.687,5.921
gusano,6.008,5.353,5.576
gusto,5.383,3.711,3.988
habilidad,5.923,4.277,3.544
habitación,6.901,6.745,5.172
hablar,6.976,5.781,5.286
hacer,6.795,3.446,2.809
hambre,5.912,5.424,3.876
harina,5.798,5.362,5.932
herencia,5.69,4.557,5.123
herida,6.563,5.911,5.338
hermana,6.051,5.876,5.524
hermano,6.673,6.486,5.993
héroe,4.512,5.679,5.051
heroína,5.412,4.97,5.451
herramienta,5.782,5.044,4.209
hidrógeno,3.674,2.034,5.041
hierro,5.828,5.573,5.849
hígado,6.146,5.346,6.091
hija,6.527,5.271,5.997
hijo,6.097,5.293,5.683
hogar,6.601,6.39,4.894
hombre,6.692,6.611,5.398
hombro,6.35,6.232,6.41
honor,5.285,3.019,3.784
hormiga,5.965,6.508,6.551
hormona,4.329,2.941,5.483
horno,6.512,6.475,6.058
horror,4.357,4.544,4.073
hospital,6.219,6.467,6.609
hotel,6.36,5.628,6.346
huella,4.942,5.333,5.312
hueso,6.416,6.037,5.669
huevo,6.448,6.319,5.564
huir,5.451,5.03,4.546
humano,5.911,5.95,5.27
humo,6.392,5.881,5.126
huracán,4.144,5.294,5.685
idea,6.749,3.976,4.078
ideal,5.653,3.456,3.332
idiota,5.81,3.57,4.129
iglesia,4.677,5.713,5.662
ignorancia,NA,2.983,NA
imagen,6.174,4.27,3.474
imaginación,6.284,2.874,3.71
imperio,3.709,4.156,4.208
importancia,6.373,3.434,3.871
impotente,5.799,3.822,4.387
impresión,5.714,NA,3.556
incapacidad,5.404,3.287,3.534
incidente,4.181,3.128,3.411
indicar,5.693,4.567,4.435
individuo,5.907,5.381,4.715
industria,5.646,NA,5.132
inestabilidad,5.25,4.108,3.265
infancia,5.703,4.756,4.691
infección,5.061,4.464,5.134
infierno,5.741,4.768,4.187
influencia,5.477,2.891,4.171
información,5.434,3.4,2.996
informar,5.901,3.274,4.11
inglés,5.394,4.687,4.958
ingreso,4.931,3.504,3.914
injusticia,6.063,4.866,4.12
inocente,5.62,3.841,4.02
inquietud,4.65,4.06,3.547
insecto,5.928,6.058,4.808
inspección,4.714,3.663,3.782
inspector,5.28,5.47,5.172
inspiración,5.29,4.193,3.67
inspirar,4.776,3.761,4.054
instinto,6.225,3.429,4.421
instrumento,6.361,NA,3.889
intención,5.796,2.176,3.902
intentar,6.098,3.866,3.434
interrumpir,5.958,3.897,4.479
intimidad,6.286,3.992,3.736
intuición,5.968,2.37,4.266
invasión,4.619,4.485,4.976
investigación,6.058,4.533,4.073
investigador,5.251,4.975,4.729
investigar,5.622,4.089,3.769
ir,6.493,3.131,3.353
ironía,5.746,2.649,3.752
izquierda,6.656,4.257,5.396
joven,6.687,5.677,4.919
joya,6.053,5.97,5.11
juego,6.506,5.475,4.713
juez,5.381,5.963,6.008
jugador,5.957,5.975,4.762
jugar,6.704,5.433,3.835
juguete,6.644,6.598,5.009
juicio,5.688,5.406,4.406
julio,4.36,NA,6.02
junio,6.422,4.081,6.345
jurar,5.462,3.238,4.327
justicia,NA,3.335,3.405
juventud,6.081,5.261,4.599
juzgado,5.414,5.773,5.651
kilo,6.325,4.573,5.555
labio,6.318,6.726,6.198
