word_spanish,familiar_mean,imagine_mean,concrete_mean
niebla,5.711,6.002,5.525
nieto,5.625,4.878,6.231
nieve,5.436,6.286,6.299
niña,6.901,6.316,6.254
niño,6.513,6.39,6.177
noble,5.128,3.774,3.28
noche,6.649,5.389,5.814
nombre,6.862,3.368,4.229
norte,6.507,4.903,5.969
notable,5.594,5.128,4.193
notario,3.688,4.096,5.441
novia,6.07,5.66,5.837
noviembre,6.274,3.718,6.666
novio,6.133,4.794,5.328
nube,5.962,6.618,6.001
número,6.509,6.488,5.044
obispo,3.541,4.931,6.684
objeto,6.255,5.254,3.464
observar,6.487,4.336,3.714
obstáculo,5.891,4.669,4.308
occidental,5.166,3.699,4.272
océano,5.396,6.434,5.501
octubre,5.872,3.852,5.886
ocurrir,6.031,3.072,2.746
odio,5.233,3.938,4.554
oeste,5.618,4.329,5.458
oficial,4.223,4.681,4.515
oficina,5.653,6.043,5.241
ofrecer,5.168,3.846,4.387
oír,6.661,4.911,5.172
ojo,6.813,6.309,5.937
olfato,5.378,3.902,5.415
olvidar,5.851,3.589,3.901
opción,5.549,3.852,3.642
operación,5.503,4.971,4.381
opinión,6.196,3.342,3.852
oportunidad,5.881,2.812,3.839
opuesto,5.694,NA,4.788
oración,4.535,4.156,4.088
órbita,4.886,4.279,4.764
oreja,6.476,6.451,5.991
organizar,6.085,3.924,4.043
orgasmo,6.077,4.368,5.711
orgullo,6.263,4.599,5.217
original,4.552,2.839,NA
orina,5.082,6.456,6.72
oro,5.224,5.556,6.045
orquesta,5.11,6.046,5.928
oscuridad,6.653,6.021,5.341
oso,5.517,5.342,6.383
otoño,5.734,5.974,5.73
oxígeno,5.39,3.507,6.104
paciencia,2.824,NA,3.527
paciente,4.7,5.293,4.329
padre,6.568,6.788,6.079
país,6.309,5.188,5.484
pájaro,6.507,NA,5.012
palabra,6.685,5.201,4.228
palacio,5.186,5.9,5.717
palo,5.456,5.184,5.265
pan,6.668,6.842,NA
pandilla,5.404,5.554,4.693
pantalla,6.242,5.551,4.929
pañuelo,6.288,6.085,6.076
papá,6.759,6.18,6.289
papel,6.673,6.395,5.795
paquete,5.987,6.281,4.762
paraíso,5.855,6.229,4.368
pariente,4.902,5.24,4.617
parlamento,4.832,NA,5.159
párrafo,6.455,5.86,5.802
partícula,3.682,3.45,4.254
partido,6.043,5.626,3.586
pasado,6.55,3.397,3.37
pasajero,3.481,3.836,4.176
pasaporte,4.853,5.912,5.592
pasatiempo,6.01,4.895,5.164
pasear,6.754,5.342,4.879
pasión,5.889,5.176,3.44
pastel,6.437,6.63,5.859
pastilla,6.512,6.291,5.384
pato,5.593,6.573,6.249
patrón,5.335,4.871,4.313
patrulla,5.473,4.861,4.997
pavo,4.706,4.658,6.134
pecado,5.372,3.333,3.87
pecho,6.132,6.256,6.088
pedazo,4.846,3.821,2.87
pedido,5.797,3.731,4.247
pedir,5.955,4.497,3.66
pegar,5.104,5.312,4.147
pelea,6.361,5.556,5.3
película,6.592,6.369,5.571
peligro,5.769,4.471,3.802
pelo,6.6,NA,6.723
pena,5.452,4.345,4.415
pene,4.507,6.414,6.566
pensar,6.469,4.668,3.298
pensión,5.125,4.624,5.509
perdón,5.452,3.753,4.339
perfil,5.408,4.295,4.062
perfume,6.091,6.027,5.467
periódico,6.156,5.869,5.861
periodismo,5.511,3.951,5.764
periodista,6.102,NA,6.043
período,5.186,4.07,3.95
permanecer,4.304,3.491,3.194
permiso,6.451,3.321,4.043
permitir,5.018,2.772,3.485
perro,6.639,6.573,6.443
perseguir,5.67,4.864,4.186
persona,7,6.296,5.716
personal,5.987,3.536,3.251
personalidad,6.402,3.625,3.326
perspectiva,5.322,3.095,3.023
pesadilla,6.496,5.409,3.947
pesca,5.816,5.324,5.638
peso,6.498,4.825,4.363
petróleo,5.364,5.409,6.272
pez,5.169,6.77,5.174
piano,5.861,6.565,6.577
piedra,6.421,6.237,6.299
piel,6.231,6.465,5.295
piloto,5.188,5.389,5.407
pintar,6.236,5.78,4.86
pintor,5.878,6.062,5.958
pirámide,5.078,5.759,5.805
pirata,5.57,6.152,5.898
pistola,4.778,6.011,5.762
placer,5.291,5.002,3.715
plaga,5.33,5.411,4.507
plan,5.899,3.229,3.559
planeta,4.715,5.773,5.842
planificación,4.666,3.806,3.571
planta,6.6,5.946,5.11
plástico,6.128,5.967,5.557
plata,5.001,5.158,6.145
plataforma,4.989,4.814,4.274
playa,6.378,6.439,6.377
población,5.773,4.91,4.412
poblado,4.894,5.909,5.452
pobre,6.243,5.669,4.837
pobreza,6.589,5.492,3.869
poema,4.338,5.502,5.329
poeta,6.301,5.637,5.645
política,4.071,3.357,3.752
político,6.137,5.378,5.259
pollo,6.362,6.505,6.491
polvo,6.367,5.839,4.572
pólvora,6.09,NA,6.641
poner,6.135,4.455,4.016
pornografía,5.626,5.784,5.333
portal,5.968,5.572,6.004
posibilidad,6.459,2.96,3.246
posición,5.671,3.334,3.328
postre,6.159,6.261,5.42
potencia,3.781,3.487,3.288
potencial,4.315,1.856,2.704
práctica,6.474,4.025,2.387
precio,6.283,4.253,4.356
preguntar,5.792,3.7,4.821
premio,6.254,5.684,5.366
preocupación,6.299,3.835,3.78
preparación,6.331,3.853,3.424
presa,5.663,5.101,4.21
presencia,5.914,2.96,3.3
preservar,4.857,3.058,4.573
presidente,6.251,4.59,5.591
presión,4.718,3.629,3.549
presupuesto,5.203,NA,4.715
primavera,6.798,5.727,5.672
primo,6.714,3.51,5.425
princesa,4.769,5.746,5.929
príncipe,5.547,5.865,5.76
prisión,5.539,5.623,5.773
prisionero,4.175,4.45,NA
privilegio,5.024,2.81,3.972
probar,5.676,4.485,3.176
problema,6.519,4.017,2.937
procedimiento,5.189,2.612,3.934
proceso,5.496,2.696,2.837
producción,5.771,3.567,4.368
producir,6.155,3.568,3.217
producto,5.926,4.195,3.265
productor,4.977,4.317,3.889
profesión,5.715,4.607,3.995
profesional,5.606,4.057,4.869
profesor,6.883,6.298,5.469
programa,6.543,5.403,4.997
promesa,5.75,3.299,4.533
propiedad,4.923,3.323,4.006
propietario,5.319,4.947,5.281
proponer,5.476,2.341,3.011
proporcionar,5.017,3.455,3.642
propósito,4.633,2.917,3.581
proteger,5.704,3.509,3.754
proteína,5.731,2.944,5.337
protesta,5.172,4.402,4.336
protocolo,4.272,3.019,4.659
prototipo,4.772,2.811,3.51
proyecto,5.932,3.52,4.464
prueba,6.33,3.863,3.618
psicología,6.442,4.313,3.597
publicidad,6.239,6.122,5.237
pueblo,6.626,6.03,4.901
puente,5.443,5.695,NA
puerta,6.784,5.804,6.323
puerto,6.202,6.126,5.695
pulso,5.044,4.028,4.829
quedarse,5.467,3.718,4.495
queja,5.337,3.817,3.896
queso,5.931,5.849,5.992
química,5.577,4.72,4.205
químico,5.425,5.374,5.352
racista,5.646,4.629,5.141
radiación,5.086,2.63,4.462
radio,6.308,6.002,5.81
rana,5.763,6.267,6.37
rápido,6.286,4.73,4.659
rata,6.307,6.15,6.538
ratón,5.961,6.213,5.951
razón,6.34,2.926,2.542
reactor,4.928,NA,5.072
realidad,4.418,3.011,3.248
realista,5.563,3.43,4.578
realizar,5.557,2.856,2.582
rebajas,6.216,5.962,5.578
recepción,3.703,NA,3.792
rechazar,5.223,3.757,4.107
recompensa,5.116,5.507,4.95
reconocer,5.755,4.13,4.229
recordar,6.054,3.064,3.898
red,3.312,5.912,4.696
reducir,5.33,3.157,3.65
reflejo,5.148,3.888,3.155
refugiado,5.572,5.045,4.796
refugio,5.382,5.84,4.596
regalo,5.974,6.03,4.788
regimiento,5.037,4.889,4.906
registro,4.454,3.816,3.751
regla,6.271,5.585,4.941
regreso,5.287,4.852,3.901
reina,5.51,6.344,5.373
reino,5.36,4.794,4.48
reír,6.359,6.063,5.906
relación,6.639,3.855,2.932
relámpago,4.65,6.218,6.22
religión,4.964,4.241,4.235
relucir,4.235,4.562,4.189
renuncia,5.241,3.566,3.873
reparar,5.704,4.431,3.763
reputación,4.999,2.552,3.673
rescatar,5.569,4.306,4.369
rescate,5.431,4.531,4.466
resistencia,4.344,NA,4.849
resistir,5.504,4.466,3.944
respeto,5.782,3.773,3.652
responsabilidad,5.529,3.936,3.638
respuesta,6.675,3.938,4.846
restaurante,6.192,6.523,6.034
resultado,5.449,3.753,4.086
retirar,5.467,3.834,3.757
reunión,5.691,5.293,4.466
revelación,4.811,2.461,3.986
revista,6.521,6.123,5.38
rey,6.2,6.114,NA
rico,5.51,NA,5.789
ridículo,5.68,3.307,5.109
riesgo,5.256,4.214,4.164
riñón,6.001,5.959,6.193
río,6.307,6.255,6.271
riqueza,5.352,4.926,4.368
ritmo,5.155,4.328,4.167
ritual,4.898,4.778,4.406
robar,5.819,4.971,4.904
robo,6.411,5.353,5.187
robot,4.623,6.099,5.479
roca,6.301,6.153,5.554
rodilla,5.951,4.634,6.556
rojo,6.126,6.343,5.25
romano,5.199,6.053,5.482
romántico,5.453,5.352,4.232
romper,6.142,5.262,4.638
ron,4.44,5.557,5.767
ruido,6.392,5.335,4.037
ruta,5.821,5.434,5.05
sábado,6.451,4.909,6.613
saber,5.134,2.69,3.447
sacerdote,4.53,5.877,6.03
salario,4.402,4.365,5.553
salida,6.631,5.593,4.807
salsa,6.122,5.454,4.882
salto,6.259,5.206,4.361
salud,6.579,4.153,4.464
saludar,5.991,5.589,4.579
salvar,5.593,4.088,4.102
sangre,6.549,6.09,6.542
sargento,5.447,6.042,5.484
satélite,4.547,4.938,4.783
sección,5.066,3.596,2.802
secretario,5.339,5.828,5.549
secreto,5.861,3.21,4.516
sed,6.346,4.725,4.953
seda,5.928,5.756,5.689
sede,3.608,2.916,3.651
seguir,6.3,3.146,3.632
segundo,5.485,2.69,4.477
seguridad,6.157,3.071,3.669
seleccionar,6.041,4.034,4.379
sello,6.612,NA,6.308
selva,5.636,6.376,6.283
semana,6.935,4.606,6.364
seminario,NA,4.118,3.944
senado,5.18,3.894,5.484
señal,5.532,4.806,4.299
señalar,6.344,4.884,4.414
sendero,4.431,5.653,4.893
señor,6.04,5.566,4.819
señora,6.221,5.868,5.753
sentarse,6.755,5.173,5.604
sentido,6.343,2.894,3.145
sentimiento,6.074,4.164,2.307
septiembre,5.793,4.305,6.176
serie,5.805,3.214,2.674
sermón,5.878,5.314,4.113
serpiente,4.155,6.195,6.051
servicio,6.449,4.022,4.473
sida,5.562,3.976,6.23
siesta,5.888,4.784,5.511
siglo,6.041,2.859,5.652
silbido,6.089,4.83,5.571
silencio,6.007,4.101,5.202
silla,6.831,6.54,6.524
símbolo,5.106,4.974,3.27
síndrome,4.757,2.992,3.832
síntoma,5.637,3.293,5.217
sistema,5.71,2.865,2.212
sobrevivir,5.766,4.335,4.534
sociedad,5.63,4.191,4.147
soda,4.23,4.375,5.077
sofá,6.531,6.076,6.714
sol,6.652,6.526,6.157
solar,5.586,4.739,5.239
soldado,5.577,5.929,6.043
solitario,6.288,5.026,4.372
soltero,5.858,3.834,5.773
sombra,5.687,6.045,5.483
sombrero,3.243,6.559,5.927
sonda,4.338,5.002,4.223
sonido,6.331,4.658,4.119
sonreír,5.679,5.507,5.925
sopa,6.402,6.227,6.164
sordo,6.153,5.076,5.706
sorpresa,6.387,5.229,4.207
sospechar,5.624,3.628,4.331
sostener,5.654,4.136,3.857
suceder,5.604,2.652,2.908
suelo,6.618,6.229,5.493
sueño,6.523,5.127,4.054
sufrimiento,5.301,4.642,3.511
sufrir,4.813,NA,4.168
sugerir,5.468,2.823,3.472
suicidio,4.616,5.389,6.568
sujeto,6.237,5.023,4.889
suma,5.914,4.71,4.845
superficie,5.396,4.702,3.92
superior,4.887,3.605,3.796
suposición,4.001,2.077,2.928
sur,5.684,4.322,5.065
sustituir,5.584,2.976,4.05
tabaco,5.569,5.983,6.097
talento,3.248,NA,3.716
taller,5.642,5.874,5.252
tamaño,6.272,3.457,3.455
tarde,6.616,5.115,3.598
tarea,5.875,4.391,3.677
taxi,6.067,6.654,6.318
taza,6.413,5.341,5.991
teatro,5.915,6.03,6.034
técnica,4.924,3.068,3.588
técnico,4.786,4.411,4.233
tecnología,5.791,3.877,3.595
tejido,5.219,5.186,5.012
tela,5.783,6.156,5.559
teléfono,6.954,6.723,6.42
telegrama,5.64,6.338,5.962
telescopio,4.911,5.551,6.525
televisión,6.42,6.377,6.235
temperatura,5.996,4.41,5.217
templo,5.636,5.881,5.96
tenedor,6.14,6.413,6.292
teniente,3.505,5.381,5.81
tenis,6.158,5.495,6.018
teoría,6.556,2.902,3.636
terapia,3.642,NA,4.585
terminal,5.189,4.238,3.421
terminar,6.609,4.053,3.433
terreno,5.959,5.446,3.979
tesoro,4.674,5.78,5.059
testigo,5.063,NA,5.068
texto,5.861,NA,4.905
tienda,6.609,6.409,4.807
timbre,5.701,6.133,5.513
tío,6.868,5.292,5.262
tirar,6.71,5.264,4.318
título,6.284,4.479,4.796
toalla,6.598,6.367,6.397
tomar,NA,NA,6.506
tomate,6.402,6.628,6.416
tonto,6.756,NA,4.843
tormenta,6.586,6.346,5.334
tormento,4.662,3.972,3.573
torre,5.814,6.139,5.717
tortuga,6.287,6.418,6.692
tos,6.055,5.414,5.979
total,5.456,2.861,3.813
trabajador,6.511,5.448,5.009
trabajo,6.176,5.187,4.965
traer,6.535,3.554,3.38
tragar,4.914,NA,4.611
traidor,4.236,NA,5.244
trampa,5.957,4.963,4.591
trasera,4.948,4.216,3.409
trasero,4.371,NA,4.617
tratamiento,5.205,3.945,3.67
tratar,5.414,2.793,3.216
tren,6.659,6.528,6.188
triángulo,5.916,5.754,5.808
tripulación,5.196,4.682,5.084
triunfar,5.815,5.022,3.862
trofeo,3.721,5.012,5.6
trono,3.979,5.06,5.862
trueno,5.179,6.061,5.884
tumba,4.877,6.024,5.601
tumor,4.208,3.307,5.415
túnel,6.497,6.207,6.031
ubicación,3.693,3.199,3.729
uña,6.344,6.609,6.333
unidad,5.871,4.548,4.528
uniforme,3.218,5.938,4.928
unir,6.256,5.061,4.338
universidad,6.639,6.231,6.085
universo,5.027,5.098,3.862
urgencia,5.329,4.647,5.094
útil,6.383,3.713,3.307
utilizar,6.25,3.155,3.463
vaca,6.123,6.023,6.499
vacío,6.077,3.685,3.451
vacuna,5.803,4.574,4.917
valla,5.214,5.516,5.901
valle,5.484,6.148,5.637
valor,6.189,3.462,3.249
vampiro,4.282,5.905,5.645
vaquero,5.567,5.679,4.979
vehículo,6.104,6.381,5.347
vela,5.815,5.781,5.098
velocidad,6.058,5.163,4.508
vena,4.998,5.875,5.532
vendedor,6.409,5.602,4.536
vender,6.372,NA,4.431
venganza,5.454,3.396,3.296
venir,5.831,3.717,4.169
ventana,6.821,6.518,6.077
verano,6.823,5.968,5.213
verificar,4.35,3.181,4.241
verse,5.756,4.32,3.804
vestido,6.263,NA,6.076
víctima,6.213,4.488,5.03
victoria,3.767,4.167,3.869
vidrio,5.277,5.587,5.319
viejo,6.258,6.07,5.143
viento,6.106,5.969,5.255
vino,6.419,6.157,5.676
visión,6.194,4.373,4.345
vista,6.209,4.64,4.918
viuda,5.437,4.922,5.962
vodka,5.235,5.964,6.484
volar,5.322,4.969,5.479
voluntario,5.093,4.913,4.335
voto,5.78,4.014,4.917
voz,6.206,4.913,5.167
vuelo,6.458,NA,5.112
zapato,6.434,5.636,6.48
zombi,4.815,4.727,5.491
zona,4.268,NA,3.43
zoológico,5,5.945,6.499
zorro,5.825,6.204,6.047
