word_croatian_equivalent,word_croatian,valence_mean,valence_sd,valence_unknown,valence_n,arousal_mean,arousal_sd,arousal_unknown,arousal_n,familiar_mean,familiar_sd,familiar_unknown,familiar_n,concrete_mean,concrete_sd,concrete_unknown,concrete_n
college,college,4.95,2.58,NA,20,5.55,1.61,NA,20,7,0,NA,20,5.35,1.27,NA,20
color,color,6.05,1.99,NA,20,4.35,2.32,NA,20,7,0,NA,20,4.75,2.51,NA,20
company,company,5.95,2.31,NA,20,5.9,2.25,NA,20,6.95,0.22,NA,20,4.65,1.73,NA,20
confused,confused,4.95,1.9,NA,20,5.2,1.74,NA,20,7,0,NA,20,4.75,2.1,NA,20
cool,cool,6.9,1.74,NA,20,4.5,2.74,NA,20,7,0,NA,20,3.85,1.95,NA,20
copy,copy,5,1.69,NA,20,3.25,1.8,NA,20,6.95,0.22,NA,20,5.75,1.86,NA,20
country,country,6.65,2.01,NA,20,3.9,2.21,NA,21,6.9,0.45,NA,20,4.52,1.57,NA,21
cover,cover,4.8,1.24,NA,20,3.95,1.53,NA,21,6.67,0.86,NA,21,4.9,1.92,1,20
craft,craft,6.58,2.09,1,19,5.38,2.52,NA,21,6.45,1.23,NA,20,3.5,1.54,1,20
cross,cross,5.6,1.73,NA,20,5.65,1.93,NA,20,6.55,1.47,NA,20,3.65,1.93,NA,20
crossover,crossover,6.16,2.22,1,19,5.35,2.18,NA,20,6.95,0.22,NA,20,3.53,1.87,3,17
crowdfunding,crowdfunding,4.93,1.33,5,15,4.8,2.48,5,15,5.65,1.97,3,17,4.94,1.73,2,18
cup,cup,5.32,1.6,1,19,2.9,1.51,NA,21,6.95,0.22,NA,21,5.81,1.72,NA,21
curry,curry,6.21,1.65,1,19,4.47,2.84,1,19,6.55,1.47,NA,20,5.2,1.67,NA,20
dance,dance,6.05,2.28,NA,20,6.9,2.17,NA,20,7,0,NA,20,5.3,1.42,NA,20
dark,dark,4.85,2.3,NA,20,5.25,2.22,NA,20,7,0,NA,20,4.35,2.23,NA,20
deal,deal,5.1,1.86,NA,20,5.95,2.16,NA,20,7,0,NA,20,4.6,1.82,NA,20
deep,deep,5.85,2.08,NA,20,4.05,2.24,NA,20,6.95,0.22,NA,20,4.75,2.12,NA,20
default,default,4.95,2.31,NA,20,5.15,1.69,NA,20,7,0,NA,20,4.55,2.21,NA,20
department,department,5.6,2.46,NA,20,4,1.92,1,20,6.75,0.72,NA,20,4.45,1.93,1,20
design,design,5.9,2.15,NA,20,5.55,1.79,NA,20,7,0,NA,20,4.35,1.87,NA,20
desktop,desktop,5.2,1.64,NA,20,4.67,2.15,NA,21,6.9,0.44,NA,21,6.19,0.93,NA,21
developer,developer,5.25,2.12,NA,20,4.85,1.9,NA,20,6,1.59,NA,20,4.9,2.2,NA,20
digital,digital,6.1,2.07,NA,20,5.3,1.49,NA,20,7,0,NA,20,4.5,2.14,NA,20
disco,disco,6.85,1.57,NA,20,6.75,1.77,NA,20,7,0,NA,20,6.65,0.59,NA,20
display,display,6.05,1.96,NA,20,4.24,1.58,NA,21,6.95,0.22,NA,20,4.71,1.9,NA,21
double,double,6.2,2.19,NA,20,4.9,2,NA,20,7,0,NA,20,4.9,2.1,NA,20
draft,draft,5.68,2.54,1,19,4.4,2.35,1,20,6.6,0.94,NA,20,4.25,1.77,1,20
dream,dream,7.55,1.36,NA,20,4.81,3.12,NA,21,7,0,NA,20,4.05,1.94,NA,21
drive,drive,4.6,1.98,NA,20,6,2.71,NA,20,6.6,0.88,NA,20,4.95,1.93,1,19
driver,driver,6.35,2.06,NA,20,5.33,2.63,NA,21,6.95,0.22,NA,20,5.1,1.89,NA,21
drum,drum,5.32,2.14,1,19,5,1.64,2,18,6.63,1.12,1,19,4.84,2.34,1,19
dual,dual,4.95,1.67,NA,20,4.72,2.19,2,18,6.4,1.57,NA,20,3.95,1.99,NA,20
dub,dub,4.38,2.28,4,16,4.81,2.37,5,16,5.1,2.49,NA,20,4.59,2.12,4,17
e-mail,e-mail,5.7,2,NA,20,5.19,2.25,NA,21,6.95,0.22,NA,20,5.86,1.46,NA,21
ecstasy,ecstasy,4,3.16,1,19,6.85,2.58,NA,20,6.8,0.62,NA,20,5,2.26,1,19
edge,edge,4.58,1.46,1,19,5.32,2.08,1,19,6,1.81,NA,20,5.3,1.84,NA,20
edit,edit,5.45,1.43,NA,20,3.85,2.03,NA,20,6.75,0.64,NA,20,4.85,2.23,NA,20
edition,edition,5.26,0.93,1,19,4.15,2.03,NA,20,6.79,0.54,1,19,4.6,2.26,NA,20
editor,editor,5.7,2.05,NA,20,5.35,1.76,NA,20,6.9,0.45,NA,20,4.65,1.73,NA,20
energy,energy,7.1,2,NA,20,6.85,2.16,NA,20,7,0,NA,20,4.55,2.14,NA,20
engine,engine,5.7,1.95,NA,20,5.75,1.94,NA,20,6.55,1.47,NA,20,4.65,1.87,NA,20
enter,enter,5.85,1.27,NA,20,4.8,2.09,NA,20,6.95,0.22,NA,20,4.32,2.06,1,19
enterprise,enterprise,5.65,1.73,3,17,5.53,2.1,3,17,6.42,1.07,1,19,4.65,1.81,NA,20
entertainment,entertainment,7.1,1.92,NA,20,6,2.32,NA,20,6.45,1.15,NA,20,5.35,1.87,NA,20
event,event,5.65,2.37,NA,20,6.55,1.93,NA,20,6.75,0.79,NA,20,5.15,1.76,NA,20
evergreen,evergreen,6,2.6,NA,20,3.67,2.22,2,18,6.5,1.15,NA,20,5.17,1.38,2,18
exit,exit,6.65,1.93,NA,20,4.67,2.03,NA,21,6.95,0.22,NA,20,5.24,2.12,NA,21
express,express,5.75,2.43,NA,20,6.2,2.09,NA,20,6.7,0.8,NA,20,4.42,1.74,1,19
extra,extra,7.4,2.23,NA,20,6.75,2.24,NA,20,7,0,NA,20,3.9,2.1,NA,20
extreme,extreme,5,2.18,NA,20,6.4,2.89,NA,20,6.65,0.99,NA,20,4.6,1.57,NA,20
fair,fair,6.5,2.06,NA,20,4.76,2.19,NA,21,6.9,0.31,NA,20,3.68,2.03,2,19
fairplay,fairplay,6.63,1.3,1,19,4,2.19,NA,21,6.95,0.22,NA,21,4.67,2.31,NA,21
family,family,7.6,1.7,NA,20,3.95,2.96,NA,21,7,0,NA,21,5.95,1.69,NA,21
fan,fan,6.1,2.13,NA,20,4.6,2.26,NA,20,6.95,0.22,NA,20,5.95,1.73,NA,20
fantasy,fantasy,7,1.62,NA,20,5.75,2.45,NA,20,6.95,0.22,NA,20,3,2.1,NA,20
fashion,fashion,6.25,1.8,NA,20,5.75,2.15,NA,20,6.75,0.64,NA,20,6.2,1.15,NA,20
fat,fat,3.3,1.56,NA,20,5.33,1.85,NA,21,6.9,0.44,NA,21,5.62,1.47,NA,21
fax,fax,5.25,1.83,NA,20,4.2,2.17,NA,20,6.85,0.67,NA,20,5.4,1.7,NA,20
feeling,feeling,6.7,2.13,NA,20,5.24,2.64,NA,21,6.85,0.67,NA,20,3.76,2.32,NA,21
fight,fight,5.5,2.74,NA,20,7.15,1.76,NA,20,7,0,NA,20,5,1.56,NA,20
file,file,5.42,1.98,1,19,4.7,2.41,NA,20,6.95,0.23,1,19,4.65,1.95,NA,20
firewall,firewall,5.25,1.16,NA,20,4.25,2.61,NA,20,6.4,1.57,NA,20,3.89,1.79,1,19
firmware,firmware,3.53,2.26,5,15,4.79,2.58,6,14,3.63,2.63,1,19,5.31,1.93,7,13
first,first,6.05,2.01,NA,20,4.15,2.48,NA,20,6.95,0.22,NA,20,5.8,2.09,NA,20
fitness,fitness,6.45,2.21,NA,20,6.4,2.39,NA,20,6.9,0.31,NA,20,5.95,1.15,NA,20
flash,flash,5.42,1.64,1,19,5.19,2.16,NA,21,6.48,1.12,NA,21,4.76,2.02,NA,21
flat,flat,5.95,2.14,NA,20,3.71,2.37,NA,21,6.85,0.37,NA,20,3.9,1.81,NA,21
folder,folder,6.1,2.02,NA,20,4.45,1.73,NA,20,6.85,0.67,NA,20,5.3,1.84,NA,20
food,food,8,1.65,NA,20,5.1,2.61,NA,20,7,0,NA,20,5.45,1.79,NA,20
football,football,4.95,1.99,NA,20,4.95,2.6,NA,21,6.9,0.45,1,20,6.5,0.83,1,20
frame,frame,5.89,1.88,2,18,3.4,1.76,1,20,6.7,1.13,NA,20,4.55,1.73,1,20
freak,freak,3.84,2.36,1,19,5.32,2.36,1,19,6.8,0.52,NA,20,4.9,2.02,NA,20
free,free,6.55,2.74,NA,20,4.6,3.07,NA,20,6.95,0.22,NA,20,4.25,2.27,NA,20
fresh,fresh,6.5,2.06,NA,20,5.6,2.58,NA,20,6.95,0.22,NA,20,4.6,1.85,NA,20
front,front,4.74,1.56,1,19,4.4,2.01,1,20,6.95,0.22,NA,21,4.57,2.16,NA,21
frontman,frontman,4.84,2.03,1,19,5.79,2.07,1,19,6.6,1.35,NA,20,4.94,1.66,2,18
full,full,5.25,2.38,NA,20,5.05,2.31,NA,20,6.75,0.79,NA,20,4.8,2.14,NA,20
fun,fun,7.55,1.73,NA,20,6.15,2.18,NA,20,7,0,NA,20,3.95,2.16,NA,20
gadget,gadget,5.75,2.29,NA,20,5.05,2.16,NA,20,6.8,0.62,NA,20,4.79,2.04,1,19
game,game,5.95,2.24,NA,20,5.75,2.15,NA,20,7,0,NA,20,4.8,2.17,NA,20
gameplay,gameplay,6.2,2.26,NA,20,5.82,1.78,3,17,6.75,0.91,NA,20,4.76,1.82,3,17
gamer,gamer,6,2.22,NA,20,4.48,2.16,NA,21,6.85,0.49,NA,20,5.95,1.2,NA,21
gaming,gaming,5.3,2.41,NA,20,5.85,2.25,NA,20,7,0,NA,20,4.95,1.54,NA,20
garden,garden,6.75,1.45,NA,20,3.05,2.78,NA,20,7,0,NA,20,5.2,1.51,NA,20
gay,gay,4.85,2.08,NA,20,3.95,1.69,NA,21,6.71,1.31,NA,21,4.7,2.2,1,20
gem,gem,5,2.25,2,18,4.63,2.09,1,19,6.5,1.1,NA,20,3.76,2.11,3,17
girl,girl,6.75,2.53,NA,20,4.52,2.64,NA,21,7,0,NA,21,6.05,1.4,NA,21
goal,goal,6.21,1.78,1,19,6.15,2.64,NA,20,6.95,0.22,NA,20,4.15,2.08,NA,20
gold,gold,6.9,2.49,NA,20,5.48,2.25,NA,21,7,0,NA,20,5.81,1.21,NA,21
golden,golden,6.84,1.71,1,19,5.8,2.04,NA,20,6.85,0.37,NA,20,5.6,1.64,NA,20
grant,grant,5.06,1.48,4,16,4.68,2.5,1,19,5.7,1.72,NA,20,4.38,1.86,4,16
green,green,7.35,1.39,NA,20,4.2,2.69,NA,20,6.95,0.22,NA,20,6.1,1.59,NA,20
grid,grid,5.24,2.19,3,17,4.29,1.98,NA,21,5.05,2.04,NA,20,3.41,1.84,4,17
grill,grill,7.8,1.54,NA,20,5.55,2.33,NA,20,6.75,1.12,NA,20,5.7,2.08,NA,20
group,group,6,2.22,NA,20,4.95,2.35,NA,20,6.75,0.79,NA,20,4.65,1.66,NA,20
gut,gut,4.72,1.99,2,18,4.28,2.49,2,18,5.5,2.44,NA,20,4.71,1.98,6,14
hall,hall,5.15,1.46,NA,20,4.55,1.88,NA,20,6.95,0.23,1,19,5.21,1.47,1,19
happy,happy,8.2,1.28,NA,20,5.71,3.13,NA,21,7,0,NA,21,5.24,2.1,NA,21
hard,hard,5.7,2.11,NA,20,5.85,1.76,NA,20,7,0,NA,20,3.89,2,1,19
hardcore,hardcore,5.7,2.56,NA,20,7.15,1.57,NA,20,6.7,1.34,NA,20,3.65,1.98,NA,20
hardware,hardware,5.2,1.7,NA,20,4.25,2.79,NA,20,6.9,0.45,NA,20,5.2,1.99,NA,20
hashtag,hashtag,4.58,1.87,1,19,4.33,1.98,NA,21,6.86,0.65,NA,21,5.19,2.06,NA,21
hattrick,hattrick,6.2,1.78,5,15,6.53,2.44,1,19,5.05,2.58,NA,20,4.5,2.23,2,18
heavy,heavy,4,1.34,NA,20,5.19,2.11,NA,21,6.95,0.22,NA,21,5.24,1.76,NA,21
hello,hello,7.21,2.12,1,19,3.67,2.5,NA,21,6.9,0.44,NA,21,5.62,1.66,NA,21
help,help,5.1,1.77,NA,20,6.5,2.63,NA,20,7,0,NA,20,4.7,2.05,NA,20
high,high,6.4,1.57,NA,20,6,2.22,NA,20,6.95,0.22,NA,20,5.35,2.03,NA,20
holiday,holiday,7.6,1.98,NA,20,3.8,3.16,NA,20,6.85,0.49,NA,20,4.25,1.8,NA,20
home,home,7.55,1.5,NA,20,3.35,2.7,NA,20,7,0,NA,20,6.1,1.45,NA,20
horror,horror,4.15,2.21,NA,20,7.35,1.84,NA,20,7,0,NA,20,4.6,1.85,NA,20
hot,hot,6.05,2.33,NA,20,6.7,2.58,NA,20,7,0,NA,20,5.15,2.16,NA,20
house,house,7.05,2.14,NA,20,3.4,2.41,NA,20,6.8,0.7,NA,20,5.95,1.64,NA,20
image,image,5.45,2.09,NA,20,4.35,1.79,NA,20,6.85,0.49,NA,20,4.55,2.09,NA,20
inbox,inbox,5.6,2.23,NA,20,5.2,1.64,NA,20,7,0,NA,20,5.7,1.66,NA,20
indie,indie,5.78,1.73,2,18,4.5,2.42,NA,20,5.74,1.79,1,19,2.94,1.43,3,17
influencer,influencer,3.9,2.22,NA,20,4.45,2.54,NA,20,6.85,0.67,NA,20,3.6,2.14,NA,20
interview,interview,5.9,1.8,NA,20,5.7,1.81,NA,20,7,0,NA,20,5.85,1.63,NA,20
jackpot,jackpot,6.55,1.82,NA,20,6.8,2.24,NA,20,6.95,0.22,NA,20,6.3,0.92,NA,20
jam,jam,5.89,2.45,2,18,4.29,2.45,NA,21,5.65,2.21,NA,20,3.95,1.88,NA,21
jazz,jazz,5.95,1.88,NA,20,4.2,2.48,NA,20,6.75,1.12,NA,20,6.25,1.33,NA,20
jeans,jeans,6.1,1.74,NA,20,4.1,2.53,NA,20,6.65,1.35,NA,20,5.95,1.43,NA,20
job,job,5.3,1.98,NA,20,5.35,2.74,NA,20,6.95,0.22,NA,20,4.55,1.88,NA,20
joint,joint,5.4,2.58,NA,20,4.9,3.21,NA,21,6.67,0.86,NA,21,5.95,1.56,NA,21
joker,joker,5.75,2.24,NA,20,5.9,2.57,NA,20,6.85,0.49,NA,20,5.1,1.62,NA,20
jumbo,jumbo,5.75,2.15,NA,20,5.5,2.16,1,20,7,0,NA,20,4.24,1.61,NA,21
kick,kick,4.47,1.84,1,19,5.4,1.9,NA,20,6.25,1.41,NA,20,5.15,1.79,NA,20
kickboxing,kickboxing,5.05,2.24,NA,20,6.26,2.16,1,19,6.8,0.62,NA,20,6.45,1,NA,20
kiss,kiss,7.6,1.5,NA,20,6.19,2.89,NA,21,7,0,NA,21,6.14,1.28,NA,21
laptop,laptop,5.8,2.02,NA,20,4.75,1.94,NA,20,6.95,0.22,NA,20,6.5,1.19,NA,20
leasing,leasing,5.21,1.93,1,19,4.2,1.96,NA,20,5.45,2.06,NA,20,4.78,1.77,2,18
level,level,5.95,1.93,NA,20,4.19,1.94,NA,21,6.7,1.34,NA,20,3.95,1.86,NA,21
life,life,7.15,2.25,NA,20,5.43,2.94,NA,21,6.9,0.45,NA,20,4.29,2.17,NA,21
lifestyle,lifestyle,6.15,2.5,NA,20,3.95,2.48,NA,20,6.65,0.88,NA,20,4.8,2.12,NA,20
light,light,6.85,1.87,NA,20,4.3,2.32,NA,20,7,0,NA,20,3.85,2.03,NA,20
like,like,6.55,2.21,NA,20,5.2,2.65,NA,20,6.9,0.31,NA,20,4.8,2.26,NA,20
link,link,5.3,2,NA,20,4.6,2.33,NA,20,6.8,0.7,NA,20,5.9,1.59,NA,20
live,live,7,1.75,NA,20,5.9,2.36,NA,21,6.95,0.22,NA,20,4.24,1.79,NA,21
look,look,4.8,2.12,NA,20,4.2,2.17,NA,20,6.8,0.89,NA,20,4.25,1.55,NA,20
lounge,lounge,6.26,1.15,1,19,3.32,2.43,1,19,6.35,1.27,NA,20,3.74,1.94,1,19
magic,magic,7.15,1.9,NA,20,5,2.7,NA,20,6.84,0.69,1,19,4,2.18,NA,20
mail,mail,5.25,1.86,NA,20,5.35,2.13,NA,20,7,0,NA,20,5.4,1.7,NA,20
mainstream,mainstream,5.65,1.76,NA,20,4.53,1.71,1,19,6.1,1.74,NA,20,4.8,2.04,NA,20
makeover,makeover,6,1.86,NA,20,4.8,2.35,NA,20,6.9,0.31,NA,20,3.95,1.82,NA,20
management,management,4.35,1.9,NA,20,4.9,2.1,NA,20,6.65,1.09,NA,20,4.65,1.95,NA,20
manager,manager,4.9,1.65,NA,20,5.58,2.43,1,19,7,0,NA,20,5.4,2.01,NA,20
mass,mass,4.95,1.99,1,19,5.05,2.14,NA,20,6.15,1.73,NA,20,3.44,1.89,2,18
master,master,5.7,1.78,NA,20,4.95,2.04,1,20,6.9,0.3,NA,21,4.85,2.16,1,20
masterplan,masterplan,5.74,1.82,1,19,5.32,2.21,1,19,6.42,1.07,1,19,5.4,1.82,NA,20
matrix,matrix,5.05,2.39,NA,20,5.26,1.97,1,19,5.35,1.84,NA,20,3.53,1.9,1,19
messenger,messenger,5.95,2.33,NA,20,5,1.97,NA,20,7,0,NA,20,5.15,1.73,NA,20
mirror,mirror,5.15,2.32,NA,20,4.4,2.3,NA,20,6.85,0.67,NA,20,6.35,1.18,NA,20
miss,miss,5.15,2.06,NA,20,4.62,2.67,NA,21,6.9,0.3,NA,21,5.76,1.58,NA,21
mister,mister,4.63,1.83,1,19,4.1,2.05,NA,21,6.81,0.68,NA,21,5.4,1.6,1,20
mobbing,mobbing,3.11,2.08,1,19,5.47,2.65,2,19,6.24,1.73,NA,21,5.24,1.76,NA,21
monitor,monitor,5.1,1.59,NA,20,4.7,2.34,NA,20,6.9,0.31,NA,20,5.9,1.59,NA,20
monitoring,monitoring,4.56,1.89,2,18,5.25,1.52,NA,20,6.84,0.37,1,19,4.6,1.76,NA,20
moody,moody,3.9,1.8,NA,20,4.2,2.38,NA,20,6.25,1.62,NA,20,4.75,1.45,NA,20
muffin,muffin,7.65,1.76,NA,20,3.9,2.99,NA,20,7,0,NA,20,5.9,1.29,NA,20
multiplayer,multiplayer,6.55,2.11,NA,20,4.67,2.61,NA,21,6.9,0.45,NA,20,4.29,1.9,NA,21
music,music,7.45,2.31,NA,20,6.3,2.99,NA,20,6.65,1.35,NA,20,5.9,1.29,NA,20
name,name,5.7,1.63,NA,20,3.62,1.8,NA,21,7,0,NA,21,5.33,1.8,NA,21
national,national,6.2,1.2,NA,20,4.3,2.27,NA,20,6.95,0.22,NA,20,4.75,1.77,NA,20
nature,nature,7.42,1.77,1,19,3.38,2.54,NA,21,6.95,0.22,NA,21,5.43,1.63,NA,21
net,net,5.8,2.42,NA,20,4.85,1.69,NA,20,7,0,NA,20,4.45,1.85,NA,20
network,network,5.5,2.06,NA,20,4.5,2.04,NA,20,6.6,1.19,NA,20,4.42,2.19,1,19
never,never,4.2,2.12,NA,20,5.4,1.7,NA,20,7,0,NA,20,4.11,2.35,2,18
new,new,6.95,1.68,1,19,6.14,2.08,NA,21,7,0,NA,21,5.38,2.01,NA,21
news,news,6.1,2.31,NA,20,5.95,2.33,NA,21,6.95,0.22,NA,20,4.57,1.86,NA,21
newsletter,newsletter,5.21,1.93,1,19,4.42,2.01,1,19,6.6,0.88,NA,20,5.85,1.76,NA,20
nick,nick,5.05,2.53,1,19,4.45,2.42,NA,20,6.2,1.64,NA,20,3.55,2.28,NA,20
night,night,6.4,1.73,NA,20,3.76,2.34,NA,21,7,0,NA,21,6.29,1.55,NA,21
note,note,4.95,1.96,NA,20,3.1,1.83,NA,20,6.5,1.57,NA,20,5,1.86,NA,20
offroad,offroad,6.35,1.69,NA,20,4.9,3.14,NA,20,6.3,1.38,NA,20,4.47,1.78,1,19
offshore,offshore,4.5,2.31,NA,20,4.7,2.3,1,20,5.95,1.69,NA,21,4.72,2.02,3,18
oil,oil,5.25,2.47,NA,20,4.9,2.55,NA,21,6.85,0.37,NA,20,5.33,1.68,NA,21
old,old,4,1.91,1,19,3.38,1.91,NA,21,7,0,NA,21,6.05,1.53,NA,21
online,online,6.35,2.48,NA,20,4.38,1.53,NA,21,7,0,NA,20,4.33,2.15,NA,21
open,open,6.6,1.98,NA,20,4.8,2.24,NA,20,7,0,NA,20,4.4,2.04,NA,20
outdoor,outdoor,6.6,1.88,NA,20,4.85,3.05,NA,20,7,0,NA,20,4.4,2.14,NA,20
outfit,outfit,7.1,1.86,NA,20,5.3,2.11,NA,20,7,0,NA,20,5.1,1.89,NA,20
outlet,outlet,6.2,1.96,NA,20,5.05,2.61,NA,20,6.75,0.72,NA,20,4.2,1.82,NA,20
outsourcing,outsourcing,4.39,1.82,2,18,4.94,1.55,3,18,5.9,1.61,NA,21,4.89,2.08,3,18
pack,pack,5.5,1.1,4,16,4.06,1.76,2,18,6.1,1.52,NA,20,4.79,1.9,1,19
page,page,4.6,1.85,NA,20,4.15,2.3,NA,20,6.9,0.31,NA,20,6.1,1.25,NA,20
party,party,7.2,1.91,NA,20,7,1.84,NA,21,7,0,NA,21,6.14,1.35,NA,21
patch,patch,5.17,1.92,2,18,4.89,2.35,1,19,6.4,1.5,NA,20,4.59,1.84,3,17
people,people,5.65,2.28,NA,20,5.32,2.52,1,19,6.9,0.31,NA,20,4.95,1.88,NA,20
performance,performance,5.85,1.98,NA,20,6.57,1.75,NA,21,6.71,0.9,NA,21,5.14,1.82,NA,21
phone,phone,5.25,1.8,NA,20,5.6,2.58,NA,20,7,0,NA,20,5.45,1.96,NA,20
photo,photo,6.55,1.76,NA,20,4.45,2.5,NA,20,6.95,0.22,NA,20,6.1,1.65,NA,20
pick,pick,5.05,2.06,NA,20,5.42,1.57,1,19,7,0,NA,20,3.95,2.01,1,19
pink,pink,6.4,2.01,NA,20,5.35,2.16,NA,20,7,0,NA,20,5.8,1.47,NA,20
pixel,pixel,5.05,2.21,NA,20,3.63,2.41,1,19,6.15,1.69,NA,20,5.9,1.12,NA,20
play,play,6.6,2.09,NA,20,5.19,1.99,NA,21,6.95,0.22,NA,20,4.1,2.07,NA,21
playboy,playboy,5.4,2.72,NA,20,6.55,2.14,NA,20,6.75,0.79,NA,20,4.9,1.86,NA,20
player,player,4.9,2.25,NA,20,5.6,1.98,NA,20,6.75,0.55,NA,20,4.9,1.77,NA,20
playmaker,playmaker,6.06,1.73,2,18,4.81,2.44,NA,21,6.38,1.43,NA,21,5.24,1.89,NA,21
playoff,playoff,6.05,2.26,NA,20,5.05,2.32,2,19,6.15,1.63,NA,20,4.39,1.79,3,18
point,point,5.37,1.07,1,19,3.75,1.97,NA,20,6.8,0.52,NA,20,5.05,2.33,NA,20
port,port,6.11,1.76,1,19,4.65,1.9,NA,20,6.25,1.45,NA,20,4.75,1.62,NA,20
post,post,6.2,2.09,NA,20,4.38,1.75,NA,21,6.95,0.22,NA,20,4.55,1.88,1,20
power,power,6.85,1.09,NA,20,6.35,1.66,NA,20,6.9,0.45,NA,20,4.5,1.99,NA,20
prepaid,prepaid,5.7,2.03,NA,20,4.95,2.04,NA,20,6.47,1.43,1,19,5.6,1.47,NA,20
press,press,4.4,1.14,NA,20,4.81,2.32,NA,21,6.67,0.97,NA,21,5.48,1.78,NA,21
project,project,5.5,1.88,NA,20,5.45,2.04,NA,20,6.75,0.79,NA,20,4.65,2.01,NA,20
pub,pub,7.3,2.23,NA,20,6.25,2.4,NA,20,6.95,0.22,NA,20,6.15,1.18,NA,20
punk,punk,5.3,2.47,NA,20,6.05,1.96,1,20,6.65,1.14,NA,20,4.9,1.92,NA,21
queer,queer,4.95,1.68,1,19,5.39,2.43,2,18,6.2,1.67,NA,20,3.78,1.99,2,18
race,race,6.3,2.11,NA,20,5.4,2.41,NA,20,6.7,0.98,NA,20,3.79,1.81,1,19
racing,racing,5.6,2.3,NA,20,6.67,2.11,NA,21,6.95,0.22,NA,21,5.52,1.4,NA,21
rally,rally,5.78,1.86,2,18,5.47,2.48,1,19,5.45,2.04,NA,20,4.74,1.94,1,19
ranking,ranking,5.11,2.47,2,18,5.45,1.82,1,20,6.5,1.4,NA,20,3.58,1.61,2,19
real,real,5.9,2.25,NA,20,6,2.05,NA,20,7,0,NA,20,3.7,2.11,NA,20
reality,reality,5.4,1.9,NA,20,5.95,2.06,NA,20,6.9,0.45,NA,20,4.25,2.12,NA,20
reggae,reggae,5.67,2.35,2,18,2.63,1.67,5,16,5.89,2,1,19,5.1,1.84,NA,21
remake,remake,5.94,1.59,2,18,5.35,2.13,NA,20,6.8,0.7,NA,20,4.7,1.81,NA,20
research,research,5.16,2.32,1,19,5,2.1,NA,20,6.65,0.99,NA,20,5.4,1.57,NA,20
resort,resort,7.2,1.47,NA,20,3.7,2.43,NA,20,6.6,0.82,NA,20,4.6,1.67,NA,20
road,road,6.55,1.82,NA,20,4.48,2.56,NA,21,7,0,NA,20,5.52,1.5,NA,21
roaming,roaming,4.5,1.99,NA,20,4.32,1.92,1,19,6.7,0.66,NA,20,4.15,1.84,NA,20
rock,rock,6.8,2.31,NA,20,7.1,2.05,NA,20,6.75,0.91,NA,20,5.6,1.54,NA,20
rocker,rocker,6.2,1.67,NA,20,6.25,2.07,NA,20,6.85,0.37,NA,20,5.53,1.98,1,19
roll,roll,5.35,0.99,NA,20,3.65,2.08,NA,20,6.4,1.5,NA,20,3.16,1.86,1,19
rookie,rookie,4.29,1.61,3,17,4.24,2.22,3,17,5.1,2.43,NA,20,4.94,1.95,4,16
room,room,5.58,1.5,1,19,3.75,2.71,NA,20,6.85,0.49,NA,20,4.8,2.04,NA,20
rose,rose,7,1.89,NA,20,4.25,2.45,NA,20,6.6,0.88,NA,20,4.7,2.08,NA,20
roster,roster,5,1.68,2,18,4.13,2.03,4,16,5.1,2.38,NA,20,4.07,2.34,6,14
router,router,5.35,2.11,NA,20,4.65,1.66,NA,20,6.7,1.13,NA,20,5.15,1.69,NA,20
royal,royal,6.5,1.54,2,18,4.8,2.78,NA,20,6.6,0.82,NA,20,5.7,1.38,NA,20
save,save,5.15,1.73,NA,20,4.29,2.31,NA,21,6.95,0.22,NA,21,4.71,2.05,NA,21
science,science,5.95,1.9,NA,20,5.2,2.09,NA,20,6.95,0.22,NA,20,4.65,2.16,NA,20
screenshot,screenshot,5.21,1.51,1,19,4.52,1.94,NA,21,7,0,NA,21,6.52,1.03,NA,21
search,search,5.05,1.73,NA,20,4,2.05,NA,20,6.95,0.22,NA,20,4.4,2.33,NA,20
secret,secret,5.1,2.05,NA,20,6.4,1.96,NA,20,7,0,NA,20,4.75,1.92,NA,20
security,security,6.1,2.2,NA,20,5,1.82,NA,21,6.9,0.31,NA,20,4.57,1.78,NA,21
selfie,selfie,5.75,1.37,NA,20,5.35,2.41,NA,20,6.79,0.71,1,19,5.9,1.33,NA,20
sentiment,sentiment,5.95,2.07,1,19,3.95,2.31,NA,20,6.45,1.43,NA,20,4.4,2.14,NA,20
server,server,5.2,1.7,NA,20,4.67,1.93,NA,21,6.76,0.62,NA,21,5.48,1.72,NA,21
session,session,5.9,2.63,NA,20,5,2.33,2,19,6.9,0.31,NA,20,3.9,1.7,NA,21
sex,sex,8,1.3,NA,20,7.2,2.35,NA,20,7,0,NA,20,6.85,0.67,NA,20
sexy,sexy,6.8,1.61,NA,20,7.29,2.05,NA,21,7,0,NA,21,5.14,2.01,NA,21
shit,shit,6,2.94,NA,20,5.85,1.98,NA,20,7,0,NA,20,4.35,2.32,NA,20
shop,shop,6.8,2.26,NA,20,5.05,2.06,NA,20,7,0,NA,20,5,1.69,NA,20
shopping,shopping,6.4,1.9,NA,20,5.8,2.26,NA,20,7,0,NA,20,6.5,0.76,NA,20
show,show,6.3,1.78,NA,20,6.1,1.74,NA,20,6.9,0.45,NA,20,4.9,1.89,NA,20
silver,silver,6.6,1.43,NA,20,4.79,2.25,1,19,6.95,0.22,NA,20,5.65,1.69,NA,20
