word_croatian_equivalent,word_croatian,valence_mean,valence_sd,valence_unknown,valence_n,arousal_mean,arousal_sd,arousal_unknown,arousal_n,familiar_mean,familiar_sd,familiar_unknown,familiar_n,concrete_mean,concrete_sd,concrete_unknown,concrete_n
rezultat,rezultat,6.95,1.67,NA,20,6.1,2.55,NA,20,6.85,0.67,NA,20,5.4,1.93,NA,20
riba,riba,6.25,1.77,NA,20,2.8,1.44,NA,20,7,0,NA,20,6.15,1.57,NA,20
ritam,ritam,7.15,1.57,NA,20,5.95,2.33,NA,20,6.95,0.22,NA,20,5.65,1.98,NA,20
rodni,rodni,5.75,2.59,NA,20,3.48,1.86,NA,21,6.95,0.22,NA,20,3.9,1.76,NA,21
ronjenje,ronjenje,6.8,1.88,NA,20,5.9,2.41,NA,21,6.9,0.45,NA,20,6.1,1.09,NA,21
ručak,ručak,7.65,1.69,NA,20,5.2,2.28,NA,20,7,0,NA,20,6.2,1.28,NA,20
sastanak,sastanak,4.9,1.8,NA,20,5.2,2.26,NA,20,7,0,NA,20,6.35,1.09,NA,20
savršen,savršen,7.15,2.13,NA,20,4.25,2.83,NA,20,6.8,0.89,NA,20,4.95,2.19,NA,20
šećer,šećer,6.25,1.41,NA,20,4.71,2.17,NA,21,7,0,NA,21,6.62,0.74,NA,21
selo,selo,5.85,2.37,NA,20,3.25,2.2,NA,20,6.9,0.45,NA,20,6.25,0.97,NA,20
siguran,siguran,7.35,1.84,NA,20,3.4,2.28,NA,20,7,0,NA,20,5.4,1.82,NA,20
sigurnost,sigurnost,7.1,1.59,NA,20,3.38,2.77,NA,21,7,0,NA,21,5.05,2.16,NA,21
širokokutni,širokokutni,5.45,2.16,NA,20,4.1,2.45,NA,21,6.45,1.19,NA,20,5.29,1.71,NA,21
širokopojasni,širokopojasni,5,1.63,1,19,3.86,1.9,NA,21,6.24,1.18,NA,21,4.65,2.25,1,20
sirov,sirov,5.2,1.96,NA,20,4.42,2.17,1,19,6.85,0.67,NA,20,5.3,2,NA,20
sirutka,sirutka,5.11,1.59,1,19,3.21,2.35,1,19,6.35,1.66,NA,20,5.79,1.55,1,19
sjaj,sjaj,7.05,1.54,NA,20,5.55,2.21,NA,20,6.95,0.22,NA,20,5.37,1.86,1,19
skakanje,skakanje,5.9,2.27,NA,20,6.6,2.28,NA,20,6.9,0.45,NA,20,5.95,1.39,NA,20
škljocnuti,škljocnuti,5.75,1.55,NA,20,4.24,1.81,NA,21,6.75,0.72,NA,20,5.1,1.81,NA,21
skup,skup,5.25,2.34,NA,20,4.7,1.98,NA,20,6.7,0.98,NA,20,4.85,1.66,NA,20
sladak,sladak,7.6,1.79,NA,20,4.86,2.56,NA,21,6.95,0.22,NA,20,5,1.73,NA,21
slagalica,slagalica,6.15,1.81,NA,20,4.1,2.53,NA,20,7,0,NA,20,5.55,1.67,NA,20
sličica,sličica,5.4,1.5,NA,20,3.81,2.11,NA,21,6.9,0.44,NA,21,5.86,1.74,NA,21
slijed,slijed,4.7,1.98,NA,20,3.65,1.66,NA,20,7,0,NA,20,4.75,1.68,NA,20
slijep,slijep,3,1.62,NA,20,4.9,2.77,NA,20,6.9,0.45,NA,20,5.75,1.45,NA,20
slijetanje,slijetanje,4.95,1.32,NA,20,5.25,2.67,NA,20,7,0,NA,20,6.15,0.93,NA,20
sloboda,sloboda,8.2,1.4,NA,20,5,2.83,NA,20,7,0,NA,20,5.45,2.37,NA,20
sloj,sloj,4.9,0.85,NA,20,3.7,2.23,NA,20,6.85,0.49,NA,20,4.2,2.21,NA,20
slučajan,slučajan,5.35,1.46,NA,20,3.45,1.99,NA,20,6.95,0.22,NA,20,5.4,1.82,NA,20
smiješan,smiješan,7.3,2.25,NA,20,5.2,2.63,NA,20,7,0,NA,20,5,2.05,NA,20
šmokljan,šmokljan,3.75,1.77,NA,20,4.19,1.91,NA,21,6.86,0.36,NA,21,5.43,1.63,NA,21
smrt,smrt,2.3,2.64,NA,20,6.25,2.97,NA,20,6.7,1.34,NA,20,6.25,1.29,NA,20
snimanje,snimanje,5.3,1.53,NA,20,5.52,2.25,NA,21,6.95,0.22,NA,21,5.71,1.38,NA,21
snimiti,snimiti,5.95,1.39,NA,20,4.15,2.21,NA,20,6.95,0.22,NA,20,5.2,1.88,NA,20
sok,sok,7.79,1.36,1,19,4,2.05,NA,21,6.9,0.31,NA,20,5.76,1.61,NA,21
spašavanje,spašavanje,6.3,2.41,NA,20,5.6,2.41,NA,20,6.7,0.98,NA,20,5.3,1.66,NA,20
spavanje,spavanje,7.45,2.11,NA,20,3.9,3.35,NA,21,6.95,0.22,NA,20,5.62,1.53,NA,21
spoj,spoj,6.65,1.93,NA,20,6.75,1.77,NA,20,7,0,NA,20,5.45,2.01,NA,20
spojiti,spojiti,5.85,1.23,NA,20,4.35,2.37,NA,20,6.95,0.22,NA,20,4.65,2.08,NA,20
spojka,spojka,5.25,2.27,NA,20,4.5,2.69,1,20,6.6,0.88,NA,20,4.53,1.87,2,19
spor,spor,4.75,2.12,NA,20,3.24,2.36,NA,21,6.95,0.22,NA,21,5.86,1.59,NA,21
srednji,srednji,5.05,1.5,NA,20,4,1.59,NA,20,7,0,NA,20,5.95,1.9,NA,20
stanica,stanica,5.1,1.37,NA,20,3.95,1.96,NA,21,6.9,0.3,NA,21,5.43,1.69,NA,21
stavka,stavka,5.05,1.96,NA,20,4.3,1.66,NA,20,6.9,0.45,NA,20,4.7,1.66,NA,20
stran,stran,5.9,1.41,NA,20,5.15,2.52,NA,20,7,0,NA,20,5,2.03,NA,20
stručnjak,stručnjak,6.05,2.14,NA,20,5,1.69,NA,20,7,0,NA,20,5.35,1.76,NA,20
sučelje,sučelje,4.74,1.59,1,19,4.26,2.45,1,19,6.4,1.43,NA,20,4.53,1.9,1,19
sudar,sudar,3.1,2.31,NA,20,6.8,1.74,NA,20,7,0,NA,20,5.65,1.66,NA,20
suh,suh,4.55,1.39,NA,20,3.45,2.54,NA,20,7,0,NA,20,5.3,1.81,NA,20
superzvijezda,superzvijezda,5.7,1.98,NA,20,5.6,2.78,NA,20,6.7,0.8,NA,20,4.65,2.3,NA,20
suradni,suradni,5.5,2.04,NA,20,4.43,2.04,NA,21,6.15,1.6,NA,20,3.26,1.79,2,19
svladavanje,svladavanje,6.1,2.38,NA,20,5.33,2.69,NA,21,6.9,0.45,NA,20,4.05,1.88,NA,21
teretana,teretana,6.7,1.95,NA,20,5.85,2.5,NA,20,6.7,1.34,NA,20,6.25,1.07,NA,20
tetovaža,tetovaža,7.1,1.92,NA,20,5.8,2.33,NA,20,7,0,NA,20,6.2,1.28,NA,20
tih,tih,4.6,1.9,NA,20,2.4,1.23,NA,20,7,0,NA,20,5.45,1.43,NA,20
tjedan,tjedan,5.3,2.05,NA,20,4.95,2.11,NA,20,7,0,NA,20,6.65,0.75,NA,20
trbušnjaci,trbušnjaci,5.7,2.27,NA,20,6,2.54,1,19,7,0,NA,20,6.5,0.95,NA,20
trener,trener,5.45,1.61,NA,20,4.9,2.27,NA,20,7,0,NA,20,6.35,1.5,NA,20
treniranje,treniranje,6.4,2.06,NA,20,6.86,2.01,NA,21,7,0,NA,21,5.9,1.22,NA,21
trgovac,trgovac,5.55,1.64,NA,20,4.55,2.5,NA,20,6.85,0.37,NA,20,5.5,1.54,NA,20
trgovanje,trgovanje,4.85,1.79,NA,20,4.65,2.18,NA,20,7,0,NA,20,5.55,2.01,NA,20
trošak,trošak,3.5,1.85,NA,20,5.15,2.01,NA,20,7,0,NA,20,5.95,1.99,NA,20
tvorac,tvorac,6.25,2,NA,20,4.05,2.22,NA,21,6.9,0.45,NA,20,4.95,1.96,NA,21
tvornica,tvornica,5,1.52,NA,20,4.55,1.9,NA,20,7,0,NA,20,6.4,0.99,NA,20
ubijanje,ubijanje,2.35,2.89,NA,20,6.81,2.6,NA,21,6.9,0.31,NA,20,5.48,1.44,NA,21
ubojica,ubojica,2.3,2.13,NA,20,6.81,2.56,NA,21,7,0,NA,21,6.33,1.02,NA,21
učenje,učenje,4.9,1.97,NA,20,4.8,2.91,NA,20,6.95,0.22,NA,20,5.05,1.85,NA,20
uglavnom,uglavnom,5.7,2.52,NA,20,3.81,1.86,NA,21,6.95,0.22,NA,20,3.1,2.02,NA,21
ugljik,ugljik,4.45,1.64,NA,20,3.43,1.78,NA,21,6.76,0.77,NA,21,5.95,1.56,NA,21
ulagač,ulagač,5.9,2.25,NA,20,4.43,2.2,NA,21,6.85,0.49,NA,20,4.52,1.75,NA,21
ulazan,ulazan,5.1,2.27,NA,20,4.45,1.76,NA,20,7,0,NA,20,4.95,1.9,NA,20
umetnuti,umetnuti,5.95,1.79,NA,20,5.05,2.5,NA,20,6.95,0.22,NA,20,5.15,1.81,NA,20
umjetnik,umjetnik,6.8,1.96,NA,20,4.8,2.09,NA,20,7,0,NA,20,5.45,1.79,NA,20
umrežavanje,umrežavanje,5.55,2.31,NA,20,4.53,2.57,2,19,6.75,0.79,NA,20,3.9,2.05,NA,21
unija,unija,5.17,1.98,2,18,4.35,2.08,NA,20,6.95,0.22,NA,20,4.6,2.3,NA,20
upozorenje,upozorenje,4.35,1.9,NA,20,6.14,2.24,NA,21,7,0,NA,21,5.57,1.47,NA,21
ured,ured,4.35,1.95,NA,20,4.95,2.06,NA,20,7,0,NA,20,6.3,0.98,NA,20
uređaj,uređaj,5.3,1.08,NA,20,4.1,1.73,NA,21,7,0,NA,21,5.71,1.49,NA,21
usluga,usluga,5.6,1.47,NA,20,4.05,1.88,NA,20,7,0,NA,20,5.55,2.16,NA,20
utičnica,utičnica,5.4,2.01,NA,20,4.4,2.28,NA,20,7,0,NA,20,6.15,1.84,NA,20
utjecaj,utjecaj,5,2.45,NA,20,5.05,2.11,NA,20,6.6,1.39,NA,20,4.55,2.19,NA,20
utjeha,utjeha,6.1,1.71,NA,20,3.7,2.32,NA,20,7,0,NA,20,5.7,1.98,NA,20
uvid,uvid,5.05,1.54,NA,20,4.67,1.93,NA,21,6.67,1.15,NA,21,4.95,1.83,NA,21
uzorak,uzorak,4.95,0.94,NA,20,3.38,2.2,NA,21,7,0,NA,21,5.57,1.8,NA,21
vijeće,vijeće,4.25,1.45,NA,20,4.05,2.14,NA,20,7,0,NA,20,5.85,1.46,NA,20
vino,vino,7.25,1.52,NA,20,5.4,3.19,NA,20,7,0,NA,20,6.6,0.82,NA,20
vizualan,vizualan,6.55,1.9,NA,20,4.5,1.93,NA,20,7,0,NA,20,4.75,1.68,NA,20
vjenčanje,vjenčanje,6.95,1.7,NA,20,5.9,2.63,NA,20,6.95,0.22,NA,20,6.4,0.99,NA,20
vjernost,vjernost,7.2,2.19,NA,20,3.75,2.22,NA,20,6.95,0.22,NA,20,5.1,1.8,NA,20
vještina,vještina,6.6,1.73,NA,20,5.4,2.72,NA,20,6.95,0.22,NA,20,4.15,2.08,NA,20
vjetar,vjetar,5.68,1.83,1,19,4.1,2.36,NA,20,7,0,NA,20,6.3,1.66,NA,20
vođa,vođa,5.85,1.46,NA,20,5.5,2.06,NA,20,7,0,NA,20,6.4,1.1,NA,20
vodič,vodič,5.45,1.36,NA,20,4.85,1.9,NA,20,7,0,NA,20,5.8,1.7,NA,20
vojni,vojni,3.85,2.01,NA,20,5.9,2.29,NA,20,7,0,NA,20,5.85,1.5,NA,20
vojnički,vojnički,4.25,2.17,NA,20,5.95,2.31,NA,20,6.95,0.22,NA,20,6,1.21,NA,20
vrag,vrag,3.8,2.07,NA,20,6.57,1.78,NA,21,7,0,NA,21,5.43,2.23,NA,21
vrhnje,vrhnje,6.6,1.85,NA,20,4.3,2.25,NA,20,6.9,0.31,NA,20,6.35,1.57,NA,20
