word_spanish,translate_word_english,pos,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,availability_mean,availability_sd,availability_n,familiar_mean,familiar_sd,familiar_n
claridad,clarity,N,6.7,1.36,23,2.95,2.31,20,2.77,1.34,22,2.65,1.43,23,3.32,1.99,22,5.62,1.28,21
clase,class,N,5.41,1.18,22,4.41,1.59,22,4.55,2.06,22,6.2,1.06,20,6.14,1.58,22,6.81,0.51,21
cliente,customer,N,5.82,0.85,22,4.75,2.57,20,4.75,2,20,5.38,1.75,21,5.82,1.44,22,6.48,0.98,21
clima,climate,N,5.9,1.37,21,3.4,1.93,20,2.9,1.74,20,4.15,1.79,20,5.35,1.6,20,6.17,1.47,23
cobarde,coward,A N,2.91,1.44,23,5.73,2.14,22,4.77,1.93,22,2.9,1.61,21,4.68,1.94,22,5.35,1.39,20
cocaína,cocaine,N,2.25,1.39,24,5.33,2.99,21,6.82,0.5,22,5.86,1.46,22,5.9,1.89,20,5.09,2.04,22
coche,car,N,5.82,1.44,22,5.65,1.79,20,6.14,1.67,22,6.91,0.43,22,6.65,0.75,20,6.86,0.35,22
coco,coconut,N,5.73,1.12,22,3.59,1.79,22,5.9,1.58,21,6.71,0.46,21,5.5,2.06,20,5.73,1.64,22
cocodrilo,crocodile,N,3.85,1.23,20,6.85,1.98,20,6.95,0.21,22,6.75,0.44,20,5,2.28,23,5.68,1.52,22
codicia,greed,N V,2.74,1.39,23,6.05,1.94,22,2.85,1.9,20,2.45,1.47,20,2.14,1.13,22,3.95,2.06,21
código,code,N,4.71,0.72,21,3.9,1.83,20,3.75,1.77,20,4.81,1.6,21,5,1.95,22,5.68,1.46,22
codo,elbow,N,4.64,0.95,22,3.62,1.94,21,6.45,1.18,22,6.96,0.21,23,4.77,2.62,22,6.62,0.92,21
coito,intercourse,V N,7.43,1.16,21,7.86,0.99,22,5.95,1.15,20,5.6,1.47,20,5.64,1.81,22,5.38,1.24,21
cojo,lame,V N A,3.31,1.54,26,5,1.52,20,5.19,1.97,21,5.5,1.64,20,4.45,2.15,22,5.9,1.12,20
cola,tail,N,4.07,1.21,28,4.7,2.29,23,3,1.88,22,5.62,1.83,21,4.76,2.21,21,6.09,1.11,22
colaboración,collaboration,N,7.45,0.76,20,4.91,2.16,22,3.26,1.84,23,3.7,1.72,23,4.83,2.29,23,5.77,1.41,22
colapso,collapse,V N,3.25,1.67,24,6.43,2.4,21,3.45,1.82,20,3.09,2.27,22,4.95,1.9,20,4.64,1.81,22
cólera,anger,N,3.05,1.47,20,7,1.95,20,4.05,1.76,20,2.67,1.46,21,3.68,2.19,22,4.38,1.63,21
colonia,colony,N,6.43,1.03,21,4.41,1.97,22,4.95,1.91,21,6.2,1.28,20,5.9,2.15,20,6.59,0.73,22
columna,column,N,4.91,0.29,22,3.6,1.67,20,5.1,1.29,20,6.77,0.53,22,5.15,2.46,20,6.29,0.78,21
coma,coma,N V,2.81,1.47,21,3.95,2.4,22,3.9,1.74,20,5.86,1.59,21,5.1,2.45,20,6.24,1.09,21
comadrona,midwife,N,7,1.34,20,5.45,1.93,20,6.74,0.54,23,5.87,1.52,23,4.64,1.87,22,3.1,1.61,21
combinación,combination,N,5.45,0.91,22,3.7,1.81,20,3.09,1.69,22,1.77,0.97,22,3.68,1.7,22,4.68,1.76,22
comedor,dining room,N,5.73,1.03,22,4.45,1.63,22,5.81,1.6,21,6.05,1.13,22,5.8,2.12,20,6.59,0.8,22
comentario,comment,N,5.21,1.25,24,4.86,1.31,21,3.8,1.7,20,3.4,1.73,20,4.9,2.1,20,6.45,0.89,20
comercio,trade,V N,5.4,1.1,20,4.77,2.2,22,3.73,1.98,22,5.5,1.19,20,6.1,1.25,20,5.86,1.32,22
cometa,comet,N V,6.26,1.18,23,3.3,2.18,20,5.4,1.57,20,6.19,1.08,21,6.18,1.3,22,5.15,1.95,20
comodidad,comfort,N,7.36,1.73,22,1.6,0.75,20,2.8,1.61,20,3.35,1.8,23,5.77,1.77,22,6.5,0.89,20
compasión,compassion,N,4.3,2.51,23,4.23,2.64,22,2.25,1.33,20,2.48,0.81,21,4.41,2.09,22,6.1,1.37,20
complacer,please,V,7.27,1.32,22,4.6,2.91,20,3.64,1.62,22,2.48,1.38,23,5.04,1.88,24,5.81,1.08,21
complejo,complex,A N,3.91,1.6,22,5.45,1.82,22,2.76,1.22,21,2.86,1.68,21,3.3,1.75,20,5.6,1.5,20
complicación,complication,N,2.25,0.85,20,7.59,1.33,22,2.4,1.6,20,1.77,1.15,22,4.83,2.1,23,5.68,1.76,22
compositora,composer,N,6.31,1.46,26,4,1.92,20,5.62,1.6,21,3.25,2.1,20,4.32,1.94,22,5,1.61,21
compromiso,commitment,N,6.39,1.41,23,6.14,2.55,22,3.52,1.75,21,3.38,2.04,21,5.64,1.62,22,5.76,1.48,21
comunicación,communication,N,7.25,1.07,20,4.09,2.27,22,3.17,1.47,23,4.61,2.27,23,5.7,1.94,23,6.32,0.89,22
comunidad,community,N,6.59,1.37,22,4,2.05,20,3.67,1.83,21,3.27,1.8,22,5.32,1.81,22,5.14,1.68,21
concesionario,dealer,N,5.54,1.53,26,4.25,1.55,20,6.1,1.22,21,6.6,1.14,20,5.14,1.78,22,5.27,1.83,22
conciencia,consciousness,N V,6.65,1.4,23,4.8,2.95,20,3.05,1.76,22,1.62,0.67,21,3.55,2.18,22,6.14,0.65,21
concurso,competition,V N,5.95,1.43,20,6,2.05,20,3.38,1.53,21,4.95,1.91,21,5.27,1.75,22,5.75,1.41,20
condena,sentence,N V,2.48,1.16,23,6.23,2.2,22,3.45,1.64,20,3.2,1.32,20,5.05,2.08,22,4.15,1.98,20
condenado,condemned,A V,1.92,0.93,26,6.75,2.02,20,4.71,1.82,21,4.25,1.94,20,4.05,1.89,22,4.38,1.94,21
condesa,countess,N V,4.7,1.63,20,4.45,1.96,20,5.43,1.29,21,4.68,1.89,22,3.27,2.21,22,3.91,1.44,22
condición,condition,N,4.79,1.28,24,5.43,0.98,21,2.27,1.35,22,1.45,0.91,22,3.05,2.11,20,5.95,1.32,20
condón,condom,N,6.6,1.85,20,5.64,2.68,22,6.82,0.5,22,6.81,0.4,21,6.48,0.73,23,6.43,0.81,21
conducto,duct,N,4.8,1.01,20,4.14,1.62,21,4.52,1.97,23,5.7,1.79,23,3.95,2.44,22,4.05,1.36,22
conductor,conductor,N,5.29,1.15,28,4.96,1.97,23,4.14,2.01,22,5.43,2.06,21,6.19,1.29,21,6.65,0.93,20
conferencia,conference,N V,5.3,1.33,23,3.59,2.17,22,4.8,1.67,20,5.2,1.36,20,5.55,1.44,22,5.3,1.69,20
conflicto,conflict,N,2.27,1.42,22,7.65,1.04,20,2.95,1.54,20,3.76,1.51,21,5.04,1.6,24,5.73,1.32,22
conjunto,set,V A N,5.32,1.52,22,4.65,2.03,20,2.15,1.46,20,2.55,1.87,22,3.33,2.22,24,5.65,1.63,20
conjuro,spell,V N,4.91,1.11,22,5.2,1.61,20,3.7,2.15,20,3.05,1.5,20,4.04,2.44,24,3.76,1.89,21
conquista,conquest,N V,6.14,1.91,22,6.05,2.16,20,3.95,1.96,20,3.05,1.68,22,5,1.98,22,5.55,1.76,20
consejo,advice,N,5.85,1.14,20,4.05,1.88,20,3.95,1.84,22,2.14,1.64,22,4.6,1.9,20,6.62,0.59,21
consolador,dildo,N,5.73,1.46,26,6.1,1.68,20,4.86,1.65,21,6.25,1.41,20,4.77,2.11,22,4.95,1.84,22
conspiración,conspiracy,N,3.41,1.84,22,5.65,2.6,20,3.5,1.92,22,2.65,1.75,23,2.5,1.71,22,4.23,1.69,22
contaminación,contamination,N,1.9,1.07,20,6.55,1.95,22,4.3,1.61,23,5.7,1.84,23,5.78,1.76,23,6.3,1.08,20
contenido,content,V A N,5.14,0.79,21,3.95,1.59,22,3.5,2.12,20,2.09,1.15,22,3.5,1.87,22,5.7,1.59,20
contexto,context,N,5.23,0.61,22,4.32,1.7,22,2.59,1.56,22,2.3,1.22,20,3.14,2.23,22,5.75,1.41,20
contrariedad,contrariness,N,3.27,1.12,22,6.05,1.76,20,2.5,1.54,22,1.77,1.38,22,3.42,2.02,24,4.45,2.02,22
contrincante,opponent,N,3.95,1.47,20,6.7,1.78,20,5.61,1.44,23,2.45,1.7,20,3.86,1.98,22,4.76,2.17,21
convivir,to live together with,V,6.95,0.94,20,5.05,2.38,22,4.39,1.8,23,4.65,2.04,23,5.52,2,23,6.19,1.12,21
copa,glass,N V,5.7,1.63,20,4.36,2.17,22,6,1.08,20,6.65,0.93,20,6.75,0.44,20,6.45,0.67,22
coral,coral,N A,5.71,1.06,21,3.95,1.56,22,5.09,1.72,22,5.82,1.18,22,5.15,2.39,20,4.8,1.51,20
corazón,heart,N,7.05,1.36,20,5.5,2.18,22,5.41,1.62,22,6.55,0.83,20,6.25,1.45,20,6.75,0.64,20
corbata,tie,N,4.96,1.15,23,4.4,2.01,20,6.68,0.57,22,6.91,0.29,22,6.55,0.8,22,5.91,1.6,22
corcho,cork,V N,5.05,1.21,22,3.73,1.86,22,6.3,1.08,20,6.14,1.24,21,5.23,2.18,22,5.67,1.24,21
cordero,lamb,N,5.24,1.22,21,4.05,1.86,22,6.41,1.01,22,6.55,0.74,22,5.14,2.08,22,5.95,1.32,21
corrección,correction,N,4.86,1.11,21,5.14,2.01,22,3.29,1.68,21,2.77,2.07,22,4.68,1.76,22,5.87,1.71,23
corredor,runner,N,4.82,1.5,22,4.91,1.93,22,4.86,1.74,21,6.14,0.94,22,4.1,2.2,20,4.9,1.86,20
corredora,brokerage,A N,5.46,1.14,28,4.48,2.11,23,4.32,1.96,22,5.1,1.89,21,4.1,1.97,21,5.48,1.56,23
corte,court,V N,3.14,1.11,21,6.55,1.71,22,3.81,1.83,21,4.91,1.85,22,5.4,1.96,20,6.35,1.19,23
corteza,cortex,N,4.62,0.97,21,3.82,1.74,22,4.27,1.91,22,5.14,1.83,22,4.5,2.52,20,6.09,1.28,23
costo,cost,N,4.48,2.16,21,4.59,2.13,22,3.19,2.02,21,2.68,2.21,22,3.45,2.35,20,4.78,1.68,23
costumbre,costum,N,5.1,1.48,20,3.27,1.49,22,3.09,1.63,22,2,1.41,23,4.59,2.04,22,6,1.07,22
cráneo,skull,N,4.95,0.67,21,5.25,1.86,20,6.6,0.6,20,5.95,1.75,21,5.41,2.09,22,5.77,1.63,22
creación,creation,N,7,1.48,22,6.15,2.16,20,1.82,1.05,22,2.62,1.69,21,4.75,2.09,24,4.76,1.73,21
creatividad,creativity,N,8.14,0.77,22,5.95,2.16,20,3,1.78,20,2.1,1.17,20,5.5,1.82,22,5.52,1.78,23
crecimiento,growth,N,7.26,1.14,23,5.55,2.72,22,3.45,1.73,20,3.13,1.42,23,5.41,1.87,22,6.55,1.1,20
creencia,belief,N,5.5,1.37,22,4.15,2.01,20,3.05,2.06,20,2.2,2.14,20,4,2.11,23,5.25,1.48,20
crisis,crisis,N,1.76,0.89,21,7.43,1.03,21,3.45,1.73,20,3.95,2.01,20,5.4,2.04,20,6.45,1.44,22
cristal,crystal,N,5,0.9,28,4.04,2.14,23,4.05,2.26,22,6.48,1.08,21,4.9,2.19,21,6.1,1.41,21
criterio,criterion,N,6.39,1.5,23,4.73,2.45,22,1.9,1.07,20,1.41,0.73,22,3,1.95,22,6.3,1.42,20
crucero,cruise,N,7.38,1.84,24,5.05,2.99,21,5.65,1.04,20,5.91,1.38,22,6.6,0.68,20,5.91,1.7,23
crucifijo,crucifix,N,3.5,2.19,24,5.14,2.37,21,6.41,0.67,22,6.19,1.47,21,4.7,2.36,20,5.05,1.94,22
crucifixión,crucifixion,N,2.18,1.37,22,6.95,1.7,20,3.9,2.02,20,5.5,1.96,20,3.55,2.2,22,3.14,2.06,21
crueldad,cruelty,N,1.14,0.47,22,7.5,1.32,20,3.75,1.83,20,2.65,1.81,20,3.78,1.78,23,5.5,1.87,22
cruz,cross,N,3.85,1.39,20,4,1.9,22,5.75,1.02,20,6.7,0.57,20,5.04,2.01,23,5.81,1.47,21
cuaderno,notebook,N,5.14,0.89,22,4.25,1.59,20,6.14,1.17,22,6.81,0.4,21,5.5,2.11,24,6.32,1.36,22
cuadrado,square,A N V,4.9,0.44,21,3.45,1.82,20,5.59,1.87,22,6.7,0.92,20,4.95,2.54,22,6.27,1.2,22
cuadro,box,V A N,5.45,1.15,20,3.68,1.81,22,5.55,1.47,22,6.8,0.52,20,5.4,1.79,20,6.32,0.95,22
cuarto,room,V A N,5.12,1.42,26,3.6,1.54,20,4.1,2.14,21,4.85,2.08,20,5.18,2.08,22,6.68,0.57,22
cubo,cube,N,4.9,0.3,21,3.36,1.87,22,5.64,1.59,22,6.75,0.91,20,5.5,2.31,20,6.18,1.33,22
cuchillo,knife,N,4.3,1.74,23,5.75,2.38,20,6.73,0.46,22,6.86,0.35,22,6.23,1.54,22,6.83,0.49,23
cuenco,bowl,N,4.78,1.13,23,3.65,1.84,20,5.73,1.45,22,6.74,0.92,23,5.27,1.78,22,5.27,2,22
cuervo,crow,N,4.19,0.98,21,5.14,2.27,22,6.65,0.65,23,6.65,0.71,23,4.14,2.68,22,5.18,1.74,22
cuestión,question,N,5,1.07,22,5,1.62,20,2.3,1.72,20,2.73,2.03,22,3.33,2.14,24,6.55,0.94,20
cueva,cave,N,4.78,0.95,23,5.4,2.56,20,6.41,0.8,22,6.68,0.57,22,5.32,2.12,22,5.43,1.78,21
culebra,snake,N,3.57,1.54,21,6.6,1.96,20,6.3,0.8,20,6.2,1.44,20,3.87,2.24,23,4.4,1.96,20
culpabilidad,guilt,N,1.82,1.01,22,6.2,3.16,20,3.75,2.07,20,2.1,1.59,20,4.39,1.99,23,5.5,1.43,20
culto,worship,A N,6.64,1.33,22,3.6,1.57,20,2.23,1.19,22,3.67,1.98,21,4.6,1.67,20,5.19,1.4,21
cumpleaños,birthday,N,7.8,1.24,20,7,1.35,22,5.59,1.5,22,6,0.97,20,6.41,0.96,22,6.61,0.66,23
curación,healing,N,7.55,1.43,20,3.05,2.4,22,3.41,1.56,22,3.25,1.21,20,4.35,2.29,23,5.05,1.39,20
curandera,healer,N,4.65,1.35,20,5.05,1.76,20,4.71,1.49,21,4.55,1.68,22,4.23,2.16,22,3.59,1.79,22
curandero,healer,N,5.15,1.97,26,4.4,2.04,20,5.38,1.28,21,3.75,2.15,20,4.05,2.21,22,3.82,1.76,22
curso,course,V N,5.05,1.25,22,4.95,2.28,22,3.14,1.39,21,3.17,1.37,23,6.35,1.18,20,6.36,0.79,22
dama,lady,N,5.36,1.43,22,4.29,2.17,21,4.76,1.89,21,5.9,1.45,20,3.95,2.21,20,4.05,1.81,22
década,decade,N,5,1.2,22,4.82,1.82,22,5.65,1.93,20,2.7,1.74,23,3.41,2.13,22,5.9,1.94,20
decadencia,decline,N,2.25,1.48,24,5.24,2.45,21,2.36,1.33,22,2.48,1.5,21,3.15,2.21,20,4.24,1.45,21
declive,decline,N,3.67,1.31,24,4.76,2.62,21,2.91,1.41,22,1.83,1.4,23,2.55,1.76,20,3.68,1.64,22
decoro,decorum,V N,5.27,0.7,22,3.45,1.73,20,3.78,1.68,23,2.87,1.96,23,3.45,1.97,22,2.76,1.81,21
dedo,finger,N,4.9,1.04,21,4.27,1.83,22,6.64,0.9,22,6.8,0.7,20,5.91,1.74,22,6.87,0.34,23
defecto,defect,N,3.43,1.24,23,5.64,2.22,22,3.29,1.85,21,2.36,1.36,22,4.45,1.97,22,6.05,0.86,21
degeneración,degeneration,N,2.13,1.14,23,6.05,1.89,22,2.86,1.49,22,2.41,1.5,22,3,1.88,22,4.33,1.59,21
degradación,degradation,N,2.63,1.44,24,5.1,2.45,21,3.1,1.74,20,2.45,1.26,22,2.6,1.98,20,5.05,2.21,20
delantal,smock,N,5.52,1.31,23,3.3,1.89,20,6.6,0.75,20,6.68,0.57,22,5.68,1.86,22,5.67,1.2,21
delirio,delirium,N,3.25,1.85,24,6.29,1.95,21,3.3,1.78,20,2,1.15,22,3.15,2.11,20,4.71,1.35,21
dependienta,clerk,N,5.2,1.06,20,4.6,1.85,20,4.38,1.96,21,6.41,1.1,22,6.45,1.01,22,5.86,1.13,22
deportista,athlete,A N,6.27,1.34,26,5.75,2.43,20,4.95,1.99,21,5.95,1.43,20,5.86,1.39,22,6.62,1.12,21
depresión,depression,N,2.2,1.01,20,5.81,2.52,21,2.5,1.1,20,3.68,1.94,22,5.15,2.23,20,6.18,1.14,22
derecha,right,A N,4.95,0.58,22,4.38,2.27,21,5.14,1.75,22,3.82,1.62,22,4.95,2.06,22,6.73,0.55,22
desafío,challenge,V N,5.77,1.63,22,6.95,2.06,20,3.25,1.92,20,2.2,1.54,20,3.83,2.12,23,5.6,1.64,20
desagrado,displeasure,V N,2.22,0.9,23,7.2,1.4,20,2.55,1.61,20,3.14,1.46,21,3.14,1.64,22,4.8,1.64,20
desahogo,relief,V N,6.23,1.9,22,3.45,2.56,20,3.9,1.67,21,2.33,1.39,21,4.13,2.07,24,4.95,1.72,21
desánimo,despondency,N,1.75,0.85,24,4.05,2.71,21,3.15,1.69,20,2.5,1.47,22,4.7,2.11,20,5.85,1.42,20
desaparecer,to disappear,V,2.96,2.16,23,5.68,2.98,22,3.35,2.08,20,3.52,1.72,21,4.73,2.39,22,5.86,1.25,22
desaparición,disappearance,N,1.86,1.86,22,7.5,1.88,20,3.35,1.93,20,2.45,1.32,20,5.05,1.81,22,4.81,1.94,21
descenso,decrease,N,3.09,1.23,22,4.95,2.31,20,3.55,1.67,20,3.52,1.47,23,3.79,2.08,24,5.75,1.45,20
desconfianza,distrust,N,2.4,1.27,20,7.27,1.24,22,2.41,1.18,22,1.91,1.27,22,4,2.45,23,5.87,1.66,23
desconsuelo,grief,N,2.21,1.35,24,5.38,2.8,21,2.36,1.26,22,2.95,1.72,21,3.5,1.7,20,4.35,2.01,23
descontento,discontent,V A N,1.91,1.08,23,5.41,2.75,22,3.57,1.96,21,2.87,1.46,23,4.82,2.11,22,5,2.02,22
deseo,desire,V N,7.3,1.34,20,7.05,1.33,22,2.9,1.71,20,2.6,1.43,20,5.36,1.79,22,6.55,0.83,20
desesperado,desperate,A N V,2.25,1.41,20,6.86,1.28,22,4.78,1.54,23,4.39,1.99,23,5.18,1.97,22,5.73,1.72,22
desgaste,wear,N,3.25,1.21,20,4.82,1.94,22,3.43,1.99,21,3.59,1.79,22,3.57,2.33,23,5.75,1.41,20
desierto,desert,N,3.96,1.8,23,3.09,2.29,22,5.38,1.86,21,6.68,0.57,22,6.41,1.3,22,6.05,1.25,22
desigualdad,inequality,N,1.55,1.1,20,5.95,1.86,22,2.35,1.5,20,3.4,1.6,20,4.3,1.94,23,5.25,2,20
desolación,desolation,N,1.74,1.01,23,6.45,2.61,22,3.82,2.2,22,3,1.85,22,2.95,1.96,22,4.8,1.54,20
desorden,disorder,N,2.91,1.38,22,7.5,1.43,20,4.19,1.6,21,4.68,1.62,22,6.09,1.06,22,6.15,1.27,20
despacho,office,V N,4.81,1.17,21,4.09,1.69,22,6.38,1.02,21,6.55,0.8,22,5.64,1.71,22,6.15,1.18,20
despilfarro,waste,N,3.48,1.78,23,6.45,2.09,22,3.1,2.02,21,3.15,1.53,20,4.41,2.24,22,4.86,1.53,21
desprecio,contempt,V N,1.55,0.67,22,6.3,2,20,3.25,1.83,20,2.9,1.92,20,3.95,1.65,22,5.64,1.18,22
despreocupado,carefree,A V,5.55,2.19,20,3.65,2.08,20,3.95,2.09,20,2.67,1.8,21,3.55,2.11,22,5.74,1.54,23
destino,destiny,N,5.83,1.92,23,5.8,2.42,20,2.36,1.68,22,2.43,1.5,21,4.77,2.18,22,5.43,1.6,21
destreza,skill,N,6.73,1.28,22,3.9,2.29,20,3.2,1.88,20,1.73,0.98,22,4.27,2.05,22,5.3,1.84,20
destrucción,destruction,N,1.55,0.67,22,7.5,2.14,20,3.7,1.78,20,4.55,1.85,20,4.52,2.11,23,5.14,1.85,21
desván,attic,N,5.09,1.24,23,5,2.15,20,6.05,1.28,21,5.57,1.78,21,5.05,2.36,22,5.24,1.76,21
desviación,deviation,N,4.27,0.94,22,4.43,1.54,21,2.82,1.37,22,3,2,22,3.59,2.24,22,5.09,1.47,23
detergente,detergent,A N,5.09,1.19,22,4.2,1.99,20,6.32,1.04,22,5.95,1.73,20,6.18,1.1,22,6.09,1.41,22
deterioro,deterioration,V N,2.18,1.01,22,5.45,1.99,20,2.7,1.45,20,3.35,1.42,20,4,2.2,22,4.27,1.88,22
diablo,devil,N,3.45,1.43,20,6.18,1.65,22,4.76,2.19,21,6.43,1.12,23,5.25,1.97,20,5.91,1.65,23
diamante,diamond,N,7.25,1.37,20,4.7,2.13,20,5.95,1.47,21,6.64,0.58,22,5.18,2.22,22,5.76,1.51,21
diccionario,dictionary,N,5.05,1.05,20,3.65,1.57,20,6.75,0.55,20,6.82,0.39,22,6.09,1.72,22,6.41,1.1,22
diente,tooth,N,5.09,0.61,22,4,1.62,20,6.1,1.61,21,6.91,0.43,22,6.2,1.44,20,6.76,0.54,21
dieta,diet,N,5.5,1.22,22,4.5,1.73,20,4.95,1.43,22,3.65,1.61,23,6.05,1.88,20,6.09,1.41,22
diferencia,difference,N,4.82,1.47,22,4.4,1.98,20,3.4,1.88,20,2.13,0.97,23,4.77,1.77,22,6.85,0.49,20
dificultad,difficulty,N,3.48,1.9,23,6.85,1.81,20,3.2,1.44,20,2.65,1.42,20,4.27,1.98,22,6.32,0.57,22
difunto,deceased,N,2.07,0.94,28,5.57,2.45,23,5.77,1.07,22,5.19,1.75,21,6.15,1.31,20,4.52,1.75,21
difusión,diffusion,N,5.27,1.03,22,5.3,2.15,20,2.45,1.41,22,1.59,1.18,22,3.05,1.96,22,4.14,1.98,21
dignidad,dignity,N,7.3,0.97,23,4.95,2.89,20,2.5,1.61,20,2.62,1.56,21,4.27,2.25,22,6.15,1.27,20
dinámica,dynamics,A N,6.46,1.28,24,5.24,2.34,21,2.32,1.43,22,2.14,1.24,21,4.3,2.39,20,5.32,1.59,22
dinero,money,N,6.95,1.36,22,5.27,2.6,22,5.36,1.71,22,6.86,0.47,22,6.3,1.56,20,6.86,0.36,21
diosa,goddess,N,6.58,1.33,26,4.9,2.05,20,3.67,1.88,21,4.2,2.19,20,3.91,2.33,22,4.95,1.6,21
diputada,deputy,N,3.75,1.73,28,5.17,2.42,23,5.82,1.01,22,4.81,1.99,21,5.24,2.02,21,5.15,1.69,20
directora,director,A N,5.77,1.63,26,5.55,2.06,20,4.71,1.71,21,4.6,1.9,20,5.32,1.84,22,6.26,1.14,23
disco,disk,V N,6.14,1.28,22,6.64,1.68,22,5.27,1.64,22,6.73,0.55,22,6.05,1.73,20,6.36,1.05,22
discusión,discussion,N,2.05,0.84,22,8.2,1.01,20,4.35,2.13,20,4.75,2.07,20,5.77,1.6,22,6.3,1.17,20
diseñadora,designer,N,5.85,1.22,26,4.4,1.67,20,5.33,1.46,21,3.35,1.9,20,4.91,2.04,22,5.82,1.26,22
diseño,design,V N,6.09,0.87,22,3.67,1.71,21,1.9,0.7,21,3.41,2.17,22,4.8,2.26,20,5.57,1.21,21
disertación,dissertation,N,4.38,0.86,21,5.05,1.89,22,4.43,1.67,23,1.96,1.07,23,1.91,1.48,22,2.4,1.27,20
disgusto,disgust,N,1.74,0.81,23,7.45,1.57,20,3.91,1.93,22,2.45,1.6,22,4.82,1.76,22,5.68,1.7,22
disminución,decrease,N,3,1.81,20,3.86,2.17,22,2.95,1.88,20,2.24,1.41,21,3.74,2.32,23,4.68,1.76,22
disminuido,decreased,A N V,3.32,1.36,22,4.45,1.76,20,2.76,0.89,21,3.62,1.69,21,4.42,2.1,24,4.19,1.78,21
disparate,nonsense,V N,4.68,1.7,22,5.8,2.14,20,2.75,1.48,20,1.95,1.15,20,3.5,1.87,24,4.77,1.93,22
distorsión,distortion,N,2.77,1.41,22,5.95,2.56,20,2.65,1.76,20,3.05,1.9,20,2.88,1.92,24,4.95,1.64,20
distrito,district,N,4.55,1.14,22,4.32,1.81,22,4.3,2.16,23,3.96,2.01,23,3.64,2.01,22,3.64,1.71,22
disturbio,disturbance,N,3.05,1.16,21,6.5,1.05,20,4.43,1.5,23,4,2.02,23,4.27,1.96,22,4.71,1.45,21
diversión,fun,N,8.43,0.93,21,7.41,1.53,22,2.75,1.62,20,4.3,1.79,23,5.95,1.43,22,6.1,1.37,20
divinidad,divinity,N,5.79,2.11,24,4.29,2.08,21,1.85,0.88,20,2.52,1.83,23,2.8,2.09,20,3.75,1.74,20
división,division,N,4.2,1.2,20,4.18,1.71,22,3.05,1.4,22,4.55,2.02,22,4.55,1.88,20,5.82,1.3,22
divorcio,divorce,V N,2.68,1.43,22,6.4,1.35,20,5.19,1.94,21,3.65,1.57,20,4.95,1.99,20,5.71,1.59,21
doctora,doctor,N V,5.89,1.57,28,5.39,2.29,23,5.68,1.21,22,6.57,0.6,21,6.05,1.43,21,6.59,0.67,22
documento,document,N,4.82,1.3,22,4.5,2.14,20,4.45,1.85,20,6.55,0.83,20,5.5,1.93,24,6.14,1.06,21
dorada,golden,A N V,6.14,1.36,22,4.2,2.28,20,4.29,2.31,21,5.55,1.67,20,3.91,2.47,22,4.86,1.83,22
dormitorio,room,N,7.3,1.46,23,3.09,2.69,22,6.41,0.73,22,6.87,0.34,23,6.77,0.53,22,6.5,1.41,22
dramatismo,drama,N,3.95,1.25,22,7.4,1.5,20,3.05,1.62,22,3.2,1.67,20,3.64,2.04,22,5,1.9,21
drogadicta,junkie,N,1.27,0.7,22,6.3,2.12,23,5.8,1.01,20,5.57,1.36,21,4.61,1.85,23,5.5,1.65,22
drogadicto,junkie,N,1.7,1.13,20,7.05,1.7,20,5.14,1.31,21,5.55,1.23,20,5.68,1.46,22,4.85,1.81,20
duda,doubt,N V,3.1,1.12,20,6.36,1.92,22,3.15,1.95,20,2.43,1.78,21,5.52,1.83,23,6.25,0.97,20
dudar,to doubt,V,3.35,1.19,23,5.14,2.21,22,3.91,1.95,22,3.4,1.57,20,4.41,2.09,22,6.33,0.73,21
duelo,duel,N,2.8,2.24,20,6.41,1.68,22,3.62,2.11,21,4.67,1.71,21,5.2,2.42,20,4.25,1.59,20
dureza,hardness,N,4.17,2.08,23,6.68,1.67,22,2.9,1.92,20,3.3,1.78,20,3.82,2.24,22,6.1,1.65,20
echar,throw,V,2.83,1.53,23,5.91,1.95,22,2.77,1.38,22,3.5,2.06,22,5.32,1.94,22,6.14,1.46,21
edificio,building,N,5,0.56,20,4.09,1.57,22,5.52,1.83,21,6.77,0.69,22,6.23,1.34,22,6.68,0.65,22
editora,editor,N,5.62,1.33,26,4.5,2.01,20,5.38,1.5,21,3,1.84,20,3.36,2.13,22,4.57,2.11,21
educadora,educator,N,6.71,1.15,28,4.3,1.82,23,4.91,1.72,22,4.57,2.16,21,4.57,1.94,21,4.82,1.5,22
efectividad,effectiveness,N,7,1.41,22,4.05,2.35,20,3.2,1.79,20,1.95,1.59,22,3.92,2.17,24,5.7,1.26,20
efecto,effect,N,5.36,1.09,22,4.65,2.08,20,2.3,1.53,20,1.95,1.39,20,3,1.81,23,4.95,1.82,20
egoísmo,selfishness,N,2.27,1.16,22,6.9,2.1,20,3.33,1.93,21,2.36,1.4,22,4.55,2.13,22,5.77,1.63,22
ejecutivo,executive,N,5.29,1.01,28,5.13,2.01,23,5.65,1.53,20,6.05,1.02,21,4.62,2.11,21,4.19,1.86,21
ejemplar,exemplary,A N V,5.91,1.15,22,4.32,2.19,22,2.36,1.4,22,2.33,1.11,21,4.1,2.1,20,5.45,1.5,22
