word_spanish,translate_word_english,pos,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,availability_mean,availability_sd,availability_n,familiar_mean,familiar_sd,familiar_n
barco,boat,N,5.86,1.61,22,3.77,1.95,22,6.18,1.18,22,6.86,0.35,22,6.25,0.91,20,6.14,1.39,21
barra,bar,N V,4.91,0.68,22,4.45,1.71,22,4.36,1.94,22,6.19,0.98,21,5.6,2.16,20,5.9,1.62,20
barranco,ravine,N,3.82,1.47,22,6.05,2.72,20,6.32,1.17,22,6.75,0.44,20,5.27,2.21,22,5.38,1.75,21
bastón,cane,N,4.6,0.99,20,4.14,1.64,22,6.67,0.58,21,6.87,0.46,23,5.5,1.9,22,5.55,1.65,22
bata,coat,N V,5.35,0.88,23,3.75,1.89,20,6.1,1.17,20,6.38,1.47,21,6.32,1.32,22,5.68,1.64,22
bautizo,christening,V N,5.75,2.8,24,4.48,2.38,21,5.91,1.27,22,5.23,1.72,22,6.45,1,20,5.05,1.47,21
bendición,blessing,N,6.35,1.57,20,3.68,2.21,22,3,1.77,22,2,1.57,22,4,2.45,23,4.52,1.12,21
beneficio,benefit,V N,7.26,1.57,23,5.5,2.44,22,2.65,1.39,20,2.91,2.02,22,3.91,1.9,22,5.1,2.07,20
beso,kiss,V N,8.14,1.11,21,5.86,2.94,21,5.75,1.41,20,6.71,0.56,21,6.55,0.6,22,6.67,0.66,21
bestia,beast,N A,3.45,1.64,20,6.25,2,20,4.18,1.62,22,5.52,1.72,21,4.75,2.02,20,5.33,1.62,21
bienestar,welfare,N,8.3,0.93,23,3.75,2.94,20,2.5,1.76,20,3.05,1.5,20,4.55,2.09,22,5.85,1.57,20
bikini,bikini,N,6.81,1.77,26,5,2.08,20,4.76,1.76,21,6.9,0.31,20,6.5,0.6,22,6.73,0.55,22
billetera,wallet,N,5.35,0.94,26,4.75,2.02,20,6.19,0.98,21,6.6,0.68,20,4.91,2.09,22,5.24,1.89,21
blusa,blouse,N,5.35,0.98,23,4.35,1.98,20,6.5,0.74,22,6.67,1.11,21,6.05,1.43,22,5.5,1.9,22
bodega,winery,N,5.7,1.18,23,4.05,2.19,20,5.71,1.71,21,6.14,1.25,22,5.36,1.79,22,4.76,1.81,21
bofetada,slap,N,2.86,1.17,22,6.95,1.4,21,6.5,0.61,20,6.1,1.02,20,6,1.38,20,6.09,1.31,23
bolsa,bag,N,5,0.31,22,3.55,1.87,22,5.38,1.75,21,6.73,0.77,22,6.25,1.86,20,6.55,0.83,20
bolsillo,pocket,N,5.5,0.8,22,4.25,1.94,20,6.14,1.42,22,6.75,0.44,20,5.64,1.53,22,6.62,1.12,21
bolso,bag,N,5.35,1.32,26,3.8,1.77,20,5.48,1.54,21,6.85,0.37,20,6.09,1.19,22,6.7,0.73,20
bombardeo,bombardment,V N,2.09,1.8,22,7.5,2.04,20,4.86,1.49,22,6.05,1.28,20,4.41,2.24,22,4.57,1.54,21
bombero,firefighter,N,5.18,1.82,22,5.14,2.29,21,6.75,0.44,20,6.8,0.41,20,6.45,0.83,20,5.65,1.6,20
bombilla,light bulb,N,4.96,0.21,23,3.5,2.4,20,6.65,0.49,20,6.91,0.29,22,6.09,1.57,22,6.48,0.81,21
bondad,goodness,N,7.23,1.34,22,3.7,3.1,20,3.3,1.98,20,2.05,1.17,22,4.88,1.62,24,6.35,1.23,20
borde,edge,V N A,3.86,1.08,22,4.68,2.08,22,3.25,1.74,20,4.91,1.77,22,5.05,1.82,20,6.2,0.95,20
borracho,drunk,A,3.3,1.03,20,6.4,1.47,20,6.09,1.08,23,6.26,1.36,23,6.64,0.58,22,6.68,0.57,22
bota,boot,V N A,5,0.46,20,4,2,21,5.41,1.74,22,6.91,0.43,22,5.85,1.79,20,6.15,1.5,20
bote,pot,V N,4.71,0.9,21,3.95,1.73,22,4.77,2.02,22,6.48,1.16,23,5.35,2.08,20,5.82,1.44,22
botella,bottle,N,5.65,0.83,23,4.05,1.9,20,6.09,1.44,22,7,0,22,6.45,1.06,22,6.75,0.55,20
botín,swag,N,5.85,1.53,20,5.23,2.14,22,4.95,1.81,22,5.5,1.99,22,3.9,2.25,20,5,1.88,22
brazo,arm,N,4.8,0.52,20,3.4,1.88,20,6.36,0.79,22,7,0,23,6.32,1.39,22,6.86,0.35,22
brevedad,brevity,N,4.55,1.93,20,3.55,1.77,22,3.78,1.95,23,2.61,1.8,23,4.35,2.27,23,5.33,1.43,21
brillante,bright,A N,7.15,1.16,26,6.15,1.87,20,2.9,1.76,21,4.3,2.15,20,4.55,2.18,22,5.68,1.32,22
brutalidad,brutality,N,2.79,1.64,24,8.05,1.13,22,4.22,1.54,23,3.61,1.9,23,3.35,1.98,20,4.48,1.75,21
bufanda,scarf,N,5.39,1.2,23,3.05,1.7,20,6.52,0.68,21,6.9,0.45,20,5.91,1.74,22,6.64,0.49,22
bulto,bulk,N,3.82,1.31,28,5.61,2.37,23,3.14,2.01,22,4.71,1.74,21,2.57,1.8,21,5.18,1.92,22
burro,donkey,N,4.85,1.27,20,4.67,2.03,21,5.64,1.5,22,6.7,0.8,20,5.7,2.15,20,5.7,1.56,20
butaca,armchair,N,5.91,0.87,22,2.95,1.79,22,6.4,0.99,20,6.76,0.44,21,5.75,2.29,20,6,1.02,22
buzón,mailbox,N,4.77,0.71,26,3.75,1.65,20,5.52,1.91,21,6.85,0.37,20,5.45,2.11,22,6.32,1.25,22
cabello,hair,N,6.15,1.04,20,4.1,2.61,21,6.32,0.72,22,6.59,0.59,22,6.35,1.43,23,6.15,1.31,20
cachondeo,joke,N V,5.64,2.5,22,7.45,1.57,20,3.71,2.05,21,3.85,1.6,20,5.63,1.21,24,6.18,0.8,22
cadáver,corpse,N,1.68,1.04,22,7.09,1.54,22,6.14,1.39,22,6.5,0.69,20,5.45,1.82,22,5.05,1.28,21
caer,to fall out,V,3,1.17,23,6.27,2.41,22,4.91,1.57,22,5.14,1.46,21,5.91,1.41,22,6.33,1.11,21
caja,box,N,4.85,0.88,26,3.55,1.73,20,4.19,1.94,21,6.6,0.75,20,5.5,1.99,22,6.68,0.65,22
cálculo,calculation,N,4.35,0.93,20,4.86,1.88,22,3.19,1.72,21,4.18,1.87,22,4.55,1.57,20,5.33,1.43,21
calefacción,heating,N,6.57,1.47,23,2.5,1.92,22,5.57,1.5,21,5.95,1.47,20,6.59,0.85,22,6.75,0.44,20
calidad,quality,N,6.83,1.53,23,4.15,2.62,20,2.5,1.36,20,2.9,1.71,20,4.55,2.11,22,5.75,1.55,20
callado,silent,A V,4.05,1.64,20,3.8,2.26,20,5.91,1.47,23,5.09,1.98,23,5.36,1.97,22,6.38,0.86,21
