word_chinese_simplified,word_pinyin,age_of_learning,aoa_mean,concrete_mean,familiar_mean,imagine_mean
薄,bo2,4,4.36,5.22,6,6.04
跛,bo3,22,5.53,5.25,5.31,5.71
补,bu3,2,4.03,4.67,6.5,4.52
捕,bu3,3,4.34,5.28,6,6.15
布,bu4,2,3.4,6.84,6.71,6.52
部,bu4,2,4.11,3.68,5.32,3.82
簿,bu4,15,4.8,5.68,5.69,5.06
擦,ca1,1,3.64,5.92,6.4,6.48
猜,cai1,5,4.08,4.85,6.87,5.94
材,cai2,4,3.72,5.2,6.55,5.06
财,cai2,5,3.9,5.45,7,5.82
裁,cai2,8,4.44,5.45,6.03,6.12
采,cai3,2,3.87,5.08,6.55,5.91
彩,cai3,2,3.87,4.25,6.48,5.59
踩,cai3,3,3.95,6.26,6.74,6.12
菜,cai4,2,3.22,6.28,6.57,6.74
参,can1,1,3.9,3.43,5.97,4.38
餐,can1,2,4.31,5.68,6.87,6.12
残,can2,4,4.59,4.25,5.48,5.47
蚕,can2,5,4.28,6.92,6.57,5.97
惨,can3,5,4.64,3.95,6,5.82
仓,cang1,13,4.03,5.62,6.53,5.26
苍,cang1,2,4.25,2.97,5.13,3.82
舱,cang1,6,4.83,6.14,5.61,6.43
藏,cang2,3,4.34,5.69,6.17,6.26
操,cao1,4,4.47,4.24,6.07,4.61
槽,cao2,6,5.25,5.81,5.23,5.93
草,cao3,1,3.08,6.72,6.9,6.61
侧,ce4,5,4.28,4.58,5.34,4.94
厕,ce4,5,3.63,6.05,6.71,6.38
测,ce4,8,4.64,4.33,6.53,4.94
策,ce4,10,4.92,4.1,5.88,3.61
叉,cha1,9,4.13,5.1,5.19,5.06
杈,cha1,5,5.11,6.14,4.13,5.86
插,cha1,3,4.24,5.65,6.65,6.15
查,cha2,5,3.82,4.85,6.59,5.15
茶,cha2,1,3.55,6.84,6.77,6.67
搽,cha2,24,5.46,4.78,4.78,3.81
察,cha2,2,4.29,3.89,5.68,4.14
岔,cha4,10,4.94,4.89,5.26,5.79
差,cha4,4,3.39,4.16,5.87,4.75
