word_chinese_simplified,word_pinyin,age_of_learning,aoa_mean,concrete_mean,familiar_mean,imagine_mean
弓,gong1,5,3.58,6.78,6.33,6.06
公,gong1,1,2.89,3.86,6.06,4.79
功,gong1,2,3.83,3.78,5.97,4.29
攻,gong1,6,4.26,4.38,6.37,5.54
供,gong1,6,4.42,4.63,6.42,5.06
宫,gong1,3,4.23,5.53,6.53,5.91
恭,gong1,5,4.86,3.41,4.71,4.36
躬,gong1,5,5.31,5.08,5.19,5.39
汞,gong3,15,6.74,5.97,5.75,4.52
拱,gong3,3,4.54,4.79,6.39,4.94
贡,gong4,6,4.79,3.83,5.71,3.82
勾,gou1,11,3.85,4.93,6.25,5.71
沟,gou1,2,3.85,6.61,6.52,6
钩,gou1,4,4,6.29,6.03,6.03
狗,gou3,1,2.83,6.83,6.97,7
构,gou4,9,4.49,3.89,5.68,3.79
购,gou4,11,4.73,5.36,6.59,5.19
够,gou4,4,4.17,3.7,5.17,4.71
估,gu1,8,4.49,3.97,6.06,4.18
咕,gu1,2,5.16,3.4,3.97,2.5
姑,gu1,3,3.11,6.03,6.45,6.85
孤,gu1,4,4.56,4.59,6.13,5.04
沽,gu1,22,5.72,3.5,4.52,3.54
菇,gu1,5,4.49,5.83,5.74,5.53
箍,gu1,16,5.74,5.15,4.44,4.62
古,gu3,2,3.1,3.85,6.65,4.65
谷,gu3,4,3.55,6.46,6.58,5.77
骨,gu3,1,3.4,6.76,6.66,6.26
鼓,gu3,3,4.25,5.18,5.77,5.42
固,gu4,6,3.94,4.64,5.42,5.43
顾,gu4,2,4.92,3.75,5.94,4.21
雇,gu4,9,5.18,5.05,6.47,4.87
瓜,gua1,2,2.9,6.67,6.9,6.64
刮,gua1,5,4.38,5.92,6.22,6
剐,gua3,14,6.03,4.74,5.16,4.71
寡,gua3,12,5.74,4.57,4.52,4.93
卦,gua4,10,5.46,4.65,5.65,4.74
挂,gua4,2,3.64,5.74,6.39,6.06
褂,gua4,4,5.22,6.42,5.42,6.3
乖,guai1,5,3.06,4.14,6.23,5.41
拐,guai3,5,4.74,5.1,5.81,6.15
怪,guai4,1,3.81,3.35,6.16,4.68
关,guan1,1,3,6.21,6.63,6.29
官,guan1,4,3.69,5.19,6.57,6.3
冠,guan1,3,4.53,5.97,5.94,4.77
棺,guan1,10,5,6.42,5.55,6.42
馆,guan3,3,4.44,5.84,6.1,6.19
管,guan3,5,3.95,4.15,6,4.71
惯,guan4,5,4.42,3.59,5.26,3.96
掼,guan4,17,5.74,3.06,3.26,2.93
灌,guan4,4,4.75,5.08,5.84,6.32
罐,guan4,6,4.97,6.47,5.77,6.59
光,guang1,2,2.75,6.31,6.87,6.61
广,guang3,2,2.98,4.26,6.53,5.16
逛,guang4,13,5.06,5.24,6.7,6.56
归,gui1,5,3.57,4.84,6.35,5.36
龟,gui1,4,3.59,6.68,6.52,6.64
轨,gui3,6,4.82,6.18,6.39,6
鬼,gui3,5,3.68,3.97,6.52,4.94
柜,gui4,8,3.81,6.43,6.53,6.59
贵,gui4,2,3.85,4.59,6.75,5.55
跪,gui4,3,4.4,6.49,6.47,6.6
滚,gun3,2,4.06,5.03,5.97,6.63
棍,gun4,5,3.85,6.58,6.61,6.7
锅,guo1,5,3.86,6.72,6.26,6.74
国,guo2,1,3.19,4.62,6.83,6.3
果,guo3,1,3.05,6.26,6.65,5.81
裹,guo3,7,4.84,5.78,6.29,5.71
孩,hai2,2,3.03,5.97,6.68,6.56
海,hai3,2,3.23,6.92,6.87,6.64
骇,hai4,13,5.77,2.93,4.28,3.09
害,hai4,2,3.8,4.3,5.84,5.3
酣,han1,13,6,3.15,4.63,4.19
憨,han1,15,5.87,4.73,5.91,5.48
含,han2,7,3.78,4.31,6.45,4.84
函,han2,14,5.53,4.27,5.06,3.82
寒,han2,3,3.82,5.23,6.77,5.94
喊,han3,1,3.53,5.97,6.84,6.63
汉,han4,3,3.49,4.43,6.5,5.12
汗,han4,2,3.25,6.53,6.66,6.67
旱,han4,5,4.26,5.05,6.53,6.33
焊,han4,19,5.63,5.87,6.13,4.87
憾,han4,14,5.53,3.38,5.03,4.29
航,hang2,5,4.47,4.7,5.81,5.54
豪,hao2,9,4.71,3.78,5.58,4
好,hao3,1,2.62,3.55,6.71,6.42
耗,hao4,8,5.36,4.19,5.55,4.71
喝,he1,2,3.03,5.98,6.84,6.64
禾,he2,1,3.13,6.31,6.83,5.53
合,he2,5,3.68,4.51,6.03,4.03
河,he2,1,2.92,6.68,6.87,6.68
核,he2,10,4.49,5.4,6.27,5.38
荷,he2,2,4.28,3.78,3.81,4.03
盒,he2,3,3.51,6.3,6.87,6.48
褐,he4,5,5.06,4.7,5.42,5.81
鹤,he4,6,4.33,6.67,6.35,6.38
壑,he4,15,6.44,5.76,4.55,5.75
黑,hei1,2,3.05,6.21,7,6.76
痕,hen2,7,4.67,4.98,6.13,4.85
狠,hen3,5,4.38,4.66,6.63,5.29
恨,hen4,7,4.29,4.33,6.57,5.71
横,heng2,6,3.72,4.86,5.31,5.37
轰,hong1,6,4.68,4.55,6.16,5.76
哄,hong1,3,4.23,4.97,6.3,6.29
红,hong2,1,2.5,5.76,6.9,6.32
宏,hong2,9,5,3.16,5.16,3.71
虹,hong2,4,4.23,6.22,5.68,6.48
侯,hou2,13,5,4.42,4.77,4.19
猴,hou2,1,3.44,6.73,6.63,6.96
吼,hou3,5,4.58,5.89,6.22,6.29
后,hou4,1,2.85,4.97,6.03,5.06
厚,hou4,2,3.53,5.57,6.03,6.14
呼,hu1,2,3.95,5.45,6.55,5.91
弧,hu2,13,4.97,4.9,6.25,5.44
壶,hu2,7,3.7,6.61,6.63,6.29
湖,hu2,2,3.58,6.81,7,6.58
糊,hu2,6,4.82,3.93,5.59,4.85
虎,hu3,2,3.18,6.95,6.84,6.83
唬,hu3,10,5.06,4.19,4.68,4.75
护,hu4,5,3.92,4.69,6.7,5.1
花,hua1,1,2.59,5.28,5.22,5.45
华,hua2,2,3.33,3,5.75,3.71
滑,hua2,2,4,5.55,6.13,6.44
划,hua4,5,3.87,5.63,6.55,6.24
画,hua4,1,3.18,6.13,6.88,6.42
话,hua4,1,3,5.4,6.94,5.94
怀,huai2,2,3.92,4.1,5.75,4.18
徊,huai2,14,5.97,3.86,4.52,4.04
槐,huai2,5,4.81,6.03,6.16,5.15
坏,huai4,2,3.28,4.43,6.67,6.11
欢,huan1,1,3.56,3.62,6.34,5.36
环,huan2,4,3.81,6.17,6.17,6.26
缓,huan3,5,4.97,4.05,4.84,3.96
幻,huan4,9,4.82,2.65,5.5,4.15
宦,huan4,17,6.17,4.57,5,4.71
唤,huan4,1,4.35,5.15,6.5,5.58
换,huan4,5,4,5.33,6.77,5.67
患,huan4,9,4.87,4.59,6.34,4.48
荒,huang1,6,4.36,4.11,5.52,5.93
慌,huang1,2,4.23,4.72,6.65,5.87
皇,huang2,6,3.92,4.2,6,4.85
黄,huang2,1,2.83,5.44,6.26,6
惶,huang2,13,5.75,3.81,5.13,4.57
晃,huang3,3,4.46,5.08,6.39,5.56
谎,huang3,3,3.95,4.6,6.56,5.71
灰,hui1,2,3.2,4.9,6.47,5.6
挥,hui1,3,4.4,5.56,6.23,6.11
辉,hui1,6,4.63,4.18,5.56,4.32
回,hui2,2,3.13,4.55,6.61,5.18
悔,hui3,6,4.67,4.33,6.32,5.32
汇,hui4,5,4.69,3.33,5.31,3.71
会,hui4,1,2.97,3.41,5.74,4.29
绘,hui4,3,4.08,5.8,6.74,6.09
贿,hui4,18,5.82,4.03,5,4.67
惠,hui4,15,5.46,3.74,5.78,3.81
毁,hui3,6,4.83,4.84,6.17,5.96
昏,hun1,9,4.13,4.68,5.38,5.06
荤,hun1,17,5.72,4.76,5.45,5.61
婚,hun1,15,4.36,5.2,6.65,5.38
浑,hun2,4,4.56,4.25,5.66,5.12
魂,hun2,8,4.9,4.03,6.31,4.81
混,hun4,8,4.28,4.05,6.13,5
豁,huo1,13,5.53,3.78,4.94,3.61
活,huo2,2,3.3,4.26,6.34,4.94
火,huo3,2,2.5,6.87,6.93,6.82
货,huo4,6,4.26,5.88,6.77,5.94
获,huo4,4,4.36,4.22,6.4,4.93
祸,huo4,4,4.49,4.35,6.53,5.56
惑,huo4,3,5.19,3.43,5,4.68
击,ji1,6,3.94,5.19,6.19,5.89
饥,ji1,7,4.44,5.3,6.48,6.3
肌,ji1,5,4.46,6.39,6.06,5.35
鸡,ji1,1,2.67,6.9,6.81,6.63
迹,ji4,3,4.72,4.88,6.13,4.76
姬,ji1,19,6.46,3.83,4,4.36
积,ji1,3,4.33,3.81,5.29,4.46
基,ji1,5,4.15,3.92,5.9,4.24
绩,ji1,5,4.33,3.78,5.39,4.61
稽,ji1,13,5.97,2.75,4.03,3.06
激,ji1,3,4.67,3.43,5.69,4.18
羁,ji1,22,6.31,3.18,4.5,3.44
吉,ji2,11,3.85,3.54,6.32,3.81
即,ji2,6,4.53,1.9,4.22,2.82
急,ji2,1,3.51,4.86,6.37,5.96
疾,ji2,5,4.83,4.7,5.26,4.25
集,ji2,5,4.25,4.03,6.3,4.71
嫉,ji2,8,5.55,4.1,6.48,4.39
辑,ji2,14,5.43,3.7,4.61,3.79
籍,ji2,6,5.36,3.7,5.44,4.29
挤,ji3,3,3.67,5.43,6.13,6.52
脊,ji3,11,5.2,6.08,5.94,5.42
计,ji4,2,3.92,4.3,6.59,4.71
记,ji4,2,3.49,5.05,6.75,5.85
纪,ji4,3,4.4,3.16,4.9,3.39
忌,ji4,10,5.33,3.82,4.84,3.39
技,ji4,3,4.44,4.05,6.52,4.55
济,ji4,5,4.89,2.8,4.23,2.71
寄,ji4,6,4.53,5.48,6.5,5.56
祭,ji4,12,5.31,4.73,5.29,5.14
加,jia1,1,2.83,4.86,6.45,5.71
夹,jia1,6,3.17,5.49,6.33,6.39
佳,jia1,8,4.4,3.42,5.77,4.36
家,jia1,1,2.65,5.56,7,6.8
嘉,jia1,11,5.42,3.38,4.32,3.07
颊,jia2,2,5.15,6.62,5.84,5.58
价,jia4,6,3.91,4.86,6.42,5
驾,jia4,5,4.5,4.64,5.03,4.35
架,jia4,2,4.05,5.84,6.16,5.1
假,jia4,2,3.69,4.38,6.39,5.54
嫁,jia4,7,4.72,5.05,6.13,5.96
奸,jian1,13,5.56,4.3,5.41,5.18
尖,jian1,1,3.24,5.58,5.75,5.94
坚,jian1,4,4.08,4.45,6.25,5.47
歼,jian1,11,5.53,4.51,5.58,5
间,jian1,2,3.67,4.27,4.9,3.75
肩,jian1,2,3.53,6.75,6.43,6.67
兼,jian1,7,5.26,3.05,4.75,3.29
监,jian1,2,4.83,4.74,5.03,4.13
煎,jian1,15,4.56,5.76,6.23,6.04
拣,jian3,5,4.09,5.94,6,6.14
俭,jian3,2,4.55,4.08,6.59,4.68
捡,jian3,3,3.73,6.08,6.66,6.06
减,jian3,6,3.44,4.84,6.7,5.21
剪,jian3,5,3.78,5.73,6.67,6.5
检,jian3,5,4.58,4.82,6.56,4.16
简,jian3,3,3.97,4,6.61,4.59
碱,jian3,15,5.74,6.05,6.1,5.5
见,jian4,1,2.68,5.89,6.97,5.94
建,jian4,4,4.22,4.61,6.17,4.82
剑,jian4,4,4.05,6.73,6.81,6.76
荐,jian4,11,5.7,4.33,6.03,4.13
贱,jian4,12,5.31,3.68,6.22,6
健,jian4,4,4.55,3.82,4.72,3.97
舰,jian4,5,5.18,6.5,5.77,5.42
溅,jian4,5,5.03,5.59,6.34,5.77
践,jian4,13,5.51,3.81,4.9,3.89
鉴,jian4,13,5.14,4.03,5.77,4.57
键,jian4,2,4.89,5.97,5.52,5.43
箭,jian4,5,4.22,6.86,5.97,6.59
江,jiang1,1,3.08,6.55,6.81,6.43
姜,jiang1,18,4.08,5.4,5.97,5.38
浆,jiang1,7,4.78,5.87,6,5.1
僵,jiang1,4,5.33,4.18,4.59,4.59
缰,jiang1,20,5.56,5.83,5.13,5.57
讲,jiang3,2,3.23,5.97,6.9,6.5
奖,jiang3,5,3.44,5.3,6.42,6.19
降,jiang4,3,4.11,5.03,6,5.82
酱,jiang4,3,4.47,6.06,5.27,6.48
交,jiao1,3,3.55,4,6.31,4.45
郊,jiao1,4,4.88,5.08,6.2,5.29
娇,jiao1,7,4.68,3.46,5.22,4.06
浇,jiao1,2,3.86,5.57,6.16,6.25
骄,jiao1,4,4.28,3.6,6.13,5.03
胶,jiao1,5,4.47,5.86,5.29,5.36
焦,jiao1,5,4.95,4.26,4.63,3.97
跤,jiao1,4,4.65,5.03,5.31,4.32
礁,jiao1,6,5.8,5.81,5.13,6
角,jiao3,2,3.33,5.7,6.3,6.41
狡,jiao3,4,5.03,3.76,4.9,4.86
绞,jiao3,11,5.43,4.69,5.41,4.45
脚,jiao3,2,2.83,6.64,6.73,7
搅,jiao3,6,4.59,5.45,6.68,6.39
缴,jiao3,13,5.47,4.7,6.19,5.15
叫,jiao4,1,3.05,5.74,6.78,6.42
轿,jiao4,6,4.59,5.43,5.97,4.97
教,jiao4,2,3.75,4.5,6.63,5.86
窖,jiao4,8,5.31,5.92,4.77,5.82
阶,jie1,6,4.45,4.67,6.16,5.1
接,jie1,2,3.86,4.32,6.5,5.82
秸,jie1,17,5.13,6.71,4.91,5.1
揭,jie1,5,5.03,5.08,6.38,6.17
街,jie1,3,3.6,6.79,6.75,5.97
节,jie2,2,3.49,4.15,5.87,4.53
劫,jie2,11,5.18,5.05,6.31,5.61
杰,jie2,8,4.5,3.55,5.31,3.87
洁,jie2,3,4.03,5,6.61,5.61
结,jie2,2,3.69,4.31,5.45,5.21
竭,jie2,8,5.7,3.44,4.56,3.26
姐,jie3,2,2.53,6.49,6.84,6.89
解,jie3,3,4.28,4.43,6.28,5.24
戒,jie4,4,4.85,4.21,6.06,4.35
借,jie4,2,3.72,5.46,6.7,6.25
巾,jin1,3,2.9,6.08,6.71,6
今,jin1,2,2.83,4.62,6.52,4.1
金,jin1,2,3.11,4.92,5.58,5.36
筋,jin1,3,4.49,6.03,6.19,5.42
紧,jin3,2,3.67,5.2,6.44,6.06
锦,jin3,6,5.38,4.53,5.16,4.15
尽,jin4,3,4.25,3.51,5.06,3.48
劲,jin4,2,3.89,3.84,5.39,4.86
近,jin4,2,3.03,4.67,6.81,5.65
进,jin4,1,3.38,4.9,6.77,5.65
浸,jin4,5,4.87,5.28,6.38,5.68
禁,jin4,6,4.56,3.9,6.1,4.71
京,jing1,2,3.5,4.22,5.84,4.86
惊,jing1,2,4.03,4.78,5.55,5.79
晶,jing1,6,4.23,3.68,5.66,5.03
睛,jing1,2,3.69,5.41,5.55,5.89
精,jing1,3,4.43,3.44,6.16,4.48
井,jing3,2,2.83,6.62,6.37,6.7
颈,jing3,5,4.38,6.68,6.58,5.97
景,jing3,3,3.95,4.45,6.77,5.62
警,jing3,2,4.23,4.41,6.03,5.09
径,jing4,7,5.21,5.35,6.06,5.03
竞,jing4,9,4.83,4.05,5.35,4.39
敬,jing4,2,4.2,3.85,6.29,4.65
境,jing4,4,4.73,4.18,6.41,4.03
静,jing4,3,3.48,4.47,6.84,5.71
镜,jing4,2,4.1,6.82,6.65,6.19
窘,jiong3,11,6.05,4.05,5.81,5.06
纠,jiu1,7,4.97,3.51,5.07,4.29
究,jiu1,2,4.63,3.41,5.63,3.35
揪,jiu1,11,4.95,5.48,6.28,6.12
久,jiu3,4,3.26,4.1,6.68,4.94
酒,jiu3,6,3.46,6.82,6.9,6.91
旧,jiu4,5,3.18,5.38,6.91,5.35
咎,jiu4,18,5.85,3.13,4.75,2.61
救,jiu4,1,3.65,5.38,6.77,6.27
舅,jiu4,2,3.33,6.63,6.55,6.39
居,ju1,2,4.33,4.38,6.27,5.18
拘,ju1,9,5.49,4,6,4.59
鞠,ju1,5,5.51,4.53,5.58,4.62
局,ju2,2,4.17,4.57,5.97,4.86
桔,ju2,13,3.93,6.55,6.38,6.16
菊,ju2,10,4.03,6.74,6.13,6.93
举,ju3,2,3.77,5.53,6.69,6.48
巨,ju4,4,3.56,4.48,6.31,5.76
拒,ju4,12,4.87,4.82,6.47,5.32
具,ju4,5,3.86,3.58,4.55,2.71
剧,ju4,8,4.4,5.36,6.13,5.5
惧,ju4,13,4.97,4.43,6.23,5.56
锯,ju4,5,5.21,5.43,6.13,5.44
聚,ju4,7,4.6,4.9,6.53,5.83
踞,ju4,18,5.58,4.89,4.61,4.39
捐,juan1,13,4.58,5.45,6.47,6.12
绢,juan4,5,4.8,5.85,5.91,5.61
撅,jue1,10,5.97,5.3,4.77,5
觉,jue2,2,3.51,3.88,6.33,4.09
倔,jue2,8,5.15,4.23,5.88,5.13
掘,jue2,7,5.25,5.86,5.55,5.93
厥,jue2,13,6.09,3.97,2.97,3.54
爵,jue2,13,6.08,4.23,4.91,3.26
蹶,jue2,14,6.15,4.88,4.38,4.29
嚼,jue2,8,4.79,6,6.28,5.94
攫,jue2,10,6.68,4.4,4.66,4.24
军,1-Jun,2,3.39,5.8,6.61,5.94
君,1-Jun,6,4.45,4.67,6.45,4.84
菌,1-Jun,2,5.33,5.57,5.84,5.89
俊,4-Jun,7,4.55,4.49,6.48,5.16
郡,4-Jun,13,5.85,5.41,5.5,4.42
卡,ka3,5,3.79,4.97,5.72,4.58
开,kai1,1,2.36,5.65,6.67,6.4
揩,kai1,14,5.33,4.51,4.68,5.32
慨,kai3,10,5.77,3.03,4,3.64
楷,kai3,11,5.18,3.15,4.31,3.74
刊,kan1,14,4.95,3.78,5.53,4.47
坎,kan3,12,4.94,5.25,4.81,4.93
砍,kan3,2,4.28,6.13,6.8,6.3
看,kan4,1,2.73,6.39,7,6.63
慷,kang1,10,5.69,3.03,4.1,3.54
糠,kang1,11,5.46,5.78,5.06,5.44
扛,kang2,2,4.33,5.9,6.65,6.26
抗,kang4,5,4.58,4.74,6.03,4.55
炕,kang4,8,4.75,6.39,5.78,6.33
考,kao3,4,3.8,5.08,6.52,5.26
拷,kao3,10,5.55,5.15,6.25,4.84
烤,kao3,6,4.03,6.13,6.47,6.24
科,ke1,2,4.11,3.56,6.03,4.19
磕,ke1,7,4.93,5.41,5.59,5.52
壳,ke2,2,4.13,6.2,6.41,5.74
渴,ke3,2,3.2,5.74,6.69,6.37
克,ke4,8,3.95,3.25,5.81,4.06
刻,ke4,2,4.17,5.16,6.32,6.29
客,ke4,2,3.55,5.97,6.59,5.74
课,ke4,2,3.24,5.63,6.88,6.42
肯,ken3,3,3.92,3.81,5.52,4.39
垦,ken3,9,4.9,4.6,5.84,4.82
啃,ken3,12,4.45,6.03,6.23,5.65
吭,keng1,10,4.87,4.3,5.7,4.26
坑,keng1,4,4.13,6.51,6.63,6.09
空,kong1,1,2.94,4.35,6.6,5.86
孔,kong3,1,3.63,6.29,6.25,5.61
控,kong4,7,4.69,3.88,5.81,5.24
抠,kou1,13,5.05,5.3,5.47,5.36
口,kou3,2,2,6.25,6.77,6.88
叩,kou4,13,5.1,5.56,5.69,5.34
扣,kou4,9,4.03,5.08,6.25,5.16
寇,kou4,5,5.55,4.74,5.63,3.77
枯,ku1,3,3.87,5,6.48,5.97
哭,ku1,2,2.69,6.11,6.87,6.74
窟,ku1,6,5.43,5.65,5,5.5
苦,ku3,2,3.05,5.45,6.87,6.59
库,ku4,5,4.56,5.73,6.44,5.24
裤,ku4,2,3.61,6.86,6.83,6.67
夸,kua1,3,3.75,4.97,6.81,5.03
垮,kua3,6,5.03,4.89,4.9,4.68
挎,kua4,2,4.92,5.56,5.41,4.84
胯,kua4,12,5.31,6.32,5.31,4.94
跨,kua4,6,4.36,5.51,5.87,6.29
快,kuai4,1,2.94,4.76,6.76,6.48
筷,kuai4,9,3.78,6.79,6.45,6.23
宽,kuan1,1,3.31,4.9,6.81,6.29
款,kuan3,8,5.2,4.95,6.33,5.21
诓,kuang1,17,6.28,3.69,4.16,3.68
狂,kuang2,4,4.19,3.81,6.13,6
况,kuang4,5,4.51,3.49,5.1,2.54
矿,kuang4,4,4.89,5.98,6.13,5.68
框,kuang4,6,4.69,6.37,6.4,5.97
亏,kui1,4,4.08,3.68,5.2,4.04
盔,kui1,10,5.11,6.36,5.45,6.56
窥,kui1,13,5.64,5.05,5.39,6
愧,kui4,3,5.05,4.05,5.63,4.68
捆,kun3,6,4.3,5.59,6.25,5.71
困,kun4,5,3.77,4.67,6.45,5.61
扩,kuo4,7,4.28,4.65,5.94,4.79
阔,kuo4,3,4.53,4.22,6.19,5.14
拉,la1,2,3.19,5.54,6.39,6.26
腊,la4,6,4.76,5,5.56,4.76
蜡,la4,4,4.1,6.46,6.73,5.94
辣,la4,4,3.93,5.97,6.69,6.57
来,lai2,1,2.55,5.15,6.74,5.23
赖,lai4,14,4.95,3.72,5.75,3.74
兰,lan2,2,3.88,5.46,5.66,4.35
拦,lan2,2,3.94,5.78,6.06,6.59
栏,lan2,6,4.63,5.79,6.38,5.65
蓝,lan2,1,3.08,5.46,6.13,5.93
澜,lan2,9,6.03,4,4.72,3.79
篮,lan2,2,3.81,5.81,6.43,6.29
览,lan3,8,4.82,4.63,6.1,5.21
揽,lan3,13,5.17,4.97,5.55,5.5
缆,lan3,10,5.36,5.48,5.25,4.59
懒,lan3,2,4.31,4.54,6.73,5.96
烂,lan4,4,4.03,5.08,5.94,5.16
滥,lan4,10,5.28,3.79,5.78,4.29
郎,lang2,13,4.75,5.59,6.22,4.81
狼,lang2,5,3.54,6.9,6.81,6.64
廊,lang2,7,4.91,6.19,5.45,5.96
朗,lang3,4,4.33,2.98,5.6,4.03
浪,lang4,2,4.03,6.58,6.42,6.23
捞,lao1,2,4.83,5.59,6.25,5.52
劳,lao2,5,3.56,4.08,5.9,4.39
牢,lao2,5,4.23,4.75,5.66,5.29
老,lao3,1,2.75,4.65,6.48,6.26
涝,lao4,15,5.41,4.58,4.78,4.26
烙,lao4,7,5.55,5.31,5.56,4.65
酪,lao4,8,5.64,4.83,5.44,4.26
乐,le4,3,2.86,4.76,5.71,6.37
勒,le4,5,5.72,4.77,5.69,4.42
雷,lei2,1,3.28,6.19,6.13,6.74
垒,lei3,5,5.08,4.88,5.59,5.09
肋,lei4,15,5.31,6.08,6.19,5.12
泪,lei4,2,3.4,6.46,6.67,6.85
累,lei4,5,3.89,4.57,6.52,6.22
擂,lei4,3,5.54,4.97,5.26,5.14
棱,leng2,17,5.08,5.49,5.52,5.43
冷,leng3,3,3.05,5.58,6.87,6.79
愣,leng4,5,4.68,4.79,5.75,5.1
梨,li2,2,3.31,7,6.94,6.7
离,li2,1,3.9,3.92,6.42,5.32
犁,li2,12,4.77,6.31,5.81,5.35
篱,li2,4,5.1,6,5.97,5.42
礼,li3,3,3.67,4.57,6.47,4.96
里,li3,1,2.97,4.54,5.42,4.96
理,li3,3,3.75,3.85,6.1,4.32
历,li4,3,4.25,3.28,4.94,2.87
立,li4,2,3.21,5.38,6.65,5.74
丽,li4,2,3.33,3.59,6.1,4.57
利,li4,3,4.28,3.46,5.59,3.9
例,li4,4,4.51,4.78,6.77,4.35
隶,li4,11,5.5,3.08,4.06,3.21
帘,lian2,5,4.33,6.41,6.83,6.15
莲,lian2,6,4.55,6.25,6.66,6.29
联,lian2,5,4.48,3.69,6.03,4.16
廉,lian2,12,5.21,4.18,6,5.15
镰,lian2,2,5.03,6.49,5.47,5.45
脸,lian3,2,2.88,6.89,6.72,6.77
练,lian4,2,3.69,4.68,6.72,5.76
炼,lian4,8,4.68,4.35,6.1,5.32
恋,lian4,7,4.68,4.33,6.55,5.76
链,lian4,5,5.03,6.18,6.25,5.55
良,liang2,5,3.54,3.5,6.1,4.79
凉,liang2,1,3.46,5.18,6.87,5.91
梁,liang2,5,4.85,5.25,6.25,5
粮,liang2,3,3.79,6.54,7,6.64
亮,liang4,1,3,5.36,6.53,6.44
谅,liang4,8,4.51,3.72,5.58,4.89
晾,liang4,5,4.45,5.79,6.32,5.74
量,liang4,4,4.03,4.24,5.26,4.52
疗,liao2,8,4.78,4.74,6.22,4.65
聊,liao2,8,4.85,5.8,6.84,6.27
僚,liao2,17,6,3.74,5.16,3.32
撩,liao2,7,5.59,5.15,5.88,5.06
燎,liao2,9,5.67,3.58,4.59,3.79
料,liao4,1,4.28,5,5.23,5.18
列,lie4,3,3.86,3.95,5.48,4.43
劣,lie4,10,4.95,4.83,6.31,5.09
洌,lie4,17,6.19,3.43,3.29,3.5
烈,lie4,2,4.38,3.75,6.28,4.91
猎,lie4,4,4.47,5.08,5.68,5.37
裂,lie4,4,4.4,5.51,5.39,5.93
邻,lin2,3,3.55,5.79,6.39,5.42
林,lin2,2,3.28,6.72,6.69,6.1
临,lin2,5,4.5,3.82,5.38,3.97
淋,lin2,2,4.21,5.68,6.34,5.68
磷,lin2,6,6.33,5.77,5.97,4.1
赁,lin4,19,6.21,3.66,4.52,3.68
拎,lin1,8,4.89,5.57,5.71,6.11
灵,ling2,5,4.15,3.63,6.39,5.18
岭,ling3,2,4.29,6.39,6.06,6.41
铃,ling2,2,3.63,6.48,6.94,6.44
棂,ling2,11,6.08,5.43,4.31,3.79
绫,ling2,13,5.31,5.38,4.52,5.04
龄,ling2,5,4.08,4.05,6.1,4.21
领,ling3,2,4.2,4.44,6.09,5.1
令,ling4,4,3.82,4,5.75,4.62
溜,liu1,3,4.83,5.19,6.24,5.57
流,liu2,1,3.64,5.41,6.57,5.93
留,liu2,4,3.51,4.9,6.52,5.35
硫,liu2,6,5.9,5.74,5.69,4.03
瘤,liu2,21,5.47,5.73,5.23,6.33
柳,liu3,2,3.67,6.77,6.06,6.81
龙,long2,4,3.26,5.45,6.77,6.73
笼,long2,6,4.13,6.26,6.16,5.87
聋,long2,6,4.43,5.33,6.57,6.06
隆,long2,7,5.31,3.51,4.65,3.44
拢,long3,8,5.03,4.92,5.66,4.84
偻,lou2,17,5.93,3.46,2.97,3.74
搂,lou3,6,4.87,5.92,6.65,5.97
篓,lou3,5,5.58,5.73,5.22,4.68
漏,lou4,4,4.41,5.58,6.53,6.22
露,lou4,2,4.33,5.43,6,5.29
庐,lu2,7,4.97,4.68,5.28,3.74
炉,lu2,7,3.77,6.51,6.81,5.94
颅,lu2,16,5.67,5.93,5.63,5.47
卤,lu3,21,5.86,4.83,4.55,4.96
陆,lu4,5,4.08,5.77,6.28,5.29
录,lu4,5,4.14,4.46,5.19,4.07
鹿,lu4,2,3.82,6.85,6.61,6.45
禄,lu4,14,5.71,4.43,5.41,3.62
路,lu4,2,3.06,5.56,6.68,6.96
麓,lu4,19,6.08,5.23,4.84,4.19
驴,lu:2,5,3.9,6.87,6.81,6.67
旅,lu:3,3,4.45,4.43,5.81,5.06
铝,lu:3,18,5.38,6.34,6.42,5.45
履,lu:3,8,6.03,4.93,5,4.29
律,lu:4,10,4.33,4.23,5.63,3.71
虑,lu:4,5,5.1,3.83,4.69,3.65
绿,lu:4,1,3.23,5.92,6.75,6.65
卵,luan3,5,5.28,6.23,6.44,6.12
乱,luan4,3,3.74,4.98,6.38,6
掠,lue3,6,5.08,4.3,6.29,5.44
抡,lun1,10,5.19,5.06,5.16,5.75
沦,lun2,12,5.23,3.2,5.34,3.56
论,lun4,3,4.38,4.44,6.47,4.55
捋,luo1,2,6.2,5.31,4.16,4.68
锣,luo2,4,5.06,6.27,5.13,5.82
骡,luo2,14,5.15,6.21,5.63,5.12
螺,luo2,3,4.5,6.25,5.26,5.82
裸,luo3,6,5.63,5.69,4.81,5.75
落,luo4,1,3.67,5.2,6.6,6.15
妈,ma1,1,1.92,6.74,7,6.97
麻,ma2,2,3.72,4.03,5.03,4.46
马,ma3,1,2.35,6.67,6.7,7
骂,ma4,8,3.75,5.95,6.87,6.37
埋,mai2,2,3.85,5.74,6.25,5.74
买,mai3,2,3.23,6.03,6.88,5.77
迈,mai4,2,4.46,4.73,6.32,5.53
