word_portuguese,translate_word_english,aoa_mean,aoa_sd,syllables,length,familiar_mean,frequency,frequency_log,concrete_mean,imagine_mean
banco,bank/stool,2.17,1,2,5,2.14,2119,3.33,6.22,6
bandeira,flag,2.83,0.83,3,8,1.32,677,2.83,NA,NA
bandolim,mandolin,5.75,1.71,3,8,3.68,18,1.26,NA,NA
banha,lard,3.74,1.21,2,5,3,72,1.86,NA,NA
bar,bar,3.83,1.12,1,3,1.8,608,2.78,NA,NA
barata,cockroach,2.65,0.81,3,6,2.16,142,2.15,NA,NA
barbo,barbel (fish),6.29,1.95,2,5,4,NA,NA,NA,NA
barco,boat,1.81,0.75,2,5,1.65,1884,3.28,NA,NA
barriga,belly,1.38,0.74,3,7,1.84,284,2.45,NA,NA
barril,barrel,3.57,1.28,2,6,1.74,124,2.09,6.66,6.08
barulho,noise,2.19,0.87,3,7,2.5,419,2.62,4.14,3.33
bastão,bat,5.17,1.66,2,6,NA,41,1.61,NA,NA
batata,potato,1.87,0.77,3,6,1.7,576,2.76,NA,NA
batedeira,mixer,3.32,1.19,4,9,1.89,10,1,NA,NA
bateria,battery/drum set,3.5,1.54,4,7,2.05,113,2.05,NA,NA
bebida,drink,2.48,0.81,3,6,1.57,350,2.54,5.82,5.54
begónia,begonia,5.65,1.48,3,7,4.26,15,1.18,NA,NA
beliche,bunk bed,3.38,1.28,3,7,2,43,1.63,NA,NA
bênção,blessing,4.27,1.33,2,6,3.23,69,1.84,2.1,2.71
bengaleiro,hallstand,4.17,1.48,4,10,2.25,17,1.23,NA,NA
berbequim,electric drill,5,1.24,3,9,2.31,21,1.32,NA,NA
beringela,eggplant,5.39,1.57,4,9,3.8,21,1.32,NA,NA
besouro,maybug,4.29,1.59,3,7,3.11,12,1.08,6.42,5.15
beterraba,beetroot,4.5,1.54,4,9,3.3,61,1.79,NA,NA
bicicleta,bicycle,1.91,0.54,4,9,1.5,200,2.3,6.68,6.67
bife,steak,2.18,0.68,2,4,1.75,183,2.26,NA,NA
bigorna,anvil,5.64,1.94,3,7,3.58,14,1.15,NA,NA
biólogo,biologist,5.9,0.7,4,7,2.05,35,1.54,NA,NA
biombo,folding screen,5.27,1.28,3,6,2.6,33,1.52,6.3,4.92
biscoito,biscuit,2.39,1.08,3,8,2,51,1.71,NA,NA
bisonte,bison,5.05,1.36,3,7,2.78,11,1.04,6.5,5.42
bivaque,bivouac,7.43,1.08,3,7,4.5,8,0.9,4.5,1.69
blusa,blouse,2.39,0.75,2,6,1.63,131,2.12,6.56,6.38
boca,mouth,1.14,0.36,2,4,1.16,2048,3.31,NA,NA
bode,billy goat,3.3,1.02,2,4,1.71,85,1.93,NA,NA
boga,bogue (fish),6.78,2,2,4,3.84,8,0.9,NA,NA
bola,ball,1.22,0.44,2,4,1.25,1148,3.06,NA,NA
bolacha,cookie,1.24,0.44,3,7,2.05,140,2.15,NA,NA
bolo,cake,1.7,0.7,2,4,1.75,410,2.61,NA,NA
bombeiro,firefighter,2.52,0.93,3,8,1.65,1070,3.03,NA,NA
bondade,goodness,3.73,1.49,3,7,2.93,145,2.16,2.18,2.58
boné,cap,2.05,0.67,2,4,1.28,110,2.04,NA,NA
boneca,doll,1.24,0.44,3,6,1.7,357,2.55,NA,NA
borboleta,butterfly,1.95,0.54,4,9,1.58,112,2.05,NA,NA
borracha,rubber,2.33,0.66,3,8,1.47,197,2.29,NA,NA
bota,boot,1.65,1.06,2,4,1.21,340,2.53,NA,NA
botão,button,2.05,0.91,2,5,1.58,441,2.64,NA,NA
bote,small boat,4.48,1.81,2,4,2.5,130,2.11,NA,NA
braço,arm,1.33,0.58,2,5,1.16,2638,3.42,NA,NA
brócolos,broccoli,3.91,1.36,3,8,2.75,7,0.85,NA,NA
búfalo,buffalo,4.09,1.64,3,6,2.37,47,1.67,NA,NA
burro,donkey,2.14,0.73,2,5,1.21,387,2.59,NA,NA
cabeça,head,1.62,0.59,3,6,1.26,4663,3.67,NA,NA
cabelo,hair,1.43,0.6,3,6,1.32,1563,3.19,6.46,6.56
cabide,hanger,2.7,0.89,3,6,1.68,33,1.52,6.7,6.19
