word_portuguese,translate_word_english,aoa_mean,aoa_sd,syllables,length,familiar_mean,frequency,frequency_log,concrete_mean,imagine_mean
foca,seal,2.35,0.98,2,4,1.95,29,1.46,NA,NA
fogão,stove,2.35,0.73,2,5,1.26,173,2.24,NA,NA
fogo,fire,2.22,0.9,2,4,1.57,1822,3.26,5.88,6.21
foguetão,rocket,2.9,1.18,2,8,2.1,71,1.85,6.44,5.92
fome,hunger,1.96,1.16,2,4,NA,907,2.96,NA,NA
formão,chisel,6.86,1.68,2,6,4.78,20,1.3,NA,NA
formiga,ant,1.91,0.7,3,7,1.84,109,2.04,NA,NA
fotografia,photograph,2.52,0.93,4,10,2.1,1268,3.1,NA,NA
frasco,jar,2.41,0.67,2,6,1.74,198,2.3,NA,NA
frase,sentence,2.95,0.86,2,5,2.1,1074,3.03,3.9,3.17
freira,nun,3.17,1.14,2,6,1.7,134,2.13,5.64,5.98
frigideira,frying pan,3.24,0.83,4,10,1.58,152,2.18,NA,NA
frigorífico,refrigerator,2.43,0.81,5,11,1.47,225,2.35,NA,NA
fritadeira,deep fryer,4.14,1.15,4,10,1.68,NA,NA,NA,NA
fruta,fruit,1.73,0.7,2,5,2,464,2.67,NA,NA
funil,funnel,2.9,0.94,2,5,1.47,24,1.38,NA,NA
furgão,freight car,6.74,1.76,2,6,3.94,7,0.85,NA,NA
futebolista,football player,3.52,1.33,5,11,1.9,311,2.49,NA,NA
gado,cattle,3.52,1.16,2,4,2.03,792,2.9,5.94,5.77
gafanhoto,grasshopper,2.77,1.04,4,9,2.05,40,1.6,NA,NA
gaio,jay,6,2.16,2,4,4.58,8,0.9,NA,NA
gaivota,seagull,2.91,1.26,3,7,2.85,135,2.13,NA,NA
galinha,chicken,2.13,0.75,3,7,1.74,436,2.64,6.78,6.67
galinhola,woodcock,5.48,1.91,4,9,3.63,NA,NA,NA,NA
galo,cock,1.95,0.67,2,4,1.95,164,2.21,NA,NA
ganso,goose,3.1,1.37,2,5,2.74,54,1.73,NA,NA
garfo,fork,1.96,0.84,2,5,1.37,126,2.1,NA,NA
garnisé,bantam chicken,6.18,2.24,3,7,4.74,NA,NA,NA,NA
garoupa,white grouper,5.48,1.78,3,7,2.61,33,1.52,NA,NA
garrafa,bottle,2.18,0.65,3,7,1.32,508,2.71,NA,NA
gato,cat,1.18,0.4,2,4,1.26,593,2.77,6.72,6.87
gavião,sparrow-hawk,5.43,1.6,3,6,3.26,25,1.4,NA,NA
gazela,gazelle,3.64,1.47,3,6,2.68,128,2.11,6.66,5.75
gelados,ice cream,2,0.69,3,7,1.57,57,1.76,NA,NA
geleia,jelly,3.38,1.28,3,6,2.42,404,2.61,NA,NA
gelo,ice,2.91,1.26,2,4,1.55,320,2.51,6.08,5.96
gestor,manager,5.22,1.06,2,6,2.47,320,2.51,NA,NA
ginja,morello cherry,4.09,1.63,2,5,2.84,10,1,NA,NA
girafa,giraffe,2.04,0.89,3,6,1.25,27,1.43,6.76,6.6
girassol,sunflower,2.73,0.86,3,8,2.16,56,1.75,NA,NA
gladíolo,gladiole,6.05,1.9,3,8,4,NA,NA,NA,NA
glória,glory,4.14,1.77,2,6,3.3,331,2.52,1.86,2.87
gnu,gnu,6,1.69,1,3,4,NA,NA,NA,NA
goiaba,guava,5,1.49,3,6,3.37,NA,NA,NA,NA
golfinho,dolphin,2.78,0.87,3,8,1.53,99,2,NA,NA
goraz,red sea bream,6.64,1.24,2,5,3.53,9,0.95,NA,NA
gorila,gorilla,2.71,1.35,3,6,1.34,14,1.15,6.62,6.42
gralha,jackdaw,4.57,1.08,2,6,4.11,26,1.41,NA,NA
granada,grenade,4.77,1.38,3,7,2.05,76,1.88,NA,NA
grão,chick-pea,2.91,0.94,1,4,2.63,20,1.3,NA,NA
gratidão,gratitude,4.91,1.16,3,8,2.67,92,1.96,1.92,2.54
gravata,tie,3.39,1.44,3,7,1.84,264,2.42,NA,NA
grelhador,barbecue,4.22,0.96,3,9,1.74,16,1.2,NA,NA
grelos,turnip tops,3.64,1.4,2,6,2.63,25,1.4,NA,NA
grilo,cricket,2.65,1.06,2,5,2.05,29,1.46,NA,NA
groselha,red currant,4.27,1.65,3,8,2.84,19,1.28,NA,NA
grossista,wholesaler,6.71,1.19,3,9,3.73,9,0.95,3.7,2.4
grupo,group,3.26,1.24,2,5,2.3,8138,3.91,4.32,4.17
guarda-roupa,wardrobe,2.96,0.83,4,12,2.16,60,1.78,6.54,6.06
guerra,war,3.09,1,2,6,2.7,3806,3.58,2.98,4.73
guitarra,guitar,3.48,1.08,3,8,1.74,271,2.43,NA,NA
hambúrguer,hamburger,3.71,1.38,3,10,1.74,24,1.38,NA,NA
harpa,harp,4.73,1.56,2,5,2.37,41,1.61,NA,NA
helicóptero,helicopter,3.05,0.97,5,11,1.74,185,2.27,6.58,6.13
hidroavião,seaplane,5.59,1.6,4,10,2.63,13,1.11,NA,NA
hiena,hyena,4.32,1.46,2,5,NA,15,1.18,NA,NA
hierarquia,hierarchy,5.33,0.97,4,10,2.83,273,2.44,3.08,2.63
hipopótamo,hippopotamus,2.76,0.77,5,10,1.89,29,1.46,NA,NA
história,history,2.17,0.81,3,8,2.63,5251,3.72,3.14,3.13
homem,man,2.13,1.12,2,5,1.53,14031,4.15,4.98,5.94
hortaliça,vegetables,3.41,0.86,4,9,2.95,94,1.97,NA,NA
hortelã,mint,3.67,1.32,3,7,2.95,58,1.76,NA,NA
hostilidade,hostility,6.24,1.04,5,11,3.3,151,2.18,2.5,2.13
humor,humor,4.81,1.33,2,5,2.83,445,2.65,2.2,2.87
iaque,yak,7.1,1.09,2,5,3.89,NA,NA,NA,NA
iate,yatch,5.27,1.53,2,4,1.93,153,2.18,6.46,5.73
iguana,iguana,4.27,1.26,3,6,2.74,NA,NA,NA,NA
industrial,industrial,4.48,0.81,4,10,2.68,1507,3.18,NA,NA
insolência,insolence,5.86,0.91,4,10,3.47,21,1.32,2.44,1.94
interesse,interest,3.7,1.04,4,9,3.13,3467,3.54,2.12,2.54
iogurte,yogurt,1.57,0.68,3,7,1.84,42,1.62,NA,NA
isqueiro,lighter,3.48,1.03,3,8,1.53,53,1.72,NA,NA
jacinto,hyacinth,5.14,1.82,3,7,3.79,9,0.95,NA,NA
jaguar,jaguar,4.7,1.01,2,6,2.42,NA,NA,6.2,5.75
jangada,raft,4,1.34,3,7,2.37,30,1.48,NA,NA
jantar,dinner,1.73,0.56,2,6,1.47,1470,3.17,NA,NA
jardim,garden,2.17,1.21,2,6,1.63,1928,3.29,5.84,6.02
jardineiro,gardener,3,0.77,4,10,1.89,47,1.67,NA,NA
jarro,jug,3,1.12,2,5,1.84,68,1.83,NA,NA
javali,wild boar,3.74,1.17,3,6,2.16,58,1.76,NA,NA
jipe,jeep,3.14,0.96,2,4,1.79,131,2.12,NA,NA
joaninha,ladybird beetle,2.14,1.01,4,8,2,NA,NA,NA,NA
joelho,knee,1.76,0.77,3,6,1.42,680,2.83,NA,NA
jogo,game,1.57,0.51,2,4,2.26,7416,3.87,NA,NA
jornalista,journalist,3.9,0.77,4,10,2.05,1906,3.28,NA,NA
jovialidade,joviality,6.19,1.21,5,11,3.13,12,1.08,2.76,2.75
juiz,judge,3.71,1.23,2,4,1.9,1324,3.12,5.28,5.62
junquilho,jonquil,6.52,1.6,3,9,4.42,11,1.04,NA,NA
justiça,justice,4.9,1.04,3,7,3,1776,3.25,1.8,2.71
ketchup,Ketchup,3.95,1.36,2,7,2.11,33,1.52,NA,NA
kiwi,Kiwi,3.74,1.25,2,4,1.89,25,1.4,NA,NA
lábios,lips,2.05,0.77,2,6,1.37,537,2.73,NA,NA
laço,ribbon bow,1.71,0.9,2,4,1.68,406,2.61,NA,NA
lado,side,3.05,1.16,2,4,3.03,10288,4.01,3.54,2.48
lagarta,caterpillar,2.19,0.81,3,7,2.05,23,1.36,NA,NA
lagartixa,wall lizard,2.3,1.08,4,9,2.53,19,1.28,NA,NA
lagarto,lizard,2.29,1.06,3,7,1.89,73,1.86,NA,NA
lagosta,lobster,4.09,1.25,3,7,2.16,117,2.07,NA,NA
lagostim,crayfish,5.43,1.54,3,8,2.58,42,1.62,NA,NA
lâmina,blade,4,1.1,3,6,1.79,381,2.58,6.64,5.9
lâmpada,electric bulb,2.65,0.96,3,7,1.47,300,2.48,NA,NA
lampreia,lamprey,4.57,1.24,3,8,2.11,34,1.53,NA,NA
lança,spear,4.39,1.66,2,5,2.16,248,2.39,NA,NA
lancha,motorboat,4.33,1.56,2,6,2.89,117,2.07,NA,NA
lápis,pencil,2.04,0.83,2,5,1.37,257,2.41,NA,NA
laranja,orange,1.83,0.57,3,7,1.37,151,2.18,6.82,6.62
lealdade,loyalty,4.86,1.21,4,8,2.97,114,2.06,1.84,2.35
leão,lion,1.87,0.86,2,4,1.26,491,2.69,6.62,6.6
lebre,hare,3,0.89,2,5,2.21,105,2.02,NA,NA
leite,milk,1.05,0.22,2,5,1.32,1009,3,NA,NA
lenço,handkerchief,1.91,0.48,2,5,1.79,463,2.67,NA,NA
leopardo,leopard,3.39,0.98,4,8,1.76,22,1.34,NA,NA
lesma,slug,3.14,1.15,2,5,NA,13,1.11,NA,NA
libélula,libellula,4.74,1.82,4,8,2.84,8,0.9,NA,NA
liberdade,freedom,4.48,1.25,4,9,2.87,1769,3.25,1.64,3.08
lima,lime,3.77,1.14,2,4,3.32,23,1.36,NA,NA
limão,lemon,1.9,0.77,2,5,2,422,2.63,NA,NA
lince,lynx,4.35,1.03,2,6,2.95,18,1.26,6.62,5.65
linguado,sole,4.67,1.39,3,8,3.63,83,1.92,NA,NA
lírio,lily,4.48,1.33,2,5,NA,83,1.92,NA,NA
livro,book,1.95,0.86,2,5,1.26,4182,3.62,NA,NA
lobo,wolf,1.81,0.68,2,4,1.74,279,2.45,6.7,6.06
loja,store,2.77,0.93,2,4,1.9,1343,3.13,5.9,5.5
lontra,otter,4.09,1.62,2,6,2.79,18,1.26,NA,NA
lucro,profit,5.09,0.97,2,5,2.8,816,2.91,3.64,2.48
lugar,place,2.65,1.5,2,5,3.13,7645,3.88,3.74,3.12
lula,squid,3,1,2,4,1.66,84,1.92,NA,NA
luva,glove,2.52,0.93,2,4,1.42,239,2.38,NA,NA
maçã,apple,1.43,0.51,2,4,1.55,298,2.47,6.78,6.87
macaco,monkey,2.1,0.83,3,6,1.43,156,2.19,6.8,6.62
maçaneta,doorknob,3.23,1.34,4,8,1.58,7,0.85,NA,NA
machado,axe,3.19,1.03,3,7,1.63,171,2.23,6.74,6.19
maionese,mayonnaise,3.7,1.03,4,8,2.42,94,1.97,NA,NA
mala,suitcase,2.29,0.56,2,4,1.47,447,2.65,6.66,6.08
malandro,naughty,3.29,1.27,3,8,3,78,1.89,3.38,3.33
malmequer,marigold,2.86,0.73,3,9,2.05,35,1.54,NA,NA
mamão,papaw,5.29,2.15,2,5,3.89,NA,NA,NA,NA
manga,mango,3.67,1.32,2,5,3.32,269,2.43,NA,NA
manteiga,butter,2.13,0.77,3,8,2,846,2.93,NA,NA
mão,hand,1.48,0.93,1,3,1.37,7806,3.89,NA,NA
maple,couch,5.27,2.07,2,5,2.84,14,1.15,NA,NA
máquina,machine,2.33,1.18,3,7,2.17,1875,3.27,6.18,5.35
mar,sea,1.91,0.86,1,3,1.48,3770,3.58,5.58,6.46
maracujá,passion fruit,4.33,1.2,4,8,2.68,29,1.46,NA,NA
marceneiro,joiner,5.59,1.36,4,10,3.21,13,1.11,NA,NA
margarida,daisy,3.41,1.24,4,9,2.78,8,0.9,NA,NA
marido,husband,2.87,0.93,3,6,2.13,1888,3.28,4.8,4.42
marmelo,quince,3.83,1.67,3,7,2.74,8,0.9,NA,NA
marmota,marmot,5.09,1.67,3,7,3.26,7,0.85,NA,NA
martelo,hammer,2.67,1.02,3,7,1.68,146,2.16,6.8,6.5
massa,dough,2.19,0.75,2,5,2.16,1895,3.28,NA,NA
matraca,rattle,5.09,1.79,3,7,3.42,12,1.08,NA,NA
mecânico,mechanic,3.38,0.8,4,8,2,47,1.67,NA,NA
médico,doctor,2.05,0.59,3,6,1.37,3443,3.54,NA,NA
medo,fear,2.36,1.15,2,4,2.63,2331,3.37,1.82,2.88
meia,sock,1.5,0.51,2,4,1.42,225,2.35,NA,NA
melancia,watermelon,2.7,0.8,4,8,1.63,22,1.34,NA,NA
melão,melon,2.45,0.81,2,5,1.95,56,1.75,6.78,6.52
melga,gnat,3,1.22,2,5,2.11,8,0.9,NA,NA
meloa,melon,2.9,0.89,3,5,1.95,11,1.04,NA,NA
melro,blackbird,3.78,1.21,2,5,2.84,43,1.63,NA,NA
memória,memory,4.29,1.19,3,7,3,1731,3.24,2.42,2.21
merceeiro,grocer,3.82,1.39,4,9,2.42,46,1.66,NA,NA
mesa,table,1.74,0.77,2,4,1.32,2633,3.42,6.76,6.48
metralhadora,machine gun,3.86,0.73,5,12,1.94,83,1.92,NA,NA
metro,subway / underground,4.22,1.6,2,5,1.47,2752,3.44,NA,NA
milhafre,kite (bird),6.3,1.57,3,8,4.11,15,1.18,NA,NA
milho,corn,2.73,1.27,2,5,2.42,605,2.78,NA,NA
minhoca,worm,2.43,0.93,3,7,NA,39,1.59,NA,NA
miséria,misery,4.38,0.97,3,7,3.03,537,2.73,2.56,3.63
mocho,hornet owl,2.87,1,2,5,2.53,57,1.76,6.7,6.06
mola,spring,3.43,1.16,2,4,1.74,147,2.17,NA,NA
moldura,frame,3.27,1.06,3,7,1.79,126,2.1,NA,NA
morango,strawberry,1.8,0.83,3,7,1.68,71,1.85,6.76,6.63
morcego,bat (animal),3.43,1.17,3,7,2.21,49,1.69,NA,NA
moreia,morey,5.36,1.39,3,6,3.05,26,1.41,NA,NA
morsa,walrus,5.29,1.38,2,5,3.37,NA,NA,NA,NA
morte,death,3.17,0.89,2,5,2.73,4518,3.65,3.26,3.54
mosca,fly,1.9,0.7,2,6,1.84,273,2.44,6.66,6.5
moscardo,horsefly,4.52,1.6,3,8,3.13,18,1.26,6.22,4.62
mosquito,mosquito,2.76,1.18,3,8,2,176,2.25,NA,NA
mota,motorbike,2.24,0.89,2,4,1.24,29,1.46,NA,NA
motocicleta,motorcycle,5,1.63,5,11,2.79,9,0.95,NA,NA
motorista,driver,3.43,1.25,4,9,1.95,333,2.52,NA,NA
motorizada,motorbike,4.09,1.05,5,10,1.43,60,1.78,6.58,6.1
móvel,piece of furniture,2.77,0.81,2,5,2.42,273,2.44,NA,NA
mulher,woman,2.14,0.73,2,6,1.43,10168,4.01,5.5,5.92
mundo,world,2.73,1.14,2,5,2,7765,3.89,3.56,5.31
músico,musician,2.96,0.89,3,6,1.63,450,2.65,NA,NA
nabiça,turnip greens,3.61,1.38,3,6,3.53,9,0.95,NA,NA
nabo,turnip,3.13,1.63,2,4,2.79,50,1.7,NA,NA
namoro,courtship,3.9,1.22,3,6,2.73,231,2.36,3.06,3.58
narciso,narcissus,5.43,1.36,3,7,3.63,6,0.78,NA,NA
nariz,nose,1.41,0.5,2,6,1.32,549,2.74,6.58,6.52
natal,christmas,1.65,0.66,2,5,1.9,162,2.21,3.34,5.08
natas,cream,3.05,1.16,2,5,2.16,269,2.43,NA,NA
navalha,bowie knife,4.24,1.37,3,7,1.84,146,2.16,NA,NA
navio,ship,3.05,1.12,3,5,2.11,891,2.95,NA,NA
neve,snow,2.22,0.89,2,4,1.5,844,2.93,6.24,6.04
nome,name,1.74,0.87,2,4,2.3,6353,3.8,3.58,2.83
obediência,obedience,3.78,1.17,6,10,3,106,2.03,2.26,2.71
obsessão,obsession,5.95,1.34,3,8,3.07,141,2.15,2.14,2.23
óculos,glasses,2.23,0.56,3,6,1.26,352,2.55,NA,NA
ódio,hate,4.55,1.36,2,4,3.1,372,2.57,1.84,2.35
olho,eye,1.29,0.46,2,4,1.15,6030,3.78,NA,NA
ombro,shoulder,2.36,0.91,2,5,1.47,1255,3.1,NA,NA
onça,mountain lion/ounce,4.87,1.56,2,4,3.68,49,1.69,6.28,5.15
oração,prayer,2.96,0.74,3,6,2.67,319,2.5,2.54,3.15
orangotango,orangutan,3.76,1.18,5,11,2.47,18,1.26,NA,NA
orelha,ear,1.52,0.68,3,6,1.32,453,2.66,NA,NA
orgulho,pride,4.91,1.52,3,7,3,526,2.72,1.92,2.71
ornitorrinco,ornithorhyncus,6.45,1.03,5,12,3.47,NA,NA,NA,NA
orquídea,orchid,4.57,1.12,3,8,3.37,28,1.45,NA,NA
ouriço,hedgehog,3.19,1.08,3,6,2.1,18,1.26,NA,NA
ovelha,sheep,2.27,0.75,3,6,1.29,266,2.42,6.76,6.69
ovo,egg,1.57,0.74,2,3,1.37,1140,3.06,NA,NA
pá,shovel,1.43,0.75,1,2,1.52,166,2.22,NA,NA
padeiro,baker,2.52,0.81,3,7,2.68,57,1.76,NA,NA
padre,priest,3.14,0.65,2,5,1.37,1583,3.2,NA,NA
pai,father,1.09,0.3,1,3,1.83,5932,3.77,5.18,6.17
paixão,passion,4.48,1.47,2,6,2.93,1014,3.01,1.86,3.12
palavra,word,2.81,1.29,3,7,2.03,5742,3.76,3.68,3.81
palmeta,Greenland halibut,7.14,1.15,3,7,3.24,NA,NA,NA,NA
panda,panda,2.48,0.87,2,5,2.05,NA,NA,NA,NA
pandeireta,tambourine,3.39,1.12,4,10,2.63,12,1.08,NA,NA
panela,pot,2.14,0.85,3,6,1.63,272,2.43,NA,NA
pânico,panic,4.82,1.25,3,6,3,246,2.39,2.2,3.23
pantera,panther,3.43,1.03,3,7,2.26,20,1.3,NA,NA
pão,bread,1.43,0.6,1,3,1.47,1357,3.13,NA,NA
papagaio,parrot,2.33,0.73,4,8,2,93,1.97,NA,NA
papaia,papaya,4.76,1.45,3,6,3.74,NA,NA,NA,NA
papeleira,standing desk,5.73,1.6,4,9,2.89,25,1.4,NA,NA
papoila,poppy,3.35,0.98,3,7,3,29,1.46,NA,NA
parafuso,screw,3.33,0.86,4,8,1.68,132,2.12,NA,NA
pardal,sparrow,3.05,1.24,2,6,3.21,69,1.84,NA,NA
pardelha,roach (fish),7.19,1.25,3,8,4.79,NA,NA,NA,NA
pargo,seabream,4.96,1.63,2,5,2.55,12,1.08,NA,NA
pasta,briefcase,2.95,1.02,2,5,1.94,642,2.81,NA,NA
pasteleiro,pastrycook,3.43,1.12,4,10,2.11,31,1.49,NA,NA
patins,roller skates,2.95,0.95,2,6,1.39,206,2.31,NA,NA
pato,duck,1.71,0.56,2,4,1.63,190,2.28,6.7,6.56
pavão,peacock,3.05,1.88,2,5,2.74,36,1.56,6.76,6.35
paz,peace,3.33,1.46,1,3,3.03,1742,3.24,1.94,2.94
pé,foot,1.23,0.54,1,2,1.16,4263,3.63,NA,NA
pedaço,piece,2.71,1.01,3,6,2.53,608,2.78,4.2,3.73
peito,chest,2.62,1.07,2,5,1.37,1006,3,NA,NA
peixe,fish,1.57,0.51,2,5,1.63,1561,3.19,NA,NA
pele,skin,2.17,0.77,2,4,NA,1764,3.25,NA,NA
pelicano,pelican,4.87,1.7,4,8,3.53,17,1.23,NA,NA
penca,large nose/cabbage,5.09,1.74,2,5,4.89,NA,NA,NA,NA
pente,comb,2,0.77,2,5,1.37,90,1.95,6.74,6.58
pepino,cucumber,3.33,1.06,3,6,2.47,53,1.72,NA,NA
pêra,pear,1.57,0.51,2,4,1.79,161,2.21,NA,NA
perdiz,partridge,4.38,1.28,2,6,3.05,91,1.96,NA,NA
perfume,perfume,2.86,1.01,3,7,1.47,643,2.81,NA,NA
periquito,parakeet,3,1.26,4,9,2.67,20,1.3,NA,NA
perna,leg,1.33,0.48,2,5,1.42,1413,3.15,NA,NA
peru,turkey,2.86,1.06,2,4,2.11,58,1.76,6.78,6.35
pesar,grief,3.52,1.33,2,5,3.03,57,1.76,3.4,2.81
pescada,hake,3.48,1.33,3,7,1.71,43,1.63,NA,NA
pescador,fisherman,2.62,0.86,3,8,1.74,746,2.87,NA,NA
pescoço,neck,1.95,0.74,3,7,1.26,702,2.85,NA,NA
pêssego,peach,2.19,0.75,3,7,2,51,1.71,NA,NA
peúgas,socks,3,1.3,3,6,1.72,34,1.53,NA,NA
piano,piano,2.27,0.64,3,5,1.47,442,2.65,6.78,6.31
pica-pau,woodpecker,2.59,1.25,3,8,2.67,1,0,NA,NA
pijama,pajama,2.09,0.73,3,6,1.53,75,1.88,NA,NA
pimenta,pepper,3.14,1.35,3,7,2.74,895,2.95,NA,NA
pimento,green pepper,3.14,0.85,3,7,2.42,143,2.16,NA,NA
pincel,paintbrush,2.87,1.09,2,6,1.58,142,2.15,6.62,6.37
pinguim,penguin,2.67,0.86,2,7,2.05,21,1.32,6.7,6.38
pintaínho,chick,1.43,0.6,4,9,1.67,9,0.95,NA,NA
pintassilgo,goldfinch,3.87,1.24,4,11,3.78,14,1.15,6.69,5.38
pintor,painter,2.91,0.83,2,6,1.79,522,2.72,NA,NA
pipocas,popcorn,2.39,0.75,3,7,1.95,16,1.2,NA,NA
pirâmide,pyramid,3.62,1.07,4,8,1.63,210,2.32,NA,NA
piranha,piranha,4.57,1.33,3,7,1.95,7,0.85,NA,NA
pistola,pistol,2.48,1.12,3,7,1.58,212,2.33,NA,NA
pizza,pizza,3.71,1.15,2,5,1.84,28,1.45,NA,NA
plaina,plane (tool),6.25,1.32,2,6,4.05,38,1.58,NA,NA
planta,plant,2.18,0.73,2,6,1.95,1174,3.07,NA,NA
polegar,thumb,2.67,1.2,3,7,1.53,59,1.77,NA,NA
polícia,policeman,2.57,0.97,3,7,1.58,1895,3.28,NA,NA
político,politician,4.73,1.31,4,8,2.16,489,2.69,NA,NA
poltrona,armchair,3.81,0.87,3,8,2.79,119,2.08,NA,NA
polvo,octopus,3.09,1.27,2,5,1.74,167,2.22,NA,NA
pomba,dove,2.3,0.92,2,5,2.67,115,2.06,NA,NA
pombo,pigeon,2.19,0.68,2,5,2.44,167,2.22,NA,NA
pónei,pony,2.52,0.93,2,5,1.95,11,1.04,NA,NA
ponte,bridge,2.57,0.86,2,5,1.43,778,2.89,6.26,6.38
porco,pig,1.86,0.62,2,5,1.26,659,2.82,NA,NA
porta,door,1.65,1.01,2,5,NA,4921,3.69,NA,NA
porteiro,doorman,3.78,1.01,3,8,2.16,206,2.31,NA,NA
poster,poster,4.19,1.03,2,6,2.16,20,1.3,NA,NA
prateleira,shelf,3,0.8,4,10,2.21,220,2.34,NA,NA
prato,plate,1.62,0.67,2,5,1.47,933,2.97,NA,NA
prazer,pleasure,4.24,1.22,2,6,2.93,1044,3.02,2.08,2.9
prego,nail,2.74,1.06,2,5,1.63,148,2.17,NA,NA
prisão,prison,2.9,1.09,2,6,1.87,1428,3.15,5.36,5.63
professor,teacher,2.35,0.51,3,9,1.47,3082,3.49,NA,NA
profissão,profession,3.76,1.14,3,9,2.37,827,2.92,4.18,3.13
progresso,progress,5,1,3,9,3.23,945,2.98,2.62,2.44
psicólogo,psychologist,5.38,1.12,4,9,1.74,110,2.04,NA,NA
pudim,pudding,2.86,1.39,2,5,2.58,65,1.81,NA,NA
pulga,flee,2.86,0.85,2,5,2.32,47,1.67,NA,NA
pulseira,bracelet,2.57,0.91,3,8,1.95,191,2.28,NA,NA
pulso,wrist,3,1.05,2,5,1.53,293,2.47,NA,NA
punhal,dagger,4.52,1.43,2,6,2.05,155,2.19,NA,NA
quadro,painting,2.43,0.81,2,6,2,2774,3.44,NA,NA
queijo,cheese,2,0.59,2,6,1.79,599,2.78,NA,NA
queque,muffin,2.39,0.98,2,6,NA,45,1.65,NA,NA
rã,frog,2.52,0.93,1,2,1.74,92,1.96,NA,NA
rabanete,radish,3.86,1.39,4,8,2.79,21,1.32,NA,NA
rádio,radio,2.7,1.04,2,5,1.68,1130,3.05,NA,NA
raia,ray (fish),4.91,1.4,2,4,2.16,106,2.03,NA,NA
rapaz,boy,1.91,0.74,2,5,1.4,2375,3.38,5.69,6.04
raposa,fox,2.91,1,3,6,1.45,110,2.04,NA,NA
raquete,racquet,3.33,1.11,3,7,1.58,11,1.04,6.8,6.44
rato,mouse,1.77,0.6,2,4,1.21,505,2.7,6.72,6.48
rebuçado,candy,1.86,0.79,4,8,1.89,63,1.8,NA,NA
refrigerante,soft drink,4.22,1.14,5,12,2.21,15,1.18,NA,NA
regador,watering can,2.74,1.21,3,7,1.68,7,0.85,6.62,6.23
regra,rule,3.14,0.94,2,5,3.07,2106,3.32,2.98,2.42
régua,ruler,2.81,0.81,2,5,1.26,42,1.62,NA,NA
religião,religion,3.62,1.16,4,8,3.03,1155,3.06,2.1,2.92
relógio,clock,2.52,0.81,3,7,1.12,761,2.88,6.6,6.6
repolho,drum-head cabbage,4.17,1.35,3,7,3.26,7,0.85,NA,NA
repórter,reporter,4.57,1.16,3,8,2.53,159,2.2,NA,NA
revista,magazine,2.83,0.96,3,7,2.05,1244,3.09,NA,NA
revólver,revolver,4.48,1.4,3,8,1.79,39,1.59,NA,NA
rinoceronte,rhinocerous,3.73,1.24,5,11,1.68,49,1.69,6.62,6.35
rio,river,2,0.77,2,3,1.57,2983,3.47,5.94,6.06
rissóis,rissoles,3,1.07,2,7,2.42,20,1.3,NA,NA
robalo,sea bass,5.91,1.48,3,6,3.03,39,1.59,NA,NA
robe,robe,3.23,1.42,2,4,1.84,38,1.58,NA,NA
rodovalho,brill,7.52,0.98,4,9,4.63,NA,NA,NA,NA
rola,turtledove,3.74,1.6,2,4,3.56,78,1.89,NA,NA
romã,pomegranate,3.14,1.22,2,4,2.37,16,1.2,NA,NA
rosa,rose,2.43,1.4,2,4,1.89,475,2.68,NA,NA
roupeiro,wardrobe,3,1,3,8,2.74,NA,NA,NA,NA
rouxinol,nightingale,3.3,0.85,3,8,3.83,44,1.64,NA,NA
sabre,saber,6.48,1.33,2,5,3.42,18,1.26,NA,NA
safio,european conger,5.83,1.7,2,5,3.45,10,1,NA,NA
saia,skirt,2,0.71,2,4,1.32,521,2.72,NA,NA
sal,salt,2.57,0.93,1,3,1.79,1103,3.04,NA,NA
salada,salad,2.5,0.75,3,6,2.05,172,2.24,NA,NA
salmão,salmon,4.18,1.31,2,6,2,42,1.62,NA,NA
salsa,parsley,3.83,1.59,2,5,2.42,476,2.68,NA,NA
sapateira,shoe closet,4.04,1.4,4,9,NA,7,0.85,NA,NA
sapateiro,shoemaker,3.14,0.89,4,9,1.74,69,1.84,NA,NA
sapato,shoe,1.64,0.67,3,6,1.32,677,2.83,NA,NA
sapo,toad,2.24,1.04,2,4,1.37,48,1.68,6.76,6.5
sardinha,sardine,2.64,0.92,3,8,1.56,238,2.38,NA,NA
saudade,nostalgia,3.41,0.92,3,7,2.73,671,2.83,1.84,2.81
sável,allis shad (fish),6.81,1.44,2,5,3.82,31,1.49,NA,NA
savelha,twaite shad (fish),7.71,0.9,3,7,4.58,NA,NA,NA,NA
saxofone,saxophone,4.65,1.35,4,8,2.32,64,1.81,NA,NA
secretária,secretary / desk,3.35,0.92,4,10,2.26,436,2.64,NA,NA
segurança,safety,3.95,0.97,4,9,2.9,2708,3.43,2.28,2.94
selo,stamp,3.76,0.89,2,4,1.7,332,2.52,6.54,6.33
seringa,syringe,3.81,1.21,3,7,1.58,114,2.06,NA,NA
serpente,serpent,2.95,1.07,3,8,2.05,142,2.15,NA,NA
serra,saw,3.19,0.75,2,5,1.89,876,2.94,6.02,5.83
serralheiro,locksmith,4,1.12,4,11,2.79,45,1.65,NA,NA
serrote,handsaw,3.61,1.31,3,7,2.26,51,1.71,NA,NA
sino,bell,2.3,0.91,2,4,1.34,241,2.38,NA,NA
skate,skate,4,1,2,5,2.11,18,1.26,NA,NA
skis,skis,4.17,1.55,1,4,2.32,28,1.45,NA,NA
sobretaxa,surcharge,6.9,0.7,4,9,4.13,7,0.85,3.4,1.6
sobretudo,overcoat,3.91,1.37,4,9,2,133,2.12,NA,NA
