word_spanish,translate_word_english,color_mean,color_sd,motion_mean,motion_sd,grasp_mean,grasp_sd,pain_mean,pain_sd,sound_mean,sound_sd,taste_mean,taste_sd,smell_mean,smell_sd,boi_mean,concrete_mean,imagine_mean,category,pc1_scores,pc2_scores
plátano,banana,6.08,1.44,2.65,1.7,7.77,0.43,1.54,0.72,1.42,0.88,7.42,0.97,4.75,1.29,NA,NA,NA,Frutas (A fruit),-1.53,2.09
banjo,banjo,3.08,1.06,3.58,1.5,5.19,2.1,2.29,1.57,3.75,1.89,2.25,1.07,1.79,0.98,NA,NA,NA,Instrumentos musicales (A musical instrument),-0.02,-0.97
pancarta,banner,4.71,2.29,3.62,1.77,6.46,1.33,1.71,1.08,1.75,1.15,2.29,1.04,1.54,0.78,NA,NA,NA,NA,-0.77,-0.52
granero,barn,3.33,1.63,2,1.57,1.77,1.37,1.96,1.16,4,1.87,1.96,0.86,5.42,2.08,NA,6.08,5.76,Partes de un edificio (A part of a building),0.29,-0.06
barril,barrel,3.17,1.95,3,1.5,4.42,1.88,2.58,1.64,3.04,1.63,2.63,1.41,3.42,2.26,NA,NA,NA,NA,-0.12,-0.44
sótano,basement,2.25,1.87,1.19,0.4,1.19,0.4,2.08,1.5,2.13,1.3,1.71,0.75,3.71,2.07,3.22,6.49,5.74,Partes de un edificio (A part of a building),-0.3,-1.07
balón,basketball,4.25,1.87,6.69,1.38,7.46,0.76,4,1.93,3.21,1.47,2.04,0.95,2.08,1.14,NA,6.23,6.36,Juguetes (A toy),0.48,-0.29
bañera,bathtub,3.13,1.9,1.77,1.39,2.73,1.87,2.25,1.67,2.54,1.35,1.96,1.3,2.71,2.01,NA,6.32,6.69,NA,-0.27,-0.97
batuta,baton,3.08,1.61,5.31,1.74,6.81,1.88,2.25,1.39,3.29,1.49,2.46,1.28,1.54,0.98,NA,NA,NA,Miembros del clero (A members of the clergy),-0.11,-0.78
bayoneta,bayonet,3.96,1.43,4,1.79,4.23,1.66,5.33,2.58,4.04,2.2,2.04,1.16,1.96,1.2,NA,NA,NA,Armas (A weapon),0.97,-0.78
bazuca,bazooka,3.5,1.56,3.5,1.63,4.27,1.8,5.75,2.42,4,2.3,2.25,1.07,2.25,1.39,NA,NA,NA,NA,0.94,-0.86
alubias,beans,3.58,1.61,2.42,1.45,7.62,0.75,1.46,0.59,1.38,0.65,5.71,1.2,5.5,1.74,NA,NA,NA,Verduras (A vegetable),-1.49,1.08
castor,beaver,4.33,1.71,6.77,1.11,4.54,2.04,3.17,1.05,3.13,1.12,3.29,1.76,4.21,1.82,NA,NA,NA,Nombres de varón (A male's first name),0.58,0.74
dormitorio,bedroom,3.92,1.56,1.58,1.24,1.31,1.12,1.42,0.72,2.04,1,2.46,1.14,3.67,2.3,NA,6.18,6.4,Partes de un edificio (A part of a building),-0.44,-0.31
colmena,beehive,5.38,1.44,4.54,2.32,4.12,1.95,5.42,2.06,3.75,1.57,3.04,1.97,3.75,1.87,NA,NA,NA,NA,1.02,0.5
escarabajo,beetle,5.13,2.23,7.15,1.05,6.96,1.08,1.92,1.28,1.54,0.72,1.54,1.06,1.79,1.38,NA,NA,NA,Insectos (An insect),-0.22,-0.1
remolacha,beets,6.21,1.79,2.15,1.41,7.31,1.12,1.29,0.55,1.21,0.51,5.88,1.48,4.5,1.96,NA,NA,NA,Verduras (A vegetable),-1.52,1.6
banco,bench,2.54,0.98,2.12,1.8,3,1.67,2.04,1.63,2.38,1.44,2.08,1.06,2.25,1.33,5.98,4.86,5.71,Dinero (A kind of money),-0.39,-1.21
abedul,birch,4.42,1.53,3.31,1.91,2.81,1.86,1.88,1.33,1.88,1.03,2.92,1.21,3.92,1.64,NA,NA,NA,Árboles (A tree),-0.32,0.22
galleta,biscuit,3.38,1.69,2.85,1.69,7.92,0.27,1.29,0.55,2.08,1.02,7.83,0.38,4.79,1.38,NA,NA,NA,NA,-1.55,1.42
bisonte,bison,4.58,1.98,6.42,1.6,2.31,1.41,5.33,1.83,4.04,1.68,3.71,1.52,5.04,1.85,NA,NA,NA,Animales de cuatro patas (A four-footed animal),1.51,1.05
mirlo,blackbird,5.75,1.36,6.81,1.83,5.81,1.74,2.25,1.07,3.46,1.18,3.17,1.9,3.08,1.69,NA,NA,NA,Aves (A bird),0.36,0.85
licuadora,blender,2.71,1.12,4.54,1.61,6.46,1.5,3.88,1.78,5.17,1.76,2.71,1.43,2.33,1.34,NA,NA,NA,Utensilios de cocina (A kitchen utensil),0.66,-0.75
arándano,blueberry,6.83,0.96,2.31,1.44,7.46,0.9,1.29,0.55,1.21,0.41,6.92,1.44,4.46,1.22,NA,NA,NA,Frutas (A fruit),-1.59,2.07
arrendajo,bluejay,3.83,1.76,3.85,1.83,3.81,1.7,2.75,1.65,2.21,1.06,2.54,1.25,1.96,1.12,NA,NA,NA,NA,-0.12,-0.61
barca,boat,3.88,1.54,5.92,1.47,2.81,1.92,2.96,1.71,3.42,1.21,2.08,1.1,2.46,1.72,NA,6.02,5.93,Embarcaciones (A type of ship),0.73,-0.32
cerrojo,bolts,2.75,1.59,2.81,1.52,6.77,1.31,1.96,1.12,2.54,0.98,1.88,0.9,1.67,0.92,NA,5.29,6.46,NA,-0.7,-1.29
bomba,bomb,5.21,2.13,3.38,2,5.31,1.89,8,0,7.88,0.34,1.38,0.77,3.96,2.84,NA,5.14,5.79,Armas (A weapon),2.54,-0.16
libro,book,4.5,1.59,3.12,1.88,7.62,0.5,2.33,1.17,1.88,0.61,2.67,1.46,3.71,1.92,NA,6.07,6.26,Material de lectura (A type of reading material),-0.79,0.07
botas,boots,4.67,1.58,3.92,1.85,7.23,1.03,2.04,0.91,2.58,0.88,1.71,0.86,3.17,2.04,NA,NA,NA,Tipos de calzado (A type of footgear),-0.42,-0.18
peña,boulder,3.54,1.98,2.69,2.02,1.96,1.31,3,1.93,4.38,2.55,2.21,1.25,2.88,2.17,NA,4.37,4.68,Accidentes geográficos y formaciones naturales de la tierra (A natural Earth formation),0.61,-0.65
ramo,bouquet,6.63,1.38,2.77,1.42,7.58,0.7,1.58,0.83,1.42,0.58,2.88,1.39,5.17,1.88,NA,4.88,6.18,NA,-1.01,1.19
cuenco,bowl,3.29,1.4,2.73,1.34,7.54,0.81,2.13,1.26,2.25,1.03,3,1.5,1.96,1.16,NA,5.12,5.63,Utensilios de cocina (A kitchen utensil),-0.92,-0.76
sujetador,bra,4.46,1.53,2.88,1.77,7.81,0.57,2.58,1.56,1.25,0.44,2.33,1.43,2.25,1.7,NA,5.39,5.41,Prendas de vestir (An article of clothing),-0.97,-0.5
pulsera,bracelet,5.17,1.74,3.27,1.95,7.81,0.4,1.67,0.56,1.71,0.75,2.54,1.28,1.88,1.15,NA,6.16,5.95,NA,-1,-0.25
pan,bread,3.29,1.57,2.31,1.54,7.81,0.4,1.46,0.66,1.63,0.65,7.67,0.56,4.71,1.73,NA,NA,6.84,NA,-1.69,1.26
brócoli,broccoli,5.21,1.89,2,1.2,7.42,0.99,1.33,0.56,1.17,0.38,5.25,2.11,5.17,1.71,NA,NA,NA,Verduras (A vegetable),-1.52,1.31
escoba,broom,3.29,1.97,4.19,1.81,7.31,0.88,2.67,1.24,2.25,0.74,1.46,0.66,2.21,1.41,NA,6.33,5.85,Herramientas (A carpenter's tool),-0.4,-0.94
cepillo,brush,3.58,1.5,3.73,1.97,7.69,0.68,2,0.93,2.08,0.72,2.25,1.19,2.21,1.32,NA,5.5,6,Herramientas (A carpenter's tool),-0.77,-0.67
hebilla,buckle,3.46,1.77,2.65,1.41,7.38,0.9,2.67,1.46,1.79,0.72,2.13,1.03,1.83,1.09,NA,NA,NA,NA,-0.82,-1.01
cotorra,budgie,5.25,1.62,6.77,1.5,5.27,2.18,2.5,1.22,4.79,1.47,2.67,1.37,2.83,1.69,NA,NA,NA,Aves (A bird),0.84,0.49
cochecito,buggy,4.54,1.72,6.19,1.58,6.27,1.93,2.54,1.25,3.5,1.32,2.38,1.17,2.79,1.86,NA,NA,NA,Juguetes (A toy),0.31,0.1
edificio,building,3.54,1.5,1.38,0.7,1.23,0.82,2.46,1.61,3.88,1.7,2.13,1.08,2.33,1.46,NA,5.69,6.57,Tipos de viviendas (A type of human dwelling),0.24,-0.96
toro,bull,5.58,2.12,7.15,0.92,2.12,1.14,6.54,1.25,4.58,1.06,4.42,1.74,5.25,1.82,NA,6.26,5.86,Animales de cuatro patas (A four-footed animal),2.03,1.64
bungaló,bungalow,4,1.77,2,1.5,1.23,0.51,2,1.62,3.04,1.55,2.63,1.41,3.13,1.7,NA,NA,NA,NA,0,-0.37
autobús,bus,4.92,1.69,6.96,0.92,1.62,1.1,4.17,1.97,4.88,1.45,1.88,0.95,3.08,1.61,NA,6.73,6.3,Vehículos (A type of vehicle),1.76,0.21
gavilán,buzzard,4.83,1.46,7.12,1.14,4.19,1.98,4.04,1.78,3.63,1.35,3,1.44,3.92,1.53,NA,NA,NA,Aves (A bird),1.04,0.74
repollo,cabbage,3.96,2.01,2.35,1.35,6.92,1.38,1.46,0.72,1.42,0.65,6.04,1.23,4.96,2.1,NA,NA,NA,Verduras (A vegetable),-1.44,1.11
armario,cabinet,3.83,1.79,2.31,1.35,2.19,1.55,2.46,1.44,2.5,1.38,2.38,1.28,3.54,1.98,NA,6.24,6.24,Muebles (An article of furniture),-0.08,-0.35
