word_spanish,translate_word_english,color_mean,color_sd,motion_mean,motion_sd,grasp_mean,grasp_sd,pain_mean,pain_sd,sound_mean,sound_sd,taste_mean,taste_sd,smell_mean,smell_sd,boi_mean,concrete_mean,imagine_mean,category,pc1_scores,pc2_scores
ballesta,crossbow,3.33,1.58,3.77,1.66,6.04,1.87,6.88,1.9,4.96,1.76,1.75,0.99,1.96,1.83,NA,NA,NA,Armas (A weapon),1.31,-1.14
cuervo,crow,5.13,1.83,7.38,0.64,5.12,1.95,4.29,1.55,4.5,1.32,2.83,1.61,4.08,1.98,NA,NA,NA,Aves (A bird),1.29,0.86
palanca,crowbar,2.58,1.5,4.27,1.69,6.35,1.35,3.21,1.67,2.42,0.97,2.04,1,1.79,1.18,NA,5.49,4.61,Herramientas (A carpenter's tool),-0.21,-1.14
pepino,cucumber,5.58,1.47,2.27,1.4,7.73,0.6,1.75,0.9,1.29,0.55,6,1.38,3.67,1.34,NA,NA,NA,Verduras (A vegetable),-1.49,1.19
despensa,cupboard,3.33,1.95,1.31,0.55,1.54,1.48,1.42,0.72,1.92,1.41,4.08,1.84,4,1.82,NA,NA,NA,Partes de un edificio (A part of a building),-0.71,0.01
cortinas,curtains,4.42,1.5,4.04,1.87,6.23,1.42,1.54,1.1,1.88,0.74,2.17,1.09,2.21,1.1,NA,NA,NA,Muebles (An article of furniture),-0.67,-0.38
daga,dagger,3.79,1.72,3.42,1.68,6.38,1.98,6.75,2.03,2.63,1.38,2.04,0.75,1.5,0.59,NA,NA,NA,Armas (A weapon),0.55,-1.11
dálmata,dalmation,5.13,2.05,7.23,0.76,5,1.83,3.04,1.43,3.96,0.75,3,1.69,4.63,1.61,NA,NA,NA,NA,0.86,1.1
ciervo,deer,4.75,1.73,7.15,0.67,3.27,1.4,4.46,1.53,3.58,1.38,4.21,1.86,4.63,1.91,NA,6.52,6,Animales de cuatro patas (A four-footed animal),1.14,1.23
euro,dime,4.58,1.95,3.69,2.46,7.42,1.9,1.83,0.92,2.08,0.83,2,1.5,2.92,1.41,NA,NA,NA,Dinero (A kind of money),-0.69,-0.22
plato,dish,3.08,1.89,2.69,1.59,7.73,0.6,2.54,1.56,2.75,1.36,3.21,1.74,2.33,1.66,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-0.74,-0.68
lavavajillas,dishwasher,2.42,1.28,2.85,1.67,2.19,1.36,1.96,1.37,3.96,1.55,1.75,0.74,3.83,2.06,NA,NA,NA,Utensilios de cocina (A kitchen utensil),0.29,-0.76
perro,dog,4.92,1.61,7.38,0.75,6.19,1.44,3.38,1.17,4.46,1.1,2.92,1.67,5.42,1.38,NA,6.44,6.57,Animales de cuatro patas (A four-footed animal),0.97,1.25
delfín,dolphin,5.04,1.43,7.65,0.56,2.69,1.62,2.71,1.4,3.79,1.25,3.25,1.82,3.29,1.55,NA,NA,NA,Peces (A fish),1.01,0.81
burro,donkey,3.79,1.79,6.73,0.83,2.96,1.46,3.83,1.83,4.29,1.16,3.08,1.79,5.63,1.93,NA,4.94,NA,Animales de cuatro patas (A four-footed animal),1.26,0.92
pomo,doorknob,3.33,1.86,3.38,2.1,7.73,0.67,2.04,0.95,2.42,1.21,2.04,1.04,1.96,1.23,NA,NA,NA,NA,-0.72,-0.92
desagüe,drain,2.25,1.48,2.19,1.79,2.85,1.67,1.88,1.33,3.29,1.37,1.08,0.28,6.42,1.77,NA,NA,NA,NA,0.06,-0.3
telón,drapes,5.54,1.56,4,1.72,4.42,1.98,1.63,0.71,2.29,0.86,1.92,1.06,2.25,1.36,NA,5.62,6.15,NA,-0.26,-0.1
vestido,dress,5.67,1.17,3.58,1.7,7.38,0.7,1.42,0.72,1.13,0.34,2.33,1.2,2.67,1.46,NA,6.08,NA,Prendas de vestir (An article of clothing),-1.05,0.12
taladro,drill,3.21,1.53,5.04,1.71,7.04,1,6.04,1.52,6.21,1.44,1.75,0.85,2.29,1.37,NA,NA,NA,Herramientas (A carpenter's tool),1.53,-0.89
pato,duck,5.08,1.69,7.12,0.82,5.81,1.41,2.75,1.33,3.46,1.1,5.17,1.74,4.42,1.44,NA,6.25,6.57,Aves (A bird),0.33,1.59
orejeras,earmuffs,3.96,1.43,2.27,1.34,6.88,1.51,1.33,0.56,1.21,0.51,2.46,1.28,1.67,1.2,NA,NA,NA,NA,-1.29,-0.81
anguila,eel,4.13,1.83,6.69,1.26,4.5,2.4,4.63,1.95,2.42,1.28,3.83,2.06,3.29,1.73,NA,NA,NA,Peces (A fish),0.62,0.48
berenjena,eggplant,5.96,1.81,2.27,1.59,7.65,0.56,1.29,0.46,1.04,0.2,6.38,1.35,4.25,1.45,NA,NA,NA,Verduras (A vegetable),-1.65,1.59
elefante,elephant,4.29,1.78,6.96,0.87,1.27,0.53,5,2.25,5.42,1.47,2.96,1.63,5.42,1.98,NA,6.41,5.09,Animales de cuatro patas (A four-footed animal),2.08,0.96
corzo,elk,3.67,1.55,4.62,2.26,3.42,1.47,2.88,1.19,3.04,1.37,3.21,1.98,3.5,1.84,NA,NA,NA,Animales de cuatro patas (A four-footed animal),0.27,0.07
esmeralda,emerald,7.29,0.81,2.15,1.49,7,1.52,1.83,1.05,1.58,1.02,3.29,1.65,1.83,1.55,NA,6.55,5.53,Piedras preciosas (A precious stone),-1.05,0.43
emú,emu,3.96,1.73,5.96,1.87,2.73,1.56,3.88,1.75,2.88,1.39,3.13,1.42,3.21,2.17,NA,NA,NA,Aves (A bird),0.73,0.16
sobre,envelope,2.63,1.95,3.15,1.95,7.73,0.72,1.42,0.58,1.63,0.71,2.21,1.25,2.08,1.1,NA,NA,NA,NA,-1.15,-1.05
halcón,falcon,4.83,1.66,7.58,0.58,4.54,1.94,5.04,1.68,4.13,1.26,3.21,1.61,4.33,1.61,NA,NA,NA,Aves (A bird),1.41,0.93
cervatillo,fawn,4.96,1.55,7,1.13,3.77,1.84,3.21,1.64,3.21,0.83,4.13,1.87,4.67,1.69,NA,NA,NA,Animales de cuatro patas (A four-footed animal),0.69,1.32
pinzón,finch,4.75,2.13,5.38,2.26,5.88,1.84,3.79,2,2.46,0.98,2.71,1.55,2.67,1.66,NA,NA,NA,Aves (A bird),0.2,0.06
flamenco,flamingo,6.21,1.72,6.88,0.99,3.46,2,2.67,1.43,3.88,1.48,3.58,2.08,3.92,1.84,NA,5.05,5.14,Bailes (A type of dance),0.85,1.34
pulga,flea,2.5,2.11,7.19,1.27,6.23,2.37,3.13,1.45,1.13,0.34,1.29,0.75,1.58,1.1,NA,NA,NA,Insectos (An insect),-0.06,-1.07
zorro,fox,5.92,1.25,7.35,0.75,3.54,1.84,4.42,1.77,3.42,1.28,3.42,1.72,4.5,1.84,NA,6.05,6.2,Animales de cuatro patas (A four-footed animal),1.2,1.36
congelador,freezer,2.88,2.19,1.85,1.19,2.54,1.73,2.96,1.88,2.54,1.06,2.33,1.27,3.25,1.96,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-0.11,-0.81
portón,gate,3.5,1.47,3.46,1.58,2.58,1.58,2.08,1.1,4.08,1.86,1.88,0.95,2.21,1.41,NA,4.85,5.53,NA,0.38,-0.81
jirafa,giraffe,6.25,1.11,7.19,0.75,2.42,1.63,3.67,1.52,3.13,1.48,3.04,1.65,4.46,1.79,NA,NA,NA,Animales de cuatro patas (A four-footed animal),1.11,1.37
glaciar,glacier,4.5,2.5,3.77,1.99,1.19,0.4,3.75,1.87,3.63,2.18,3.54,1.91,2.04,1.46,NA,NA,NA,Accidentes geográficos y formaciones naturales de la tierra (A natural Earth formation),0.71,-0.16
guantes,gloves,3.71,1.85,3,1.77,7.81,0.49,1.25,0.44,1.21,0.41,2.21,1.1,2.63,1.58,NA,NA,NA,Prendas de vestir (An article of clothing),-1.27,-0.58
cabra,goat,3.67,1.74,7.19,0.69,4.23,1.7,4.17,1.43,4,1.06,4.63,1.66,5.63,1.69,NA,6.22,6.11,Animales de cuatro patas (A four-footed animal),1.02,1.32
bola,golfball,3.67,1.58,5.62,1.72,7.46,0.81,3.13,1.51,2.75,1.15,2.54,1.14,1.63,0.92,NA,5.25,6.59,NA,-0.08,-0.56
ganso,goose,4.29,1.76,6.96,0.72,4.85,1.78,2.92,1.5,3.83,1.2,4.42,1.64,4.25,1.62,NA,NA,NA,Aves (A bird),0.6,1.08
gorila,gorilla,5.67,1.83,7.19,0.75,2.19,0.98,5.46,1.98,5.38,1.01,3,1.64,5.21,1.61,NA,NA,NA,Animales de cuatro patas (A four-footed animal),2.14,1.33
bata,gown,3.75,1.89,3.15,1.76,7.19,0.8,1.33,0.64,1.21,0.83,2.46,1.18,2.54,1.32,NA,5.72,5.96,Prendas de vestir (An article of clothing),-1.18,-0.51
uva,grape,5.46,1.38,2.5,1.33,7.88,0.33,1.21,0.41,1.13,0.34,7.08,0.93,3.79,1.56,NA,NA,NA,Frutas (A fruit),-1.74,1.52
pomelo,grapefruit,6.08,1.25,2.08,1.26,7.5,0.86,1.5,0.66,1.63,1.17,6.54,1.38,4.46,1.47,NA,NA,NA,Frutas (A fruit),-1.47,1.71
saltamontes,grasshopper,5.17,1.37,7.42,0.64,6.81,1.2,1.58,0.78,1.5,0.93,1.96,1.3,1.92,1.21,NA,NA,NA,Insectos (An insect),-0.28,0.1
rallador,grater,2.67,1.76,2.73,1.48,7.5,0.91,3.67,1.71,2.67,1.09,2.25,1.19,2.08,1.21,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-0.41,-1.17
granada,grenade,6.25,1.42,3.15,1.97,7.19,1.41,7.04,2.16,5.71,3.07,5.46,2.17,3.13,1.75,NA,NA,NA,Universidades (A college or university),1.12,0.99
marmota,groundhog,4.46,1.67,5.31,1.83,4.73,1.93,2.5,1.29,1.83,0.76,2.88,1.57,4.33,1.66,NA,NA,NA,Animales de cuatro patas (A four-footed animal),-0.1,0.56
martillo,hammer,3.04,1.6,4.62,2.02,7.62,0.57,6.25,1.48,5.04,1.6,1.96,1,1.71,0.86,NA,5.9,5.86,Herramientas (A carpenter's tool),1.09,-1.12
hámster,hamster,3.79,1.64,7.12,0.95,7.54,0.65,2.29,1.23,2.67,0.96,2.33,1.61,5.21,1.96,NA,NA,NA,Animales de cuatro patas (A four-footed animal),0.06,0.7
pistola,handgun,4.38,2.1,3.69,1.74,7.27,1,7.96,0.2,6.08,1.41,1.54,0.72,2.42,1.67,NA,5.76,6.01,Armas (A weapon),1.77,-0.8
armónica,harmonica,4.42,1.56,4,1.98,7.65,0.63,1.88,1.03,4.67,1.71,2.75,1.57,1.67,0.87,NA,4.92,NA,Instrumentos musicales (A musical instrument),-0.09,-0.4
arpa,harp,4.13,1.65,3.92,1.9,4.42,2.28,2.38,1.84,4.29,1.23,2.5,1.53,2,1.14,NA,NA,NA,Instrumentos musicales (A musical instrument),0.31,-0.48
arpón,harpoon,3.71,1.52,4.12,1.82,5.35,2.12,6.58,1.79,4.42,1.47,1.92,0.93,1.83,1.05,NA,NA,NA,Armas (A weapon),1.23,-0.97
clavicordio,harpsichord,3.42,1.44,3.19,1.65,4.19,2.35,3,2.13,3.5,2.13,2.33,1.01,1.88,1.08,NA,NA,NA,Instrumentos musicales (A musical instrument),0.14,-0.89
cernícalo,hawk,4.67,1.43,6.85,1.57,4.69,1.78,3.88,1.85,3.67,1.43,3.17,1.69,3.58,2.32,NA,NA,NA,Aves (A bird),0.88,0.61
helicóptero,helicopter,4.25,1.67,7.19,0.8,1.35,0.69,3.71,1.73,6.75,1.22,1.92,0.88,2.58,1.86,NA,NA,NA,Vehículos (A type of vehicle),2.18,-0.08
casco,helmet,4.71,1.68,2.88,2.03,7.31,0.79,1.83,0.92,2.25,1.22,1.96,1,2.04,1.16,NA,4.4,5.8,NA,-0.77,-0.55
subrayador,highlighter,7.33,1.17,3.88,1.58,7.77,0.59,1.58,0.72,2.08,1.28,2.04,1.2,3.88,1.39,NA,NA,NA,Material de lectura (A type of reading material),-0.62,0.94
azada,hoe,2.71,1.43,3.81,2,5.46,2.12,5.13,2.19,2.17,1.09,2.08,1.25,2,1.18,NA,NA,NA,Herramientas (A carpenter's tool),0.2,-1.16
gancho,hook,3.17,1.74,2.5,1.39,7.12,1.24,4.71,1.83,1.79,0.72,2,1.06,1.75,1.03,NA,4.66,4.88,Herramientas (A carpenter's tool),-0.36,-1.26
avispón,hornet,6.08,1.25,7.12,1.07,5.62,2.02,6.08,1.21,3.29,1.43,1.5,0.66,2.25,1.48,NA,NA,NA,NA,1.38,0.14
husky,husky,5.04,2.29,7.12,1.48,4.5,1.84,3.54,1.77,4.13,1.39,3.08,1.89,4.79,2,NA,NA,NA,NA,1.05,1.11
hiena,hyena,4.21,1.47,7.27,0.78,2.54,1.17,5.88,1.8,4.71,1.3,2.96,1.63,5.21,1.74,NA,NA,NA,Animales de cuatro patas (A four-footed animal),1.97,0.87
iguana,iguana,6.04,1.55,6.46,1.17,6.19,1.47,3.21,1.44,2.38,1.01,2.42,1.35,3.88,1.85,NA,6.18,5.56,Animales de cuatro patas (A four-footed animal),0.29,0.89
posada,inn,2.67,1.17,1.35,0.56,1.19,0.49,1.5,0.72,2.75,1.54,2.38,1.31,3.5,1.96,NA,5.48,5.79,Tipos de viviendas (A type of human dwelling),-0.3,-0.78
tarro,jar,2.96,1.57,2.27,1.51,7.69,0.62,2.67,1.2,2.46,1.14,2.54,1.14,2.46,1.72,NA,NA,NA,NA,-0.78,-0.91
vaqueros,jeans,4.5,1.59,3.85,2.17,7.31,0.88,1.58,0.65,1.67,0.76,2.58,1.38,2.54,1.53,NA,NA,NA,Prendas de vestir (An article of clothing),-0.89,-0.18
jeep,jeep,4.54,1.82,5.81,1.92,1.65,1.09,3.71,1.78,4.67,1.9,2.25,1.48,2.88,2.03,NA,NA,NA,Vehículos (A type of vehicle),1.37,0.01
jet,jet,4.25,1.65,5.62,1.5,1.35,0.69,2.75,1.75,4.96,2.05,2.29,1.16,2.71,1.65,NA,NA,NA,Vehículos (A type of vehicle),1.23,-0.1
tetera,kettle,3.54,1.69,2.96,1.48,7.46,0.71,2,1.14,3.54,1.44,3.38,1.64,3.38,1.79,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-0.54,-0.13
cucharón,ladle,2.38,1.28,2.92,1.32,7.85,0.46,2.33,1.46,1.96,0.81,3.29,1.55,2.04,1.43,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-1.02,-0.92
mariquita,ladybug,6.75,0.9,6.73,1.25,7.35,1.26,1.17,0.38,1.29,0.69,2.38,1.41,1.63,0.92,NA,5.48,6.09,Insectos (An insect),-0.58,0.54
cordero,lamb,4.21,1.77,7.04,0.66,4.54,1.9,2.63,1.53,3.92,1.06,6.25,1.73,5.08,1.67,NA,6.04,6.01,Animales de cuatro patas (A four-footed animal),0.45,1.8
lámpara,lamp,5.42,1.77,2.23,1.34,7,0.94,2.04,1.16,1.79,0.88,2.08,0.97,1.79,1.14,NA,6.11,6.1,Muebles (An article of furniture),-0.9,-0.46
lava,lava,7.42,0.97,5.46,1.92,1.46,1.03,6.96,1.73,3.38,1.88,1.83,1.24,3.83,2.35,NA,NA,NA,Accidentes geográficos y formaciones naturales de la tierra (A natural Earth formation),1.91,0.87
limón,lemon,6.92,1.06,2.62,1.5,7.85,0.37,1.88,0.99,1.17,0.48,6.25,1.48,5.67,1.49,NA,NA,NA,Frutas (A fruit),-1.37,2.28
leopardo,leopard,6.29,1.37,7.27,1.08,2.65,1.7,6.75,1.73,5.17,1.01,3.21,1.82,4.96,1.88,NA,NA,NA,Animales de cuatro patas (A four-footed animal),2.32,1.46
leotardos,leotards,4.79,1.67,2.85,1.87,7.54,0.65,1.46,0.72,1.38,0.77,2.29,1.49,2.08,1.14,NA,NA,NA,Prendas de vestir (An article of clothing),-1.15,-0.42
lechuga,lettuce,5.46,1.41,2.04,1.34,7.58,0.81,1.25,0.44,1.21,0.51,6.79,1.06,3.25,1.57,NA,6.15,5.66,Verduras (A vegetable),-1.73,1.23
nivel,level,2.63,1.56,2.27,1.8,2.85,2.51,1.75,1.29,1.21,0.51,2.58,1.21,1.33,0.92,1.41,3.58,4.25,Herramientas (A carpenter's tool),-0.8,-1.29
bombilla,lightbulb,5.33,2.37,2.35,1.32,7.77,0.65,2.5,1.72,1.58,0.65,1.83,1.01,1.67,1.01,NA,6.36,6.2,NA,-0.91,-0.6
lima,lime,6.13,1.87,2.58,1.6,7.77,0.51,1.71,0.86,1.54,0.66,5.58,2.32,5.42,1.5,NA,NA,NA,Herramientas (A carpenter's tool),-1.28,1.8
limusina,limousine,5.21,1.77,5.92,1.57,1.5,0.81,2.79,2.21,4.54,1.67,2.79,1.79,3.17,1.81,NA,NA,NA,Vehículos (A type of vehicle),1.16,0.5
león,lion,5.54,1.61,7.23,0.86,2.31,1.35,6.92,1.14,5.46,1.41,3.17,1.86,5.08,1.89,NA,6.38,6.76,Provincias (A state),2.45,1.24
pintalabios,lipstick,6.5,1.02,3.4,1.8,7.67,0.56,1.64,0.99,1.38,0.49,5,1.94,4.04,1.99,NA,NA,NA,NA,-1.17,1.45
lagarto,lizard,4.79,1.82,6.6,1.15,5.67,1.61,2.88,1.42,2.42,1.61,2.68,1.95,3.71,1.97,NA,5.9,6.13,Animales de cuatro patas (A four-footed animal),0.23,0.56
langosta,lobster,6.04,1.08,5.76,1.39,6.04,1.68,3.72,1.7,2.29,1.16,6.76,1.71,5.79,1.82,NA,NA,NA,Insectos (An insect),-0.06,2.49
piruleta,lollipop,6.58,1.02,2.68,1.65,7.75,0.53,2.2,1.55,1.67,0.7,7.04,1.99,4.54,2.06,NA,NA,NA,NA,-1.26,2.05
machete,machete,2.75,1.36,3.28,1.65,6.71,1.33,7.16,0.99,4.38,1.13,1.8,1,2.58,1.79,NA,NA,NA,Armas (A weapon),1.06,-1.19
caballa,mackerel,3.79,1.32,6.16,1.46,5.75,1.42,2.36,1.25,2.13,0.99,5.72,1.81,5.63,1.88,NA,NA,NA,Peces (A fish),-0.31,1.59
revista,magazine,5.17,1.79,2.64,1.35,7.54,0.88,2.24,1.16,2.13,0.9,2.68,1.57,3.54,2.13,NA,5.38,6.12,Material de lectura (A type of reading material),-0.78,0.18
mandarina,mandarin,6.17,1.17,2.36,1.41,7.75,0.53,1.92,1.26,1.42,0.65,7.64,0.7,6.17,1.74,NA,NA,NA,Frutas (A fruit),-1.46,2.54
canica,marble,4.96,1.68,5.24,1.36,7.63,0.58,2.84,1.37,3.08,1.38,2.92,1.82,1.92,1.35,NA,NA,NA,Juguetes (A toy),-0.1,-0.01
alfombrilla,mat,3.21,1.53,2.2,1.22,7.13,0.95,1.84,1.18,1.46,0.66,1.56,0.92,3.33,1.69,NA,NA,NA,NA,-1.04,-0.81
menú,menu,3.33,1.69,1.56,0.96,5.96,2.24,1.64,1.04,1.5,0.66,5.24,2.62,3.38,2.39,NA,NA,NA,NA,-1.38,0.14
microscopio,microscope,3.04,1.27,2.28,1.14,6.13,1.6,2.64,1.66,1.79,0.88,2.36,1.58,1.54,0.88,NA,6.69,6.01,Ciencias (A science),-0.79,-1.2
microondas,microwave,2.38,0.92,2.96,2.01,4.04,1.94,3.36,1.82,4.71,1.16,2.44,1.71,3.21,1.89,NA,NA,NA,Utensilios de cocina (A kitchen utensil),0.51,-0.82
pececillo,minnow,5.29,1.55,7.12,0.88,6.63,1.53,1.52,1,1.42,0.58,4.84,1.7,4.79,1.91,NA,NA,NA,NA,-0.53,1.72
misil,missile,3.21,1.61,5.04,1.99,2.54,2.08,7.96,0.2,7,1.25,1.56,0.87,3.63,2.1,NA,NA,NA,Armas (A weapon),2.76,-0.62
manoplas,mittens,3.63,1.24,3.12,1.79,7.54,0.83,1.92,1.47,1.38,0.49,2.64,1.66,2.5,1.62,NA,NA,NA,Prendas de vestir (An article of clothing),-1.07,-0.54
batidora,mixer,2.79,1.38,5.24,1.76,6.75,1.26,4.4,2.14,5.96,1.3,2.84,2.06,2.38,1.64,NA,NA,NA,Utensilios de cocina (A kitchen utensil),1.05,-0.61
luna,moon,5.25,1.92,5.64,2.46,1.25,1.03,1.36,0.7,1.83,1.95,4.4,2.27,1.5,1.18,1.49,6.28,5.75,Peces (A fish),-0.1,0.45
alce,moose,3.79,1.1,6.6,1.32,2.04,1.49,3.84,1.65,3.96,1.83,3.8,1.76,4.46,1.77,NA,NA,NA,Animales de cuatro patas (A four-footed animal),1.16,0.75
musgo,moss,4.96,1.81,2.08,1.53,6.17,1.79,2.2,1.12,1.08,0.28,2.56,2,4.88,1.7,NA,6.22,5.86,NA,-0.95,0.41
polilla,moth,2.5,1.35,6.96,1.17,5.25,2.21,1.72,0.94,1.54,0.72,1.72,1.02,2.21,1.64,NA,NA,NA,Insectos (An insect),-0.2,-0.74
motocicleta,motorcycle,4.46,1.25,6.48,1.19,2.96,1.9,4.96,1.99,6.25,1.48,2.04,1.27,3.88,1.87,NA,NA,NA,Vehículos (A type of vehicle),2.07,0.26
tazón,mug,3.67,1.31,2.12,1.45,7.29,1.27,2.92,2,2.54,0.98,3.36,1.96,2.46,1.44,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-0.73,-0.51
mural,mural,5.5,1.89,1.52,0.87,3.71,2.63,2.24,1.36,1.38,0.49,2.72,1.57,2,1.14,NA,NA,NA,NA,-0.74,-0.3
seta,mushroom,4.46,1.77,2.08,1.29,7.33,0.87,3.64,1.66,1.21,0.51,6.2,1.47,4.92,1.69,NA,NA,NA,Verduras (A vegetable),-1.1,1.16
bozal,muzzle,2.46,1.41,2.36,1.35,6.83,1.24,3.16,1.65,1.63,0.77,2.36,1.44,3.25,2.44,NA,NA,NA,NA,-0.76,-0.89
nectarina,nectarine,6.08,1.53,2.24,1.09,7.46,0.83,1.8,1,1.42,0.72,7.44,0.65,5.63,1.64,NA,NA,NA,Frutas (A fruit),-1.48,2.29
céntimo,nickel,2.96,1.52,2.84,1.77,7.88,0.34,1.8,1.22,2.17,0.7,1.52,1.12,3.83,2.24,NA,NA,NA,Dinero (A kind of money),-0.85,-0.67
camisón,nightgown,3.04,1.37,2.76,1.71,7.33,1.01,1.36,0.64,1.29,0.69,3.2,1.91,3.67,1.88,NA,6.44,6.52,Prendas de vestir (An article of clothing),-1.29,-0.24
roble,oak,4.54,1.59,2.08,1.29,2.33,1.55,2.56,1.33,2.17,1.27,2.92,1.73,5.08,1.69,NA,6.47,4.92,Árboles (A tree),-0.17,0.43
pulpo,octopus,4.75,1.65,6.56,1.19,5.29,1.99,3.76,1.83,2.25,1.19,7.16,1.28,5.54,1.74,NA,NA,NA,Peces (A fish),0.05,2.23
aceituna,olive,5.29,1.6,2.44,1.23,7.79,0.66,1.88,0.88,1.29,0.55,7.04,1.49,5.5,1.89,NA,NA,NA,NA,-1.5,1.93
naranja,orange,6.58,1.18,2.28,1.24,7.71,0.55,2.32,1.49,1.54,0.83,7.6,0.71,6.13,1.92,NA,5.64,6.05,Frutas (A fruit),-1.33,2.62
oropéndola,oriole,3.88,1.51,4,2.02,3.17,1.69,2.8,1.12,3,1.47,2.44,1.29,3.17,1.74,NA,NA,NA,NA,0.25,-0.24
nutria,otter,4,1.44,6.76,1.05,4.04,1.57,3.08,1.8,4,1.77,3.36,1.93,5,1.64,NA,NA,NA,Animales de cuatro patas (A four-footed animal),0.86,0.9
pijama,pajamas,4.13,1.42,2.8,1.76,7.42,0.97,1.12,0.33,1.13,0.34,3.4,2.31,3.67,1.97,NA,NA,NA,Prendas de vestir (An article of clothing),-1.37,0.15
cazo,pan,2.38,0.92,2.28,1.24,7.17,1.2,3.88,1.79,3.71,1.57,2.72,1.59,2.63,1.71,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-0.15,-1.04
pantera,panther,5.96,1.37,7.16,0.85,2,1.06,6.04,1.88,5.38,1.44,3.8,1.8,4.88,1.85,NA,6,5.85,Animales de cuatro patas (A four-footed animal),2.21,1.51
calzoncillos,pants,3.67,1.55,2.48,1.71,7.58,0.83,1.68,1.22,1.13,0.34,1.68,0.99,4.29,2.26,NA,6.11,6.71,Prendas de vestir (An article of clothing),-1.14,-0.32
clip,paperclip,2.63,1.53,1.76,0.72,7.75,0.61,2.28,1.17,1.5,0.66,2.24,1.13,1.63,1.21,NA,NA,NA,NA,-1.21,-1.39
periquito,parakeet,6.29,1.33,7.04,0.79,6.25,1.45,2.48,1.36,3.83,1.86,3.36,1.78,4.04,1.85,NA,NA,NA,Aves (A bird),0.52,1.37
anorak,parka,4.75,1.57,3.24,1.98,7,1.59,1.72,0.94,1.79,0.72,2.84,1.8,3.17,1.9,NA,NA,NA,Prendas de vestir (An article of clothing),-0.88,0.08
perejil,parsley,5.46,1.56,1.88,0.93,7.25,0.94,1.16,0.37,1.08,0.28,6.24,1.16,6,1.41,NA,NA,NA,Condimentos (A substance for flavoring food),-1.63,1.88
perdiz,partridge,3.5,0.93,6.96,0.84,5.54,1.47,2.64,1.32,3.67,1.46,4.76,2.18,4.38,2.16,NA,NA,NA,Aves (A bird),0.35,0.97
melocotón,peach,6.13,1.19,2.2,1,7.67,0.7,1.88,0.97,1.5,0.78,7.84,0.37,5.46,1.64,NA,NA,NA,Frutas (A fruit),-1.51,2.35
perla,pearl,5.08,1.89,2.2,1.08,7.17,1.4,1.8,1.08,1.54,0.78,3.92,2.18,1.75,1.48,NA,NA,NA,Piedras preciosas (A precious stone),-1.24,-0.09
guisantes,peas,5.29,1.83,2.36,1.6,7.25,1.26,1.6,0.58,1.13,0.34,5.88,2.17,3.75,2.03,NA,NA,NA,Verduras (A vegetable),-1.49,1.11
pelícano,pelican,4.79,2.04,6.6,1.29,4.17,2.04,3.92,1.58,4.5,1.77,3.4,1.73,4.25,1.89,NA,NA,NA,Aves (A bird),1.14,0.88
bolígrafo,pen,4.08,1.41,4,1.63,7.83,0.38,3.16,1.37,2.21,0.72,3.04,1.62,1.96,0.75,NA,6.51,6.7,Material de lectura (A type of reading material),-0.52,-0.4
lápiz,pencil,3.83,1.93,3.76,1.9,7.88,0.34,3.28,1.65,2.13,0.9,2.88,1.42,2.63,1.31,NA,6.77,5.96,Material de lectura (A type of reading material),-0.53,-0.36
pingüino,penguin,4.79,1.47,6.4,1.04,3.08,1.84,2.72,1.37,3.83,1.83,4,2.14,4.42,1.89,NA,NA,NA,Aves (A bird),0.74,1.11
penique,penny,3.04,1.37,2.92,1.61,7.54,1.02,2,1.12,2,0.72,1.68,1.35,3.46,2.17,NA,NA,NA,Dinero (A kind of money),-0.82,-0.71
pimienta,pepper,5.25,1.7,2.04,1.37,6.58,1.74,4.2,1.53,1.54,0.88,5.24,1.79,6.08,1.56,NA,NA,NA,Condimentos (A substance for flavoring food),-0.64,1.47
perca,perch,3.75,1.26,4.92,2.18,4.46,1.86,2.6,1.22,2.5,1.22,3.8,2.16,3.75,1.92,NA,NA,NA,Peces (A fish),-0.06,0.37
faisán,pheasant,4.5,1.69,6.04,1.84,3.83,1.97,3.16,1.49,3.79,1.5,4.44,2.36,4.04,1.83,NA,NA,NA,Aves (A bird),0.62,0.96
piano,piano,4.29,1.65,3,2.16,2.42,2,2.68,1.68,6.13,1.23,3.36,1.96,2.5,1.77,NA,6.58,6.57,Instrumentos musicales (A musical instrument),0.9,-0.17
pepinillo,pickle,5.29,1.52,1.92,0.95,7.42,0.93,1.64,0.81,1.25,0.44,6.36,1.47,5.17,2.16,NA,NA,NA,NA,-1.54,1.6
tarta,pie,5.29,1.3,2.08,1.08,6.67,1.61,1.72,1.02,1.42,0.5,7.96,0.2,5.88,1.45,NA,6.36,6.34,Dinero (A kind of money),-1.5,2.25
embarcadero,pier,2.79,1.02,2.76,1.96,1.04,0.2,2.28,1.17,4.33,1.9,1.64,0.81,4.38,2.08,NA,NA,NA,NA,0.63,-0.54
