word_polish,translate_word_english,pos,length,frequency_subtlex_pl,frequency_kazojc2011,valence_n,valence_minimum,valence_maximum,valence_mean,valence_sd,arousal_n,arousal_minimum,arousal_maximum,arousal_mean,arousal_sd,dominance_n,dominance_minimum,dominance_maximum,dominance_mean,dominance_sd,origin_n,origin_minimum,origin_maximum,origin_mean,origin_sd,significance_n,significance_minimum,significance_maximum,significance_mean,significance_sd,concrete_n,concrete_minimum,concrete_maximum,concrete_mean,concrete_sd,imagine_n,imagine_minimum,imagine_maximum,imagine_mean,imagine_sd,aoa_n,aoa_minimum,aoa_maximum,aoa_mean,aoa_sd,valence_n_female,valence_minimum_female,valence_maximum_female,valence_mean_female,valence_sd_female,arousal_n_female,arousal_minimum_female,arousal_maximum_female,arousal_mean_female,arousal_sd_female,dominance_n_female,dominance_minimum_female,dominance_maximum_female,dominance_mean_female,dominance_sd_female,origin_n_female,origin_minimum_female,origin_maximum_female,origin_mean_female,origin_sd_female,significance_n_female,significance_minimum_female,significance_maximum_female,significance_mean_female,significance_sd_female,concrete_n_female,concrete_minimum_female,concrete_maximum_female,concrete_mean_female,concrete_sd_female,imagine_n_female,imagine_minimum_female,imagine_maximum_female,imagine_mean_female,imagine_sd_female,aoa_n_female,aoa_minimum_female,aoa_maximum_female,aoa_mean_female,aoa_sd_female,valence_n_male,valence_minimum_male,valence_maximum_male,valence_mean_male,valence_sd_male,arousal_n_male,arousal_minimum_male,arousal_maximum_male,arousal_mean_male,arousal_sd_male,dominance_n_male,dominance_minimum_male,dominance_maximum_male,dominance_mean_male,dominance_sd_male,origin_n_male,origin_minimum_male,origin_maximum_male,origin_mean_male,origin_sd_male,significance_n_male,significance_minimum_male,significance_maximum_male,significance_mean_male,significance_sd_male,concrete_n_male,concrete_minimum_male,concrete_maximum_male,concrete_mean_male,concrete_sd_male,imagine_n_male,imagine_minimum_male,imagine_maximum_male,imagine_mean_male,imagine_sd_male,aoa_n_male,aoa_minimum_male,aoa_maximum_male,aoa_mean_male,aoa_sd_male
żrący,corrosive,A,5,22,41,50,1,8,3.06,1.39107945165484,50,1,9,5.32,2.37710164799446,50,1,9,5.16,2.03399676920659,50,1,9,5.66,2.11515426175502,50,1,8,3.2,2.01017818278147,50,1,9,3.74,1.84954489713838,50,1,9,6.28,2.27712672516243,50,4,17,10.24,3.35978619339179,25,1,8,2.8,1.60727512683216,25,1,9,5.8,2.3629078131263,25,2,9,5.36,2.09920619917784,25,3,9,5.76,1.94250697124446,25,1,8,3.56,2.27449628123093,25,1,7,3.12,1.48099065943487,25,1,9,6.56,2.51793566240283,25,4,15,10.64,3.30252428706689,25,1,5,3.32,1.10754984838908,25,1,9,4.84,2.33951561938221,25,1,8,4.96,1.98913716637809,25,1,9,5.56,2.31084400165827,25,1,7,2.84,1.67531091641721,25,1,9,4.36,1.99749843554382,25,1,9,6,2.02072594216369,25,4,17,9.84,3.43608304129377
żuć,chew,V,3,147,233,50,3,8,5.24,0.938083151964686,50,1,8,3.66,1.91247248879772,50,1,8,5.02,1.20356612970432,50,1,9,5.34,1.66120192533439,50,1,8,3.02,2.29008510669765,50,1,9,3.48,1.99222980397261,50,1,9,7.34,1.79124856694191,50,3,13,7.76,3.08094870096196,25,3,7,5.04,0.840634680861233,25,1,8,3.8,2.02072594216369,25,1,6,5,1.25830573921179,25,1,9,5.4,1.6583123951777,25,1,8,3.36,2.39582971014219,25,1,9,3.04,2.00997512422418,25,4,9,7.68,1.54704018478297,25,3,13,6.72,2.68514431641951,25,4,8,5.44,1.00332779621949,25,1,7,3.52,1.82847842025366,25,2,8,5.04,1.17189305541646,25,1,9,5.28,1.69607389776114,25,1,8,2.68,2.17408984788271,25,1,8,3.92,1.9131126469709,25,1,9,7,1.97905701450632,25,4,13,8.8,3.14907393794853
żuraw,crane,N,5,99,291,50,3,9,5.6,1.10656667034498,50,1,8,2.64,1.63831670706645,50,1,8,5.26,1.17473401244707,50,1,9,5.72,1.94873061771199,50,1,9,2.7,2.10199128136602,50,1,9,2,2.08003139693729,50,1,9,7.78,1.72957467934419,50,3,15,8.82,3.19878803579718,25,3,9,5.4,1.19023807142381,25,1,8,2.8,1.89296944860009,25,4,8,5.64,1.07548438699345,25,3,9,6,1.75594229214212,25,1,9,2.36,2.07926268983343,25,1,9,1.52,1.68621864932557,25,3,9,8.12,1.61554944214035,25,3,15,9,3.278719262151,25,5,8,5.8,1,25,1,6,2.48,1.35769412362775,25,1,8,4.88,1.16619037896906,25,1,9,5.44,2.12289111041209,25,1,8,3.04,2.11108187114253,25,1,8,2.48,2.3473389188611,25,1,9,7.44,1.80462369115189,25,5,15,8.64,3.17385149831137
żwawy,snappy,A,5,60,114,50,3,9,6.28,1.19591140208322,50,1,8,4.82,2.34468569757402,50,3,9,6.14,1.26184186725563,50,1,9,4.82,2.39634074780525,50,1,8,4.1,1.97173910597747,50,2,9,5.5,2.0528725518857,50,2,9,5.86,2.1477087933946,50,4,16,10.1,2.85892801374136,25,3,9,6.16,1.37477270848675,25,1,8,4.8,2.48327740429189,25,3,9,6.44,1.41656862405839,25,2,9,5.12,2.33309522594628,25,1,8,4.44,1.87260958735842,25,2,8,5.32,1.77294481959629,25,2,9,6.28,2.31876403859182,25,4,15,10.28,2.77668867538296,25,5,9,6.4,1,25,1,8,4.84,2.24870333006972,25,4,8,5.84,1.02794292967395,25,1,9,4.52,2.46846781087648,25,1,7,3.76,2.04694894904587,25,2,9,5.68,2.32235512644671,25,2,9,5.44,1.91659420152867,25,5,16,9.92,2.98496231131986
żwir,gravel,N,4,95,497,50,3,8,4.88,0.872247858427071,50,1,8,3.3,1.9192898346492,50,1,8,4.66,1.40857432627926,50,1,9,6.1,1.78714228617097,50,1,7,3,2.1380899352994,50,1,9,2,1.91662969499982,49,1,9,7.57142857142857,1.74403746137136,50,3,14,8.46,2.68183610572294,25,3,8,4.92,0.953939201416945,25,1,8,3.24,1.78605710994918,25,2,8,4.68,1.43527000944073,25,4,9,6.52,1.55777619273972,25,1,7,2.76,2.12681295212657,25,1,4,1.2,0.645497224367903,25,5,9,7.92,1.38202749610853,25,4,13,8.68,2.21208800307161,25,3,7,4.84,0.8,25,1,8,3.36,2.07926268983343,25,1,7,4.64,1.41067359796659,25,1,9,5.68,1.93045763140937,25,1,7,3.24,2.16564078277077,25,1,9,2.8,2.39791576165636,24,1,9,7.20833333333333,2.02117414577177,25,3,14,8.24,3.11287648325468
życie,life,V,5,68770,50298,50,4,9,7.08,1.46858254581673,50,1,9,4.66,2.47938438705569,50,2,9,6.68,1.60915746746614,50,1,9,4.58,2.54822867650356,50,1,9,6.56,2.50843475058834,50,1,9,5.66,2.818379908054,50,1,9,4.8,2.64960528442734,50,4,16,7.82,3.56679699679229,25,5,9,7.4,1.22474487139159,25,1,9,4.68,2.60959767013998,25,2,9,6.72,1.74451521441727,25,1,9,4.56,2.7398296784046,25,2,9,7.16,2.56059888828115,25,1,9,5.52,3.09731066141796,25,1,9,5,2.88675134594813,25,4,15,7.8,3.42782730020052,25,4,9,6.76,1.64012194668567,25,1,9,4.64,2.39582971014219,25,4,9,6.64,1.49666295470958,25,1,9,4.6,2.39791576165636,25,1,9,5.96,2.35372045918796,25,1,9,5.8,2.56580071972344,25,1,9,4.6,2.43241991988774,25,4,16,7.84,3.77138347736389
życzenie,wish,V,8,2957,2171,50,4,9,6.44,0.972268544409917,50,1,9,4.14,2.39054259061641,50,1,9,5.58,1.48585164200226,50,1,9,4.48,2.10189418945709,50,1,8,4.66,2.39565934002925,50,1,9,6.46,2.03249118280087,50,1,9,5.02,2.13321640836038,50,3,10,6.54,1.82063007707525,25,5,9,6.56,0.960902353693305,25,1,8,4.44,2.34662878757307,25,2,9,5.76,1.61451747177498,25,1,9,4.88,2.10792156716832,25,1,8,5.44,2.38187601132665,25,1,9,6.48,2.31156512634477,25,1,9,4.96,2.22635726393287,25,3,10,6.44,1.91659420152867,25,4,8,6.32,0.988264472024906,25,1,9,3.84,2.44404037064311,25,1,8,5.4,1.35400640077266,25,1,9,4.08,2.05993527406405,25,1,7,3.88,2.1855586623714,25,3,9,6.44,1.75783958312469,25,1,8,5.08,2.08006410157636,25,4,10,6.64,1.75309250564063
życzliwość,kindness,N,10,209,721,50,5,9,7.22,0.974993458900089,50,1,9,3.98,2.15226506219824,50,1,9,6.14,1.72626765016321,50,1,9,3.48,2.05277313676412,50,1,8,4.36,2.15482372971026,50,3,9,6.88,1.70999462942229,50,1,9,4.88,1.95500404509211,50,4,16,9.38,3.25695488179385,25,6,9,7.32,0.945163125250521,25,1,7,4.16,2.11502561056204,25,1,9,6.24,1.78605710994918,25,1,9,4.04,2.33595091272626,25,1,8,5.16,2.07525098883645,25,3,9,7.16,1.7,25,1,9,5,2.02072594216369,25,4,16,9.96,3.34763598180368,25,5,9,7.12,1.01324561023804,25,1,9,3.8,2.21735578260835,25,2,9,6.04,1.69509095134548,25,1,6,2.92,1.5790292376436,25,1,7,3.56,1.95959179422654,25,3,9,6.6,1.70782512765993,25,1,8,4.76,1.92093727122985,25,4,16,8.8,3.1224989991992
życzyć sobie,to wish,V,12,95637.5,128558,50,2,9,5.9,1.3739560044051,50,1,8,4.22,1.96177761955106,50,2,8,5.52,1.54179857865509,50,1,9,4.8,2.1092604371762,50,1,8,4.72,1.99017997340206,50,1,9,5.92,2.17443401033605,50,1,9,4.22,2.27936618472803,50,4,18,9.3,3.22142065250848,25,2,9,5.8,1.5,25,1,7,4.48,1.85112578358864,25,3,8,5.72,1.56843871413581,25,1,9,4.44,1.85022521151706,25,2,8,5.76,1.69016764454496,25,2,9,6.32,2.23084438423362,25,1,9,4.36,2.27082951070015,25,4,14,9.2,2.75378527364305,25,3,8,6,1.25830573921179,25,1,8,3.96,2.0712315177208,25,2,8,5.32,1.51986841535707,25,1,9,5.16,2.32163735324878,25,1,7,3.68,1.72530190594767,25,1,9,5.52,2.08406653764541,25,1,8,4.08,2.3259406699226,25,4,18,9.4,3.685557397916
żyć,to live,V,3,17876,11920,50,4,9,7.26,1.38224898079107,50,1,9,4.88,2.68510631416474,50,1,9,6.38,1.79443584449264,50,1,9,5.28,2.64991336015473,50,1,9,6.74,2.31066736538806,50,1,9,5.52,2.36677684902088,50,1,9,5.34,2.2642744479215,50,3,14,6.72,2.71082486128695,25,5,9,7.6,1.19023807142381,25,1,9,4.92,2.58069758011279,25,4,9,7.08,1.63095064303001,25,1,9,5.08,2.72213151776324,25,3,9,7.52,2.12367605815953,25,1,9,5.56,2.48461935381123,25,1,9,5.64,2.5475478405714,25,3,14,6.8,2.79880927062444,25,4,9,6.92,1.49777612924406,25,1,9,4.84,2.83842679431171,25,1,8,5.68,1.70098010962308,25,1,9,5.48,2.61597655443112,25,1,9,5.96,2.26347814951533,25,1,9,5.48,2.29346898823594,25,1,8,5.04,1.94679223339318,25,3,13,6.64,2.67519469696444
żyd,jew,N,3,631,1332,50,1,8,4.6,1.37023757808935,50,1,9,4.36,2.37125644814245,50,2,9,4.82,1.62493327963498,50,1,9,6.02,1.96385709609369,50,1,8,3.42,2.16738345024782,50,1,9,3.14,2.21322555265811,50,1,9,6.98,1.97422162393389,50,4,17,10.7,3.40617686216182,25,2,7,4.92,0.996661092515071,25,1,9,4.68,2.32235512644671,25,2,8,5.04,1.56737572606783,25,2,9,5.92,1.84661853126194,25,1,8,3,2.29128784747792,25,1,7,2.8,1.95789002074512,25,3,9,6.72,2.05182845286832,25,4,17,11.28,3.51804870157687,25,1,8,4.28,1.62069943748576,25,1,9,4.04,2.42349609723914,25,2,9,4.6,1.68325082306035,25,1,9,6.12,2.10792156716832,25,1,8,3.84,1.99332218503014,25,1,9,3.48,2.43447461820136,25,1,9,7.24,1.89912260443255,25,5,17,10.12,3.25729949498047
żylasty,sinewy,A,7,18,160,50,1,8,3.6,1.4142135623731,50,1,8,4.28,2.01058423837248,50,1,9,4.84,1.5696093365509,50,1,9,5.72,1.87398952363504,50,1,6,2.18,1.42413597149504,50,1,9,3.58,1.83046776669188,50,1,9,6.62,1.97835223128249,50,4,15,10.26,2.77606387034681,25,1,8,3.28,1.51437555888007,25,1,8,4.6,1.84842275106824,25,1,9,4.76,1.71464281994822,25,2,9,6.28,1.67132681822956,25,1,6,2.44,1.60934769394311,25,1,7,3.24,1.69016764454496,25,2,9,6.68,1.99415813481947,25,4,15,10.44,2.93087017795057,25,2,7,3.92,1.25565388012249,25,1,8,3.96,2.15019378971602,25,2,9,4.92,1.44106442141449,25,1,9,5.16,1.92959408512084,25,1,5,1.92,1.18743420870379,25,1,9,3.92,1.93476958145753,25,1,9,6.56,2.00166597280032,25,6,15,10.08,2.66020049369717
żyła,vein,V,4,2156,3109,50,1,9,4.74,1.25860304808667,50,1,9,4.26,2.42276617079886,50,1,9,5.08,1.80520788559215,50,1,9,5.2,2.16653584115759,50,1,8,3.62,2.23049367647979,50,1,8,2.08,1.66402511754983,50,1,9,7.68,1.64676553725595,50,3,17,9.24,3.94637524204433,25,1,9,4.76,1.66533279957291,25,1,8,4.28,2.24573670169353,25,1,9,5.04,1.92527054375915,25,2,9,5.76,1.89912260443255,25,1,8,4.48,2.36502290334223,25,1,8,1.52,1.47535306508872,25,5,9,8,1.11803398874989,25,3,17,9.96,4.11784733406505,25,3,6,4.72,0.678232998312527,25,1,9,4.24,2.6343879744639,25,1,8,5.12,1.7156145643277,25,1,9,4.64,2.30723499742296,25,1,7,2.76,1.73877351409933,25,1,6,2.64,1.68027775481714,25,1,9,7.36,2.01825006709608,25,4,17,8.52,3.70944739819828
żyrafa,giraffe,N,6,129,37,50,4,9,5.98,1.20356612970432,50,1,8,3.2,2.1092604371762,50,2,9,5.2,1.34011878852098,50,1,9,5.9,1.98206241793023,50,1,5,2.22,1.25014284898052,50,1,8,1.58,1.55300892936708,50,1,9,8.24,1.50590673749765,50,3,10,5.94,1.87801458341255,25,4,9,6.04,1.27410099024109,25,1,8,3.04,1.94679223339318,25,4,9,5.6,1.29099444873581,25,1,9,5.64,2.0387904911164,25,1,5,2.08,1.28840987267251,25,1,7,1.28,1.20830459735946,25,4,9,8.4,1.25830573921179,25,3,10,6.28,2.18936824982307,25,4,8,5.92,1.15181016954473,25,1,8,3.36,2.28910462845192,25,2,7,4.8,1.29099444873581,25,1,9,6.16,1.92959408512084,25,1,5,2.36,1.22065556157337,25,1,8,1.88,1.81015653098473,25,1,9,8.08,1.7301252363148,25,3,9,5.6,1.47196014438797
żyto,rye,N,4,11,208,50,4,9,5.7,0.97415583549899,50,1,7,2.82,1.74601587294372,50,1,8,5,1.16057691494799,50,1,9,5.48,1.9297879760878,50,1,7,2.96,1.89478338646734,50,1,9,2.02,2.15226506219824,50,2,9,7.5,1.82107839771171,50,3,16,9.5,3.20235882449427,25,4,9,5.76,1.12842072532072,25,1,6,3.24,1.71464281994822,25,3,8,5.2,1.04083299973307,25,2,9,6,1.80277563773199,25,1,7,2.72,1.62069943748576,25,1,5,1.28,0.890692614392492,25,3,9,7.44,1.80462369115189,25,3,16,10.24,3.67740850781271,25,4,7,5.64,0.810349718742881,25,1,7,2.4,1.70782512765993,25,1,8,4.8,1.25830573921179,25,1,9,4.96,1.94679223339318,25,1,7,3.2,2.14087209644419,25,1,9,2.76,2.74286954362276,25,2,9,7.56,1.87260958735842,25,5,13,8.76,2.50466231922256
żywica,resin,N,6,25,61,50,4,8,5.48,0.762380803664362,50,1,9,3.12,1.91279259466469,50,1,8,5.26,1.36740481144661,50,1,9,5.62,1.79443584449264,50,1,9,3.46,2.57309469832158,50,1,9,2.22,2.09264991660559,50,1,9,7.4,1.62882203585591,50,3,17,10.08,3.58477506196664,25,4,8,5.48,0.871779788708135,25,1,9,3.2,1.84842275106824,25,2,8,5.44,1.4742229591664,25,2,9,5.76,1.56204993518133,25,1,9,2.8,2.5,25,1,9,1.84,1.88591268797542,25,5,9,7.8,1.19023807142381,25,3,15,10.16,3.42393535764525,25,5,7,5.48,0.653197264742181,25,1,9,3.04,2.00997512422418,25,1,8,5.08,1.25565388012249,25,1,9,5.48,2.02319878739914,25,1,9,4.12,2.5219040425837,25,1,9,2.6,2.25462487641145,25,1,9,7,1.91485421551268,25,4,17,10,3.80788655293195
