word_polish,translate_word_english,pos,length,frequency_subtlex_pl,frequency_kazojc2011,valence_n,valence_minimum,valence_maximum,valence_mean,valence_sd,arousal_n,arousal_minimum,arousal_maximum,arousal_mean,arousal_sd,dominance_n,dominance_minimum,dominance_maximum,dominance_mean,dominance_sd,origin_n,origin_minimum,origin_maximum,origin_mean,origin_sd,significance_n,significance_minimum,significance_maximum,significance_mean,significance_sd,concrete_n,concrete_minimum,concrete_maximum,concrete_mean,concrete_sd,imagine_n,imagine_minimum,imagine_maximum,imagine_mean,imagine_sd,aoa_n,aoa_minimum,aoa_maximum,aoa_mean,aoa_sd,valence_n_female,valence_minimum_female,valence_maximum_female,valence_mean_female,valence_sd_female,arousal_n_female,arousal_minimum_female,arousal_maximum_female,arousal_mean_female,arousal_sd_female,dominance_n_female,dominance_minimum_female,dominance_maximum_female,dominance_mean_female,dominance_sd_female,origin_n_female,origin_minimum_female,origin_maximum_female,origin_mean_female,origin_sd_female,significance_n_female,significance_minimum_female,significance_maximum_female,significance_mean_female,significance_sd_female,concrete_n_female,concrete_minimum_female,concrete_maximum_female,concrete_mean_female,concrete_sd_female,imagine_n_female,imagine_minimum_female,imagine_maximum_female,imagine_mean_female,imagine_sd_female,aoa_n_female,aoa_minimum_female,aoa_maximum_female,aoa_mean_female,aoa_sd_female,valence_n_male,valence_minimum_male,valence_maximum_male,valence_mean_male,valence_sd_male,arousal_n_male,arousal_minimum_male,arousal_maximum_male,arousal_mean_male,arousal_sd_male,dominance_n_male,dominance_minimum_male,dominance_maximum_male,dominance_mean_male,dominance_sd_male,origin_n_male,origin_minimum_male,origin_maximum_male,origin_mean_male,origin_sd_male,significance_n_male,significance_minimum_male,significance_maximum_male,significance_mean_male,significance_sd_male,concrete_n_male,concrete_minimum_male,concrete_maximum_male,concrete_mean_male,concrete_sd_male,imagine_n_male,imagine_minimum_male,imagine_maximum_male,imagine_mean_male,imagine_sd_male,aoa_n_male,aoa_minimum_male,aoa_maximum_male,aoa_mean_male,aoa_sd_male
aborcja,abortion,N,7,113,30,50,1,7,2.6,1.72614942479922,50,1,9,6.34,2.42949562246814,50,1,8,4.08,2.04879257622829,50,1,9,4.68,2.37710164799446,50,1,9,4.76,2.83246485289,50,1,9,3.56,2.25116749755339,50,1,9,6.48,2.31446207440899,50,4,18,13.02,3.32271096595315,25,1,6,2.44,1.66032125405497,25,1,9,6.72,2.15096877398689,25,1,8,4.24,2.20378462347541,25,1,9,4.72,2.49198715887542,25,1,9,5.44,3.00111090542597,25,1,9,3,2.14087209644419,25,3,9,6.84,2.11502561056204,25,4,18,13,3.8405728739343,25,1,7,2.76,1.80923556601492,25,1,9,5.96,2.66895734947813,25,1,8,3.92,1.9131126469709,25,1,9,4.64,2.30723499742296,25,1,9,4.08,2.53179778023443,25,1,8,4.12,2.26053091109146,25,1,9,6.12,2.48864086065735,25,7,18,13.04,2.79105714739057
absolwent,graduate,N,9,130,206,50,4,9,6.38,1.25989957487711,50,1,8,3.9,2.14998813475606,50,3,9,6.2,1.37023757808935,50,1,9,6.56,2.18678778493171,50,1,9,4.38,2.23049367647979,50,1,8,3.44,2.34877301880738,50,1,9,6.64,2.21091909967464,50,3,18,11.56,3.63744696293475,25,4,9,6.32,1.40593978059754,25,1,8,4.12,2.33309522594628,25,3,8,6.08,1.35154232884755,25,3,9,7,1.5545631755148,25,1,9,4.52,2.41729876790879,25,1,8,2.68,2.096027989635,25,2,9,6.92,2.27156333832011,25,3,18,11.16,3.60185137579736,25,4,8,6.44,1.12101144805335,25,1,7,3.68,1.9731531449265,25,3,9,6.32,1.40593978059754,25,1,9,6.12,2.63502055652956,25,1,9,4.24,2.06720423116182,25,1,8,4.2,2.38047614284762,25,1,9,6.36,2.15793110795194,25,6,18,11.96,3.70225156717728
absurd,absurd,N,6,976,623,50,2,8,4.22,1.34452783609742,50,1,8,4.88,2.20981114716223,50,1,8,4.76,1.68498773688991,50,1,9,5.52,2.39250530462381,50,1,7,3.4,1.67819144635296,50,1,9,7.22,1.68171438279695,50,1,9,3.88,2.23734536576593,50,5,18,11.52,3.4299997025049,25,2,8,4.08,1.46969384566991,25,1,8,5.44,2.02237484161567,25,1,8,4.92,1.9131126469709,25,1,9,5.4,2,25,1,7,3.48,1.91746360243595,25,5,9,7.32,1.37598449603669,25,1,9,3.96,2.50798724079689,25,5,18,11.88,3.29545141065682,25,3,7,4.36,1.22065556157337,25,1,8,4.32,2.28619042659763,25,2,8,4.6,1.44337567297406,25,1,9,5.64,2.76706824394822,25,1,7,3.32,1.43527000944073,25,1,9,7.12,1.96468827043885,25,1,7,3.8,1.97905701450632,25,5,18,11.16,3.59026461420325
adres,address,N,5,6209,3495,50,4,9,5.24,0.846601850858803,50,1,8,3.08,1.98812802938455,50,2,9,5.34,1.23899234897409,50,1,9,6.82,1.6621844491082,50,1,9,3.54,2.40925087857582,50,1,9,3.52,2.43478197490168,50,1,9,6.32,2.01464029300619,50,3,12,7.04,2.20352222681815,25,4,9,5.36,1.07548438699345,25,1,7,3.32,1.9731531449265,25,3,8,5.48,1.15902257671425,25,4,9,7.12,1.36381816969859,25,1,9,3.6,2.41522945769824,25,1,7,2.92,1.89120772700057,25,4,9,6.84,1.62480768092719,25,3,11,6.8,1.93649167310371,25,4,7,5.12,0.525991127935317,25,1,8,2.84,2.01411684533611,25,2,9,5.2,1.3228756555323,25,1,9,6.52,1.89560896108172,25,1,9,3.48,2.45153013442625,25,1,9,4.12,2.7886675432304,25,1,9,5.8,2.25462487641145,25,3,12,7.28,2.45831920899897
aerozol,spray /aerosol,N,7,14,12,50,2,7,5.1,0.788954358370519,50,1,9,3.52,1.94033449672567,50,2,8,4.94,1.0956313993608,50,1,9,5.92,2.1365621823817,49,1,7,2.63265306122449,1.83364252185621,50,1,8,2.1,1.72910263384432,50,1,9,7.34,1.57285649409614,50,4,17,10.74,3.18677112514872,25,2,7,5,0.912870929175277,25,1,9,3.84,2.05507501890645,25,3,8,5.08,1.15181016954473,25,3,9,6.4,1.73205080756888,25,1,7,2.84,1.99332218503014,25,1,5,1.84,1.34412301024373,25,4,9,7.52,1.50332963783729,25,4,15,10.68,2.98216923284601,25,4,7,5.2,0.645497224367903,25,1,6,3.2,1.80277563773199,25,2,7,4.8,1.04083299973307,25,1,9,5.44,2.41660919471891,24,1,6,2.41666666666667,1.66594187138705,25,1,8,2.36,2.0387904911164,25,1,9,7.16,1.65025250593154,25,5,17,10.8,3.43996124009172
afront,affront,N,6,25,95,41,1,6,3.65853658536585,1.21675297611226,45,1,9,4.08888888888889,2.45710678184196,43,1,8,4.62790697674419,1.91514335922373,44,1,9,5.20454545454545,2.17362140703979,45,1,8,3.66666666666667,2.05603325052703,41,1,9,6.17073170731707,2.16682300874333,35,1,9,3.71428571428571,2.32089521992027,46,4,18,12.4565217391304,4.25679337707064,20,1,5,3.45,1.356271980176,22,1,8,4.31818181818182,2.39814141598911,21,2,8,5.38095238095238,1.62715059156153,21,1,9,5.47619047619048,2.50237981967262,22,1,8,3.81818181818182,2.10750051994263,21,1,9,6.52380952380952,2.293884208478,14,1,8,3.21428571428571,2.32638945838566,24,4,18,12.5833333333333,4.17983426618253,21,2,6,3.85714285714286,1.06234242529018,23,1,9,3.8695652173913,2.54601913557914,22,1,8,3.90909090909091,1.92500070276031,23,1,9,4.95652173913043,1.84583710670956,23,1,8,3.52173913043478,2.04204810773603,20,1,9,5.8,2.01572763406588,21,1,9,4.04761904761905,2.31249195622797,22,4,18,12.3181818181818,4.43349119271079
agencja,agency,N,7,1088,461,50,3,7,4.94,0.739828992927089,50,1,9,4.04,2.42402936602405,50,2,9,5.34,1.52006981579727,50,1,9,6.44,1.87529589501965,50,1,8,3.26,2.35441400482635,50,1,8,3.08,2.09800682864981,50,1,9,5.6,2.31234486517695,50,4,18,10.24,3.10733168555943,25,4,7,5,0.707106781186548,25,1,9,4.2,2.29128784747792,25,3,9,5.52,1.38804418757713,25,2,9,6.6,1.77951304200522,25,1,8,3.16,2.35725829443162,25,1,7,2.36,1.82300118851671,25,1,9,5.8,2.59807621135332,25,4,15,10.96,2.49131825880731,25,3,7,4.88,0.781024967590666,25,1,9,3.88,2.58714772159097,25,2,8,5.16,1.65025250593154,25,1,9,6.28,1.98997487421324,25,1,8,3.36,2.39582971014219,25,1,8,3.8,2.14087209644419,25,1,9,5.4,2.02072594216369,25,4,18,9.52,3.52514775104061
agonia,agony,N,6,87,143,49,1,6,1.87755102040816,1.20126067565885,49,1,9,5.59183673469388,2.70738471089521,50,1,8,2.78,1.83269624057127,48,1,9,4.72916666666667,2.49031813171794,50,1,9,4.34,2.69246871014354,49,1,9,5.40816326530612,2.48259245671182,46,1,9,5.8695652173913,2.49094980235941,50,4,18,13.08,3.48079277857027,24,1,6,1.91666666666667,1.2128538629009,24,1,9,5.45833333333333,2.79719061958938,25,1,7,2.44,1.66032125405497,23,1,9,5.39130434782609,2.44464406099952,25,1,9,5.2,2.61406452355969,25,1,9,5.12,2.57099202643649,21,2,9,6.23809523809524,2.46788901502401,25,5,18,12.76,3.65467736834138,25,1,5,1.84,1.21380943040221,25,1,9,5.72,2.66958174002346,25,1,8,3.12,1.96468827043885,25,1,9,4.12,2.42074368738204,25,1,8,3.48,2.53508711224421,24,1,9,5.70833333333333,2.40432882556635,25,1,8,5.56,2.51793566240283,25,4,18,13.4,3.34165627596057
agresja,aggression,N,7,192,129,50,1,6,2.52,1.12920416259254,50,2,9,6.8,1.74963553055941,50,1,9,6.28,2.46642764056083,50,1,9,4.1,2.30571605593842,50,1,9,4.96,2.1185285613619,50,1,9,5.52,2.13082335336961,50,1,9,6.36,1.91407248279363,50,4,15,9.32,2.55901766867121,25,1,5,2.2,1.04083299973307,25,2,9,7.04,1.83666364186079,25,1,9,6.36,2.62805377925694,25,1,9,4.6,2.44948974278318,25,1,9,4.92,2.13931453196267,25,1,9,5.6,2.12132034355964,25,3,9,7,1.73205080756888,25,4,14,9.48,2.23830292855994,25,1,6,2.84,1.14309521329882,25,3,9,6.56,1.66032125405497,25,1,9,6.2,2.34520787991171,25,1,9,3.6,2.08166599946613,25,1,9,5,2.14087209644419,25,1,9,5.44,2.18097837372741,25,1,9,5.72,1.90438091427809,25,5,15,9.16,2.88212884282897
agresywność,aggressiveness,N,11,31,66,50,1,6,2.78,1.18304346358648,50,1,9,6.24,2.30845827162562,50,1,9,5.78,2.52570458950951,50,1,8,4,2.45780721915504,50,1,8,4.04,2.32080211327454,50,1,9,6.34,1.91247248879773,50,1,9,6.16,2.13197235499173,50,4,15,9.78,2.73518271598003,25,1,4,2.4,0.957427107756338,25,1,9,6.24,2.66583320308429,25,1,9,6.04,2.60576284415908,25,1,8,4.72,2.52520626220249,25,1,8,4.48,2.36502290334223,25,1,9,6.6,1.75594229214212,25,2,9,6.72,2.24573670169353,25,4,15,9.68,2.8095076674274,25,1,6,3.16,1.28062484748657,25,3,9,6.24,1.94250697124446,25,1,9,5.52,2.46846781087648,25,1,8,3.28,2.20831761000692,25,1,7,3.6,2.23606797749979,25,1,9,6.08,2.05993527406405,25,1,8,5.6,1.89296944860009,25,6,14,9.88,2.71293199325011
agresywny,aggressive,A,9,635,247,50,1,6,2.6,1.16057691494799,50,1,9,6.22,2.39293176855914,50,1,9,5.66,2.36133825771467,50,1,9,3.82,2.096547210077,50,1,8,4.54,2.02242529692265,49,1,9,5.75510204081633,2.13629948981974,50,1,9,6.22,2.10237960416286,50,4,15,9.08,3.08280285931289,25,1,4,2.16,0.943398113205661,25,1,9,6.68,2.47857485933617,25,1,9,5.56,2.51793566240283,25,1,8,3.8,1.84842275106824,25,1,8,4.92,2.05993527406405,25,2,9,5.8,2.06155281280883,25,2,9,6.56,2.00166597280032,25,4,15,9.24,3.33266659998666,25,1,6,3.04,1.20692446601544,25,2,9,5.76,2.25979350089044,25,2,9,5.76,2.24127939653523,25,1,9,3.84,2.35725829443162,25,1,8,4.16,1.95106808355492,24,1,9,5.70833333333333,2.25502659131466,25,1,8,5.88,2.1855586623714,25,4,15,8.92,2.87112057101985
aids,aids,N,4,972,0,50,1,5,1.98,1.13371342165866,50,1,9,6.76,2.19051759795231,50,1,9,3.12,2.09606044468071,50,1,9,5.64,2.47237801746102,50,1,9,4.34,2.84719697461291,50,1,9,3.48,2.40950498769234,50,1,9,5.76,2.86826407004484,50,4,18,11.82,3.46227482138196,25,1,5,2,1.1180339887499,25,1,9,6.36,2.32522400354604,25,1,7,2.6,1.63299316185545,25,1,9,5.76,2.61852375713238,25,1,9,5.08,3.01275068113289,25,1,8,3.04,2.22635726393287,25,1,9,5.48,2.97377425729213,25,4,17,12.44,3.05614135798722,25,1,5,1.96,1.17189305541646,25,2,9,7.16,2.01411684533611,25,1,9,3.64,2.39582971014219,25,1,9,5.52,2.36502290334223,25,1,8,3.6,2.51661147842358,25,1,9,3.92,2.54820198048219,25,1,9,6.04,2.79105714739057,25,5,18,11.2,3.78593889720018
akademik,dormitory,N,8,133,98,50,1,9,5.66,1.63644712217458,50,1,8,3.74,1.87148309626131,50,2,8,4.96,1.30868371321129,50,1,9,5.8,1.92724822331886,50,1,8,3.86,2.20398525866399,50,1,7,2.08,1.77096768197848,50,1,9,7.7,1.80983706561713,50,4,18,11.92,3.90102027470679,25,2,9,5.72,1.45830952361516,25,1,8,3.84,1.81842422626478,25,3,8,5,1.04083299973307,25,2,9,5.8,1.77951304200522,25,1,8,3.56,2.2,25,1,7,1.64,1.68027775481714,25,3,9,7.88,1.66633329999333,25,4,18,12.2,3.80788655293195,25,1,9,5.6,1.82574185835055,25,1,7,3.64,1.955334583475,25,2,8,4.92,1.552417469626,25,1,9,5.8,2.10158670215308,25,1,8,4.16,2.2113344387496,25,1,7,2.52,1.78232058470598,25,1,9,7.52,1.96044212700435,25,4,18,11.64,4.05051437062834
akcent,accent,N,6,1022,1076,50,4,9,5.58,0.949543391879078,50,1,9,3.58,2.14846884253576,50,1,9,5.64,1.32110034533679,50,1,9,6.34,1.7333464154399,50,1,8,3.06,2.02444247805137,50,1,9,4.66,2.36133825771467,50,1,9,4.94,2.77312172138777,50,4,16,10.42,3.0511958177684,25,4,9,5.6,1.08012344973464,25,1,9,3.84,2.2300971578237,25,4,9,5.96,1.30639452948436,25,4,9,6.56,1.41656862405839,25,1,8,3.28,2.26421435969889,25,1,9,4.28,2.5086516962969,25,1,9,5.24,2.96198131886974,25,4,16,10.56,3.16333157709821,25,5,8,5.56,0.820568908339411,25,1,7,3.32,2.07605394920267,25,1,7,5.32,1.28192563486863,25,1,9,6.12,2.00665559243899,25,1,6,2.84,1.77200451466694,25,1,9,5.04,2.18860686282393,25,1,9,4.64,2.59615099714943,25,6,16,10.28,2.99332590941915
akceptacja,acceptance,N,10,107,98,50,4,9,7.2,1.10656667034498,50,1,9,4.1,2.36686307511156,50,1,9,6.42,1.77384627638499,50,1,9,5.82,2.3533736097226,50,1,9,5.16,2.50191763188453,50,1,9,6.48,2.10189418945709,50,1,9,4.82,2.3533736097226,50,4,16,10.3,2.97780908366798,25,4,9,7.32,1.21518174223721,25,1,9,4.24,2.40277617212535,25,1,9,6.72,1.88237438713273,25,2,9,5.88,1.94336477961979,25,2,9,6,2.16024689946929,25,1,9,6.44,1.98074060223274,25,1,9,4.84,2.51130776024498,25,4,16,10.36,2.99833287011299,25,5,9,7.08,0.99666109251507,25,1,8,3.96,2.37135685491099,25,3,9,6.12,1.64113781667882,25,1,9,5.76,2.74286954362276,25,1,9,4.32,2.57746645629644,25,1,9,6.52,2.25684145064143,25,1,9,4.8,2.23606797749979,25,5,15,10.24,3.01772541273501
aksamit,velvet,N,7,112,211,50,5,9,6.36,1.13856336258122,50,1,8,2.82,2.01717118555584,50,1,8,5.48,1.66892364188688,50,1,9,5.28,2.03078350216193,50,1,7,2.6,1.69030850945703,50,1,9,2.42,1.9906926289252,50,1,9,6.68,2.06466877315882,50,5,18,11.22,3.29061745958203,25,5,9,6.64,1.31909059582729,25,1,8,2.88,2.06801031589948,25,2,8,5.96,1.64519502390041,25,2,9,5.72,1.94764815439887,25,1,7,2.64,1.9122412679018,25,1,5,1.92,1.44106442141449,25,2,9,6.56,2.12289111041209,25,5,16,10.88,3.05941170815567,25,5,8,6.08,0.862167810425171,25,1,7,2.76,2.00582485111072,25,1,7,5,1.58113883008419,25,1,9,4.84,2.05507501890645,25,1,6,2.56,1.4742229591664,25,1,9,2.92,2.34378611083293,25,1,9,6.8,2.04124145231932,25,6,18,11.56,3.53647658929996
akt,act,N,3,3238,2997,50,1,9,5.3,1.4321384039831,50,1,9,3.9,2.21543748846726,50,3,8,5.4,1.26168012376112,50,1,9,5.76,2.18118110674198,50,1,8,3.26,2.07816638174235,50,1,9,3.54,2.26066632763395,50,1,9,6.24,2.29070882889456,50,4,17,10.4,3.4226138716317,25,1,9,5.12,1.73973178009332,25,1,8,4.04,2.24499443206437,25,4,8,5.6,1.19023807142381,25,2,9,5.8,2.06155281280883,25,1,8,3.44,2.08326666559997,25,1,9,3.04,2.37135685491099,25,2,9,6.52,2.25684145064143,25,5,15,11.16,2.7030846576951,25,3,7,5.48,1.04562580942387,25,1,9,3.76,2.22261107708929,25,3,8,5.2,1.3228756555323,25,1,9,5.72,2.33666428910958,25,1,8,3.08,2.1,25,1,9,4.04,2.0712315177208,25,1,9,5.96,2.33595091272626,25,4,17,9.64,3.92513269414763
aktualności,news,N,11,45,81,50,2,8,5.5,1.0546302185881,50,1,9,3.76,2.12430060519327,50,2,8,5.74,1.25860304808667,50,1,9,6.72,1.75010203784155,50,1,9,4.28,2.38224726693438,49,1,9,4.95918367346939,2.38885592974152,50,1,9,4.78,2.33246825557505,50,4,18,10.74,3.78940520883353,25,2,8,5.52,1.19443152447793,25,1,9,3.84,2.13463501954471,25,4,8,6.04,1.20692446601544,25,3,9,6.96,1.61967074843418,25,1,8,4.6,2.3094010767585,25,1,8,4.68,2.096027989635,25,1,9,5.12,2.2420228961067,25,4,18,10.36,3.65011415346607,25,3,7,5.48,0.918331820930394,25,1,9,3.68,2.1548395145192,25,2,8,5.44,1.26095202129185,25,1,9,6.48,1.87349939951952,25,1,9,3.96,2.4576411454889,24,1,9,5.25,2.67435485922184,25,1,9,4.44,2.41660919471891,25,5,18,11.12,3.96148120446549
aktywność,activity,N,9,731,508,50,4,9,6.58,1.16215844225216,50,1,9,4.16,2.34181161339956,50,3,9,6.56,1.28030608585189,50,1,9,5.5,2.31455024943138,50,1,9,4.74,2.13627560707596,50,1,9,5.14,1.91673617146972,50,1,9,5.36,2.21091909967464,50,4,16,9.52,2.86598631382294,25,5,9,6.76,1.2,25,1,8,4.76,2.25979350089044,25,3,9,6.68,1.34536240470737,25,2,9,5.6,2.10158670215308,25,2,9,5.72,1.92613602842582,25,1,8,5.08,1.7301252363148,25,2,9,5.76,2.25979350089044,25,4,16,9.52,2.90287214094363,25,4,9,6.4,1.1180339887499,25,1,9,3.56,2.31084400165827,25,4,9,6.44,1.22746350930146,25,1,9,5.4,2.54950975679639,25,1,7,3.76,1.89912260443255,25,1,9,5.2,2.12132034355964,25,1,8,4.96,2.13072757526625,25,5,15,9.52,2.88848287745199
aktywny,active,A,7,456,251,50,3,9,6.54,1.05385589380046,50,1,9,4.96,2.39863906992175,50,3,9,6.86,1.16075274661554,50,1,9,5.34,2.0860078071351,50,1,8,5.06,2.13245092294653,50,1,9,5.9,1.71725932573876,50,1,9,5.66,2.37856070353652,50,4,14,8.64,2.52949942615901,25,5,8,6.6,0.912870929175277,25,1,9,5.8,2.32737334062816,25,3,9,7.16,1.31275791116768,25,3,9,5.72,1.8375708603117,25,1,8,5.36,2.0387904911164,25,4,9,6.24,1.45143607047182,25,2,9,6,2.41522945769824,25,4,14,8.68,2.54492959955019,25,3,9,6.48,1.19443152447793,25,1,8,4.12,2.20454076850486,25,5,8,6.56,0.916515138991168,25,1,9,4.96,2.28181214534998,25,1,8,4.76,2.22261107708929,25,1,9,5.56,1.91659420152867,25,1,9,5.32,2.34022790912908,25,5,13,8.6,2.56580071972344
aktywować,activate,V,9,272,9,50,4,9,6.14,1.17820340574373,50,1,9,4.48,2.26994560754757,50,2,9,6.34,1.27150882571752,50,1,9,5.96,2.30314780157904,50,1,8,4.28,2.09021041807679,50,1,9,5.26,2.13627560707596,50,1,9,5.34,2.43788131501975,50,5,17,10.86,3.22623176919629,25,4,8,6.16,1.06770782520313,25,1,9,4.8,2.21735578260835,25,2,9,6.32,1.49220195237329,25,3,9,6.4,1.93649167310371,25,1,8,4.72,2.33666428910958,25,2,9,5.72,2.31876403859182,25,1,9,5.56,2.69382008802865,25,5,15,10.92,2.69134414992459,25,4,9,6.12,1.30128141972954,25,1,8,4.16,2.32163735324878,25,5,9,6.36,1.03601801786134,25,1,9,5.52,2.58392466350447,25,1,7,3.84,1.74833253892578,25,1,8,4.8,1.87082869338697,25,1,9,5.12,2.1855586623714,25,6,17,10.8,3.74165738677394
akwaforta,etching,N,9,0,3,16,3,7,5.5,1.09544511501033,26,1,7,3.73076923076923,1.77893658813781,16,1,8,4.625,1.70782512765993,26,2,9,5.57692307692308,2.08178917132503,21,1,6,2.66666666666667,1.52752523165195,17,1,9,4.58823529411765,3.26072889722167,13,1,8,3.61538461538462,2.78503325948008,21,4,18,13.5238095238095,4.00773062491789,7,3,7,5.28571428571429,1.38013111868471,12,1,7,3.91666666666667,1.88092498199125,8,3,8,4.75,1.48804761828569,9,3,9,6.22222222222222,2.10818510677892,12,1,5,2.58333333333333,1.44337567297406,6,1,9,5.5,3.78153408023781,8,1,8,3.25,2.81577190634672,11,4,18,14.6363636363636,3.74893924391226,9,5,7,5.66666666666667,0.866025403784439,14,1,7,3.57142857142857,1.74154156796989,8,1,7,4.5,2,17,2,9,5.23529411764706,2.04723630062292,9,1,6,2.77777777777778,1.71593835683117,11,1,8,4.18181818181818,2.89199522192488,5,1,7,4.2,2.94957624075053,10,7,18,12.3,4.11096095821889
akwarium,aquarium,N,8,513,405,50,2,9,5.8,1.21218305346265,50,1,7,2.74,1.82734333759953,50,1,8,4.68,1.47689691237944,50,1,9,5.52,2.00244748204974,50,1,7,2.8,1.89521416591737,50,1,9,2.08,2.01868819801779,50,1,9,8.04,1.35465938184339,50,4,15,7.94,3.04664418932151,25,2,9,5.76,1.33166562369588,25,1,7,3.04,2.05101600838869,25,2,8,4.72,1.69607389776114,25,2,9,5.36,2.01825006709608,25,1,7,2.92,2.08006410157636,25,1,6,1.56,1.41656862405839,25,6,9,8.24,0.969535971483266,25,4,15,7.6,2.9011491975882,25,4,8,5.84,1.1060440015358,25,1,6,2.44,1.55670592384475,25,1,7,4.64,1.25432584814845,25,1,9,5.68,2.01494416796099,25,1,7,2.68,1.72530190594767,25,1,9,2.6,2.39791576165636,25,1,9,7.84,1.65025250593154,25,4,15,8.28,3.20832251080426
alarm,alert / alarm,N,5,4355,1646,50,1,7,4.16,1.25128505374047,50,1,8,4.48,2.35813831793867,50,1,9,5.84,1.70664965977921,50,1,9,5.32,2.32501920114959,50,1,9,4.8,2.53143502095276,50,1,9,3.42,2.32194499750286,50,1,9,7.1,1.94043967245802,50,4,14,8.52,2.75710584727196,25,1,7,4.08,1.41185457230316,25,1,8,4.84,2.26715680975093,25,1,8,5.6,1.87082869338697,25,2,9,5.56,1.95959179422654,25,1,9,5.28,2.52520626220249,25,1,9,3.08,2.5152865973218,25,3,9,7.6,1.75594229214212,25,4,14,8.04,2.77608837515427,25,2,7,4.24,1.09087121146357,25,1,8,4.12,2.43789526709687,25,3,9,6.08,1.52534149181967,25,1,9,5.08,2.66020049369717,25,1,9,4.32,2.49532896962839,25,1,8,3.76,2.10713075057055,25,1,9,6.6,2.02072594216369,25,5,14,9,2.70801280154532
albania,albania,N,7,27,0,50,2,8,5.32,1.31614774928926,50,1,9,3.54,2.39224938977046,50,2,7,4.3,1.21638474042331,50,1,9,5.62,2.3723750262777,50,1,9,3.02,2.55941638755751,50,1,8,2.28,2.04080816324898,50,1,9,4.04,2.53111252461144,50,4,18,11.82,3.56107069429911,25,2,8,5.12,1.33291660154215,25,1,9,3.48,2.55147016443461,25,2,7,4.36,1.15036226178249,25,1,9,5.72,2.22710574513201,25,1,9,2.4,2.3629078131263,25,1,8,2.36,2.27082951070015,25,1,9,3.16,2.19241115365405,25,4,18,12.84,3.4117444218464,25,3,8,5.52,1.29486163997034,25,1,9,3.6,2.27303028283098,25,2,7,4.24,1.3,25,1,9,5.52,2.55147016443461,25,1,9,3.64,2.64386081328046,25,1,8,2.2,1.82574185835055,25,1,9,4.92,2.58069758011279,25,4,18,10.8,3.47610893576903
album,album,N,5,1092,542,50,4,9,5.8,1.03015750727543,50,1,9,3.08,2.18379934788816,50,3,7,5.26,0.899205998963212,50,1,9,5.48,2.24281164649033,50,1,8,3.26,2.10742128911044,50,1,9,2.1,1.87627507665196,50,1,9,7.52,1.68110750666922,50,4,12,7.68,2.14228563807491,25,5,9,5.8,1,25,1,7,2.96,1.71949605020386,25,3,7,5.32,1.06926766215636,25,2,9,5.48,2.20075744536588,25,1,8,3,2.12132034355964,25,1,9,2.32,2.47857485933617,25,4,9,7.84,1.51877143331927,25,4,11,7.44,2.04287379280594,25,4,8,5.8,1.08012344973464,25,1,9,3.2,2.59807621135332,25,4,7,5.2,0.707106781186547,25,1,9,5.48,2.32952069462082,25,1,8,3.52,2.10396451174127,25,1,4,1.88,0.971253485622231,25,1,9,7.2,1.80277563773199,25,4,12,7.92,2.25314594881616
aleja,alley / avenue,N,5,238,864,50,3,9,5.88,1.13641038864865,50,1,8,2.9,1.66904592079256,50,3,8,5.48,0.994679724887383,50,1,9,5.88,2.1912627987216,50,1,8,3.4,2.06031501455085,50,1,8,2.28,1.93822978355961,50,1,9,7.32,1.73134370371921,50,4,14,8.82,2.46352990479855,25,3,9,5.92,1.32035348802256,25,1,6,2.88,1.39403491108843,25,3,8,5.6,1.22474487139159,25,2,9,6.08,2.15870331449229,25,1,8,3.2,1.95789002074512,25,1,6,1.76,1.61451747177498,25,3,9,7.72,1.62069943748576,25,4,14,8.52,2.4,25,5,8,5.84,0.94339811320566,25,1,8,2.92,1.93476958145753,25,4,7,5.36,0.7,25,1,9,5.68,2.2494443758404,25,1,8,3.6,2.17944947177034,25,1,8,2.8,2.12132034355964,25,1,9,6.92,1.77763888346312,25,5,14,9.12,2.53837218179946
alergia,allergy,N,7,219,15,49,1,5,3.24489795918367,1.03139493415669,50,1,9,4.8,2.49897938350513,50,1,9,3.68,1.68353369858928,50,1,9,5.18,2.20102017162914,50,1,9,3.42,2.33945746370602,50,1,9,3.56,2.41728469695285,50,1,9,6.78,1.98247423227457,50,3,15,8.8,3.38061701891407,24,1,5,3.25,1.18871505343411,25,1,8,5,2.46644143115812,25,1,9,3.64,1.8,25,2,9,5.4,2.06155281280883,25,1,9,3.92,2.46508958593124,25,1,7,2.52,1.66132477258361,25,4,9,6.88,1.85562208796224,25,3,15,10,3.46410161513775,25,1,5,3.24,0.879393730551528,25,1,9,4.6,2.56580071972344,25,1,7,3.72,1.59478316185409,25,1,9,4.96,2.35372045918796,25,1,9,2.92,2.13931453196267,25,1,9,4.6,2.62995563967658,25,1,9,6.68,2.13541565040626,25,4,15,7.6,2.88675134594813
