word_french,translate_word_english,translate_word_german,pos,length,syllables,frequency_films,frequency_books,humans_yes,humans_no,humans_n,human_difficulty,nonhumans_yes,nonhumans_no,nonhumans_n,nonhuman_difficulty,category,concrete_mean,concrete_sd,concrete_n,concrete_difficulty,familiar_mean,familiar_sd,familiar_n,familiar_difficulty,intensity_mean,intensity_sd,intensity_n,intensity_difficulty,temporal_stability_mean,temporal_stability_sd,temporal_stability_n,temporal_stability_difficulty,valence_mean,valence_sd,valence_n,valence_difficulty,visibility_mean,visibility_sd,visibility_n,visibility_difficulty
binoclard,bespectacled,Brille tragend,ADJ,9,3,2.22,2.09,20,0,20,0,3,17,20,1,preferentially human,4.35,1.95,20,1,4.11,2.05,18,1,4.35,1.35,20,1,5.33,1.57,18,1,2.26,0.87,19,0,6.22,1.11,18,0
biodégradable,biodegradable,biologisch abbaubar,ADJ,13,4,0.1,0.07,0,20,20,0,20,0,20,0,uniquely non-human,4.25,1.52,20,0,4.75,1.86,20,0,3.2,1.7,20,1,5.2,1.99,20,1,5.95,0.85,19,0,3,1.86,20,0
bionique,bionic,bionisch,ADJ,8,2,0.24,0,4,16,20,1,19,1,20,1,preferentially non-human,2.67,1.41,18,2,2,1.33,19,2,4.11,1.56,19,8,4.89,1.73,19,5,3.95,0.91,19,1,3.06,2.21,16,4
biplace,two-seat,zweisitzig,ADJ,7,2,0.02,0,0,20,20,0,18,2,20,2,uniquely non-human,3.26,2.05,19,2,2.7,1.89,20,2,3.1,1.37,20,6,5.44,1.25,18,5,4.22,0.55,18,3,6.17,1.04,18,0
blafard,pallid,bleich,ADJ,7,2,0.37,4.8,17,2,19,1,9,11,20,1,preferentially human,3.61,1.72,18,2,3.35,2.32,17,2,4.61,1.38,18,3,2.94,0.44,16,1,2.35,0.79,17,0,4.41,1.77,17,1
blême,pale,leichenblass,ADJ,5,1,1.16,11.62,11,8,19,1,8,12,20,0,preferentially human,3.63,1.21,19,0,3.55,1.9,20,1,3.89,1.2,19,3,3.67,1.03,18,0,2.76,0.9,17,1,4.71,1.98,14,2
blindé,armored,gepanzert,PPADJ,6,2,1.44,1.35,9,11,20,0,19,1,20,0,preferentially non-human,3.65,1.42,20,0,5.55,1.88,20,0,4.8,1.15,20,1,5.79,0.98,19,1,4.47,1.02,19,2,4.55,2.16,20,0
blond,blonde,blond,ADJ,5,1,8.73,21.28,20,0,20,0,11,9,20,4,preferentially human,4.75,1.92,20,0,6.5,0.62,18,0,3,1.62,20,4,6.16,0.76,19,0,4.37,0.5,19,1,6.74,0.56,19,0
boisé,wooded,bewaldet,PPADJ,5,2,0.15,0.61,1,19,20,0,18,2,20,0,uniquely non-human,4.7,1.56,20,0,4,2.08,20,0,3.4,1.54,20,5,5.6,1.27,20,1,4.59,1,17,2,6.11,1.1,19,0
boiteux,lame,hinkend,ADJ,7,2,2.02,2.23,18,2,20,0,14,6,20,1,preferentially human,3.85,1.93,20,0,4.3,2.03,20,0,4.05,1.15,20,0,4.5,1.4,20,1,2.75,0.72,20,0,5.8,1.2,20,0
bombé,cambered,gewölbt,PPADJ,5,2,0.16,2.43,3,17,20,0,20,0,20,0,preferentially non-human,4.25,1.52,20,0,4.2,1.99,20,0,3.7,1.26,20,0,5.15,1.04,20,2,4,0.82,19,2,5.4,1.82,20,0
bonasse,meek,duldsam,ADJ,7,2,0.08,1.62,14,5,19,4,1,19,20,0,preferentially human,4.35,1.93,20,0,4.95,2.01,20,1,5.11,1.29,19,1,4.9,1.41,20,1,3.25,2.1,20,1,6.05,1.13,19,0
bordélique,messy,schlampig,ADJ,10,3,0.6,0.54,20,0,20,0,12,8,20,1,preferentially human,3.55,1.76,20,1,6.05,1.36,20,0,5.05,1.36,20,0,4.65,1.66,20,0,2.1,0.64,20,0,4.5,1.7,20,1
borgne,one-eyed/shady,einäugig/finster,ADJ,6,1,1.67,3.45,19,1,20,0,5,15,20,3,preferentially human,3.47,1.87,19,2,3.45,2.19,20,1,4.7,1.26,20,3,6,1.05,19,1,2.5,1.05,20,0,6.21,1.08,19,0
borné,close-minded,engstirnig,PPADJ,5,2,2.07,1.96,20,0,20,0,4,16,20,2,preferentially human,3.15,1.79,20,0,4.8,1.51,20,0,4.83,0.62,18,1,5.05,1,20,0,2.11,0.57,19,0,3.25,1.89,20,2
bossu,hunchbacked,buckelig,ADJ,5,2,1.58,2.03,19,1,20,1,15,5,20,0,preferentially human,4.35,1.69,20,0,4,2.03,20,0,4.25,1.37,20,0,5.84,1.01,19,0,2.45,0.89,20,1,6.35,0.75,20,0
botanique,botanical,botanisch,ADJ,9,3,0.7,0.47,0,20,20,0,19,1,20,0,uniquely non-human,3.6,1.5,20,1,3.75,2.22,20,0,3.37,1.46,19,3,5.32,1.34,19,5,4.4,0.68,20,2,4.53,2.01,19,4
bouché,blocked,verstopft,PPADJ,6,2,1.22,1.35,14,6,20,1,17,3,20,0,preferentially non-human,3.75,1.83,20,0,5.05,1.76,20,0,4.15,1.09,20,1,3.53,1.02,19,2,2.6,0.82,20,1,5.05,1.96,20,0
boudeur,sulky,schmollend,ADJ,7,2,0.01,2.09,20,0,20,0,1,19,20,0,uniquely human,3.35,1.5,20,0,5.15,1.81,20,0,4,0.92,20,0,3.7,1.34,20,0,2.2,0.7,20,0,3.65,1.69,20,0
bougon,grumpy,mürrisch,ADJ,6,2,0.13,1.96,11,7,18,5,5,15,20,3,preferentially human,2.44,0.92,18,1,3,1.81,18,0,3.89,1.49,18,7,3.82,1.33,17,3,2.61,0.92,18,1,3.79,1.25,14,2
bouilli,boiled,gekocht,ADJ,7,2,0.37,2.36,2,18,20,0,19,1,20,0,uniquely non-human,4.85,1.73,20,1,4.05,1.88,20,0,4.4,1.23,20,2,4.35,1.84,20,0,3.2,1.01,20,2,4,1.78,20,2
bouillonnant,bubbling,sprudelnd,ADJ,12,3,0.16,1.01,8,12,20,1,17,3,20,2,preferentially non-human,5.05,1.47,20,0,4.5,1.85,20,0,5.3,1.22,20,0,2.95,1.36,20,0,4.05,1,20,0,5.35,1.76,20,0
bourgeois,bourgeois,bürgerlich,ADJ,9,2,3.12,11.82,20,0,20,0,8,12,20,0,preferentially human,3.45,1.82,20,1,5.05,1.67,20,0,4.1,1.37,20,0,5.3,0.92,20,1,3.65,1.27,20,0,4.45,1.39,20,1
bourratif,filling,sättigend,ADJ,9,3,0.02,0.07,4,16,20,0,18,2,20,0,preferentially non-human,4.65,1.63,20,1,5.2,1.2,20,0,4.8,1.32,20,1,3.95,1.15,20,2,2.85,1.27,20,0,3.35,1.6,20,1
bourru,gruff/rough,raubeinig/grob,ADJ,6,2,0.28,3.51,12,7,19,2,6,14,20,5,preferentially human,3.15,1.66,20,2,3.15,1.9,20,0,4.53,1.02,19,2,4.12,0.93,17,3,2.83,0.92,18,1,4.31,1.85,16,1
boutonneux,spotty,pickelig,ADJ,10,3,0.55,1.55,20,0,20,0,12,8,20,2,preferentially human,4.4,1.85,20,0,5.3,1.81,20,0,4.5,1.24,20,0,3.9,1.25,20,0,2.1,0.72,20,0,6.32,0.75,19,0
brave,decent/brave,anständig/tapfer,ADJ,5,1,24.55,23.31,20,0,20,0,4,16,20,0,preferentially human,3.15,1.95,20,0,5.35,1.76,20,0,4.05,1.47,20,0,5.15,0.93,20,0,5.79,0.85,19,0,2.95,1.54,19,1
brodé,embroidered,bestickt,PPADJ,5,2,0.13,2.64,0,20,20,0,19,1,20,0,uniquely non-human,3.25,1.55,20,1,3.7,2.05,20,1,3.45,1.67,20,2,5.1,1.65,20,2,4.26,0.73,19,2,5.74,1.33,19,0
bronzé,tanned,sonnengebräunt,ADJ,6,2,1.65,2.84,20,0,20,0,11,9,20,1,preferentially human,4.95,1.7,20,0,6.05,1.13,19,0,4,1.52,20,1,3.32,1.06,19,1,5.1,0.85,20,0,6.58,0.84,19,0
brouillon,untidy,unordentlich,ADJ,9,2,0.1,0.95,11,9,20,0,18,2,20,1,preferentially non-human,3.35,1.6,20,0,5.45,1.9,20,0,4.25,1.41,20,0,4.11,1.24,19,0,2.75,0.97,20,0,4.2,1.77,20,0
broussailleux,brushy,mit Gestrüpp bewachsen,ADJ,13,3,0.03,1.35,3,17,20,1,18,2,20,0,preferentially non-human,4,1.45,20,0,3.15,1.98,20,0,3.95,1.5,20,1,4,1.03,18,0,2.95,0.89,20,0,5.67,1.37,18,1
brûlant,burning/boiling,glühend heiss,ADJ,7,2,4.48,15.68,6,14,20,2,18,2,20,0,preferentially non-human,6.05,1.05,20,0,5.95,1.22,19,0,6,0.92,20,0,3.75,1.41,20,0,2.55,0.83,20,0,4.05,1.85,20,0
brun,brunette,braunhaarig,ADJ,4,1,3.39,21.35,18,2,20,0,18,2,20,1,both,5.53,1.17,19,0,6,1.3,20,0,3,1.78,20,3,5.95,1.19,20,0,4.15,0.75,20,0,6.53,1.26,19,0
brusque,brusque,barsch,ADJ,7,1,1.77,26.76,19,1,20,0,10,10,20,1,preferentially human,3.75,1.74,20,0,5.4,1.54,20,0,4.8,1.2,20,0,4,1.49,20,1,2.35,0.49,20,0,3.5,1.47,20,0
buté,obstinate,halsstarrig,PPADJ,4,2,1.06,6.28,18,2,20,1,5,15,20,0,preferentially human,3.2,1.74,20,0,4.6,1.79,20,0,4.75,0.91,20,0,4.75,1.33,20,0,2.7,0.73,20,1,2.95,1.47,19,1
buvable,drinkable,trinkbar,ADJ,7,2,0.21,0.61,5,15,20,1,19,1,20,0,preferentially non-human,4.85,1.66,20,0,5.26,1.33,19,1,2.79,0.98,19,0,5.2,1.36,20,0,4.65,0.81,20,0,3.75,1.71,20,0
cabossé,dented/battered,verbeult,PPADJ,7,3,0.4,1.62,2,18,20,0,19,1,20,0,uniquely non-human,3.5,1.96,20,0,3.9,1.92,20,0,3.9,1.07,20,0,5.1,1.55,20,1,2.4,0.68,20,0,6,0.82,19,0
câchère,kosher,koscher,ADJ,7,2,0,0,0,19,19,2,14,6,20,7,preferentially non-human,2.78,1.26,18,1,2.41,1.87,17,2,3.67,1.41,18,6,4.63,1.2,16,6,3.4,0.91,15,3,2.24,1.35,17,6
cafardeux,gloomy,trübselig,ADJ,9,3,0.07,0.34,16,4,20,1,11,9,20,2,preferentially human,3.4,1.47,20,0,3.7,1.84,20,0,5,0.88,19,0,3.75,1.16,20,0,2.05,0.85,19,0,3.85,2.01,20,3
cahoteux,bumpy,holprig,ADJ,8,3,0.05,0.61,2,16,18,3,17,3,20,1,preferentially non-human,2.72,0.96,18,2,2.5,1.47,18,4,4.37,0.9,19,1,4.31,1.3,16,4,2.82,0.88,17,2,4.25,1.66,12,5
caillouteux,stony,steinig,ADJ,11,3,0.2,1.35,1,19,20,0,19,1,20,0,uniquely non-human,4.85,1.6,20,0,3.75,1.97,20,1,3.7,1.78,20,0,5.65,1.04,20,1,2.95,0.85,19,1,5.37,1.54,19,0
calcaire,calcareous/limy,kalkig,ADJ,8,2,0.1,0.41,1,19,20,0,18,2,20,0,uniquely non-human,4.35,1.39,20,0,4.05,2.24,20,1,3.05,1.18,19,5,5.42,1.5,19,2,3.35,0.81,20,0,5.15,1.84,20,0
calcifié,calcified,verkalkt,ADJ,8,3,0.01,0,0,20,20,0,18,2,20,2,uniquely non-human,3.6,1.39,20,0,3,1.72,20,2,4.39,1.2,18,5,5.68,1.2,19,1,3.16,0.96,19,1,4.94,1.73,16,3
calciné,burnt,verbrannt,PPADJ,7,3,0.12,0.68,3,17,20,2,19,1,20,0,preferentially non-human,3.85,1.5,20,2,3.35,2.03,20,1,5.35,1.09,20,0,5.67,1.03,18,2,2.47,1.22,19,2,6,1.17,17,2
calme,calm,ruhig,ADJ,5,1,58.78,65.81,20,0,20,0,10,10,20,3,preferentially human,3.65,1.73,20,1,6.58,0.77,19,0,2.9,1.29,20,0,4.25,1.21,20,0,4.95,0.69,20,0,3.85,1.14,20,0
candide,candid,arglos,ADJ,7,2,0.89,3.92,12,7,19,4,4,16,20,3,preferentially human,2.65,1.27,17,1,3.63,1.98,19,0,4.05,1.58,19,4,4.56,1.1,18,4,3.88,1.15,16,3,3,1.83,16,6
caoutchouteux,rubbery,gummiartig,ADJ,13,4,0.06,0.54,1,19,20,0,20,0,20,0,uniquely non-human,5.25,1.62,20,0,3.8,2.21,20,2,3.4,1.27,20,2,5.85,1.09,20,1,3.37,0.83,19,1,4.85,1.76,20,0
capable,capable,fähig,ADJ,7,2,65.15,69.73,20,0,20,0,5,15,20,0,preferentially human,2.95,1.47,20,0,6.05,1.08,19,0,3.53,1.02,19,0,4.95,1.08,19,0,5.8,0.89,20,0,2.3,1.34,20,1
capricieux,capricious,launisch,ADJ,10,3,2.12,3.04,20,0,20,0,5,15,20,1,preferentially human,3.35,1.66,20,2,5.4,1.93,20,0,4.85,1.14,20,0,4.5,1.43,20,1,2.5,0.69,20,1,3.2,1.82,20,1
carré,angular/broad-shouldered,eckig/breitschuldrig,ADJ,5,2,2.67,8.18,7,13,20,0,19,1,20,1,preferentially non-human,4.6,1.88,20,1,5.35,1.6,20,0,3.15,1.57,20,3,6.37,0.68,19,1,3.47,0.9,19,2,6.68,0.75,19,0
carrossable,suitable for motor vehicles,befahrbar,ADJ,11,3,0,0.47,0,20,20,0,18,2,20,1,uniquely non-human,2.8,1.28,20,1,2.6,1.57,20,2,3.58,0.9,19,3,5,1.25,19,2,4.47,0.64,15,4,4.06,1.64,17,0
casqué,helmeted,behelmt,ADJ,6,2,0.06,0.95,10,9,19,0,15,4,19,3,preferentially non-human,3.5,1.67,20,0,3.95,2.04,20,0,3.16,1.07,19,1,2.56,0.86,18,0,4.17,0.62,18,2,5.9,1.25,20,0
cassable,breakable,zerbrechlich,ADJ,8,2,0.01,0.14,2,18,20,1,20,0,20,0,uniquely non-human,4.25,1.77,20,0,4.85,1.46,20,1,3.35,1.57,20,0,5.2,1.64,20,0,2.5,0.89,20,1,4.45,1.57,20,0
cassé,broken,kaputt,PPADJ,5,2,11.48,7.43,6,14,20,0,18,2,20,0,preferentially non-human,3.95,1.73,20,1,5.85,1.6,20,0,4.05,1.23,20,0,5.53,1.35,19,1,1.95,0.62,19,1,5.9,1.21,20,0
causeur,chatty,gesprächig/plauderig,ADJ,7,2,0.29,0.14,17,3,20,1,2,18,20,1,preferentially human,3.65,1.87,20,0,4.1,1.92,20,1,3.6,1.19,20,1,4.6,1.1,20,0,4.1,1.48,20,0,3.35,1.98,20,0
caustique,caustic/biting,kaustisch/ätzend,ADJ,9,2,0.34,1.15,8,11,19,5,15,5,20,5,preferentially non-human,3.29,1.79,17,1,3.05,2.11,20,2,4.05,1.43,20,4,4.59,1.5,17,3,3.56,0.78,18,0,3,1.81,15,5
chaleureux,warm-hearted,herzlich,ADJ,10,3,3.96,6.22,20,0,20,0,14,6,20,3,preferentially human,4.9,1.71,20,0,5.74,1.24,19,0,4.1,1.62,20,0,5.1,0.91,20,0,6.2,0.7,20,0,4.35,1.79,20,0
changeant,fickle/changing,wechselhaft,ADJ,9,2,1.19,1.89,17,3,20,0,14,6,20,2,preferentially human,3,1.65,20,0,5.2,1.58,20,1,3.55,1.05,20,1,2.65,1.69,20,1,3.21,0.85,19,0,3.4,2.06,20,1
charitable,charitable,karitativ,ADJ,10,3,2.9,2.7,19,1,20,0,5,15,20,1,preferentially human,3.3,2,20,1,4.3,1.92,20,0,3.85,1.46,20,0,4.75,0.91,20,0,5.75,0.72,20,0,2.9,1.33,20,0
charmant,charming,charmant,ADJ,8,2,27.52,19.86,20,0,20,0,9,11,20,1,preferentially human,3.8,1.58,20,1,6.11,0.99,19,0,3.65,1.35,20,0,4.65,0.88,20,0,6.25,0.64,20,0,4.45,1.47,20,0
charmé,charmed,entzückt,PPADJ,6,2,0.39,0.81,20,0,20,0,0,20,20,3,uniquely human,3.4,1.73,20,0,5.75,1.33,20,0,3.5,1.36,20,0,3.63,0.76,19,0,5.8,0.83,20,0,3.9,1.52,20,1
chaste,chaste,keusch,ADJ,6,1,1.5,4.32,18,2,20,0,7,13,20,0,preferentially human,3.1,1.52,20,0,3.75,2.24,20,1,4.5,1.32,20,2,4.4,1.39,20,1,4,0.59,18,1,2.26,1.24,19,1
chauffé,heated,beheizt,PPADJ,7,2,missing,entry,3,17,20,0,19,1,20,0,preferentially non-human,5.1,1.37,20,0,6.17,0.99,18,0,3.25,1.37,20,1,3.35,1.39,20,1,4.6,0.75,20,1,3.7,1.81,20,0
chauve,bald,kahlköpfig,ADJ,6,1,5.25,9.46,20,0,20,0,5,15,20,0,preferentially human,4.8,1.82,20,0,5.2,1.99,20,0,4.15,1.98,20,1,6.15,0.67,20,0,2.75,0.91,20,0,6.68,0.48,19,0
chevelu,(long)haired,haarig,ADJ,7,2,1.31,2.36,20,0,20,0,10,10,20,2,preferentially human,4.9,1.59,20,0,4.9,1.8,20,0,3.4,1.5,20,0,4.4,1.64,20,1,4.25,0.91,20,1,6.42,0.69,19,0
chevronné,experienced,erfahren,ADJ,9,3,0.11,0.47,14,6,20,1,6,14,20,2,preferentially human,2.74,1.15,19,2,3.4,1.82,20,2,4.75,0.72,20,2,4.28,1.36,18,2,4.42,1.5,19,0,2.94,1.73,16,0
chic,chic,schick,ADJ,4,1,17.62,12.5,20,0,20,0,16,4,20,1,preferentially human,4.55,1.73,20,0,5.25,1.65,20,0,4,1.49,20,0,4.55,1.23,20,0,5.75,1.02,20,0,5.7,1.13,20,2
chimique,chemical,chemisch,ADJ,8,2,5.4,1.96,0,20,20,1,20,0,20,0,uniquely non-human,4.2,1.54,20,0,4.8,1.99,20,0,3.55,1.39,20,1,6.22,0.88,18,1,3.2,0.77,20,1,3.2,1.79,20,0
chloré,chlorinated,chlorhaltig,ADJ,6,2,0.01,0.07,0,20,20,0,19,1,20,0,uniquely non-human,4.05,1.61,20,0,3.65,1.98,20,0,3.15,1.63,20,4,5.4,1.35,20,2,3.76,0.44,17,5,1.58,1.02,19,3
chromé,containing chrome,chromhaltig,PPADJ,6,2,missing,entry,0,20,20,1,19,1,20,1,uniquely non-human,3.9,2.02,20,0,3.3,1.81,20,0,3.3,1.69,20,4,5,1.6,19,3,4.44,0.7,18,3,5.26,1.63,19,2
cinglé,crazy,verrückt,ADJ,6,2,4.28,1.22,19,1,20,0,3,17,20,2,preferentially human,2.8,1.74,20,1,5.35,1.5,20,0,5.55,1.32,20,0,5.2,1.32,20,0,1.84,0.6,19,0,3.55,1.79,20,1
circonspect,cautious,bedacht,ADJ,11,3,0.04,1.96,9,10,19,5,11,9,20,4,both,2.75,1.59,20,3,3.06,1.43,18,2,3.63,1.01,19,5,4.22,1.11,18,3,3.29,0.69,17,1,2.92,1.62,12,5
ciselé,chiselled/chopped,gemeißelt/gehackt,PPADJ,6,2,0.02,1.15,0,20,20,1,19,1,20,1,uniquely non-human,3.32,1.25,19,1,3.25,1.8,20,0,3.75,1.41,20,2,4.89,1.18,18,3,3.63,0.76,19,2,5.11,1.97,19,1
clairvoyant,clairvoyant,hellseherisch/weitsichtig,ADJ,11,3,0.53,1.01,19,1,20,0,4,16,20,1,preferentially human,3.9,2.05,20,1,4.45,1.79,20,1,3.55,1.15,20,1,4.68,1.6,19,0,5.42,1.02,19,1,2.8,1.77,20,2
coiffé,head-covered,kopf-bedeckt,PPADJ,6,2,0.51,1.15,18,2,20,0,10,10,20,1,preferentially human,4.2,1.67,20,0,5.55,1.82,20,0,3,1.38,20,1,2.75,1.16,20,0,4.75,0.79,20,0,5.8,1.67,20,0
coléreux,irritable,jähzornig,ADJ,8,3,0.73,2.09,19,0,19,0,2,18,20,0,uniquely human,3.53,1.84,19,1,4.95,1.79,20,0,5.25,1.12,20,0,4.3,1.26,20,0,1.9,0.64,20,0,4.2,1.79,20,0
colérique,choleric,cholerisch,ADJ,9,3,0.43,0.61,20,0,20,0,1,19,20,1,uniquely human,4,1.69,20,0,5.45,1.64,20,0,5.35,1.23,20,0,4.45,1.61,20,0,2.1,0.72,20,0,4.2,1.74,20,0
coloré,colored,gefärbt,PPADJ,6,3,0.78,2.36,7,13,20,1,20,0,20,0,preferentially non-human,5.95,1.47,19,0,5.95,1.18,19,0,3.4,1.6,20,1,5.05,1.47,20,1,5.55,0.94,20,2,6.47,0.84,19,0
comestible,edible,essbar,ADJ,10,3,1.04,1.22,1,19,20,0,20,0,20,0,uniquely non-human,4.9,1.77,20,0,5.7,1.42,20,0,2.63,0.9,19,1,5.4,1.1,20,1,5.25,0.79,20,0,2.9,1.45,20,0
comique,funny,lustig,ADJ,7,2,4.33,10.34,20,0,20,0,13,7,20,3,preferentially human,4.1,1.45,20,0,6.3,1.08,20,0,3.3,1.3,20,0,4.79,0.98,19,1,6.05,0.6,20,0,3.8,1.7,20,0
compact,compact,kompakt,ADJ,7,2,0.62,3.24,2,18,20,0,19,1,20,0,uniquely non-human,3.9,1.62,20,0,4.7,1.75,20,0,3.55,1.47,20,0,5.5,1.15,20,1,4.45,1.05,20,1,5.05,1.93,20,0
compatissant,compassionate,teilnahmsvoll,ADJ,12,4,1.01,1.35,20,0,20,0,0,20,20,0,uniquely human,3.4,1.64,20,1,4.85,1.87,20,0,3.65,1.46,20,0,4.35,1.31,20,0,5.4,0.68,20,0,3.25,1.55,20,0
compétent,competent,kompetent,ADJ,9,3,4.45,1.08,20,0,20,0,2,18,20,2,uniquely human,3.15,1.6,20,0,5.7,1.22,20,0,3.95,1.43,20,0,5.45,0.69,20,0,6.15,0.59,20,0,2.7,1.45,20,1
complexé,inhibited,gehemmt,ADJ,8,3,0.04,0.34,19,1,20,0,3,17,20,1,preferentially human,3.95,1.99,20,1,5.65,1.6,20,0,4.7,1.17,20,0,5.16,0.9,19,1,2.2,0.7,20,0,3.1,1.59,20,1
compréhensif,understanding,verständnisvoll,ADJ,12,4,2.73,2.36,19,1,20,0,4,16,20,0,preferentially human,3.05,1.9,20,0,5.95,1.28,20,0,3.35,1.27,20,0,4.55,1.36,20,0,5.75,0.72,20,0,2.65,1.63,20,0
concave,concave,konkav,ADJ,7,2,0.19,1.08,0,20,20,0,20,0,20,0,uniquely non-human,4.05,1.88,20,0,3.55,2.48,20,1,3.3,1.66,20,4,5.95,1.23,20,1,4,0.33,19,3,5.45,1.82,20,1
concentré,concentrated,konzentriert,PPADJ,9,3,1.5,2.09,20,0,20,0,7,13,20,1,preferentially human,4.05,1.93,20,0,6,1.11,19,0,3.85,1.27,20,0,3.2,1.61,20,0,5.58,0.77,19,0,4,1.52,20,0
conciliant,conciliatory,verträglich,ADJ,10,3,0.3,2.09,18,2,20,0,1,19,20,0,uniquely human,2.3,1.3,20,3,4.35,1.6,20,0,3.3,1.08,20,0,4.75,1.21,20,0,5.2,0.7,20,0,2.47,1.31,19,0
condescendant,patronizing,herablassend,ADJ,13,4,0.95,0.95,13,5,18,2,3,17,20,1,preferentially human,2.85,1.31,20,2,4.32,1.57,19,1,4.5,1.24,20,1,4.47,0.87,17,0,2.84,1.12,19,1,3.41,1.73,17,2
confiant,confident,zuversichtlich,ADJ,8,2,2.46,4.73,20,0,20,0,2,18,20,0,uniquely human,2.95,1.39,20,0,5.55,1.47,20,0,3.25,1.16,20,0,4.6,1.05,20,1,5.45,0.89,20,0,3.75,1.68,20,1
confiné,confined,eingeschränkt,PPADJ,7,3,0.34,0.88,4,16,20,1,16,4,20,0,preferentially non-human,3.4,1.64,20,0,4.16,2.12,19,0,3.7,1.26,20,0,4.11,1.05,19,0,3.42,1.22,19,0,4,1.69,20,1
confit,candied,kandiert,PPADJ,6,2,0.25,0.2,3,17,20,0,18,2,20,0,preferentially non-human,3.53,1.81,19,0,3.7,1.95,20,0,3.65,1.46,20,3,4.58,1.22,19,2,3.47,1.39,19,2,4.3,2.03,20,1
congelable,freezable,gefrierbar,ADJ,10,3,0,0,0,20,20,0,20,0,20,0,uniquely non-human,3.8,1.7,20,0,4.05,1.99,20,1,2.95,1.05,20,5,5.05,1.47,20,1,4.21,0.54,19,1,3.75,1.89,20,1
conique,cone-shaped,kegelförmig,ADJ,7,2,0.06,1.76,0,19,19,1,19,1,20,1,uniquely non-human,4,1.63,19,2,3.4,2.5,20,0,3.16,1.54,19,7,5.74,1.1,19,2,3.67,0.69,18,5,6.67,0.69,18,1
consciencieux,conscientious,gewissenhaft,ADJ,13,3,1.45,2.3,20,0,20,0,2,18,20,0,uniquely human,2.9,1.65,20,0,5.1,1.68,20,0,4.1,1.45,20,0,5.55,0.83,20,0,5.75,0.79,20,0,3.2,1.54,20,0
consistant,consistent,konsistent,ADJ,10,3,0.67,1.01,5,15,20,0,18,2,20,0,preferentially non-human,3.9,1.83,20,1,5.15,1.57,20,0,3.4,1.35,20,0,4.8,1.01,20,0,4.37,0.9,19,2,3.9,1.86,20,0
consommable,consumable,geniessbar,ADJ,11,3,0.01,0.47,2,18,20,0,20,0,20,1,uniquely non-human,4.1,1.74,20,1,5.4,1.47,20,0,2.85,1.04,20,0,5.3,1.17,20,0,4.9,0.55,20,1,3.5,1.85,20,0
consterné,appalled,bestürzt,PPADJ,9,3,0.17,1.69,20,0,20,0,1,19,20,0,uniquely human,2.8,1.11,20,2,4.35,1.66,20,0,4.9,1.02,20,0,2.68,0.95,19,0,3.05,1.05,20,0,3.4,1.39,20,0
content,pleased,zufrieden,ADJ,7,2,114.75,51.22,20,0,20,0,1,19,20,0,uniquely human,4.05,1.82,20,0,6.37,0.96,19,0,3.3,1.34,20,0,3.05,1.23,20,0,6.2,0.77,20,0,4.7,1.3,20,0
contrarié,annoyed,verstimmt,PPADJ,9,3,1.32,2.5,20,0,20,0,1,19,20,0,uniquely human,3,1.62,20,2,5.2,1.77,20,0,4.4,0.99,20,0,2.61,0.92,18,0,2.45,0.51,20,0,3.95,1.36,20,0
contrit,contrite,zerknirscht,ADJ,7,2,0.14,1.89,3,13,16,11,8,11,19,9,preferentially non-human,1.94,0.83,17,6,2.19,1.17,16,6,3.88,1.22,17,6,3.62,0.77,13,6,3.38,0.65,13,4,3.2,1.62,10,6
convaincu,convinced,überzeugt,PPADJ,9,3,3.82,8.18,20,0,20,0,1,19,20,0,uniquely human,2.9,1.71,20,1,5.75,1.52,20,1,4.32,1.45,19,0,4.25,1.52,20,0,4.75,0.85,20,0,2.9,1.65,20,0
convexe,convex,konvex,ADJ,7,2,0.07,0.54,1,19,20,1,20,0,20,0,uniquely non-human,3.5,1.82,20,0,3.55,1.79,20,0,3.35,1.5,20,2,5.7,1.22,20,1,3.68,0.58,19,3,5.55,1.73,20,1
corné,horny,hornig,ADJ/PPADJ,5,2,0,0.07,0,20,20,0,19,1,20,1,uniquely non-human,3.6,1.76,20,0,3.5,1.82,20,1,4.11,1.37,19,6,5,1,19,1,3.81,0.4,16,4,5.56,1.54,18,2
corpulent,corpulent,beleibt,ADJ,9,3,0.66,1.08,18,2,20,0,7,13,20,1,preferentially human,4.8,1.74,20,0,4.85,1.69,20,0,4.3,1.38,20,0,5.4,1.1,20,0,3,0.97,20,1,6.05,0.91,19,0
corrompu,corrupt,korrupt,PPADJ,8,3,1.53,0.61,20,0,20,0,5,15,20,2,preferentially human,2.8,1.44,20,2,4.85,2.01,20,0,5.16,0.9,19,0,4.4,1.5,20,0,1.47,0.51,19,1,2,1.53,19,1
corrosif,corrosive,ätzend,ADJ,8,3,0.17,0.61,3,17,20,0,20,0,20,0,preferentially non-human,4.11,1.29,19,0,3.55,1.96,20,0,5.3,1.34,20,0,4.85,1.46,20,1,2.1,0.97,20,0,3.35,1.69,20,1
costaud,hefty,robust,ADJ,7,2,5.84,5.27,20,0,20,0,12,8,20,1,preferentially human,3.8,1.85,20,0,5.5,1.82,20,0,4.4,1.19,20,0,5.55,0.89,20,0,4.85,0.99,20,0,5.75,1.16,20,0
