word_chinese_simplified,concrete_mean,concrete_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,typicality_mean,typicality_sd,valence_mean,valence_sd
缠绵,4.6071,1.6407,3.3929,1.4991,5.7931,1.7804,3.6897,1.9292,0.4667,0.8604
阐述,3.8214,1.9636,1.7857,1.3432,6.6552,0.7209,1.4483,0.9482,0.4333,0.8172
颤抖,2.8148,1.6417,4.5,1.8156,6.6786,0.863,3.931,1.8113,-0.9,0.8449
猖狂,4.6667,1.5191,5.3214,1.5167,6,1.6777,4.6897,1.7547,-1.8333,1.0199
常理,4.7037,1.8148,1.6071,0.8751,6.1071,1.4742,1.8621,1.5974,0.5,0.7768
场面,3.4643,1.8152,1.7143,1.2724,6.8621,0.3509,1.2414,0.6895,0.0667,0.9072
畅快,4.5714,1.5499,5,1.6997,6.1724,1.2555,5.2069,1.7804,1.9667,0.8503
倡导,4.5714,1.4254,2.5714,1.709,6.3793,1.3473,2.7586,1.7249,1.2,0.8867
嘲讽,4.0741,1.859,5.7143,1.2724,6.2143,1.5719,5.8276,0.9662,-2,0.6948
嘲弄,4.037,1.8704,4.5357,1.7317,6.5357,0.7445,4.8966,1.6764,-1.7333,0.6397
嘲笑,3.3704,1.7353,5.3214,1.5167,6.6429,1.0261,5.5172,1.1838,-1.7,0.8769
潮流,4.3571,1.6378,2.4643,1.6884,6.7931,0.675,2.2414,1.2437,0.6667,0.8841
吵架,2.1786,1.3348,4.8571,1.919,6.7931,0.675,4.2414,1.8642,-1.3,1.1492
车祸,1.7407,1.1298,4.75,2.3034,6.4286,1.3724,3.5172,1.7652,-2.0333,1.2726
沉静,3.8889,1.7614,3.2143,1.9504,6.6786,1.188,4.3793,1.8976,1.1,1.2415
沉湎,4.9643,1.5982,3.7857,1.729,5.2069,2.042,3.6552,2.1091,-0.7667,0.9353
沉默,3.8889,1.7394,2.8214,2.0558,6.4643,0.9993,3.6897,1.9106,-0.2333,0.9353
沉痛,4.7407,1.6312,5.8571,1.4584,6.1429,1.7152,6.6552,0.6139,-2.2333,0.9714
沉醉,4.3704,1.5479,3.3214,1.6789,6.3214,1.3068,4.3103,1.8536,0.1,1.4468
称心,4.6667,1.3868,3.2143,1.833,6.1071,1.3427,5,1.9272,1.9333,0.8277
称赞,3.8519,1.703,5.1429,1.6934,6.75,0.5182,5.5172,1.5497,2.4,0.724
成功,4.1111,2.0631,4.6071,2.0788,7,0,4.2414,2.1656,2.5667,0.5683
成就,3.3704,1.7791,3.5357,1.8754,6.7857,0.7868,3.2759,1.9438,2.2667,1.1427
成亲,2.3333,1.5442,3.0357,2.0813,6.2143,1.5482,2.6897,1.9106,1.2333,0.9353
成全,4.6071,1.4742,2.5714,1.597,6.6552,0.9364,2.3793,1.3736,1.2333,1.0063
诚恳,4.25,1.7559,4,1.6102,6.6897,1.0037,5.4138,1.452,1.9333,1.0148
诚实,4.037,1.6286,3.7857,1.9314,6.9286,0.2623,4.4138,1.8996,2.0667,0.9803
诚心,4.5714,1.5499,3.2143,1.8531,6.5517,1.0207,4.3793,1.8787,1.9333,1.0148
诚意,4.4815,1.5031,3.7857,1.6856,6.8214,0.4756,4.3793,1.8596,1.7333,0.9072
承担,4.4444,1.396,2,1.4907,6.75,0.5853,2.1724,1.2837,0.8,0.9248
城市,1.2963,1.1706,2.0357,1.6439,6.8929,0.5669,1.3103,0.8495,0.4667,0.9371
吃惊,3.963,1.8289,5.6071,1.37,6.6429,1.1616,5.7931,1.6771,0.0667,1.2299
迟缓,3.9259,1.6624,2.9643,1.6439,6.5357,1.2615,2.6552,1.5417,-1.1,0.8847
迟疑,4.037,1.8289,3.8929,1.7499,6.6071,1.1001,4.1379,2.1167,-1.1333,0.6288
耻辱,3.9259,1.7958,5.25,1.8979,6.5357,1.0357,5.2759,1.8879,-2.4,0.6747
翅膀,1.9259,1.6624,1.8929,1.6852,6.75,1.0046,1.2414,0.9508,0.7,1.1188
冲锋,3.1111,1.4763,4.2143,2.0066,6.2857,1.6297,2.2759,1.556,0.6,1.07
冲突,3.5926,1.803,4.2857,1.6746,6.6786,0.863,3.8276,1.7742,-1.2667,1.0148
充分,4.8929,1.3968,1.8929,1.1655,6.7586,0.8305,1.9655,1.5694,1.3333,0.7581
