word_chinese_simplified,concrete_mean,concrete_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,typicality_mean,typicality_sd,valence_mean,valence_sd
干燥,2.7037,1.6828,1.8929,1.3968,6.7857,0.6862,1.3448,0.7689,0,0.871
钢琴,1.2963,0.8689,1.7143,1.1819,7,0,1.2759,0.5914,0.7333,1.0483
高度,3.2593,1.9134,2.0357,1.5982,7,0,1.8621,1.5521,0.5333,0.8604
高贵,4.5185,1.7622,2.9286,1.5618,6.4643,1.3739,3.7931,1.8781,2.0333,1.129
高尚,5.1111,1.6013,3.1429,1.9947,6.4286,1.3992,4.4138,1.9368,2.0667,1.3113
高效,4.5714,1.6427,3.2143,1.6183,6.931,0.2579,2.7241,1.8879,1.7667,1.3566
高雅,4.4074,1.6234,3.1071,1.8726,6.3929,1.2573,3.8966,2.0589,2.2667,0.7849
告辞,3.1852,1.665,2,1.1547,6.25,1.1426,2.069,1.361,-0.1,0.8847
歌剧,1.8889,1.45,2.1786,1.5409,6.6429,0.9114,1.5862,1.2682,0.4333,0.8976
隔离,2.8519,1.6339,2.3929,1.931,6.5,1,2.2069,1.4971,-0.8,0.9613
哽咽,3.2593,1.7452,4.3929,1.7917,6.2857,1.5601,5.1034,1.6976,-1.2,1.0306
更新,3.7778,1.8467,2.4643,1.7101,6.7857,0.4987,1.5172,0.9111,0.8333,1.1769
公园,1.1111,0.3203,1.8571,1.2387,7,0,1.4138,0.9826,0.5333,0.8193
攻击,3.2963,1.8148,4.1786,2.144,6.6071,1.0659,3.4483,1.9926,-1.4333,1.0726
攻占,3.7857,1.729,4.1786,2.001,6.6897,0.7608,2.7931,1.9708,-0.8,1.2429
恭敬,4.2963,1.6365,3.6786,1.8268,6.4643,1.2013,4.6552,1.7377,1.7,0.8769
恭维,4.2593,1.5088,3.5714,1.4764,6.0357,1.3467,4.6207,1.6128,-0.3333,1.3979
巩固,4.2963,1.7055,2,1.3053,6.3929,1.2864,2.0345,1.3224,1.2333,1.04
贡献,4.0357,1.7101,3.5357,2.0813,7,0,2.8276,1.6705,1.7667,0.9714
孤单,4.3214,1.9636,3.8929,2.0246,6.7931,0.675,4.8966,2.1438,-1.2333,1.3047
孤独,4.5357,1.7947,4.1786,2.001,6.7931,0.6199,5.6897,1.2846,-1.3333,1.0613
孤立,4,1.9052,4.0357,1.9145,6.6207,1.1153,3.7931,1.8201,-1.4,1.1017
姑娘,1.5357,1.1049,1.5714,0.8357,6.931,0.3714,1.6552,1.4706,0.7667,1.04
古典,4.0357,1.7101,1.4643,0.6929,6.3103,1.2846,1.6207,1.0828,0.7667,0.9353
鼓励,3.8519,1.5616,5.1786,1.3892,6.7857,0.4987,5.2069,1.4731,2.2667,0.9072
鼓掌,2.3929,1.4489,4.3214,1.8268,6.8276,0.5391,4.2414,1.8255,1.4667,0.9371
固执,4.4286,1.6651,4.3214,1.8669,6.7931,0.4913,4.4828,2.0809,-1.3667,1.0334
故障,3.0714,1.8243,3.3571,2.181,6.6552,0.7689,2.3103,1.6059,-1.4667,0.8193
关怀,4,1.6871,3.0714,1.7832,6.6786,0.9449,4.7586,1.7249,1.6667,0.7112
关键,4.2963,1.7719,2,1.4907,6.7857,0.6299,1.8621,1.4571,0.4,0.8137
关心,3.7778,1.6718,3.3929,1.6407,6.7857,0.8325,4.5172,1.9571,1.8667,0.6814
关注,3.3333,1.6172,2.2143,1.729,6.7143,0.7629,2.069,1.4864,0.6,0.9322
观测,3.1786,1.9447,1.8571,1.2084,6.3448,1.1109,1.4138,1.0528,0.3,0.596
观光,2.8571,1.6714,2.0714,1.4639,6.5517,1.0207,1.9655,1.4756,0.7,0.8367
观望,3.3214,1.9062,1.5357,1.0357,6.4828,1.1838,1.7586,1.3271,0.3,0.7944
官员,1.5714,1.0338,1.5714,0.9595,6.4828,1.5029,1.1724,0.4682,0.2333,0.8172
棺材,1.2222,0.8006,3.2143,2.3151,6.2143,1.8926,3.0345,1.88,-1.7333,1.1427
光滑,3.4074,1.8451,1.6071,0.8751,6.5714,1.0338,1.931,1.4125,0.8,0.9613
光明,4.3333,1.8605,3.3214,1.765,6.9286,0.2623,3.3103,2.0547,1.8333,1.2341
光荣,4.3333,1.8811,4.5714,1.7936,6.7143,0.7127,4.8621,1.7055,2.2667,0.7849
光线,2.3333,1.7759,2.3214,1.7438,6.8929,0.315,1.6207,1.1469,0.5,0.861
规则,3.4286,2.0981,1.6071,0.8751,6.8966,0.4093,1.3103,0.7608,0.2667,0.8683
瑰丽,4.3704,1.7791,3.1429,1.7366,5.1071,1.8527,3.6552,1.8181,2.0333,1.2452
诡计,4.1481,1.5368,4.0714,1.7623,6.5714,0.7902,3.931,1.7714,-1.7667,0.9714
贵族,2.4815,1.9488,2.1429,1.353,6.6071,0.8317,1.8276,1.2268,0.7667,1.2507
国歌,1.5357,1.0357,2.4286,1.9894,6.7931,0.7736,1.8621,1.5521,1.0667,1.2299
国家,2,1.5933,2,1.6555,6.8571,0.5909,1.6552,1.1734,1.1,1.1552
国旗,1.4286,1.2889,2.4643,1.9338,7,0,2.1724,1.853,1.0667,1.2576
国王,1.4074,1.0834,1.9643,1.1701,6.7143,1.0131,1.6207,1.2932,0.3667,0.9279
过瘾,4.4074,1.4212,4.3929,1.9501,6.3571,1.4711,4.2414,1.8642,0.4333,1.2507
海洋,1.7857,1.3973,2,1.5635,6.7931,1.1142,1.2759,0.7019,0.6,1.0034
害羞,3.8889,1.8879,3.2857,1.6069,6.9286,0.2623,5.1724,1.8721,0.0667,1.2015
含蓄,4.4074,1.6469,2.3929,1.1333,6.6071,1.2274,3.5862,2.0962,0.3333,1.0613
寒酸,3.6667,1.4412,4.3929,1.7071,6.6071,0.7373,4.2069,1.7399,-1.5,1.2247
捍卫,3.5926,1.5002,3.75,1.993,5.9286,1.8039,2.931,1.8113,0.9333,1.3629
豪放,4.6667,1.3587,4.7143,1.6069,6.3214,1.2781,4.4138,1.6801,1.5,0.861
豪迈,4.3214,1.6789,4.3929,1.8726,6.4483,1.3252,4.4483,1.9009,1.8333,0.7466
好处,3.7857,1.729,2.7857,1.7503,6.8966,0.3099,2.6207,1.8596,1.7333,0.9803
好感,4.6296,1.5479,3.6786,1.9255,6.6786,0.863,4.8621,1.9406,2.0333,0.6687
好奇,4.0714,1.7832,3.6429,1.6603,6.8966,0.4093,4.7586,1.8642,0.7667,0.9714
合格,4,1.7847,1.9643,1.3189,6.8276,0.4682,2.3103,1.5835,0.9333,0.8683
合理,4.2963,1.7719,2.0357,1.4268,6.7857,0.6862,2.3793,1.7406,1.2667,0.9803
合体,3.5926,1.5257,1.6786,1.1239,6.4643,1.3189,1.3103,0.6603,0.2667,0.7397
和缓,4.2143,1.6856,2.4286,1.3992,5.9655,1.5232,2.8621,1.4814,0.8667,0.8996
和解,4,1.633,2.4286,1.4764,6.6207,1.0493,3.2414,1.7041,1.1,1.0289
河流,1.963,1.6752,1.6071,1.3149,7,0,1.4138,1.2961,0.4333,0.8172
黑暗,2.9259,2.0177,4.1429,2.0676,6.8929,0.4163,3.7586,2.1656,-1.8,0.8867
轰动,4.1852,1.5941,4.6786,1.8064,6.3571,1.4457,3.3793,1.7811,0.3333,0.9223
轰炸,2.8889,1.6718,4.9286,2.0715,6.6071,0.786,3.2069,1.897,-1.5667,1.1943
宏观,4.6786,1.7008,3,1.9626,6.6207,0.82,2.2759,1.5329,1.2,1.0635
宏伟,4.7143,1.5119,4.3929,1.931,6.5862,0.9456,3.5172,1.7034,1.8,1.2704
厚重,4.4815,1.578,2.6071,1.5949,6.4643,0.9993,2.6207,1.5905,0.6,1.1017
呼喊,2.3704,1.8428,2.7857,1.8531,6.6429,0.8262,2.4828,2.1317,-0.2,0.8052
呼吸,2.1111,1.7831,1.6071,1.2864,6.7143,0.81,1.2069,0.4913,0.6,1.0034
呼吁,3.6071,1.7917,3.2143,1.9314,6.6207,0.8625,2.7586,1.64,0.4333,1.2229
忽视,3.8214,1.7858,3.75,2.1365,6.7931,0.6199,3.5172,1.7242,-1.1667,1.1167
蝴蝶,1.1429,0.4484,1.5357,0.8381,6.931,0.2579,1.7931,1.2643,0.9,0.9948
糊弄,3.8519,1.8335,3.25,1.6694,6.2857,1.5601,3.3793,1.6128,-1.3333,0.9942
互动,2.3333,1.3009,2.3214,1.4156,6.8571,0.4484,1.931,1.4375,0.7,0.8367
护照,1.6071,1.2573,1.4286,0.7902,6.7931,0.7736,1.3103,0.9298,0.1667,0.7466
花朵,1.1481,0.362,2.1786,1.3068,6.9643,0.189,2.8621,1.9035,1.4,1.1017
化装,3.1429,1.7152,1.7143,1.2724,6.1034,1.4963,1.5862,1.1807,0.1333,0.7303
话语,2.5926,1.7815,1.7857,1.2578,6.5357,0.9616,1.4138,1.1186,0.4,0.8137
欢畅,4.3214,1.6567,4.8214,1.6789,6.4138,1.1501,5.6897,1.4664,1.8667,1.1958
欢呼,2.8889,1.6251,5.6429,1.5685,6.6429,0.731,5.6897,1.2846,2.3,0.7944
欢快,3.7407,1.9921,5.25,1.7132,6.8929,0.4163,6.3793,1.0147,2.5,0.6823
欢乐,4.2963,1.9771,5.25,1.6245,6.9286,0.2623,5.7586,1.5505,2.3333,0.6609
欢喜,3.5926,1.8864,5.0357,2.2687,6.8214,0.39,6.4138,1.0183,2.4333,0.6789
欢欣,4.1111,1.7614,4.6786,2.001,6.3571,0.9894,6.1724,1.1042,2.5,0.7768
欢愉,4.1852,1.7982,5,1.8856,6.4643,1.1049,6.2414,1.3537,2.4333,1.04
缓解,4.1852,1.7105,2.6071,1.6631,6.7857,0.6299,3.069,1.8113,0.8,0.9248
荒诞,4.9643,1.4268,4.7143,1.4872,6.4138,0.9826,4.1379,1.9035,-1.5,0.9738
荒凉,3.7778,2.0255,3.6786,2.0737,6.5357,1.0357,4,1.8127,-1.5333,0.8604
荒谬,4.6296,1.5968,4.5714,1.7305,6.5,0.923,4.3103,1.7547,-1.7,0.7022
荒唐,4.9286,1.5618,5.0357,1.4525,6.4483,1.1208,4.1379,1.8656,-1.4667,0.6814
慌忙,4.3571,1.7473,4.7857,1.7713,6.6897,0.8495,4.3793,1.8976,-1.1,1.0619
惶恐,4.4815,1.5285,5.6429,1.5685,6.25,1.4561,6.3448,1.2328,-1.8333,0.6989
辉煌,4.3333,1.7759,3.8929,1.9117,6.6429,1.0616,4.2069,1.8781,2.2333,0.7739
回复,2.4074,1.3376,2.1071,1.6179,6.8571,0.4484,1.4828,0.9495,0.3,0.535
回眸,2.6786,1.5882,2.3929,1.4991,6.1034,1.6332,1.8276,1.2837,0.6333,0.9643
回应,2.9259,1.708,1.4286,0.7902,6.3929,1.2573,1.8621,1.3555,0.5,1.0748
毁灭,3.8148,2.0198,4.5,2.0638,6.6071,1.3427,3.8966,1.8583,-2.3667,0.7184
会谈,2.6296,1.8841,1.5357,0.7927,5.4643,1.5026,1.7586,1.2999,0.2333,0.5683
贿赂,2.7778,1.6486,4.1786,1.9255,6.2857,1.3012,3.5172,1.8636,-2,1.0505
晦气,4.5926,1.5002,4.8929,1.8326,5.8929,1.7917,5.1034,1.6764,-2.1667,0.8743
晦涩,4.8929,1.2274,3.7857,1.4493,5.6207,1.6565,4.0345,1.9727,-1.2667,0.7849
昏暗,3.2857,1.863,3.6071,1.6852,6.5862,0.9826,3.2069,1.6983,-1.2667,0.8277
昏迷,3.3214,1.9447,3.6071,1.931,6.5172,1.3528,2.9655,2.0263,-1.1,1.269
浑浊,3.6071,1.8527,3.3214,1.8669,6.2414,1.4307,2.3448,1.5647,-1.4667,0.8996
混乱,4.0357,1.7101,4.0714,1.9613,6.8276,0.4682,3.3448,1.7377,-1.6,0.7701
混浊,4.2143,1.8729,3.25,1.7769,6.3103,1.3391,2.7241,1.6668,-1.4,1.1326
活泼,3.9643,1.9338,4.25,1.6915,6.8621,0.4411,4.6207,1.761,1.8333,1.1167
火灾,1.5556,0.8006,3.8214,2.4045,6.9643,0.189,2.931,1.7714,-1.9333,1.2847
货币,1.8148,1.2721,1.9286,1.4639,6.5357,1.1049,1.3793,1.1153,0.6667,0.8841
讥讽,4.4444,1.6946,5.3571,1.496,5.6071,1.6179,5.7586,1.2999,-1.8333,1.2058
击败,3.4444,2.0064,4.5,1.9341,6.8929,0.4163,4.0345,1.8221,0.2333,1.6955
机智,3.9286,1.7412,3.5357,1.6884,6.6207,0.82,3.4138,2.0619,1.8667,0.8996
积极,4.2222,1.8257,4.1786,1.9447,6.75,0.5853,5.2069,1.8004,2.3667,0.7649
基础,4.1429,1.8996,1.3214,0.7228,6.7931,0.4913,1.1724,0.6017,0.4667,0.8193
及时,4.1852,1.7105,2.2143,1.4235,6.8571,0.4484,2.3448,1.7171,1.2,0.9965
即兴,3.7407,1.7005,2.0357,1.1701,5.7857,1.7921,1.931,1.387,0.3333,0.6609
急切,4.1481,1.8124,4.9286,1.8645,6.5357,1.138,5.2069,1.7399,-0.1667,1.2617
疾病,2.2963,1.6365,3.8929,2.0429,6.8571,0.4484,3.3103,1.7135,-1.7333,0.8277
嫉妒,4.037,1.8498000000000001,5.3214,1.8669,6.75,0.7005,5.5172,1.5029,-1.9667,0.7184
加强,4.0741,1.5915,2.75,1.6915,6.8571,0.4484,2.1034,1.6112,1.1,0.9595
嘉宾,1.8889,1.45,2,1.4142,6.4286,1.3174,1.4483,0.9097,0.5,1.0086
假冒,3.8519,1.6572,3.7857,1.6411,6.3214,1.2781,3.6552,1.5874,-1.6667,0.8023
假装,4.3333,1.3868,2.9286,1.5853,6.7857,0.4987,2.6207,1.8208,-0.8333,0.8339
尖刻,4.5185,1.8053,4.5,1.7533,5.8214,1.765,3.9655,2.0439,-1.4,1.2758
坚持,4.4444,1.7172,3.0714,1.8243,6.9286,0.2623,3.2414,2.0469,1.6,0.9322
坚定,4.5,1.5753,3.5714,1.6427,6.7241,0.7019,4.3103,1.8147,1.5333,1.1958
坚决,4.5926,1.8864,3.2143,2.1145,6.6071,0.994,3.931,1.9073,1.1,1.269
坚强,4.5556,1.45,4.0714,2.0893,6.7857,0.5681,4.6207,1.4739,2.2667,0.8277
坚硬,2.5926,1.6234,3.1786,1.8268,6.8214,0.39,2.4138,1.5702,0.5667,0.9353
艰巨,4.4444,1.6486,4.5357,1.6884,6.6429,0.8698,3.8966,2.0239,-1.1,0.9948
艰苦,3.8519,1.6572,4.3929,1.4489,6.7143,0.7629,4.931,1.5102,-1.6333,0.7649
减肥,3.0357,1.8152,2.75,2.0839,6.7241,0.8408,2.1724,1.6705,0.1,0.8847
见证,3.5185,1.8886,2.1429,1.5567,6.3571,1.2237,1.7241,1.1306,0.7333,0.9072
讲述,2.4444,1.6251,1.5714,1.2599,6.3571,0.9512,1.4138,0.8667,0.1333,0.4342
奖金,1.5185,1.1222,3.7857,2.0432,6.7143,1.1501,3.2414,1.7249,1.9667,1.0662
奖励,2.8148,1.7767,4.3214,1.9255,6.8214,0.548,4.2759,1.7504,1.7,1.442
奖赏,2.7037,1.7719,4.1071,1.969,6.75,1.0046,4.5172,1.9202,2.1333,0.9732
降临,3.8519,1.8544,2.1786,1.4156,5.8929,1.8726,1.8621,1.2457,0.1,0.8449
降落,3.1111,1.6946,2.4286,1.7305,6.6429,1.0261,1.3793,0.9029,0,0.5872
交流,2.963,1.6521,1.7143,1.1819,6.7143,1.1501,1.9655,1.6579,0.7667,0.8584
娇嫩,3.5714,1.7305,2.6071,1.37,6.3103,1.4168,2.8966,1.7997,1.1667,0.6989
娇小,3.2222,1.9081,2,1.2472,6.4286,1.3724,2.4483,1.378,0.1,0.9595
骄傲,4.2593,1.6075,4.6429,1.5685,6.8571,0.5909,5.2069,1.8396,0.9,1.2134
焦虑,4.5185,1.7403,5.5,1.5753,6.5714,1.1684,6.069,1.4375,-1.8,1.1265
狡猾,4.4444,1.6486,4.3929,1.9117,6.3214,1.3348,5.1034,1.3976,-1.7,0.7944
狡黠,4.2593,2.0679,4.3929,1.6631,5.2143,2.025,4.5517,1.7026,-0.8667,1.5916
教授,2.037,1.4272,2.2857,1.8024,6.8571,0.4484,1.3793,0.9788,0.8333,1.0854
接待,3.0741,1.6624,2.25,1.6245,6.5,1,1.8621,1.274,0.8,0.8052
接纳,3.5,1.5275,2.3214,1.467,6.5172,1.0563,2.6207,1.5449,1.2333,0.9353
节俭,3.75,1.7976,2.6429,1.3666,6.7241,0.7972,2.7931,1.6557,0.9,1.2134
节奏,3.037,1.5562,1.9286,1.4123000000000001,6.4286,1.2889,1.5517,1.298,0.3667,0.7649
杰出,4.5926,1.5002,3.3929,2.0609,6.75,0.6455,4.1034,1.7596,2.6,0.5632
洁白,3.037,1.8704,2.3214,1.467,6.75,0.7005,2.8966,1.7391,1.2333,0.8976
结论,4.0741,2.1826,1.4643,1.2317,6.7143,0.5998,1.3103,0.8064,0.2333,0.7279
解除,3.963,1.6286,2.3214,1.4156,6.4643,1.3467,2.0345,1.149,0,0.871
解脱,4.4815,1.397,3.8571,1.7788,6.6429,0.9894,3.4138,1.8423,1.0667,1.2299
界限,3.5926,1.803,1.7857,1.3973,6.3571,1.2536,1.8621,1.4072,-0.0667,0.7397
金融,3.2857,1.9599,1.8929,1.1969,6.3793,1.4739,1.2069,0.6199,0.2,0.6103
紧张,4.1111,1.9677,4.4286,1.9707,6.9286,0.2623,5.931,1.6889,-0.8667,1.008
进程,3.1111,1.6718,1.5357,0.8812,6.5,1.0715,1.3448,1.0098,0.1,0.8847
进攻,3.2963,1.8148,4.2857,2.0522,6.5714,1.1362,2.6207,1.8403,0.2333,1.3566
近期,3.5926,1.9267,1.3929,0.8751,6.8571,0.4484,1.2069,0.6199,0.1667,0.4611
晋升,3.3333,1.5689,3.8571,1.8199,6.4286,1.0338,3.5862,1.7631,1.6333,1.129
禁止,3.2857,1.7397,3.8929,2.2499,6.7241,0.7972,2.931,1.9988,-1.2,1.0306
经验,4.8148,1.5451,1.8571,1.3254,6.75,0.967,1.4138,0.8667,0.8333,0.9855
惊愕,4.4444,1.8879,5.3571,1.9286,5.8929,1.4991,6.3793,0.8625,-1.0667,1.1427
惊骇,4.3571,1.8898,5.4286,1.4764,5.5517,1.6815,5.1724,1.9099,-1.2,1.3235
惊慌,4,1.9215,5.6071,1.5715,6.8571,0.4484,6.3793,0.9416,-1.5333,1.008
惊惶,4.6296,1.3629,5.6071,1.5949,6,1.6777,6.2069,1.0816,-1.5667,1.1043
惊恐,4.2963,2.1629,5.4643,1.9145,6.75,0.7005,6.2414,1.2146,-1.6333,0.9279
惊吓,4.1111,1.7172,5.5357,1.6439,6.75,0.6455,5.3448,2.0049,-1.7667,1.1043
精彩,4.2222,2.0631,3.9286,1.9613,6.75,0.6455,4.4483,1.8045,2.3,0.7497
精干,4.3571,1.5685,3.5,1.7321,5.8621,1.5974,2.9655,1.8221,1.4,0.8944
精力,4.2593,1.7887,2.2143,1.5719,6.7857,0.4987,2,1.5811,1.1,1.0619
精神,5.1429,1.5567,2.25,1.5062,6.7241,0.649,2.2069,1.5208,0.5333,0.8193
精致,3.7037,1.7055,2.6429,1.5206,6.5,1.0715,3.6897,1.9106,1.8667,0.8604
景区,1.6667,0.9199,1.7857,1.4235,6.75,0.928,1.3103,0.7123,0.4333,0.7279
警官,1.7778,1.3681,2.4643,1.7101,6.7857,0.5681,1.6207,1.1776,0.7333,1.1121
警卫,1.6786,1.3623,1.8571,1.2683,6.8276,0.5391,1.6552,1.3168,0.3,0.8367
敬佩,3.7778,1.6718,4.1429,1.9382,6.75,0.6455,5.8621,1.1565,1.9,1.0619
敬意,4.4074,1.5257,4.1071,1.6852,6.7143,0.7629,5.5862,1.3501,2,0.6948
敬重,4.1481,1.4859,3.8214,1.9062,6.5,1,4.4828,1.9387,2.0333,0.7649
境界,4.7407,2.0114,2.3571,1.7043,6.2857,1.3569,1.6207,1.0493,0.4667,1.1059
窘迫,4.4074,1.7155,4.5714,1.7518,6.1786,1.2488,4.7931,1.9157,-1.8333,0.6989
纠缠,4.2143,1.5719,4.0357,1.9338,6.6897,0.7608,2.8621,1.7264,-0.7667,1.1043
救援,3.1852,1.6417,3.3929,2.0788,6.8214,0.4756,2.3448,1.5874,0.8333,1.2617
拘谨,4.2857,1.7182,3.3214,1.6567,6.3103,1.3121,4,1.7928,-0.2333,1.4065
沮丧,4.1111,1.7394,5.3929,1.7499,6.75,0.5853,6.5172,1.2136,-1.9333,0.6915
举报,3.037,1.7205,3.5714,2.1331,6.5714,1.4511,2.931,1.8695,-1.0333,0.9279
拒绝,3.3929,1.6631,3.6786,1.9255,6.8966,0.3099,4.069,2.1202,-1.2333,1.1351
具备,4.0741,1.6391,1.6429,0.9114,6.25,1.3229,1.3448,0.6139,0.3667,0.9279
剧烈,4.2963,1.8773,4.6071,2.0609,6.8214,0.4756,3.2414,2.0293,-0.0667,0.9072
觉醒,4.7407,1.8521,3.7143,1.863,6.1786,1.4156,2.6897,1.5377,1.3333,0.8841
绝望,4.3704,2.0782,5.7857,1.3432,6.8571,0.4484,6.2759,1.5094,-2.5333,0.8193
崛起,4.1071,1.8923,4.3571,1.9477,6.4828,1.2136,3.3793,2.2267,1.3333,1.3979
军队,1.5,1.1386,2,1.4907,6.9655,0.1857,1.3793,1.0147,0.3667,0.8503
军官,1.2222,0.4237,1.8929,1.5236,6.3929,1.2864,1.3793,0.7752,0.4333,1.1043
军事,2.2857,1.6069,1.7143,1.3294,6.6207,0.9416,1.4483,0.9097,0.1,0.8449
俊秀,3.9259,1.5172,3.2143,1.6856,5.0357,1.4525,4,1.5811,2.0667,0.7849
竣工,2.5556,1.6013,2.5,1.8359,6,1.587,1.931,1.4375,0.6667,1.2411
坎坷,4.8929,1.5477,4.5357,1.8754,6.5172,0.9864,3.6552,1.9138,-1.6333,1.0334
亢奋,4.5556,1.7394,5.5357,1.7529,6.6429,0.5587,6.4483,0.9097,1.2,1.3493
考察,3.6071,1.8527,2.0714,1.4889,6.4828,1.1838,1.3448,1.0098,0.4333,0.8172
苛刻,3.6667,1.5933,4.5714,1.6872,6.1071,1.6631,4,2.0354,-1.5333,0.7303
科学,3.6786,2.1952,2,1.3878,6.8966,0.3099,1.7586,1.3537,0.9,1.0939
科研,3,1.7541,1.9643,1.4006,6.6429,0.731,1.3793,0.9029,0.6,1.3025
刻薄,4.2963,1.7501,4.8929,1.6852,6.3214,1.2188,4.7931,1.6983,-2.1,0.803
刻苦,3.9286,1.8039,4.0357,1.6663,6.6897,0.8064,3.4138,1.7631,1.1,1.1847
客人,1.8519,1.3785,1.5357,0.8381,6.7857,1.1339,1.5862,1.2961,0.2333,0.6261
空军,1.3333,0.8321,1.5,0.7935,6.5,1.3744,1.4138,1.0862,0.6333,1.0334
恐惧,4.3704,1.8636,5.5,1.7321,6.75,0.7005,6.2759,1.5094,-2.0667,1.2299
恐吓,3.7037,1.6828,5.25,1.8979,6.7143,0.7127,5.0345,1.8416,-2.1667,0.7915
控制,3.9259,1.8999,2.4643,1.7101,6.9286,0.378,1.9655,1.3491,-0.4333,1.1651
扣除,3.4074,1.7378,2.9643,1.7529,6.5357,1.0357,2.5517,1.8045,-1.3,0.6513
枯萎,3.4074,1.8242,4.0714,1.8445,6.5,1.262,3.1034,1.9336,-1.4667,0.7303
枯燥,3.8571,1.7366,3.75,1.8584,6.6552,0.9364,4.5517,1.8629,-1.2333,1.0726
苦闷,4.5926,1.6234,5.0357,1.5749,6.5714,0.9974,5.7586,2.0469,-1.7,1.1188
苦难,4.4643,1.8355,4.2857,1.9409,6.6897,0.6603,4.4138,1.9552,-1.9,1.0619
苦心,4.4815,1.3692,3.6429,1.7473,6.3214,1.6114,4.4138,1.524,-0.0333,1.3257
夸张,4.6296,1.5229,3.4643,2.1166,6.75,0.967,3.6552,1.9507,0.0667,0.9444
快活,4.2963,1.6128,4.75,1.4561,6.4643,1.138,5.7241,1.6013,2,0.8305
快乐,4.4815,1.8053,4.7143,2.0158,7,0,6.6897,0.8064,2.4333,0.7279
宽厚,4.5714,1.709,3.0357,1.7947,6.4483,0.9851,3.4828,1.9571,1.3,0.8769
款式,3.25,2.2048,1.7857,1.2869,6.6552,0.7209,1.2069,0.4913,0.1667,0.6477
狂欢,3.4643,1.8355,5,2.1602,6.4483,1.4289,5.2414,1.9022,1.8667,0.9371
狂喜,4.3333,1.7321,5.5357,1.9338,6.6786,0.7228,6.4828,1.0896,2.4,0.8137
狂笑,3.2963,1.7279,5.5714,1.7305,6.4643,1.2615,6.2759,0.9963,1.2,1.6484
困境,4.3571,1.496,4.3571,1.9093,6.7931,0.4913,3.3793,2.0601,-1.5667,1.0726
困扰,4.25,1.7976,4.2143,2.1319,6.7241,0.8408,4.9655,1.7624,-1.3667,0.9643
懒惰,3.4815,1.6726,4,1.6997,6.7857,0.7868,4.5862,1.9552,-1.5667,0.9714
懒散,4.1071,1.931,3.9643,1.6884,6.3448,1.1734,3.4138,2.0619,-1.0667,1.0148
浪荡,4.8214,1.4156,4.3571,1.5206,5.931,1.4375,4,1.7321,-1.3333,1.3476
浪费,3.3571,1.8502,3.25,2.0115,6.9655,0.1857,3,1.7113,-1.0333,1.0662
浪漫,4.4074,1.8451,3.6071,2.0063,6.7857,0.4987,4.2759,1.6453,1.8,0.8469
老鼠,1.3214,0.9449,2.2143,1.6411,6.7586,0.6895,1.6552,1.0782,-0.8,1.0306
乐观,4.3333,1.7974,4.2857,2.1057,6.8214,0.7724,5.7931,1.7399,2.3333,1.0613
乐趣,4.0357,1.9338,3.9286,1.8645,6.7586,0.6895,4.4138,1.615,1.8,0.9613
乐团,1.5,1.2019,1.7857,1.1974,6.3793,1.4739,1.7931,1.3985,0.5333,0.8604
累赘,3.6786,1.8268,4.1429,1.6036,6.2414,1.4055,3.6552,1.9324,-1.9333,0.6397
冷静,3.6667,1.8397,3.1786,1.8064,6.8571,0.4484,4.3103,1.8918,1.2667,1.2847
冷漠,4.4444,1.7172,4.5714,1.9135,6.4643,1.3467,5.7241,1.3065,-1.7333,1.0483
冷笑,2.8889,1.8046,4.7143,1.5362,6.6071,1.2274,5.1034,1.655,-1.3,1.0222
离奇,5.1852,1.52,4,1.8053,6.0357,1.7101,3.1379,1.5974,-0.9,0.803
礼服,1.6667,1.271,1.9286,1.1198,6.3571,1.496,1.7586,1.4307,0.5667,0.9353
礼仪,2.9259,1.8171,1.8929,1.1969,6.7143,0.7127,2.3448,1.6097,0.9333,1.2847
历史,3.0714,1.9038,1.5714,1.0338,7,0,1.2759,0.751,0.4,0.8137
利害,4,2.0569,2.2143,1.6183,6,1.7427,1.7931,1.5208,-0.1,0.9229
利益,3.7037,1.6598,2.6071,1.8527,6.9643,0.189,2.1379,1.6631,0.2,1.0635
连锁,3.9286,1.8645,1.75,1.0046,6.3793,1.3205,1.4138,0.8245,0.2667,0.8683
连续,4.25,2.048,1.6071,0.956,6.7931,0.6199,1.5172,1.3261,0.3667,0.8503
怜惜,4.3214,1.6342,3.7857,1.4747,6.3448,1.3437,4.8966,1.5663,0.2,1.2149
联欢,3.0357,1.7739,3.4286,1.9894,6.4828,1.0896,3.6897,1.7342,1.4,0.7701
联络,3.1111,1.5021,1.9286,1.3032,6.6786,0.863,1.4828,0.6877,0.2333,0.5683
廉价,3.5,1.9907,3.1071,1.8123,6.7931,0.4913,2.931,1.7714,-0.7,1.1188
廉洁,4.2143,1.7713,3.2143,1.6856,6.3448,1.5184,3.2069,1.7399,1.3333,1.47
脸色,2.7037,1.8773,2.0357,1.4006,6.6429,0.8698,2.3103,1.8147,-0.3,0.9879
良好,4.1852,1.5941,3.1786,1.7225,6.8571,0.3563,3.7586,1.5505,1.4667,1.306
粮食,1.5185,1.1887,2,1.2766,6.7143,0.8545,1.1724,0.6584,0.9333,0.9803
谅解,4.25,1.6915,3.1429,1.7788,6.5862,0.78,3.8621,1.6196,0.7667,0.9353
