cues,con,type,n_previous,needs_norming
dominoes,4.66,Old,49,No
donkey,5,Old,26,Yes
donut,4.93,Old,37,No
door,4.81,Old,29,Yes
doorbell,4.82,Old,35,No
doorframe,4.79,Old,27,Yes
doorknob,4.97,Old,26,Yes
doorknocker,4.7,Old,33,No
doorman,4.79,Old,27,Yes
doornail,4.9,Old,26,Yes
doorstep,5,Old,32,No
doorstop,4.82,Old,27,Yes
dorm,4.41,Old,29,Yes
dormitory,4.64,Old,28,Yes
douche,4.13,Old,28,Yes
dough,4.79,Old,30,No
doughnut,4.96,Old,27,Yes
dove,4.88,Old,27,Yes
drain,4.61,Old,34,No
drainpipe,4.86,Old,37,No
drapery,4.32,Old,25,Yes
drawers,4.96,Old,35,No
drawing,4.6,Old,32,No
drawstring,4.74,Old,25,Yes
dress,4.93,Old,25,Yes
dresser,4.96,Old,25,Yes
dressing,4.03,Old,38,No
dressmaker,4.64,Old,27,Yes
driftwood,4.88,Old,29,Yes
drill,4.4,Old,26,Yes
drink,4.76,Old,25,Yes
driver,4.71,Old,28,Yes
drone,3.93,Old,26,Yes
drug,4.48,Old,31,No
drugstore,4.82,Old,31,No
drum,4.96,Old,27,Yes
drumstick,4.96,Old,31,No
dryer,4.79,Old,30,No
drywall,4.7,Old,34,No
duck,4.86,Old,30,No
duckling,4.93,Old,27,Yes
duckweed,4.29,Old,26,Yes
ductwork,4.81,Old,26,Yes
dude,3.93,Old,37,No
duffel,4.12,Old,28,Yes
dumbbell,4.69,Old,34,No
dumbwaiter,4.55,Old,26,Yes
dumpling,4.65,Old,25,Yes
dust,4.4,Old,29,Yes
dustbin,4.54,Old,29,Yes
duster,4.64,Old,27,Yes
dwarf,4.45,Old,28,Yes
dwelling,4.14,Old,28,Yes
dye,4.58,Old,33,No
dynamite,4.68,Old,33,No
ear,5,Old,30,No
earmuff,4.85,Old,26,Yes
earphone,4.74,Old,33,No
earpiece,4.79,Old,39,No
earplug,4.82,Old,33,No
earplugs,4.9,Old,29,Yes
earring,4.96,Old,30,No
earth,4.8,Old,30,No
earthworm,4.89,Old,25,Yes
earwax,4.87,Old,30,No
easel,4.97,Old,31,No
eclair,4.75,Old,27,Yes
ecologist,3.68,Old,27,Yes
edibles,3.86,Old,35,No
editor,4.25,Old,28,Yes
educator,4,Old,26,Yes
eel,4.69,Old,32,No
egg,4.97,Old,30,No
eggbeater,4.89,Old,33,No
eggplant,4.97,Old,28,Yes
eggshell,4.77,Old,35,No
elbow,5,Old,31,No
electrician,4.21,Old,25,Yes
electrocardiogram,4.16,Old,33,No
electronics,4.37,Old,35,No
elephant,5,Old,43,No
elevator,4.79,Old,27,Yes
employee,4.1,Old,26,Yes
employer,3.81,Old,26,Yes
enamel,4.21,Old,29,Yes
encyclopedia,4.79,Old,38,No
enemy,2.83,Old,29,Yes
engine,4.86,Old,33,No
engineer,4.64,Old,28,Yes
entertainer,4.17,Old,27,Yes
entomologist,3.88,Old,26,Yes
entree,4.28,Old,30,No
envelope,4.93,Old,37,No
