cues,AFSS,BOI,Concrete,n_previous,needs_norming
bathroom,42,6,4.52,38,No
bathtub,33,6.565217391,4.92,28,Yes
baton,37,5.913043478,4.64,26,Yes
battery,22,4.8,4.67,27,Yes
battleship,38,4.36,4.81,30,No
bayonet,35,4.916666667,4.77,27,Yes
bazooka,28,5.041666667,4.66,29,Yes
beach,44,5.666666667,4.79,27,Yes
beachwear,25,6.304347826,4.64,27,Yes
bead,25,5.545454545,4.9,34,No
beagle,45,5.2,4.81,33,No
beaker,32,5.416666667,4.72,28,Yes
beanstalk,41,4.5,4.7,36,No
beard,34,5.565217391,4.96,33,No
beautician,36,4.608695652,4.69,30,No
bed,39,6.36,5,26,Yes
bedclothes,36,5.708333333,4.63,24,Yes
bedpost,30,5.346153846,4.79,26,Yes
bedroom,35,5.708333333,4.9,33,No
bedspread,50,6.08,4.85,39,No
beef,35,5.714285714,4.74,32,No
beefcake,34,4.458333333,3.9,34,No
beefsteak,32,5.227272727,4.76,27,Yes
beer,47,5.791666667,4.88,37,No
beet,40,5.32,4.8,33,No
beetle,24,5.166666667,4.83,26,Yes
beggar,26,4.28,4.59,27,Yes
bell,40,5.76,4.96,29,Yes
bellboy,28,4.8,4.39,29,Yes
bellflower,53,4.428571429,4.26,32,No
bellman,32,4.32,4.89,29,Yes
belly,38,5.846153846,4.8,32,No
belongings,35,5.173913043,3.88,29,Yes
belt,40,5.80952381,4.9,36,No
bench,34,6.166666667,4.87,29,Yes
beret,25,5.695652174,4.8,27,Yes
berry,39,5.523809524,4.93,36,No
beverage,51,6.208333333,4.6,34,No
bib,23,5.375,4.79,27,Yes
bible,43,5.826086957,4.61,38,No
bicep,37,5.666666667,4.67,34,No
bicycle,35,6.08,4.89,25,Yes
bifocals,32,5.875,4.64,52,No
bike,55,6.48,5,29,Yes
bill,35,5.111111111,4.68,27,Yes
billfold,19,5.444444444,4.71,31,No
billiards,25,4.925925926,4.61,31,No
bin,28,5.260869565,4.72,35,No
binoculars,42,6.16,5,37,No
biologist,25,4.48,3.96,30,No
bird,38,4.896551724,5,34,No
birdbath,27,4.916666667,4.96,27,Yes
birdseed,25,5.739130435,4.96,34,No
birthmark,22,4.333333333,4.35,28,Yes
biscuit,36,5.964285714,4.9,31,No
bistro,31,4.518518519,4.44,26,Yes
blackberry,36,5.416666667,4.97,34,No
blackboard,26,5.392857143,4.72,29,Yes
blackhead,24,4.739130435,4.71,46,No
blade,39,5.833333333,4.93,38,No
blanket,31,6.56,5,27,Yes
blazer,28,5.652173913,4.79,33,No
bleach,32,5.32,4.74,28,Yes
bleacher,43,5.083333333,4.14,36,No
blender,30,5.739130435,5,27,Yes
blindfold,37,5.125,4.57,33,No
blister,29,5.2,4.71,32,No
block,45,5.413793103,4.48,32,No
bloke,31,4.541666667,3.89,25,Yes
blood,41,5.32,4.86,31,No
bloodhound,44,4.833333333,4.76,36,No
bloomers,41,4.4,4.26,29,Yes
blouse,39,6.47826087,4.96,32,No
blower,24,4.48,4.07,28,Yes
blowgun,37,4.625,4.83,27,Yes
blowtorch,29,5.541666667,4.93,27,Yes
blueberry,34,6,4.96,29,Yes
bluefish,30,4.48,4.79,27,Yes
blueprint,28,4.833333333,4.77,25,Yes
boa,36,4.333333333,4.92,32,No
board,47,4.48,4.57,27,Yes
boardinghouse,25,4.565217391,4.5,26,Yes
boat,49,5.130434783,4.93,25,Yes
boathouse,46,4.52173913,4.78,33,No
boatman,32,4.76,4.73,27,Yes
bobsleigh,28,5.64,4.77,29,Yes
bodice,24,4.80952381,4.78,26,Yes
body,67,6.038461538,4.79,28,Yes
bodybuilder,31,4.958333333,4.43,30,No
bodyguard,28,4.72,4.75,27,Yes
bolt,34,4.925925926,4.67,33,No
bomb,39,4.384615385,4.84,28,Yes
bonbon,30,4.807692308,4.61,29,Yes
bondsman,33,4.416666667,3.79,29,Yes
bone,41,5.259259259,4.9,34,No
bong,20,5.6,4.27,29,Yes
bonnet,29,6.043478261,4.93,27,Yes
book,48,6.47826087,4.9,31,No
bookbinder,18,4.75,4.93,26,Yes
bookcase,18,5.56,4.93,29,Yes
bookend,22,5.291666667,4.32,28,Yes
bookkeeper,45,4.458333333,4.64,28,Yes
booklet,34,5.5,4.72,27,Yes
bookmark,33,5.857142857,4.9,27,Yes
bookmarker,28,4.576923077,4.62,29,Yes
bookseller,22,5,4.43,28,Yes
bookshelf,32,5.727272727,4.93,27,Yes
boomerang,28,5.666666667,4.7,27,Yes
boot,31,6.555555556,4.96,48,No
booth,43,4.92,4.42,34,No
bootlace,32,5.64,4.54,36,No
booze,32,5.84,4.48,28,Yes
bosom,39,5.52,4.63,30,No
bottle,44,5.464285714,4.91,28,Yes
boulder,37,4.958333333,4.67,35,No
bouquet,45,4.909090909,4.74,36,No
bourbon,22,5.173913043,4.93,27,Yes
boutique,22,4.692307692,4.27,26,Yes
bowl,30,6.16,4.87,27,Yes
bowling,34,5,4.56,29,Yes
box,42,6.291666667,4.9,28,Yes
boxer,37,4.608695652,4.63,27,Yes
boy,47,4.962962963,4.76,33,No
boyfriend,56,6.310344828,4.59,37,No
bra,39,6.52173913,4.54,51,No
brace,24,5.04,3.96,24,Yes
bracelet,38,6.5,4.96,28,Yes
braid,33,5.64,4.38,35,No
branch,39,4.821428571,4.9,26,Yes
brandy,26,5.64,4.81,26,Yes
brass,31,4.4,4.7,34,No
bratwurst,30,5.434782609,4.82,28,Yes
bread,35,6.230769231,4.92,29,Yes
breadbasket,36,5.222222222,4,31,No
breakfast,31,6.173913043,4.43,24,Yes
breastbone,32,5.318181818,4.33,34,No
breastplate,23,5.136363636,4.67,27,Yes
breasts,47,6.173913043,5,59,No
breeches,44,4.666666667,4.07,27,Yes
brick,37,5.64,4.83,30,No
bricklayer,32,4.84,4.42,27,Yes
brickwork,41,4.777777778,4.48,35,No
bridegroom,40,4.384615385,4.39,33,No
bridesmaid,29,5.08,4.41,28,Yes
bridge,25,5.52173913,4.97,27,Yes
briefcase,36,6.25,4.86,28,Yes
briefs,23,5.64,4.33,29,Yes
brisket,29,5.291666667,4.61,25,Yes
broach,37,5.041666667,3.74,33,No
broccoli,42,5.04,4.87,38,No
brochure,44,6.2,4.76,30,No
broiler,13,5.25,4.83,28,Yes
broker,47,4.464285714,4.03,27,Yes
brooch,33,5.130434783,4.19,26,Yes
broom,27,6.416666667,4.89,39,No
broomstick,27,6.043478261,4.8,29,Yes
broth,34,5.321428571,4.68,36,No
brother,47,5.043478261,4.43,34,No
brow,33,4.416666667,4.39,26,Yes
brush,28,6.043478261,4.54,50,No
bubble,19,4.64,4.6,27,Yes
buck,27,4.291666667,4.67,26,Yes
bucket,42,6,4.96,30,No
buckle,44,4.846153846,4.71,37,No
buckwheat,27,4.44,4.54,29,Yes
buddy,37,4.916666667,3.48,31,No
buffalo,45,4.692307692,4.83,37,No
buffet,25,5.409090909,4.67,25,Yes
bug,39,5.296296296,5,36,No
bugle,30,4.541666667,4.84,30,No
builder,30,4.826086957,3.97,29,Yes
building,35,5.208333333,4.64,28,Yes
bulb,40,5.391304348,4.93,39,No
bulldozer,41,4.565217391,4.9,28,Yes
bullet,33,5.772727273,4.83,32,No
bullfighter,22,4.6,4.7,25,Yes
bullfrog,41,4.884615385,4.9,29,Yes
bully,37,4.857142857,3.92,37,No
bum,35,4.346153846,4.21,31,No
bun,25,5.916666667,4.88,31,No
bunion,32,4.36,4.64,26,Yes
bunk,28,4.260869565,4.3,27,Yes
bunkhouse,36,4.625,4.37,34,No
bunkmate,37,4.458333333,4,35,No
bunny,35,4.5,4.97,28,Yes
buoy,33,5.125,4.57,34,No
burger,31,6.111111111,4.93,27,Yes
burglar,20,4.260869565,4.44,27,Yes
burlap,26,5.333333333,4.78,29,Yes
bus,38,5.192307692,4.9,28,Yes
bush,28,4.8,4.9,27,Yes
businessman,37,5.25,4.47,26,Yes
businesswoman,45,5.08,4.35,34,No
busman,35,4.68,3.91,29,Yes
butcher,27,4.739130435,4.65,26,Yes
butt,49,5.652173913,4.75,35,No
butter,40,6.217391304,4.9,38,No
buttercup,34,5.48,4.71,28,Yes
buttermilk,25,4.826086957,4.68,36,No
butterscotch,22,4.769230769,4.58,27,Yes
buttocks,26,6.434782609,4.83,55,No
button,38,6.153846154,4.96,28,Yes
buttonhole,17,5.074074074,4.7,27,Yes
buttonhook,31,4.45,4.04,27,Yes
bystander,33,4.791666667,4.17,31,No
cab,32,5.6,4.88,31,No
cabbage,43,5.608695652,4.75,31,No
cabdriver,32,5.12,4.79,29,Yes
cabin,43,4.56,4.92,36,No
cabinet,19,5.64,4.89,35,No
cable,39,4.913043478,4.74,32,No
cactus,35,4.5,5,53,No
caddy,31,4.913043478,4.32,25,Yes
cadet,27,4.291666667,4.21,30,No
cadillac,33,5.12,4.93,30,No
cafe,29,4.772727273,4.96,26,Yes
cafeteria,24,4.8,4.71,28,Yes
cage,31,5.291666667,5,30,No
cake,36,6.086956522,4.81,29,Yes
calculator,36,6.24,4.86,32,No
calender,23,5.84,4.82,29,Yes
calf,30,5.08,4.48,55,No
calipers,21,4.666666667,4.78,26,Yes
camel,38,4.52173913,4.93,28,Yes
camera,27,6.086956522,5,29,Yes
camisole,29,5.476190476,4.81,27,Yes
can,35,4.88,4.55,27,Yes
candidate,35,4.739130435,3.81,28,Yes
candle,30,5.166666667,4.86,32,No
candlestick,20,6,4.93,26,Yes
candy,45,6.4,4.83,27,Yes
cane,45,6.068965517,4.87,32,No
canine,31,5.375,4.71,30,No
cannabis,30,5.666666667,4.69,26,Yes
cannonball,37,4.304347826,4.8,27,Yes
canoe,38,5.818181818,4.86,27,Yes
cantaloupe,42,5.666666667,4.76,26,Yes
canteen,43,5.607142857,4.88,37,No
canvas,42,5.590909091,4.78,65,No
cap,40,5.826086957,4.59,27,Yes
cape,24,5.416666667,4.77,54,No
capsule,25,5.041666667,4.52,28,Yes
captain,27,4.913043478,4.19,31,No
car,53,6.035714286,4.89,25,Yes
caramel,22,5.28,4.73,26,Yes
card,41,5.56,4.9,24,Yes
cardboard,52,5.739130435,4.9,27,Yes
cardigan,36,6.130434783,4.96,30,No
caretaker,37,5.071428571,4.24,33,No
carnival,40,5.125,4.68,39,No
carp,19,4.52173913,4.62,26,Yes
carpenter,26,5.464285714,4.41,29,Yes
carpet,33,6.041666667,4.96,63,No
carport,26,4.28,4.79,26,Yes
carriage,34,5.08,4.86,33,No
carrot,30,6.043478261,5,25,Yes
cart,26,5.4,4.89,35,No
carton,22,5,5,25,Yes
cartridge,24,5.12,4.78,29,Yes
case,30,4.272727273,3.93,33,No
caseworker,37,4.32,4.37,33,No
cash,27,6.36,4.48,25,Yes
cashier,39,4.888888889,4.89,29,Yes
cashmere,35,4.875,4.72,33,No
casket,38,4.714285714,4.86,30,No
casserole,41,5.88,4.87,35,No
cassette,25,5.148148148,4.6,30,No
castle,50,4.307692308,4.96,29,Yes
cat,34,5.913043478,4.86,29,Yes
catalogue,41,5.916666667,4.36,27,Yes
catapult,23,4.84,4.43,29,Yes
caterpillar,29,5.083333333,4.87,30,No
catfish,53,5,4.85,37,No
cathedral,35,4.5,4.86,33,No
catnip,25,4.52,4.68,26,Yes
cattle,42,4.625,4.64,34,No
catwalk,37,4.652173913,4.15,29,Yes
cauldron,24,4.8,4.61,28,Yes
cauliflower,33,5.269230769,5,29,Yes
caviar,35,4.818181818,4.7,35,No
cayenne,35,5.347826087,4.22,28,Yes
cedar,29,4.583333333,4.83,32,No
celery,31,6.086956522,4.8,33,No
