"cue","n_previous"
"chairman",32
"chairperson",25
"chairwoman",33
"chalet",25
"chalice",29
"chalk",27
"chambermaid",30
"champagne",36
"chapel",31
"chaplain",32
"charcoal",28
"chart",36
"chauffeur",25
"checkbook",35
"checkerboard",28
"checklist",32
"cheddar",25
"cheek",26
"cheekbone",25
"cheerleader",28
"cheese",33
"cheeseburger",30
"cheesecake",32
"cheesecloth",27
"chef",27
"chemicals",32
"cherry",35
"chessboard",32
"chest",38
"chestnut",27
"chevy",28
"chick",34
"chicken",26
"chickenfeed",33
"chihuahua",28
"child",31
"childbirth",35
"children",29
"chili",33
"chimney",27
"chimpanzee",29
"chin",29
"chinaware",35
"chinchilla",33
"chip",26
"chiropractor",24
"chisel",25
"chocolate",26
"chopsticks",56
"choreographer",28
"chow",28
"chowder",26
"chronograph",24
"chronometer",29
"chrysanthemum",29
"cider",31
"cigar",27
"cigarette",26
"citrus",33
"clam",25
"clamp",26
"clamshell",27
"clarinet",34
"classmate",26
"claw",29
"clay",30
"cleat",30
"cleavage",27
"cleavers",28
"clergy",25
"clerk",30
"client",31
"cliff",32
"clip",54
"clipboard",26
"clipper",28
"clitoris",33
"cloak",25
"clock",28
"closet",39
"cloth",26
"clothes",49
"clothesline",28
"clothespin",31
"clove",28
"clover",39
"cloverleaf",35
"club",36
"clubhouse",34
"coachman",28
"coal",33
"coaster",29
"coat",27
"cobblestone",26
"cobweb",35
"cocaine",32
"cock",30
"cockatoo",36
"cocktail",30
"cocoa",33
"coconut",28
"cod",26
"coffee",28
"coffeepot",28
"coffin",28
"coin",32
"coke",36
"cola",24
"colander",25
"coleslaw",30
"collar",34
"collarbone",29
"colleague",27
"collie",31
"cologne",37
"colt",27
"comb",36
"comforter",38
"comic",35
"committeewoman",26
"commode",31
"companion",27
"compass",64
"compost",34
"compressor",34
"computer",27
"concert",28
"conch",27
"concrete",28
"condiment",38
"conditioner",31
"condom",36
"condominium",29
"conductor",32
"cone",26
"confetti",36
"congresswoman",28
"container",30
"contraceptive",26
"controller",35
"cookbook",30
"cookhouse",27
"cookie",28
"cooler",29
"cop",28
"copier",33
"copilot",28
"copper",32
"copybook",32
"cord",31
"corduroy",26
"cork",30
"corkscrew",26
"corn",36
"cornbread",35
"cornfield",42
"cornflakes",29
"cornflower",27
"cornmeal",25
"cornstarch",30
"corridor",28
"corsage",26
"corset",30
"corvette",38
"cosmetics",29
"costume",35
"costumer",27
"cottage",27
"cotton",31
"couch",29
"council",27
"councilman",27
"councilwoman",30
"counselor",26
"countrywoman",28
"coupon",27
"courtyard",27
"cousin",30
"coverall",33
"cow",38
"cowhide",28
"cowskin",31
"crab",27
"crabgrass",25
"cracker",64
"cradle",39
"craftsman",33
"cranberry",25
"crane",26
"crap",32
"crate",28
"crawfish",33
"crayfish",26
"crayon",34
"cream",38
"creamer",37
"creature",28
"creek",28
"crepe",34
"crewman",26
"crib",26
"cricket",27
"crisps",37
"critter",36
"crocodile",26
"croissant",30
"crop",27
"croquet",33
"croquette",26
"cross",35
"crossbar",35
"crossbow",26
"crosswalk",32
"crossword",34
"crotch",31
"crouton",28
"crowbar",34
"crown",30
"crucifix",32
"cruiser",29
"crumb",33
"crumpet",32
"crust",37
"crutch",30
"crypt",31
"crystal",35
"cube",31
"cubical",31
"cucumber",25
"cuff",25
"cuisine",35
"cup",27
"cupboard",27
"curb",33
"curd",28
"curler",31
"curry",26
"curtain",35
"cushion",34
"custard",29
"custodian",26
"customer",27
"cuticle",33
"cutlery",28
"cutlet",28
"cuttlefish",28
"cymbal",31
"cymbals",28
"dachshund",27
"dad",55
"daffodil",26
"dagger",58
"daiquiri",34
"dairy",36
"daisy",34
"damsel",31
"dance",37
"dancer",32
"dandelion",26
"dandruff",34
"darkroom",32
"dart",37
"dartboard",32
"daughter",39
"daybed",27
"debris",32
"deck",27
"decor",33
"deer",25
"deerskin",37
"defendant",31
"delicatessen",28
"deliverer",31
"deliveryman",27
"democrat",28
"den",24
"denim",63
"dentist",34
"deodorant",25
"dermatologist",29
"derriere",28
"desert",34
"desk",27
"dessert",36
"detergent",32
"detonator",25
"device",36
"diagram",27
"diamond",26
"diaper",30
"diaphragm",27
"dice",30
"dictionary",28
"dietician",34
"dildo",32
"dime",35
"diner",35
"dinner",31
"dinnerware",29
"dip",28
"diploma",31
"dipper",27
"dipstick",30
"dirt",37
