"cue","n_total","needs_norming"
"bookseller",28,"Yes"
"bookshelf",27,"Yes"
"boomerang",27,"Yes"
"boot",48,"No"
"booth",34,"No"
"bootlace",36,"No"
"booze",28,"Yes"
"bosom",30,"No"
"bottle",28,"Yes"
"boulder",35,"No"
"bouquet",36,"No"
"bourbon",27,"Yes"
"boutique",26,"Yes"
"bowl",27,"Yes"
"bowling",29,"Yes"
"box",28,"Yes"
"boxer",27,"Yes"
"boy",33,"No"
"boyfriend",37,"No"
"bra",51,"No"
"brace",24,"Yes"
"bracelet",28,"Yes"
"braid",35,"No"
"branch",26,"Yes"
"brandy",26,"Yes"
"brass",34,"No"
"bratwurst",28,"Yes"
"bread",29,"Yes"
"breadbasket",31,"No"
"breakfast",24,"Yes"
"breastbone",34,"No"
"breastplate",27,"Yes"
"breasts",59,"No"
"breeches",27,"Yes"
"brick",30,"No"
"bricklayer",27,"Yes"
"brickwork",35,"No"
"bridegroom",33,"No"
"bridesmaid",28,"Yes"
"bridge",27,"Yes"
"briefcase",28,"Yes"
"briefs",29,"Yes"
"brisket",25,"Yes"
"broach",33,"No"
"broccoli",38,"No"
"brochure",30,"No"
"broiler",28,"Yes"
"broker",27,"Yes"
"brooch",26,"Yes"
"broom",39,"No"
"broomstick",29,"Yes"
"broth",36,"No"
"brother",34,"No"
"brow",26,"Yes"
"brush",50,"No"
"bubble",27,"Yes"
"buck",26,"Yes"
"bucket",30,"No"
"buckle",37,"No"
"buckwheat",29,"Yes"
"buddy",31,"No"
"buffalo",37,"No"
"buffet",25,"Yes"
"bug",36,"No"
"bugle",30,"No"
"builder",29,"Yes"
"building",28,"Yes"
"bulb",39,"No"
"bulldozer",28,"Yes"
"bullet",32,"No"
"bullfighter",25,"Yes"
"bullfrog",29,"Yes"
"bully",37,"No"
"bum",31,"No"
"bun",31,"No"
"bunion",26,"Yes"
"bunk",27,"Yes"
"bunkhouse",34,"No"
"bunkmate",35,"No"
"bunny",28,"Yes"
"buoy",34,"No"
"burger",27,"Yes"
"burglar",27,"Yes"
"burlap",29,"Yes"
"bus",28,"Yes"
"bush",27,"Yes"
"businessman",26,"Yes"
"businesswoman",34,"No"
"busman",29,"Yes"
"butcher",26,"Yes"
"butt",35,"No"
"butter",38,"No"
"buttercup",28,"Yes"
"buttermilk",36,"No"
"butterscotch",27,"Yes"
"buttocks",55,"No"
"button",28,"Yes"
"buttonhole",27,"Yes"
"buttonhook",27,"Yes"
"bystander",31,"No"
"cab",31,"No"
"cabbage",31,"No"
"cabdriver",29,"Yes"
"cabin",36,"No"
"cabinet",35,"No"
"cable",32,"No"
"cactus",53,"No"
"caddy",25,"Yes"
"cadet",30,"No"
"cadillac",30,"No"
"cafe",26,"Yes"
"cafeteria",28,"Yes"
"cage",30,"No"
"cake",29,"Yes"
"calculator",32,"No"
"calender",29,"Yes"
"calf",55,"No"
"calipers",26,"Yes"
"camel",28,"Yes"
"camera",29,"Yes"
"camisole",27,"Yes"
"can",27,"Yes"
"candidate",28,"Yes"
"candle",32,"No"
"candlestick",26,"Yes"
"candy",27,"Yes"
"cane",32,"No"
"canine",30,"No"
"cannabis",26,"Yes"
"cannonball",27,"Yes"
"canoe",27,"Yes"
"cantaloupe",26,"Yes"
"canteen",37,"No"
"canvas",65,"No"
"cap",27,"Yes"
"cape",54,"No"
"capsule",28,"Yes"
"captain",31,"No"
"car",25,"Yes"
"caramel",26,"Yes"
"card",24,"Yes"
"cardboard",27,"Yes"
"cardigan",30,"No"
"caretaker",33,"No"
"carnival",39,"No"
"carp",26,"Yes"
"carpenter",29,"Yes"
"carpet",63,"No"
"carport",26,"Yes"
"carriage",33,"No"
"carrot",25,"Yes"
"cart",35,"No"
"carton",25,"Yes"
"cartridge",29,"Yes"
"case",33,"No"
"caseworker",33,"No"
"cash",25,"Yes"
"cashier",29,"Yes"
"cashmere",33,"No"
"casket",30,"No"
"casserole",35,"No"
"cassette",30,"No"
"castle",29,"Yes"
"cat",29,"Yes"
"catalogue",27,"Yes"
"catapult",29,"Yes"
"caterpillar",30,"No"
"catfish",37,"No"
"cathedral",33,"No"
"catnip",26,"Yes"
"cattle",34,"No"
"catwalk",29,"Yes"
"cauldron",28,"Yes"
"cauliflower",29,"Yes"
"caviar",35,"No"
"cayenne",28,"Yes"
"cedar",32,"No"
"celery",33,"No"
"cellar",36,"No"
"cello",25,"Yes"
"cellophane",33,"No"
"cement",27,"Yes"
"cent",31,"No"
"centipede",26,"Yes"
"ceramic",34,"No"
"ceramics",27,"Yes"
"cereal",26,"Yes"
"certificate",35,"No"
"chain",27,"Yes"
"chair",39,"No"
"chairman",32,"No"
"chairperson",25,"Yes"
"chairwoman",33,"No"
"chalet",25,"Yes"
"chalice",29,"Yes"
"chalk",27,"Yes"
"chambermaid",30,"No"
"champagne",36,"No"
"chapel",31,"No"
"chaplain",32,"No"
"charcoal",28,"Yes"
"chart",36,"No"
"chauffeur",25,"Yes"
"checkbook",35,"No"
"checkerboard",28,"Yes"
"checklist",32,"No"
"cheddar",25,"Yes"
"cheek",26,"Yes"
"cheekbone",25,"Yes"
"cheerleader",28,"Yes"
"cheese",33,"No"
"cheeseburger",30,"No"
"cheesecake",32,"No"
"cheesecloth",27,"Yes"
"chef",27,"Yes"
"chemicals",32,"No"
"cherry",35,"No"
"chessboard",32,"No"
"chest",38,"No"
"chestnut",27,"Yes"
"chevy",28,"Yes"
"chick",34,"No"
"chicken",26,"Yes"
"chickenfeed",33,"No"
"chihuahua",28,"Yes"
"child",31,"No"
"childbirth",35,"No"
"children",29,"Yes"
"chili",33,"No"
"chimney",27,"Yes"
"chimpanzee",29,"Yes"
"chin",29,"Yes"
"chinaware",35,"No"
"chinchilla",33,"No"
"chip",26,"Yes"
"chiropractor",24,"Yes"
"chisel",25,"Yes"
"chocolate",26,"Yes"
"chopsticks",56,"No"
"choreographer",28,"Yes"
"chow",28,"Yes"
"chowder",26,"Yes"
"chronograph",24,"Yes"
"chronometer",29,"Yes"
"chrysanthemum",29,"Yes"
"cider",31,"No"
"cigar",27,"Yes"
"cigarette",26,"Yes"
"citrus",33,"No"
"clam",25,"Yes"
"clamp",26,"Yes"
"clamshell",27,"Yes"
"clarinet",34,"No"
"classmate",26,"Yes"
"claw",29,"Yes"
"clay",30,"No"
"cleat",30,"No"
"cleavage",27,"Yes"
"cleavers",28,"Yes"
"clergy",25,"Yes"
"clerk",30,"No"
"client",31,"No"
"cliff",32,"No"
"clip",54,"No"
"clipboard",26,"Yes"
"clipper",28,"Yes"
"clitoris",33,"No"
"cloak",25,"Yes"
"clock",28,"Yes"
"closet",39,"No"
"cloth",26,"Yes"
"clothes",49,"No"
"clothesline",28,"Yes"
"clothespin",31,"No"
"clove",28,"Yes"
"clover",39,"No"
"cloverleaf",35,"No"
"club",36,"No"
"clubhouse",34,"No"
"coachman",28,"Yes"
"coal",33,"No"
"coaster",29,"Yes"
"coat",27,"Yes"
"cobblestone",26,"Yes"
"cobweb",35,"No"
"cocaine",32,"No"
"cock",30,"No"
"cockatoo",36,"No"
"cocktail",30,"No"
"cocoa",33,"No"
"coconut",28,"Yes"
"cod",26,"Yes"
"coffee",28,"Yes"
"coffeepot",28,"Yes"
"coffin",28,"Yes"
"coin",32,"No"
"coke",36,"No"
"cola",24,"Yes"
"colander",25,"Yes"
"coleslaw",30,"No"
"collar",34,"No"
"collarbone",29,"Yes"
"colleague",27,"Yes"
"collie",31,"No"
"cologne",37,"No"
"colt",27,"Yes"
"comb",36,"No"
"comforter",38,"No"
"comic",35,"No"
"committeewoman",26,"Yes"
"commode",31,"No"
"companion",27,"Yes"
"compass",64,"No"
"compost",34,"No"
"compressor",34,"No"
"computer",27,"Yes"
"concert",28,"Yes"
"conch",27,"Yes"
"concrete",28,"Yes"
"condiment",38,"No"
"conditioner",31,"No"
"condom",36,"No"
"condominium",29,"Yes"
"conductor",32,"No"
"cone",26,"Yes"
"confetti",36,"No"
"congresswoman",28,"Yes"
"container",30,"No"
"contraceptive",26,"Yes"
"controller",35,"No"
"cookbook",30,"No"
"cookhouse",27,"Yes"
"cookie",28,"Yes"
"cooler",29,"Yes"
"cop",28,"Yes"
"copier",33,"No"
"copilot",28,"Yes"
"copper",32,"No"
"copybook",32,"No"
"cord",31,"No"
"corduroy",26,"Yes"
"cork",30,"No"
"corkscrew",26,"Yes"
"corn",36,"No"
