"cue","n_total","needs_norming"
"gymnasium",29,"Yes"
"gymnast",27,"Yes"
"gynecologist",26,"Yes"
"gyroscope",31,"No"
"hailstone",36,"No"
"hair",27,"Yes"
"hairbrush",38,"No"
"hairdo",27,"Yes"
"hairdresser",27,"Yes"
"hairline",28,"Yes"
"hairnet",35,"No"
"hairpiece",34,"No"
"hairpin",30,"No"
"hairstyle",34,"No"
"hairstylist",27,"Yes"
"hall",25,"Yes"
"hallway",27,"Yes"
"ham",30,"No"
"hamburger",28,"Yes"
"hammer",24,"Yes"
"hammock",38,"No"
"hamper",28,"Yes"
"hamster",39,"No"
"hamstring",29,"Yes"
"hand",24,"Yes"
"handbag",36,"No"
"handball",27,"Yes"
"handbook",26,"Yes"
"handbrake",28,"Yes"
"handcart",27,"Yes"
"handclap",26,"Yes"
"handclasp",37,"No"
"handgun",27,"Yes"
"handhold",25,"Yes"
"handkerchief",36,"No"
"handle",39,"No"
"handlebar",29,"Yes"
"handrail",28,"Yes"
"handsaw",28,"Yes"
"handshake",35,"No"
"handwork",27,"Yes"
"hanger",27,"Yes"
"hangnail",30,"No"
"hanky",25,"Yes"
"hardcover",28,"Yes"
"hardware",28,"Yes"
"hardwood",27,"Yes"
"harmonica",32,"No"
"harness",28,"Yes"
"harp",27,"Yes"
"harpist",33,"No"
"harpsichord",29,"Yes"
"harvest",35,"No"
"hat",28,"Yes"
"hatband",25,"Yes"
"hatchback",26,"Yes"
"hatchet",34,"No"
"haystack",34,"No"
"head",36,"No"
"headboard",26,"Yes"
"headdress",35,"No"
"headgear",26,"Yes"
"headlight",31,"No"
"headmistress",28,"Yes"
"headphones",27,"Yes"
"headpiece",29,"Yes"
"headrest",36,"No"
"heads",29,"Yes"
"headset",26,"Yes"
"hearse",30,"No"
"hedgehog",26,"Yes"
"heel",36,"No"
"helicopter",27,"Yes"
"helmet",30,"No"
"hen",29,"Yes"
"herb",30,"No"
"herbivore",31,"No"
"heroin",32,"No"
"hibachi",33,"No"
"hibiscus",27,"Yes"
"hickory",28,"Yes"
"hiker",27,"Yes"
"hill",25,"Yes"
"him",25,"Yes"
"hinge",31,"No"
"hip",35,"No"
"hippie",27,"Yes"
"hitchhiker",31,"No"
"hoe",28,"Yes"
"hog",32,"No"
"holder",31,"No"
"holding",26,"Yes"
"holster",33,"No"
"home",27,"Yes"
"homemaker",28,"Yes"
"homework",25,"Yes"
"honey",35,"No"
"honeycomb",25,"Yes"
"honeydew",31,"No"
"honeysuckle",29,"Yes"
"hood",27,"Yes"
"hook",29,"Yes"
"hookah",26,"Yes"
"hookers",28,"Yes"
"hoop",30,"No"
"horn",33,"No"
"horse",28,"Yes"
"horsefly",33,"No"
"horseman",27,"Yes"
"horseradish",26,"Yes"
"horseshoe",36,"No"
"horsewhip",32,"No"
"hose",33,"No"
"hostel",28,"Yes"
"hostess",25,"Yes"
"hotel",27,"Yes"
"hotplate",28,"Yes"
"hound",27,"Yes"
"hourglass",34,"No"
"house",36,"No"
"houseboat",35,"No"
"houseboy",25,"Yes"
"housecoat",31,"No"
"housefly",25,"Yes"
"housekeeper",36,"No"
"housemaid",28,"Yes"
"housewife",28,"Yes"
"hubcap",30,"No"
"hug",27,"Yes"
"human",25,"Yes"
"hurdle",34,"No"
"husband",27,"Yes"
"husk",26,"Yes"
"husky",29,"Yes"
"hut",37,"No"
"hutch",30,"No"
"hypnotist",29,"Yes"
"ice",31,"No"
"iceboat",25,"Yes"
"icebox",27,"Yes"
"icepick",27,"Yes"
"icing",33,"No"
"igloo",25,"Yes"
"iguana",28,"Yes"
"illustrator",31,"No"
"incubator",36,"No"
"infant",28,"Yes"
"ingredients",48,"No"
"ink",37,"No"
"insect",34,"No"
"insole",31,"No"
"inspector",33,"No"
"instructor",32,"No"
"instrument",26,"Yes"
"insulin",26,"Yes"
"intercom",35,"No"
"intern",31,"No"
"interviewer",33,"No"
"inventor",30,"No"
"investigator",30,"No"
"iron",27,"Yes"
"item",25,"Yes"
"jacket",27,"Yes"
"jaguar",32,"No"
"jam",29,"Yes"
"jar",28,"Yes"
"jasmine",27,"Yes"
"javelin",26,"Yes"
"jaw",38,"No"
"jawbreaker",28,"Yes"
"jeans",58,"No"
"jeep",26,"Yes"
"jelly",26,"Yes"
"jersey",29,"Yes"
"jet",40,"No"
"jewel",29,"Yes"
"jeweler",40,"No"
"jewelry",27,"Yes"
"jockstrap",27,"Yes"
"jogger",32,"No"
"joint",30,"No"
"journal",33,"No"
"journalist",27,"Yes"
"joystick",33,"No"
"juice",33,"No"
"jukebox",26,"Yes"
"jumper",27,"Yes"
"junk",26,"Yes"
"jurist",31,"No"
"juror",31,"No"
"kale",26,"Yes"
"kaleidoscope",35,"No"
"kazoo",32,"No"
"kebab",27,"Yes"
"keepsake",34,"No"
"keg",25,"Yes"
"kelp",28,"Yes"
"kerchief",25,"Yes"
"kernel",27,"Yes"
"ketchup",39,"No"
"kettle",28,"Yes"
"kettledrum",31,"No"
"key",29,"Yes"
"keyboard",29,"Yes"
"keyhole",31,"No"
"kid",53,"No"
"kidney",25,"Yes"
"kiln",29,"Yes"
"kilt",29,"Yes"
"kindle",25,"Yes"
"kindling",30,"No"
"kiss",54,"No"
"kit",37,"No"
"kitchen",30,"No"
"kitchenette",26,"Yes"
"kite",25,"Yes"
"kitten",26,"Yes"
"kitty",35,"No"
"kiwi",33,"No"
"kleenex",28,"Yes"
"knapsack",26,"Yes"
"knee",28,"Yes"
"kneecap",36,"No"
"knickers",32,"No"
"knitting",29,"Yes"
"knob",27,"Yes"
"knot",29,"Yes"
"knuckle",53,"No"
"kumquat",25,"Yes"
"label",37,"No"
"laboratory",28,"Yes"
"labrador",37,"No"
"lace",28,"Yes"
"lad",27,"Yes"
"ladder",33,"No"
"ladle",28,"Yes"
"lady",28,"Yes"
"ladybug",26,"Yes"
"lager",26,"Yes"
"lake",35,"No"
"lamb",34,"No"
"lambskin",32,"No"
"lamp",26,"Yes"
"lamplight",38,"No"
"lamplighter",25,"Yes"
"lampshade",31,"No"
"lance",29,"Yes"
"land",35,"No"
"landlady",26,"Yes"
"landscape",30,"No"
"lantern",30,"No"
"lanyard",30,"No"
"lapdog",32,"No"
"larvae",30,"No"
"laryngoscope",26,"Yes"
"lasso",32,"No"
"latch",35,"No"
"latex",36,"No"
"latrine",25,"Yes"
"laundry",25,"Yes"
"lavatory",26,"Yes"
"lawn",27,"Yes"
"lawyer",33,"No"
"laxative",33,"No"
"leaf",61,"No"
"leaflet",29,"Yes"
"leash",26,"Yes"
"leather",31,"No"
"ledge",35,"No"
"ledger",28,"Yes"
"leech",27,"Yes"
"leftovers",33,"No"
"leg",28,"Yes"
"leggings",26,"Yes"
"lei",32,"No"
"lemon",28,"Yes"
"lemonade",28,"Yes"
"lens",30,"No"
"leopard",30,"No"
"leotard",29,"Yes"
"letter",34,"No"
"letterbox",26,"Yes"
"lettuce",29,"Yes"
"lever",25,"Yes"
"library",26,"Yes"
"lice",26,"Yes"
"licence",29,"Yes"
"lid",40,"No"
"lifeboat",29,"Yes"
"lifebuoy",26,"Yes"
"lifeguard",26,"Yes"
"lighthouse",26,"Yes"
"lilac",34,"No"
"lily",53,"No"
"limb",30,"No"
"lime",55,"No"
"limeade",25,"Yes"
"limestone",33,"No"
"limousine",27,"Yes"
"linen",33,"No"
"lingerie",37,"No"
"linoleum",27,"Yes"
"lint",37,"No"
"lip",33,"No"
"lipstick",35,"No"
"liqueur",34,"No"
"liquid",32,"No"
"liquor",27,"Yes"
"litter",34,"No"
"livestock",27,"Yes"
"lizard",30,"No"
"llama",35,"No"
"loaf",33,"No"
"lobbyist",34,"No"
"lobe",29,"Yes"
"lobster",28,"Yes"
"lock",27,"Yes"
"locker",32,"No"
"locket",39,"No"
"locksmith",35,"No"
"lodge",33,"No"
"lodging",33,"No"
"log",28,"Yes"
"logbook",38,"No"
"loin",31,"No"
"loincloth",31,"No"
"lollipop",25,"Yes"
"longbow",33,"No"
"loo",27,"Yes"
"lotion",38,"No"
"loudspeaker",26,"Yes"
"lounge",30,"No"
"lounger",29,"Yes"
"lovebird",27,"Yes"
"lozenge",26,"Yes"
"lubricant",28,"Yes"
"lubrication",28,"Yes"
"luggage",33,"No"
"lumber",35,"No"
"lump",28,"Yes"
"lunch",27,"Yes"
"lunchroom",27,"Yes"
"lyre",29,"Yes"
"macaroni",28,"Yes"
"macaroon",37,"No"
"mace",26,"Yes"
"machete",60,"No"
"machine",28,"Yes"
"machinery",35,"No"
"magazine",35,"No"
"maggot",26,"Yes"
"magician",34,"No"
"magnet",28,"Yes"
"magnolia",27,"Yes"
"maid",37,"No"
"maiden",26,"Yes"
"maidservant",30,"No"
"mail",33,"No"
"mailbag",37,"No"
"maize",33,"No"
"makeup",37,"No"
"male",32,"No"
"mall",37,"No"
"mallard",24,"Yes"
"mallet",28,"Yes"
"mammal",33,"No"
"man",34,"No"
"mandolin",29,"Yes"
"mango",33,"No"
"manhole",33,"No"
"manicure",35,"No"
"manicurist",27,"Yes"
"mannequin",35,"No"
"mansion",59,"No"
"mantel",26,"Yes"
"mantelpiece",28,"Yes"
"mantle",30,"No"
"manure",26,"Yes"
"manuscript",26,"Yes"
"map",28,"Yes"
"maple",34,"No"
"marble",34,"No"
"marbles",27,"Yes"
"margarine",26,"Yes"
"marigold",28,"Yes"
"marijuana",38,"No"
"marionette",27,"Yes"
"marketeer",30,"No"
"marksman",28,"Yes"
"marmalade",35,"No"
"marshmallow",38,"No"
"mascara",26,"Yes"
"mascot",28,"Yes"
"mask",25,"Yes"
"masseuse",56,"No"
"mat",33,"No"
"match",26,"Yes"
"matchbox",29,"Yes"
"matchstick",35,"No"
"mathematician",28,"Yes"
"mattress",27,"Yes"
"mayonnaise",68,"No"
"mayor",31,"No"
"me",29,"Yes"
"meadow",30,"No"
"meal",27,"Yes"
"meat",25,"Yes"
"medal",32,"No"
"medallion",26,"Yes"
"medic",60,"No"
"medicine",60,"No"
"megaphone",27,"Yes"
"melon",32,"No"
"memo",37,"No"
"memorabilia",28,"Yes"
"men",26,"Yes"
"mentor",34,"No"
"menu",35,"No"
"merchandise",27,"Yes"
"merchant",31,"No"
"merchantman",32,"No"
"metal",30,"No"
"metalworker",25,"Yes"
"meteorologist",27,"Yes"
"mice",28,"Yes"
"microphone",28,"Yes"
"microscope",28,"Yes"
"microwave",27,"Yes"
"midget",26,"Yes"
"midwife",32,"No"
"milk",27,"Yes"
"milkshake",30,"No"
"mincemeat",28,"Yes"
"minister",37,"No"
"mink",33,"No"
"minnow",26,"Yes"
"mint",33,"No"
"mirror",26,"Yes"
"mistletoe",34,"No"
"mistress",33,"No"
"mitt",36,"No"
"mitten",27,"Yes"
"mixer",37,"No"
"moccasin",26,"Yes"
"model",27,"Yes"
"molasses",35,"No"
"mommy",26,"Yes"
"money",29,"Yes"
"moneybags",39,"No"
"mongoose",32,"No"
"monk",39,"No"
"monument",28,"Yes"
"moonshine",28,"Yes"
"mop",26,"Yes"
"morsel",33,"No"
"mortician",30,"No"
"mosquito",31,"No"
"moss",25,"Yes"
"motel",31,"No"
"moth",25,"Yes"
"mothball",30,"No"
"mother",24,"Yes"
"motor",30,"No"
"motorbike",26,"Yes"
"motorboat",34,"No"
"motorcycle",32,"No"
"motorcyclist",25,"Yes"
"motorist",36,"No"
"mountain",26,"Yes"
"mountainside",26,"Yes"
"mouse",27,"Yes"
"mousetrap",25,"Yes"
"mousse",28,"Yes"
"moustache",28,"Yes"
"mouth",26,"Yes"
"mouthpiece",28,"Yes"
"mouthwash",27,"Yes"
"mucus",57,"No"
"mud",25,"Yes"
"muffin",30,"No"
"muffler",30,"No"
"mug",27,"Yes"
"mulberry",29,"Yes"
"mulch",30,"No"
"mule",26,"Yes"
"mullet",60,"No"
"mum",29,"Yes"
"munitions",30,"No"
"muscle",39,"No"
"museum",28,"Yes"
"mushroom",26,"Yes"
"musician",31,"No"
"musket",30,"No"
"mustache",26,"Yes"
"mustard",38,"No"
"mutt",34,"No"
"mutton",27,"Yes"
"muzzle",33,"No"
"myself",29,"Yes"
"nail",25,"Yes"
"nameplate",26,"Yes"
"nanny",31,"No"
"napkin",27,"Yes"
"narcotics",37,"No"
"neck",36,"No"
"neckband",31,"No"
"neckerchief",28,"Yes"
"necklace",37,"No"
"necktie",33,"No"
"neckwear",34,"No"
"nectar",36,"No"
"needle",60,"No"
"needlepoint",24,"Yes"
"needlework",26,"Yes"
"negligee",26,"Yes"
"nephew",29,"Yes"
"net",25,"Yes"
"nettle",25,"Yes"
"neurologist",34,"No"
"newlyweds",32,"No"
"newsagent",27,"Yes"
"newsboy",25,"Yes"
"newscaster",29,"Yes"
"newsletter",36,"No"
"newsman",35,"No"
"newspaper",39,"No"
"newspaperman",36,"No"
"newsprint",27,"Yes"
"newsstand",29,"Yes"
"newt",32,"No"
"nickel",35,"No"
"nightcaps",33,"No"
"nightclub",28,"Yes"
"nightdress",26,"Yes"
"nightgown",25,"Yes"
"nightie",25,"Yes"
"nightlight",29,"Yes"
"nightshirt",27,"Yes"
"nipple",26,"Yes"
"noodle",55,"No"
"noose",26,"Yes"
"nose",26,"Yes"
"nostril",35,"No"
"note",34,"No"
"notepaper",26,"Yes"
"novel",28,"Yes"
"nugget",27,"Yes"
"nun",27,"Yes"
"nurse",37,"No"
"nursemaid",27,"Yes"
"nursery",27,"Yes"
"nut",36,"No"
"nutcracker",59,"No"
"nutmeg",28,"Yes"
"nutshell",28,"Yes"
"nylon",38,"No"
"oar",26,"Yes"
"oat",37,"No"
"object",28,"Yes"
"obstetrician",29,"Yes"
"ocean",27,"Yes"
"oceanographer",27,"Yes"
"offspring",35,"No"
"oilcan",34,"No"
"oilcloth",28,"Yes"
"ointment",30,"No"
"okra",26,"Yes"
"olive",29,"Yes"
"omelet",57,"No"
"onion",32,"No"
"opal",29,"Yes"
"ophthalmologist",26,"Yes"
"opium",31,"No"
"optician",27,"Yes"
"orange",34,"No"
"orchard",30,"No"
"orchid",28,"Yes"
"ore",26,"Yes"
"oregano",35,"No"
"organ",28,"Yes"
"organism",26,"Yes"
"orgy",26,"Yes"
"ornament",34,"No"
"orphan",34,"No"
"orthodontist",25,"Yes"
"ottoman",27,"Yes"
"outfielder",26,"Yes"
"outfit",34,"No"
"outhouse",31,"No"
"outlet",32,"No"
"oven",24,"Yes"
"overcoat",37,"No"
"oxtail",30,"No"
"oyster",25,"Yes"
"pacemaker",32,"No"
"pacifier",32,"No"
"package",28,"Yes"
"packaging",29,"Yes"
"packet",32,"No"
"pad",33,"No"
"padding",28,"Yes"
"paddle",27,"Yes"
"padlock",26,"Yes"
"page",31,"No"
"pail",28,"Yes"
"painkiller",29,"Yes"
"paint",26,"Yes"
"paintbox",28,"Yes"
"paintbrush",27,"Yes"
"pajamas",61,"No"
"pal",34,"No"
"pallet",26,"Yes"
"palm",29,"Yes"
"pamphlet",28,"Yes"
"pan",37,"No"
"panhandler",37,"No"
"pantaloons",28,"Yes"
"panties",29,"Yes"
"pantry",32,"No"
"pants",27,"Yes"
"paper",36,"No"
"paperback",34,"No"
"paperhanger",29,"Yes"
"paperweight",27,"Yes"
"paprika",31,"No"
"parachute",26,"Yes"
"parachutist",27,"Yes"
"parakeet",31,"No"
"paraphernalia",28,"Yes"
"paratrooper",27,"Yes"
"parcel",27,"Yes"
"parchment",27,"Yes"
"parent",27,"Yes"
"parka",31,"No"
"parsley",28,"Yes"
"parsnip",26,"Yes"
"partner",38,"No"
"passenger",30,"No"
"passionflower",27,"Yes"
"passport",27,"Yes"
"pasta",29,"Yes"
"pastrami",26,"Yes"
"pastry",30,"No"
"path",34,"No"
"patrolman",35,"No"
"paw",27,"Yes"
"pea",33,"No"
"peach",27,"Yes"
"peacock",32,"No"
"peanut",34,"No"
"peanuts",31,"No"
"pear",26,"Yes"
"pearl",25,"Yes"
"peashooter",28,"Yes"
"pebble",29,"Yes"
"pecan",27,"Yes"
"pedal",31,"No"
"pedestal",31,"No"
"pedestrian",26,"Yes"
"pedicurist",32,"No"
"pedometer",25,"Yes"
"peel",25,"Yes"
"peelings",34,"No"
"peephole",24,"Yes"
"peg",25,"Yes"
"pegboard",30,"No"
"pellet",28,"Yes"
"pelvis",28,"Yes"
"pen",27,"Yes"
"pencil",37,"No"
"pendant",32,"No"
"penknife",30,"No"
"pennant",26,"Yes"
"penny",37,"No"
"penthouse",28,"Yes"
"peony",27,"Yes"
"people",33,"No"
"pepper",36,"No"
"peppercorn",34,"No"
"peppermint",26,"Yes"
"pepperoni",29,"Yes"
"perfume",36,"No"
"periscope",27,"Yes"
"peroxide",27,"Yes"
"person",34,"No"
"perspiration",28,"Yes"
"pet",39,"No"
"petal",26,"Yes"
"phalanges",27,"Yes"
"pharmacist",37,"No"
"pharmacy",30,"No"
"phone",26,"Yes"
"phonograph",30,"No"
"photocopier",27,"Yes"
"photocopy",28,"Yes"
"photograph",26,"Yes"
"physician",33,"No"
"physiologist",27,"Yes"
"piano",27,"Yes"
"piccolo",34,"No"
"pickaxe",26,"Yes"
"pickle",33,"No"
"picnicker",26,"Yes"
"picture",26,"Yes"
"picture frame",30,"No"
"pie",39,"No"
"piercing",36,"No"
"pig",29,"Yes"
"piglet",26,"Yes"
"pigtail",35,"No"
"pike",27,"Yes"
"pilaf",26,"Yes"
"pill",32,"No"
"pillar",36,"No"
"pillow",28,"Yes"
"pillowcase",33,"No"
"pilot",28,"Yes"
"pimento",26,"Yes"
"pimple",34,"No"
"pin",25,"Yes"
"pinball",28,"Yes"
"pincushion",32,"No"
"pine",34,"No"
"pineapple",32,"No"
"pinecone",37,"No"
"pinewood",27,"Yes"
"pinkie",34,"No"
"pinwheel",35,"No"
"pipe",26,"Yes"
"pistachio",39,"No"
"pistol",27,"Yes"
"pitcher",28,"Yes"
"pitchfork",26,"Yes"
"pizza",28,"Yes"
"placard",28,"Yes"
"placenta",29,"Yes"
"plaintiff",37,"No"
"plane",37,"No"
"plank",27,"Yes"
"planner",27,"Yes"
"plant",28,"Yes"
"plantain",27,"Yes"
"planter",26,"Yes"
"plaque",29,"Yes"
"plaster",28,"Yes"
"plastic",57,"No"
"plate",31,"No"
"platform",30,"No"
"platter",29,"Yes"
"player",35,"No"
"playground",34,"No"
"playhouse",28,"Yes"
"playroom",34,"No"
"playsuit",29,"Yes"
"plaything",27,"Yes"
"playwright",26,"Yes"
"plexiglas",27,"Yes"
"pliers",36,"No"
"plow",34,"No"
"plug",29,"Yes"
"plum",28,"Yes"
"plumber",30,"No"
"plywood",32,"No"
"pocket",24,"Yes"
"pocketbook",30,"No"
"pocketknife",36,"No"
"podiatrist",30,"No"
"poet",29,"Yes"
"poinsettia",31,"No"
"poker",31,"No"
"pole",31,"No"
"police",35,"No"
"policeman",30,"No"
"policewoman",34,"No"
"politician",28,"Yes"
"polyester",35,"No"
"pomegranate",34,"No"
"pompom",34,"No"
"poncho",39,"No"
"pond",26,"Yes"
"pony",28,"Yes"
"pooch",27,"Yes"
"poodle",27,"Yes"
"pool",34,"No"
"poop",26,"Yes"
"popcorn",38,"No"
"porch",36,"No"
"pork",26,"Yes"
"porridge",37,"No"
"portfolio",38,"No"
"portrait",28,"Yes"
"postage",34,"No"
"postcard",28,"Yes"
"poster",32,"No"
"postman",34,"No"
"postmaster",29,"Yes"
"pot",38,"No"
"potato",32,"No"
"potboiler",25,"Yes"
"potpourri",25,"Yes"
"pottery",28,"Yes"
"potty",26,"Yes"
"pouch",25,"Yes"
"poultry",29,"Yes"
"powder",33,"No"
"powderpuff",31,"No"
"powerboat",35,"No"
"practitioner",27,"Yes"
"prankster",28,"Yes"
"preschooler",29,"Yes"
"present",26,"Yes"
"pretzel",25,"Yes"
"priest",25,"Yes"
"primate",43,"No"
"primrose",33,"No"
"printout",27,"Yes"
"prisoner",32,"No"
"prize",29,"Yes"
"produce",29,"Yes"
"programmer",28,"Yes"
"projector",29,"Yes"
"proofreader",35,"No"
"prop",56,"No"
"propeller",31,"No"
"proprietor",27,"Yes"
"prosecutor",30,"No"
"prosthesis",28,"Yes"
"prostitute",25,"Yes"
"protester",26,"Yes"
"protractor",26,"Yes"
"prune",26,"Yes"
"pub",34,"No"
"publication",28,"Yes"
"publisher",26,"Yes"
"puck",32,"No"
"pudding",33,"No"
"puddle",27,"Yes"
"pug",27,"Yes"
"puke",31,"No"
"pulley",32,"No"
"pullover",32,"No"
"pulp",25,"Yes"
"pumice",27,"Yes"
"pump",36,"No"
"pumpernickel",27,"Yes"
"pumpkin",25,"Yes"
"punchbowl",27,"Yes"
"punter",26,"Yes"
"pup",30,"No"
"pupil",26,"Yes"
"puppet",33,"No"
"puppy",34,"No"
"purse",31,"No"
"pushcart",32,"No"
"putty",29,"Yes"
"puzzle",30,"No"
"quadriceps",31,"No"
"quarter",35,"No"
"quarterback",26,"Yes"
"quarters",27,"Yes"
"questionnaire",30,"No"
"quiche",25,"Yes"
"quill",29,"Yes"
"quilt",27,"Yes"
"rabbit",24,"Yes"
"racehorse",35,"No"
"rack",34,"No"
"racket",29,"Yes"
"radiator",26,"Yes"
"radio",27,"Yes"
"radiologist",34,"No"
"radish",33,"No"
"raft",31,"No"
"rag",40,"No"
"rail",27,"Yes"
"railroad",27,"Yes"
"rain",56,"No"
"raincoat",36,"No"
"raindrop",31,"No"
"rainwater",29,"Yes"
"raisin",34,"No"
"rake",34,"No"
"ramp",37,"No"
"rancher",27,"Yes"
"raspberry",27,"Yes"
"rat",31,"No"
"rattle",26,"Yes"
"razor",35,"No"
"receipt",72,"No"
"receptacle",26,"Yes"
"receptionist",27,"Yes"
"record",25,"Yes"
"recorder",28,"Yes"
"recruiter",32,"No"
"rectum",34,"No"
"reefer",25,"Yes"
"refrigerator",28,"Yes"
"reindeer",33,"No"
"remote",36,"No"
"repairer",35,"No"
"reptile",27,"Yes"
"residence",37,"No"
"respirator",26,"Yes"
"restaurant",26,"Yes"
"retriever",25,"Yes"
"revolver",30,"No"
"rhinestone",33,"No"
"rhubarb",28,"Yes"
"rib",28,"Yes"
"ribbon",26,"Yes"
"rice",25,"Yes"
"rifle",29,"Yes"
"rind",28,"Yes"
"ring",28,"Yes"
"rink",35,"No"
"river",29,"Yes"
"riverbank",27,"Yes"
"riverboat",28,"Yes"
"roach",33,"No"
"road",30,"No"
"roadway",33,"No"
"roast",34,"No"
"robber",28,"Yes"
"robe",26,"Yes"
"robot",30,"No"
"rock",28,"Yes"
"rocker",28,"Yes"
"rod",29,"Yes"
"rodent",28,"Yes"
"roll",30,"No"
"rook",31,"No"
"roommate",38,"No"
"roosters",28,"Yes"
"root",28,"Yes"
"rope",28,"Yes"
"rosary",38,"No"
"rose",28,"Yes"
"rosebush",24,"Yes"
"rosemary",25,"Yes"
"rosewater",26,"Yes"
"rotisserie",34,"No"
"rowboat",27,"Yes"
"rubber",28,"Yes"
"rubbish",27,"Yes"
"ruby",35,"No"
"rucksack",28,"Yes"
"rug",26,"Yes"
"ruler",24,"Yes"
"rum",28,"Yes"
"runner",32,"No"
"rye",28,"Yes"
"sack",26,"Yes"
"sackcloth",25,"Yes"
"saddle",34,"No"
"saddlebag",28,"Yes"
"saffron",28,"Yes"
"sage",36,"No"
"sailboat",26,"Yes"
"sailcloth",27,"Yes"
"salad",40,"No"
"salamander",24,"Yes"
"salesgirl",33,"No"
"saleslady",28,"Yes"
"salesman",34,"No"
"saleswoman",35,"No"
"salmon",28,"Yes"
"saloon",26,"Yes"
"salt",39,"No"
"saltshaker",33,"No"
"saltwater",32,"No"
"salve",26,"Yes"
"sand",27,"Yes"
"sandalwood",28,"Yes"
"sandbag",29,"Yes"
"sandbank",32,"No"
"sandbox",29,"Yes"
"sandcastle",28,"Yes"
"sandpaper",28,"Yes"
"sandwich",27,"Yes"
"sangria",27,"Yes"
"sapling",25,"Yes"
"sapphire",30,"No"
"sardine",36,"No"
"sarong",28,"Yes"
"sash",34,"No"
"satchel",29,"Yes"
"satin",33,"No"
"sauce",34,"No"
"saucepan",27,"Yes"
"sauerkraut",26,"Yes"
"sauna",37,"No"
"sausage",28,"Yes"
"saw",26,"Yes"
"sawdust",27,"Yes"
"sawhorse",26,"Yes"
"saxophone",49,"No"
"scab",26,"Yes"
"scale",34,"No"
"scallion",27,"Yes"
"scallop",24,"Yes"
"scalp",25,"Yes"
"scalpel",31,"No"
"scanner",27,"Yes"
"scapula",26,"Yes"
"scar",37,"No"
"scarecrow",25,"Yes"
"scarf",28,"Yes"
"school",27,"Yes"
"schoolboy",31,"No"
"schoolgirl",29,"Yes"
"schoolhouse",30,"No"
"schoolwork",28,"Yes"
"scientist",34,"No"
"scissors",60,"No"
"scoop",35,"No"
"scooter",27,"Yes"
"scorecard",39,"No"
"scorpion",32,"No"
"scotch",31,"No"
"scrapbook",28,"Yes"
"scraper",30,"No"
"scratches",34,"No"
"screen",27,"Yes"
"screw",32,"No"
"screwdriver",31,"No"
"scribbling",27,"Yes"
"script",24,"Yes"
"scrotum",28,"Yes"
"scrubber",32,"No"
"sculpture",32,"No"
"scythe",26,"Yes"
"sea",27,"Yes"
"seam",28,"Yes"
"seamstress",26,"Yes"
"seaplane",25,"Yes"
"searchlight",27,"Yes"
"seashore",31,"No"
"seasoning",30,"No"
"seat",53,"No"
"seawater",25,"Yes"
"seaweed",27,"Yes"
"secretary",37,"No"
"sedan",30,"No"
"sedative",35,"No"
"seed",36,"No"
"seedling",30,"No"
"semen",27,"Yes"
"senorita",34,"No"
"sequin",26,"Yes"
"servant",30,"No"
"serviceman",25,"Yes"
"sesame",26,"Yes"
"sex",28,"Yes"
"shack",33,"No"
"shaker",33,"No"
"shallot",25,"Yes"
"shampoo",30,"No"
"shamrock",26,"Yes"
"shank",27,"Yes"
"sharpener",30,"No"
"shavings",60,"No"
"shawl",24,"Yes"
"shed",25,"Yes"
"sheep",36,"No"
"sheepdog",28,"Yes"
"sheepskin",31,"No"
"sheet",26,"Yes"
"shelf",36,"No"
"shell",30,"No"
"shellfish",27,"Yes"
"shelter",32,"No"
"shelving",24,"Yes"
"sherbet",26,"Yes"
"shield",27,"Yes"
"shin",27,"Yes"
"shinbone",24,"Yes"
"shingle",53,"No"
"ship",26,"Yes"
"shipman",27,"Yes"
"shipmate",31,"No"
"shirt",32,"No"
"shirtsleeve",28,"Yes"
"shirttail",32,"No"
"shoe",28,"Yes"
"shoehorn",27,"Yes"
"shoelace",34,"No"
"shoestring",31,"No"
"shopkeeper",25,"Yes"
"shopper",28,"Yes"
"shore",37,"No"
"shortbread",36,"No"
"shortcake",37,"No"
"shorts",33,"No"
"shot",33,"No"
"shotgun",26,"Yes"
"shoulder",27,"Yes"
"shovel",31,"No"
"shower",37,"No"
"showerhead",35,"No"
"shrimp",26,"Yes"
"shrine",26,"Yes"
"shrub",67,"No"
"shuffleboard",26,"Yes"
"shutter",26,"Yes"
"shuttle",34,"No"
"sibling",27,"Yes"
"sideboard",27,"Yes"
"sideburns",26,"Yes"
"sidecar",27,"Yes"
"sidewalk",36,"No"
"sifter",33,"No"
"sign",35,"No"
"signpost",37,"No"
"silk",34,"No"
"silkworm",28,"Yes"
"silverware",25,"Yes"
"singer",36,"No"
"sink",39,"No"
"sirloin",29,"Yes"
"sister",29,"Yes"
"skate",32,"No"
"skateboard",28,"Yes"
"skateboarder",35,"No"
"skeleton",28,"Yes"
"sketch",27,"Yes"
"sketchbook",61,"No"
"skewer",27,"Yes"
"ski",30,"No"
"skillet",34,"No"
"skin",37,"No"
"skirt",26,"Yes"
"skittles",57,"No"
"skullcap",27,"Yes"
"slacks",32,"No"
"slaw",27,"Yes"
"sled",39,"No"
"sledge",28,"Yes"
"sledgehammer",30,"No"
"sleeve",28,"Yes"
"sleigh",28,"Yes"
"slide",32,"No"
"slime",31,"No"
"sling",39,"No"
"slingshot",26,"Yes"
