"pulled_at","survey_name","n_rows","raw_file"
2026-09-23 14:38:12.191979,"English_Word_Ratings",1,"English_Word_Ratings_20260923_143811.csv"
2026-09-23 14:38:12.702315,"English_Word_Ratings_2",0,"English_Word_Ratings_2_20260923_143811.csv"
2026-09-23 14:38:13.211913,"English_Word_Ratings_3",0,"English_Word_Ratings_3_20260923_143811.csv"
